word,year,count,sources
aaloon,1818,1,1
aaloon,1828,1,1
aaloon,1837,1,1
aaloon,1850,1,1
aaloon,1886,1,1
aaloon,1889,1,1
aaloon,1897,1,1
aaloon,1900,1,1
aaloon,1908,3,1
aaloon,1909,1,1
aaloon,1926,1,1
aaloon,1928,1,1
aaloon,1941,1,1
aaloon,1942,2,2
aaloon,1943,1,1
aaloon,1945,1,1
aaloon,1947,1,1
aaloon,1954,2,2
aaloon,1959,1,1
aaloon,1961,1,1
aaloon,1973,1,1
aaloon,1974,3,2
aaloon,1977,1,1
aaloon,1985,1,1
aaloon,1987,1,1
aaloon,1996,1,1
aaloon,1997,2,1
aaloon,2000,1,1
aaloon,2001,1,1
aaloon,2006,1,1
aaloon,2007,1,1
aaloon,2008,14,14
aarriages,1833,1,1
aarriages,1856,1,1
aarriages,1866,1,1
aarriages,1933,1,1
aarriages,1938,1,1
aarriages,1941,1,1
aarriages,1942,1,1
aarriages,1943,1,1
aarriages,1944,1,1
aarriages,1946,1,1
aarriages,1948,1,1
aarriages,1953,1,1
aarriages,1957,1,1
aarriages,1959,3,1
aarriages,1969,2,1
aarriages,1971,1,1
aarriages,1972,2,2
aarriages,1975,2,1
aarriages,1976,8,2
aarriages,1977,3,2
aarriages,1978,1,1
aarriages,1980,22,1
aarriages,1983,1,1
aarriages,1985,46,2
aarriages,1986,3,2
aarriages,1987,11,1
aarriages,1988,3,2
aarriages,1989,7,3
aarriages,1990,2,1
aarriages,1991,1,1
aarriages,1993,1,1
aarriages,1994,4,2
aarriages,1996,1,1
aarriages,1997,2,2
aarriages,1999,1,1
abasshed,1827,2,2
abasshed,1846,5,5
abasshed,1868,3,3
abasshed,1869,1,1
abasshed,1872,3,3
abasshed,1873,1,1
abasshed,1874,1,1
abasshed,1875,1,1
abasshed,1876,4,4
abasshed,1877,1,1
abasshed,1882,1,1
abasshed,1889,2,2
abasshed,1890,2,2
abasshed,1891,2,2
abasshed,1892,1,1
abasshed,1897,1,1
abasshed,1902,6,1
abasshed,1904,1,1
abasshed,1906,4,2
abasshed,1914,6,6
abasshed,1915,2,2
abasshed,1917,1,1
abasshed,1919,2,2
abasshed,1924,2,1
abasshed,1932,4,4
abasshed,1939,2,1
abasshed,1942,2,1
abasshed,1946,1,1
abasshed,1957,4,2
abasshed,1959,1,1
abasshed,1962,2,2
abasshed,1963,5,5
abasshed,1964,4,2
abasshed,1967,1,1
abasshed,1968,1,1
abasshed,1969,1,1
abasshed,1970,1,1
abasshed,1971,2,2
abasshed,1973,1,1
abasshed,1975,9,3
abasshed,1977,2,1
abasshed,1982,2,2
abasshed,1992,1,1
abasshed,1993,1,1
abasshed,1999,1,1
abasshed,2000,1,1
abasshed,2001,1,1
abasshed,2002,4,2
abasshed,2006,1,1
abasshed,2007,4,4
abasshed,2008,2,2
abernethy,1794,1,1
abernethy,1853,21,5
abernethy,1856,9,4
abernethy,1858,1,1
abernethy,1880,1,1
abernethy,1905,1,1
abernethy,1932,5,3
abernethy,1950,2,2
abernethy,1955,2,2
abernethy,1958,3,1
abernethy,1959,3,1
abernethy,1960,44,2
abernethy,1961,2,2
abernethy,1966,1,1
abernethy,1969,7,3
abernethy,1970,7,3
abernethy,1974,1,1
abernethy,1978,3,3
abernethy,1981,6,6
abernethy,2007,1,1
abernethy,2008,46,6
abhyasi,1958,1,1
abhyasi,1963,1,1
abhyasi,1964,6,4
abhyasi,1966,16,1
abhyasi,1967,4,2
abhyasi,1968,10,3
abhyasi,1969,2,1
abhyasi,1970,10,3
abhyasi,1973,3,3
abhyasi,1975,144,1
abhyasi,1976,2,2
abhyasi,1980,1,1
abhyasi,1985,145,1
