word,year,count,sources
zagu,1899,1,1
zagu,1906,1,1
zagu,1934,1,1
zagu,1935,1,1
zagu,1940,1,1
zagu,1944,1,1
zagu,1948,1,1
zagu,1951,1,1
zagu,1962,3,1
zagu,1972,5,3
zagu,1974,1,1
zagu,1975,13,6
zagu,1976,1,1
zagu,1982,1,1
zagu,1983,6,3
zagu,1986,10,3
zagu,1990,3,3
zagu,1993,1,1
zagu,1994,12,8
zagu,1995,1,1
zagu,1996,15,3
zagu,1997,4,1
zagu,1998,2,2
zagu,1999,1,1
zagu,2001,8,5
zagu,2002,5,3
zagu,2004,2,2
zaiion,1827,1,1
zaiion,1829,1,1
zaiion,1831,1,1
zaiion,1839,1,1
zaiion,1845,1,1
zaiion,1852,1,1
zaiion,1864,1,1
zaiion,1865,2,2
zaiion,1867,1,1
zaiion,1875,1,1
zaiion,1883,1,1
zaiion,1898,1,1
zaiion,1899,1,1
zaiion,1901,1,1
zaiion,1911,1,1
zaiion,1923,1,1
zaiion,1932,2,2
zaiion,1937,2,2
zaiion,1940,1,1
zaiion,1942,1,1
zaiion,1971,1,1
zaiion,1975,3,3
zaiion,1978,1,1
zaiion,1979,1,1
zaiion,1980,2,1
zaiion,1981,1,1
zaiion,1984,1,1
zaiion,1987,1,1
zaiion,1988,3,3
zaiion,1991,1,1
zaiion,1992,1,1
zaiion,1993,2,2
zaiion,1994,2,2
zaiion,1995,1,1
zaiion,1997,1,1
zaiion,1998,2,2
zaiion,1999,1,1
zaiion,2000,1,1
zaiion,2002,2,2
zaiion,2003,2,2
zaiion,2005,2,2
zaiion,2008,2,2
zaranya,1888,2,2
zaranya,1889,4,4
zaranya,1890,5,2
zaranya,1895,1,1
zaranya,1906,2,2
zaranya,1908,1,1
zaranya,1910,1,1
zaranya,1912,1,1
zaranya,1914,1,1
zaranya,1920,2,2
zaranya,1922,1,1
zaranya,1950,1,1
zaranya,1975,1,1
zaranya,1976,1,1
zaranya,1987,1,1
zaranya,1990,6,4
zaranya,1992,2,1
zaranya,1994,1,1
zaranya,1996,2,2
zaranya,1997,3,1
zaranya,1999,1,1
zaranya,2002,2,2
zaranya,2004,2,2
zaranya,2005,8,8
zaranya,2006,1,1
zaranya,2008,1,1
zeeroovers,1854,3,3
zeeroovers,1888,2,1
zeeroovers,1900,3,3
zeeroovers,1908,1,1
zeeroovers,1912,6,2
zeeroovers,1938,2,2
zeeroovers,1941,1,1
zeeroovers,1961,3,3
zeeroovers,1962,1,1
zeeroovers,1969,3,3
zeeroovers,1970,1,1
zeeroovers,1974,1,1
zeeroovers,1975,2,2
zeeroovers,1976,1,1
zeeroovers,1979,1,1
zeeroovers,1980,2,2
zeeroovers,1981,1,1
zeeroovers,1982,1,1
zeeroovers,1992,2,2
zeeroovers,1997,1,1
zeeroovers,2001,4,3
zeeroovers,2003,1,1
zeeroovers,2004,2,1
zeeroovers,2005,19,1
zeeroovers,2008,1,1
zhentlemans,1869,1,1
zhentlemans,1871,1,1
zhentlemans,1875,1,1
zhentlemans,1879,2,2
zhentlemans,1895,1,1
zhentlemans,1899,14,14
zhentlemans,1901,2,2
zhentlemans,1907,1,1
zhentlemans,1911,12,12
zhentlemans,1923,1,1
zhentlemans,1924,1,1
zhentlemans,1933,1,1
zhentlemans,1936,1,1
zhentlemans,1948,1,1
zhentlemans,1962,2,2
zhentlemans,1966,2,2
zhentlemans,1968,1,1
zhentlemans,1969,1,1
zhentlemans,1977,2,2
zhentlemans,1980,1,1
zhentlemans,1984,3,3
zhentlemans,1985,1,1
zhentlemans,1986,2,2
zhentlemans,1987,1,1
zhentlemans,1991,2,1
zhentlemans,1994,1,1
zhentlemans,1996,4,4
zhentlemans,1997,2,2
zhentlemans,2000,2,2
zhentlemans,2002,1,1
zhentlemans,2003,3,3
zhentlemans,2004,1,1
zhentlemans,2005,2,2
zhentlemans,2006,1,1
zhentlemans,2007,4,4
zhentlemans,2008,1,1
ziua,1917,2,2
ziua,1925,1,1
ziua,1931,2,1
ziua,1948,1,1
ziua,1949,3,3
ziua,1954,2,2
ziua,1956,2,1
ziua,1959,4,3
ziua,1964,6,3
ziua,1969,2,2
ziua,1974,2,2
ziua,1977,2,1
ziua,1978,7,4
ziua,1979,2,2
ziua,1981,1,1
ziua,1983,2,2
ziua,1984,4,3
ziua,1985,1,1
ziua,1986,1,1
ziua,1987,3,3
ziua,1988,4,2
ziua,1989,1,1
ziua,1990,4,4
ziua,1991,6,3
ziua,1992,11,3
ziua,1993,1,1
ziua,1994,4,2
ziua,1995,2,2
ziua,1996,2,1
ziua,1997,2,2
ziua,1998,7,3
ziua,1999,4,4
ziua,2000,8,5
ziua,2001,8,6
