word,year,count,sources
baaee,1929,1,1
baaee,1932,2,2
baaee,1934,2,2
baaee,1935,1,1
baaee,1945,4,4
baaee,1948,2,2
baaee,1949,3,3
baaee,1950,1,1
baaee,1953,1,1
baaee,1954,1,1
baaee,1955,1,1
baaee,1956,1,1
baaee,1961,1,1
baaee,1964,3,2
baaee,1968,1,1
baaee,1969,2,2
baaee,1971,1,1
baaee,1974,3,3
baaee,1976,2,2
baaee,1977,1,1
baaee,1986,2,2
baaee,1989,1,1
baaee,1990,1,1
baaee,1991,1,1
baaee,1995,1,1
baaee,1996,3,1
baaee,1998,3,1
baaee,2000,2,2
baaee,2001,3,3
baaee,2003,11,4
baaee,2004,1,1
baaee,2006,2,1
baaee,2008,1,1
babushki,1943,1,1
babushki,1954,3,1
babushki,1955,9,3
babushki,1960,3,3
babushki,1961,1,1
babushki,1962,7,3
babushki,1964,13,3
babushki,1965,21,6
babushki,1967,4,3
babushki,1968,2,2
babushki,1969,66,6
babushki,1971,1,1
babushki,1973,2,2
babushki,1974,6,5
babushki,1976,3,3
babushki,1977,9,5
babushki,1978,2,2
babushki,1979,2,2
babushki,1980,3,3
babushki,1981,3,2
babushki,1982,13,7
babushki,1983,7,3
babushki,1984,2,2
babushki,1985,13,9
babushki,1986,8,5
babushki,1987,20,8
babushki,1988,47,8
babushki,1989,29,9
babushki,1990,9,6
babushki,1991,11,9
babushki,1992,16,10
babushki,1993,13,13
babushki,1994,64,10
babushki,1995,23,13
babushki,1996,15,12
babushki,1997,23,16
babushki,1998,13,12
babushki,1999,30,23
babushki,2000,47,30
babushki,2001,25,11
babushki,2002,46,19
babushki,2003,43,17
babushki,2004,52,16
babushki,2005,45,19
babushki,2006,18,10
babushki,2007,30,16
babushki,2008,34,19
backfeathers,1850,1,1
backfeathers,1852,1,1
backfeathers,1865,2,2
backfeathers,1884,1,1
backfeathers,1885,2,2
backfeathers,1897,1,1
backfeathers,1906,3,3
backfeathers,1907,1,1
backfeathers,1908,3,3
backfeathers,1923,1,1
backfeathers,1935,2,2
backfeathers,1948,1,1
backfeathers,1959,3,1
backfeathers,1963,1,1
backfeathers,1966,1,1
backfeathers,1970,1,1
backfeathers,1972,1,1
backfeathers,1973,4,4
backfeathers,1974,2,2
backfeathers,1977,3,2
backfeathers,1978,1,1
backfeathers,1981,1,1
backfeathers,1983,3,2
backfeathers,1987,1,1
backfeathers,1991,2,2
backfeathers,1992,1,1
backfeathers,1993,1,1
backfeathers,1994,2,2
backfeathers,1995,1,1
backfeathers,1996,1,1
backfeathers,1999,1,1
backfeathers,2001,1,1
backfeathers,2002,1,1
backfeathers,2004,2,2
backfeathers,2006,1,1
backfeathers,2008,8,8
backgroundedness,1981,2,1
backgroundedness,1982,1,1
backgroundedness,1983,1,1
backgroundedness,1985,1,1
backgroundedness,1987,2,1
backgroundedness,1989,6,1
backgroundedness,1990,16,5
backgroundedness,1992,3,2
backgroundedness,1993,15,11
backgroundedness,1994,8,5
backgroundedness,1996,6,6
backgroundedness,1998,1,1
backgroundedness,1999,2,2
backgroundedness,2000,7,7
backgroundedness,2001,9,3
backgroundedness,2003,10,7
backgroundedness,2004,4,1
backgroundedness,2005,4,2
backgroundedness,2006,18,10
backgroundedness,2007,4,3
backgroundedness,2008,2,2
backposts,1909,1,1
backposts,1914,3,3
backposts,1922,14,6
backposts,1927,48,2
backposts,1929,1,1
backposts,1932,3,3
backposts,1937,1,1
backposts,1942,1,1
backposts,1946,3,3
backposts,1948,2,1
backposts,1952,1,1
backposts,1953,2,2
backposts,1954,1,1
backposts,1955,2,2
backposts,1959,1,1
backposts,1960,4,4
backposts,1961,3,1
backposts,1962,3,3
backposts,1964,2,2
backposts,1969,3,3
backposts,1970,4,2
backposts,1972,2,2
backposts,1973,3,2
backposts,1978,3,3
backposts,1982,2,1
backposts,1983,2,2
backposts,1984,3,1
backposts,1987,1,1
backposts,1988,1,1
backposts,1989,3,2
backposts,1991,6,6
backposts,1993,3,3
backposts,1994,6,6
backposts,1997,1,1
backposts,1999,1,1
backposts,2000,15,2
backposts,2001,12,5
backposts,2002,2,2
backposts,2003,1,1
backposts,2004,3,1
backposts,2006,31,1
backposts,2007,1,1
backposts,2008,2,2
backsourcing,2001,3,3
backsourcing,2002,2,1
backsourcing,2003,3,1
backsourcing,2005,4,4
backsourcing,2006,108,11
backsourcing,2007,55,11
backsourcing,2008,34,11
backwords,1800,1,1
backwords,1845,1,1
backwords,1848,1,1
backwords,1851,1,1
backwords,1871,1,1
backwords,1890,1,1
backwords,1906,1,1
backwords,1917,2,2
backwords,1918,1,1
backwords,1921,1,1
backwords,1925,2,2
backwords,1926,1,1
backwords,1927,2,2
backwords,1929,1,1
backwords,1934,1,1
backwords,1936,1,1
backwords,1937,1,1
backwords,1942,3,3
backwords,1946,1,1
backwords,1947,2,2
backwords,1948,1,1
backwords,1949,3,3
backwords,1950,3,3
backwords,1951,1,1
backwords,1955,1,1
backwords,1956,1,1
backwords,1963,1,1
backwords,1966,1,1
backwords,1967,1,1
backwords,1968,1,1
backwords,1969,3,3
backwords,1970,2,2
backwords,1972,1,1
backwords,1973,3,3
backwords,1974,7,7
backwords,1975,4,4
backwords,1976,4,4
backwords,1977,2,2
backwords,1978,9,9
backwords,1979,6,6
backwords,1980,16,3
backwords,1981,7,5
backwords,1982,14,6
backwords,1983,14,14
backwords,1984,5,5
backwords,1985,5,5
backwords,1986,17,8
backwords,1987,13,4
backwords,1988,18,11
backwords,1989,11,10
