word,year,count,sources
cabestros,1826,2,2
cabestros,1831,2,2
cabestros,1836,6,6
cabestros,1839,4,4
cabestros,1859,1,1
cabestros,1868,1,1
cabestros,1875,8,4
cabestros,1876,5,3
cabestros,1883,2,2
cabestros,1889,9,2
cabestros,1893,6,4
cabestros,1896,4,4
cabestros,1898,3,3
cabestros,1900,1,1
cabestros,1902,31,5
cabestros,1903,4,4
cabestros,1904,21,3
cabestros,1906,8,2
cabestros,1907,1,1
cabestros,1909,5,1
cabestros,1910,8,5
cabestros,1911,7,7
cabestros,1913,1,1
cabestros,1914,5,1
cabestros,1919,6,2
cabestros,1921,2,1
cabestros,1922,4,2
cabestros,1923,1,1
cabestros,1924,3,1
cabestros,1925,16,4
cabestros,1926,10,2
cabestros,1927,10,4
cabestros,1928,3,3
cabestros,1929,7,3
cabestros,1932,10,4
cabestros,1933,57,7
cabestros,1934,14,5
cabestros,1935,6,1
cabestros,1936,1,1
cabestros,1937,7,1
cabestros,1939,7,6
cabestros,1940,1,1
cabestros,1945,1,1
cabestros,1946,1,1
cabestros,1947,14,2
cabestros,1949,6,6
cabestros,1950,1,1
cabestros,1951,2,2
cabestros,1952,3,2
cabestros,1953,6,3
cabestros,1954,6,2
cabestros,1956,2,2
cabestros,1957,25,5
cabestros,1958,14,4
cabestros,1959,8,8
cabestros,1960,12,4
cabestros,1961,7,6
cabestros,1963,1,1
cabestros,1964,6,2
cabestros,1966,13,8
cabestros,1967,12,4
cabestros,1969,1,1
cabestros,1970,2,2
cabestros,1972,10,7
cabestros,1973,4,4
cabestros,1975,5,3
cabestros,1976,5,2
cabestros,1978,2,1
cabestros,1980,6,4
cabestros,1982,1,1
cabestros,1983,3,2
cabestros,1984,2,2
cabestros,1986,6,6
cabestros,1988,3,3
cabestros,1989,2,2
cabestros,1991,1,1
cabestros,1992,2,1
cabestros,1993,4,4
cabestros,1994,1,1
cabestros,1996,2,2
cabestros,1997,10,4
cabestros,1998,7,6
cabestros,1999,10,6
cabestros,2000,19,11
cabestros,2001,9,6
cabestros,2002,12,7
cabestros,2003,5,4
cabestros,2004,19,8
cabestros,2005,4,2
cabestros,2006,11,5
cabestros,2007,12,8
cabestros,2008,35,10
cableforms,1962,11,5
cableforms,1963,2,1
cableforms,1966,26,2
cableforms,1968,1,1
cableforms,1969,13,2
cableforms,1970,2,2
cableforms,1971,8,5
cableforms,1972,7,4
cableforms,1976,2,1
cableforms,1977,2,2
cableforms,1978,4,2
cableforms,1980,1,1
cableforms,1982,1,1
cableforms,1983,1,1
cableforms,1984,1,1
cableforms,1986,1,1
cableforms,1988,1,1
cableforms,1989,8,4
cableforms,1991,1,1
cableforms,1992,2,1
cableforms,1993,3,2
cableforms,1995,2,2
cableforms,1998,1,1
cableforms,2001,8,3
cableforms,2005,1,1
cabotins,1868,1,1
cabotins,1884,1,1
cabotins,1892,8,8
cabotins,1894,1,1
cabotins,1895,4,4
cabotins,1897,1,1
cabotins,1898,4,4
cabotins,1899,8,3
cabotins,1900,24,9
cabotins,1901,1,1
cabotins,1902,1,1
cabotins,1903,5,3
cabotins,1904,6,1
cabotins,1905,2,1
cabotins,1906,6,6
cabotins,1907,4,4
cabotins,1909,1,1
cabotins,1910,1,1
cabotins,1911,3,2
cabotins,1912,7,4
cabotins,1913,1,1
cabotins,1914,5,5
cabotins,1915,4,4
cabotins,1917,5,5
cabotins,1919,3,3
cabotins,1920,5,5
cabotins,1921,6,6
cabotins,1922,4,4
cabotins,1923,1,1
cabotins,1925,7,7
cabotins,1927,2,2
cabotins,1928,4,3
cabotins,1931,1,1
cabotins,1932,2,2
cabotins,1933,1,1
cabotins,1934,5,5
cabotins,1935,2,2
cabotins,1936,4,4
cabotins,1944,2,2
cabotins,1945,1,1
cabotins,1947,3,3
cabotins,1948,4,4
cabotins,1949,5,5
cabotins,1953,6,6
cabotins,1957,1,1
cabotins,1958,1,1
cabotins,1959,4,4
cabotins,1961,3,3
cabotins,1962,6,6
cabotins,1964,2,2
cabotins,1965,4,2
cabotins,1966,2,1
cabotins,1967,1,1
cabotins,1968,2,2
cabotins,1969,4,2
cabotins,1970,5,5
cabotins,1971,5,5
cabotins,1972,9,9
cabotins,1974,2,2
cabotins,1975,2,2
cabotins,1976,1,1
cabotins,1977,1,1
cabotins,1978,10,6
cabotins,1979,2,1
cabotins,1980,3,3
cabotins,1981,3,2
cabotins,1982,2,2
cabotins,1985,3,3
cabotins,1986,1,1
cabotins,1989,3,3
cabotins,1990,6,6
cabotins,1991,6,4
cabotins,1992,2,2
cabotins,1994,3,3
cabotins,1995,15,5
cabotins,1996,5,2
cabotins,1997,1,1
cabotins,1998,2,2
cabotins,1999,4,4
cabotins,2000,3,3
cabotins,2001,4,4
cabotins,2002,8,3
cabotins,2003,3,3
cabotins,2004,3,2
cabotins,2005,1,1
cabotins,2006,4,4
cabotins,2007,4,3
cabotins,2008,7,7
caelibes,1679,1,1
caelibes,1806,1,1
caelibes,1820,3,2
caelibes,1845,5,3
caelibes,1852,1,1
caelibes,1857,1,1
caelibes,1858,1,1
caelibes,1859,1,1
caelibes,1865,4,2
caelibes,1868,1,1
caelibes,1871,1,1
caelibes,1872,1,1
caelibes,1875,1,1
caelibes,1878,2,2
caelibes,1881,1,1
caelibes,1883,2,2
caelibes,1885,2,2
caelibes,1886,1,1
caelibes,1890,4,4
caelibes,1892,12,4
caelibes,1896,2,1
caelibes,1897,1,1
caelibes,1901,29,15
caelibes,1902,9,5
caelibes,1903,4,4
caelibes,1904,17,8
caelibes,1905,1,1
caelibes,1906,5,5
caelibes,1907,16,4
caelibes,1910,1,1
caelibes,1911,11,9
caelibes,1913,2,2
caelibes,1916,2,2
caelibes,1920,1,1
caelibes,1921,4,3
caelibes,1925,4,2
caelibes,1926,4,1
caelibes,1927,2,2
caelibes,1928,1,1
caelibes,1929,4,2
caelibes,1931,3,3
caelibes,1932,1,1
caelibes,1933,2,1
caelibes,1934,7,3
caelibes,1936,3,3
caelibes,1937,1,1
caelibes,1939,6,6
caelibes,1940,2,2
caelibes,1944,5,1
caelibes,1946,8,4
caelibes,1951,3,2
caelibes,1952,1,1
caelibes,1953,14,8
caelibes,1954,2,2
caelibes,1955,1,1
caelibes,1958,1,1
caelibes,1960,1,1
caelibes,1962,2,2
caelibes,1963,4,3
caelibes,1965,4,2
caelibes,1966,2,1
caelibes,1967,4,3
caelibes,1969,4,3
caelibes,1970,2,2
caelibes,1971,4,1
caelibes,1973,2,1
caelibes,1975,4,2
caelibes,1976,21,1
caelibes,1977,1,1
caelibes,1980,2,1
caelibes,1982,2,2
caelibes,1983,3,3
caelibes,1984,5,3
caelibes,1985,2,2
caelibes,1986,4,2
caelibes,1987,15,4
caelibes,1988,12,4
caelibes,1989,8,3
caelibes,1990,8,6
caelibes,1991,6,4
caelibes,1992,5,5
caelibes,1993,6,4
caelibes,1994,4,4
caelibes,1995,10,3
caelibes,1996,6,3
caelibes,1997,2,2
caelibes,1998,4,2
caelibes,1999,14,6
caelibes,2000,4,2
caelibes,2001,22,4
caelibes,2002,4,2
caelibes,2003,37,7
caelibes,2004,1,1
caelibes,2005,1,1
caelibes,2007,3,3
caelibes,2008,5,4
cails,1766,1,1
cails,1782,1,1
cails,1791,1,1
cails,1793,1,1
cails,1797,1,1
cails,1809,1,1
cails,1819,1,1
cails,1827,1,1
cails,1829,2,2
cails,1831,1,1
cails,1832,1,1
cails,1835,1,1
cails,1839,1,1
cails,1846,2,2
cails,1851,1,1
cails,1854,1,1
cails,1856,1,1
cails,1859,4,2
cails,1862,1,1
cails,1863,1,1
cails,1864,1,1
cails,1867,1,1
cails,1868,1,1
cails,1871,1,1
cails,1873,1,1
cails,1874,1,1
cails,1881,1,1
cails,1883,1,1
cails,1884,1,1
cails,1890,1,1
cails,1891,1,1
cails,1892,1,1
cails,1896,1,1
cails,1898,2,2
cails,1899,1,1
cails,1902,1,1
cails,1903,1,1
cails,1905,1,1
cails,1908,1,1
cails,1909,3,3
cails,1910,1,1
cails,1912,1,1
cails,1920,1,1
cails,1921,1,1
cails,1929,1,1
cails,1932,1,1
