word,year,count,sources
daaages,1908,2,1
daaages,1942,1,1
daaages,1945,1,1
daaages,1946,2,2
daaages,1947,1,1
daaages,1950,3,3
daaages,1951,1,1
daaages,1953,1,1
daaages,1954,1,1
daaages,1955,2,2
daaages,1956,1,1
daaages,1960,4,1
daaages,1965,1,1
daaages,1966,1,1
daaages,1968,1,1
daaages,1971,2,1
daaages,1973,2,2
daaages,1974,1,1
daaages,1975,1,1
daaages,1976,1,1
daaages,1977,1,1
daaages,1978,3,2
daaages,1979,1,1
daaages,1982,1,1
daaages,1983,1,1
daaages,1987,17,8
daaages,1988,8,8
daaages,1989,6,3
daaages,1990,2,2
daaages,1992,17,4
daaages,1996,1,1
daaages,1997,1,1
daaages,1998,1,1
daaages,1999,1,1
daaages,2001,1,1
daaages,2004,1,1
daaages,2007,16,1
dabbler,1697,1,1
dabbler,1734,1,1
dabbler,1747,1,1
dabbler,1751,1,1
dabbler,1752,1,1
dabbler,1754,2,1
dabbler,1757,1,1
dabbler,1759,1,1
dabbler,1765,1,1
dabbler,1767,1,1
dabbler,1768,1,1
dabbler,1770,1,1
dabbler,1771,1,1
dabbler,1773,3,3
dabbler,1778,1,1
dabbler,1780,5,4
dabbler,1781,1,1
dabbler,1782,3,3
dabbler,1783,1,1
dabbler,1784,4,4
dabbler,1785,3,3
dabbler,1786,2,2
dabbler,1787,26,10
dabbler,1788,3,3
dabbler,1790,7,7
dabbler,1791,3,3
dabbler,1792,3,2
dabbler,1793,2,2
dabbler,1794,1,1
dabbler,1795,4,4
dabbler,1796,7,6
dabbler,1797,5,5
dabbler,1798,10,10
dabbler,1799,1,1
dabbler,1800,10,10
dabbler,1801,2,2
dabbler,1802,5,5
dabbler,1803,5,4
dabbler,1804,8,8
dabbler,1805,13,12
dabbler,1806,11,11
dabbler,1807,9,9
dabbler,1808,10,10
dabbler,1809,40,34
dabbler,1810,11,11
dabbler,1811,18,18
dabbler,1812,19,11
dabbler,1813,8,8
dabbler,1814,9,9
dabbler,1815,5,5
dabbler,1816,10,10
dabbler,1817,13,10
dabbler,1818,12,12
dabbler,1819,9,9
dabbler,1820,16,16
dabbler,1821,13,13
dabbler,1822,36,32
dabbler,1823,9,9
dabbler,1824,34,31
dabbler,1825,22,20
dabbler,1826,35,26
dabbler,1827,30,23
dabbler,1828,25,25
dabbler,1829,20,20
dabbler,1830,38,36
dabbler,1831,31,30
dabbler,1832,34,34
dabbler,1833,18,16
dabbler,1834,12,12
dabbler,1835,43,38
dabbler,1836,40,39
dabbler,1837,33,30
dabbler,1838,24,21
dabbler,1839,23,23
dabbler,1840,29,28
dabbler,1841,49,37
dabbler,1842,22,22
dabbler,1843,26,23
dabbler,1844,31,30
dabbler,1845,37,37
dabbler,1846,35,35
dabbler,1847,21,21
dabbler,1848,36,36
dabbler,1849,57,46
dabbler,1850,47,40
dabbler,1851,37,23
dabbler,1852,46,36
dabbler,1853,16,14
dabbler,1854,39,38
dabbler,1855,37,36
dabbler,1856,73,59
dabbler,1857,33,33
dabbler,1858,35,25
dabbler,1859,33,31
dabbler,1860,59,55
dabbler,1861,17,15
dabbler,1862,24,24
dabbler,1863,29,28
dabbler,1864,45,36
dabbler,1865,37,31
dabbler,1866,41,38
dabbler,1867,34,33
dabbler,1868,39,33
dabbler,1869,24,21
dabbler,1870,40,38
dabbler,1871,35,32
dabbler,1872,27,27
dabbler,1873,47,47
dabbler,1874,43,41
dabbler,1875,39,39
dabbler,1876,78,56
dabbler,1877,49,42
dabbler,1878,44,38
dabbler,1879,58,50
dabbler,1880,89,65
dabbler,1881,50,43
dabbler,1882,78,73
dabbler,1883,95,92
dabbler,1884,78,75
dabbler,1885,69,66
dabbler,1886,68,66
dabbler,1887,51,47
dabbler,1888,63,61
dabbler,1889,56,53
dabbler,1890,37,37
dabbler,1891,102,86
dabbler,1892,89,84
dabbler,1893,59,56
dabbler,1894,84,70
dabbler,1895,70,70
dabbler,1896,75,73
dabbler,1897,119,102
dabbler,1898,89,65
dabbler,1899,123,117
dabbler,1900,120,110
dabbler,1901,135,124
dabbler,1902,176,161
dabbler,1903,111,96
dabbler,1904,120,112
dabbler,1905,102,100
dabbler,1906,119,117
dabbler,1907,129,121
dabbler,1908,150,145
dabbler,1909,104,103
dabbler,1910,141,131
dabbler,1911,115,113
dabbler,1912,133,112
dabbler,1913,79,74
dabbler,1914,83,80
dabbler,1915,66,65
dabbler,1916,81,75
dabbler,1917,83,83
dabbler,1918,77,68
dabbler,1919,102,100
dabbler,1920,112,108
dabbler,1921,87,82
dabbler,1922,138,125
dabbler,1923,87,86
dabbler,1924,137,107
dabbler,1925,99,92
dabbler,1926,92,80
dabbler,1927,166,131
dabbler,1928,117,111
dabbler,1929,138,129
dabbler,1930,182,136
dabbler,1931,118,115
dabbler,1932,158,137
dabbler,1933,96,80
dabbler,1934,106,98
dabbler,1935,115,112
dabbler,1936,135,121
dabbler,1937,104,102
dabbler,1938,73,72
dabbler,1939,132,116
dabbler,1940,92,86
dabbler,1941,87,72
dabbler,1942,64,59
dabbler,1943,53,52
dabbler,1944,87,71
dabbler,1945,77,63
dabbler,1946,138,121
dabbler,1947,152,136
dabbler,1948,105,102
dabbler,1949,144,132
dabbler,1950,152,143
dabbler,1951,87,79
dabbler,1952,120,111
dabbler,1953,140,123
dabbler,1954,104,97
dabbler,1955,119,113
dabbler,1956,142,134
dabbler,1957,124,118
dabbler,1958,139,118
dabbler,1959,152,144
dabbler,1960,145,142
dabbler,1961,178,161
dabbler,1962,234,217
dabbler,1963,171,164
dabbler,1964,170,157
dabbler,1965,238,216
dabbler,1966,258,219
dabbler,1967,289,256
dabbler,1968,319,279
dabbler,1969,316,295
dabbler,1970,294,271
dabbler,1971,232,211
dabbler,1972,316,291
dabbler,1973,233,220
dabbler,1974,228,205
dabbler,1975,229,212
dabbler,1976,237,219
dabbler,1977,294,239
dabbler,1978,266,241
dabbler,1979,285,260
dabbler,1980,257,235
dabbler,1981,218,197
dabbler,1982,254,219
dabbler,1983,256,226
dabbler,1984,275,244
dabbler,1985,244,221
dabbler,1986,291,275
dabbler,1987,298,259
dabbler,1988,272,248
dabbler,1989,360,297
dabbler,1990,337,298
dabbler,1991,344,296
dabbler,1992,346,285
dabbler,1993,261,246
dabbler,1994,360,325
dabbler,1995,384,327
dabbler,1996,411,373
dabbler,1997,405,357
dabbler,1998,390,346
dabbler,1999,469,409
dabbler,2000,492,438
dabbler,2001,443,410
dabbler,2002,521,464
dabbler,2003,640,543
dabbler,2004,711,625
dabbler,2005,617,566
dabbler,2006,782,674
dabbler,2007,882,744
dabbler,2008,1366,1202
dacryocystorhinostomy,1911,2,2
dacryocystorhinostomy,1913,3,3
dacryocystorhinostomy,1914,2,2
dacryocystorhinostomy,1918,6,1
dacryocystorhinostomy,1919,2,1
dacryocystorhinostomy,1920,7,4
dacryocystorhinostomy,1926,1,1
dacryocystorhinostomy,1927,1,1
dacryocystorhinostomy,1932,1,1
dacryocystorhinostomy,1934,5,3
dacryocystorhinostomy,1936,3,2
dacryocystorhinostomy,1937,3,2
dacryocystorhinostomy,1938,11,5
dacryocystorhinostomy,1939,9,5
dacryocystorhinostomy,1940,1,1
dacryocystorhinostomy,1941,7,4
dacryocystorhinostomy,1942,2,2
dacryocystorhinostomy,1943,4,3
dacryocystorhinostomy,1946,7,1
dacryocystorhinostomy,1947,9,6
dacryocystorhinostomy,1948,11,1
dacryocystorhinostomy,1949,14,3
dacryocystorhinostomy,1950,45,9
dacryocystorhinostomy,1951,3,2
dacryocystorhinostomy,1952,18,5
dacryocystorhinostomy,1953,22,4
dacryocystorhinostomy,1954,11,7
dacryocystorhinostomy,1955,63,7
