word,year,count,sources
faceworker,1951,1,1
faceworker,1952,6,3
faceworker,1955,4,4
faceworker,1956,6,1
faceworker,1961,6,2
faceworker,1963,33,4
faceworker,1964,2,2
faceworker,1965,3,1
faceworker,1966,5,5
faceworker,1968,1,1
faceworker,1969,18,4
faceworker,1970,2,2
faceworker,1971,19,4
faceworker,1972,3,3
faceworker,1974,1,1
faceworker,1975,4,4
faceworker,1977,3,3
faceworker,1978,3,2
faceworker,1979,12,10
faceworker,1980,2,2
faceworker,1981,16,6
faceworker,1982,4,4
faceworker,1983,6,3
faceworker,1984,4,3
faceworker,1985,4,4
faceworker,1986,3,3
faceworker,1987,13,4
faceworker,1989,9,5
faceworker,1991,4,3
faceworker,1994,5,5
faceworker,1995,7,4
faceworker,1996,15,4
faceworker,1999,1,1
faceworker,2000,230,4
faceworker,2001,3,2
faceworker,2002,7,3
faceworker,2003,7,5
faceworker,2004,1,1
faceworker,2005,9,4
faceworker,2006,3,3
faceworker,2007,8,2
faceworker,2008,3,3
facilitis,1823,1,1
facilitis,1907,1,1
facilitis,1937,3,3
facilitis,1946,2,2
facilitis,1948,1,1
facilitis,1960,1,1
facilitis,1966,4,4
facilitis,1967,1,1
facilitis,1969,1,1
facilitis,1970,3,3
facilitis,1971,3,3
facilitis,1972,2,2
facilitis,1974,1,1
facilitis,1975,1,1
facilitis,1976,3,3
facilitis,1978,3,1
facilitis,1979,1,1
facilitis,1980,7,3
facilitis,1982,1,1
facilitis,1983,3,2
facilitis,1984,1,1
facilitis,1985,5,5
facilitis,1986,2,2
facilitis,1987,4,4
facilitis,1988,3,3
facilitis,1990,1,1
facilitis,1992,4,4
facilitis,1993,4,4
facilitis,1994,6,4
facilitis,1995,2,2
facilitis,1996,4,2
facilitis,1997,3,2
facilitis,1999,2,2
facilitis,2000,1,1
facilitis,2001,2,1
facilitis,2002,6,5
facilitis,2003,3,3
facilitis,2004,3,3
facilitis,2005,6,3
facilitis,2007,2,1
fadres,1775,2,1
fadres,1778,2,2
fadres,1781,2,2
fadres,1782,1,1
fadres,1789,2,2
fadres,1793,2,2
fadres,1794,4,1
fadres,1797,1,1
fadres,1798,28,4
fadres,1802,1,1
fadres,1803,1,1
fadres,1806,1,1
fadres,1807,1,1
fadres,1809,2,2
fadres,1811,1,1
fadres,1815,7,7
fadres,1818,5,5
fadres,1819,2,2
fadres,1822,1,1
fadres,1823,1,1
fadres,1824,2,2
fadres,1825,1,1
fadres,1829,1,1
fadres,1830,4,4
fadres,1832,4,4
fadres,1837,2,2
fadres,1841,1,1
fadres,1845,3,3
fadres,1846,3,3
fadres,1847,6,4
fadres,1848,1,1
fadres,1851,1,1
fadres,1852,7,6
fadres,1853,1,1
fadres,1857,1,1
fadres,1859,1,1
fadres,1862,16,8
fadres,1867,5,5
fadres,1869,26,12
fadres,1871,2,2
fadres,1873,5,3
fadres,1875,2,2
fadres,1876,2,1
fadres,1878,4,2
fadres,1881,2,2
fadres,1882,2,1
fadres,1883,1,1
fadres,1884,2,1
fadres,1885,4,2
fadres,1887,3,2
fadres,1888,2,1
fadres,1889,4,2
fadres,1891,4,2
fadres,1892,2,2
fadres,1893,8,4
fadres,1894,2,2
fadres,1895,1,1
fadres,1896,1,1
fadres,1897,2,2
fadres,1899,2,2
fadres,1900,2,1
fadres,1901,2,1
fadres,1902,16,6
fadres,1903,1,1
fadres,1904,3,3
fadres,1906,14,10
fadres,1907,2,2
fadres,1908,8,6
fadres,1909,6,6
fadres,1911,4,4
fadres,1912,3,2
fadres,1914,2,2
fadres,1916,1,1
fadres,1917,6,6
fadres,1918,1,1
fadres,1919,1,1
fadres,1920,7,5
fadres,1921,6,6
fadres,1922,17,11
fadres,1923,3,3
fadres,1925,6,6
fadres,1926,4,4
fadres,1927,3,3
fadres,1928,1,1
fadres,1929,10,4
fadres,1930,2,2
fadres,1931,3,3
fadres,1932,3,3
fadres,1933,3,3
fadres,1934,14,11
fadres,1935,2,2
fadres,1936,3,3
fadres,1937,4,4
fadres,1938,4,4
fadres,1939,1,1
fadres,1940,2,1
fadres,1941,4,3
fadres,1942,2,2
fadres,1943,1,1
fadres,1944,2,2
fadres,1946,1,1
fadres,1947,3,3
fadres,1948,14,14
fadres,1949,3,3
fadres,1950,1,1
fadres,1951,2,2
fadres,1952,5,3
fadres,1953,8,3
fadres,1954,1,1
fadres,1955,3,2
fadres,1956,6,6
fadres,1957,12,11
fadres,1958,3,3
fadres,1959,5,4
fadres,1960,12,10
fadres,1961,10,10
fadres,1962,5,5
fadres,1963,9,9
fadres,1964,7,6
fadres,1966,11,4
fadres,1967,14,10
fadres,1968,14,13
fadres,1969,9,9
fadres,1970,22,17
fadres,1971,7,5
fadres,1972,11,9
fadres,1973,3,3
fadres,1974,5,4
fadres,1975,8,8
fadres,1976,10,8
fadres,1977,22,14
fadres,1978,5,4
fadres,1979,13,9
fadres,1980,5,3
fadres,1981,10,7
fadres,1982,5,5
fadres,1983,6,6
fadres,1984,4,4
fadres,1985,3,3
fadres,1986,12,9
fadres,1987,3,3
fadres,1988,6,6
fadres,1989,36,18
fadres,1990,13,9
fadres,1991,17,17
fadres,1992,13,12
fadres,1993,11,8
fadres,1994,16,11
fadres,1995,24,19
fadres,1996,17,15
fadres,1997,11,9
fadres,1998,14,14
fadres,1999,9,8
fadres,2000,22,16
fadres,2001,18,16
fadres,2002,16,14
fadres,2003,28,17
fadres,2004,18,15
fadres,2005,17,11
fadres,2006,26,18
fadres,2007,48,26
fadres,2008,66,46
fagnes,1792,1,1
fagnes,1814,1,1
fagnes,1868,1,1
fagnes,1871,1,1
fagnes,1881,3,3
fagnes,1884,1,1
fagnes,1910,1,1
fagnes,1913,3,3
fagnes,1915,2,2
fagnes,1919,1,1
fagnes,1920,3,3
fagnes,1923,1,1
fagnes,1924,11,9
fagnes,1927,1,1
fagnes,1935,3,3
fagnes,1949,1,1
fagnes,1950,2,2
fagnes,1952,1,1
fagnes,1954,1,1
fagnes,1955,1,1
fagnes,1961,2,2
fagnes,1962,4,4
fagnes,1966,3,3
fagnes,1967,1,1
fagnes,1969,1,1
fagnes,1970,3,3
fagnes,1971,2,2
fagnes,1972,1,1
fagnes,1975,1,1
fagnes,1978,1,1
fagnes,1980,1,1
fagnes,1981,2,2
fagnes,1985,1,1
fagnes,1987,1,1
fagnes,1993,1,1
fagnes,1994,3,3
fagnes,1997,6,5
fagnes,1998,2,2
fagnes,1999,4,3
fagnes,2002,4,3
fagnes,2003,2,2
fagnes,2005,3,3
fagnes,2006,2,2
fagnes,2008,4,4
failu,1793,1,1
failu,1811,1,1
failu,1816,1,1
failu,1817,1,1
failu,1820,1,1
failu,1821,1,1
failu,1825,1,1
failu,1828,2,2
failu,1829,1,1
failu,1837,1,1
failu,1847,1,1
failu,1849,1,1
failu,1852,1,1
failu,1853,1,1
failu,1861,1,1
failu,1862,1,1
failu,1864,1,1
failu,1865,1,1
failu,1866,1,1
failu,1867,1,1
failu,1875,1,1
failu,1876,2,2
failu,1877,2,2
failu,1879,1,1
failu,1883,1,1
failu,1885,2,2
failu,1890,2,2
failu,1891,1,1
failu,1894,2,2
failu,1895,1,1
failu,1896,1,1
failu,1897,1,1
failu,1898,1,1
failu,1899,2,2
failu,1902,1,1
failu,1903,3,3
failu,1904,2,2
failu,1905,1,1
failu,1908,2,2
failu,1909,1,1
failu,1910,137,3
failu,1911,3,3
failu,1912,2,2
failu,1913,1,1
failu,1915,1,1
failu,1916,1,1
failu,1919,6,3
failu,1920,3,3
failu,1921,1,1
failu,1922,2,2
failu,1923,1,1
failu,1924,1,1
failu,1925,1,1
failu,1926,3,3
failu,1927,4,4
failu,1929,1,1
failu,1931,1,1
failu,1933,1,1
failu,1938,4,2
failu,1940,5,5
failu,1942,2,2
failu,1943,1,1
failu,1944,1,1
failu,1945,2,1
failu,1946,2,2
failu,1947,2,2
failu,1948,3,3
failu,1949,1,1
failu,1950,61,2
failu,1951,5,2
failu,1952,2,2
failu,1953,1,1
failu,1954,3,3
failu,1955,3,3
failu,1957,3,3
failu,1958,3,3
failu,1959,1,1
failu,1960,5,5
failu,1961,4,4
failu,1962,6,6
failu,1963,3,3
failu,1964,4,4
failu,1965,3,3
failu,1966,3,3
failu,1967,1,1
failu,1968,12,5
failu,1969,4,4
failu,1970,7,6
failu,1971,14,9
failu,1972,9,7
failu,1973,7,7
failu,1974,14,8
failu,1975,7,7
failu,1976,11,11
failu,1977,7,7
failu,1978,9,9
failu,1979,10,8
failu,1980,10,10
failu,1981,9,9
failu,1982,7,7
failu,1983,13,11
failu,1984,9,9
failu,1985,10,10
failu,1986,13,12
failu,1987,11,10
failu,1988,6,5
failu,1989,18,15
failu,1990,5,5
failu,1991,14,12
failu,1992,9,9
failu,1993,11,11
failu,1994,22,11
failu,1995,11,11
failu,1996,24,16
failu,1997,8,7
failu,1998,18,16
failu,1999,9,9
failu,2000,15,15
failu,2001,24,24
failu,2002,25,25
failu,2003,23,21
failu,2004,41,28
failu,2005,15,13
failu,2006,17,15
failu,2007,13,13
failu,2008,21,21
fairyworld,1850,1,1
fairyworld,1877,1,1
fairyworld,1891,4,4
fairyworld,1892,5,5
fairyworld,1894,1,1
fairyworld,1896,1,1
fairyworld,1900,1,1
fairyworld,1902,10,10
fairyworld,1905,1,1
fairyworld,1906,1,1
fairyworld,1907,1,1
fairyworld,1909,1,1
fairyworld,1910,11,9
fairyworld,1911,2,1
fairyworld,1913,1,1
fairyworld,1914,1,1
fairyworld,1916,1,1
fairyworld,1919,1,1
fairyworld,1922,4,4
fairyworld,1923,1,1
fairyworld,1924,1,1
fairyworld,1926,5,5
fairyworld,1930,4,4
fairyworld,1934,4,4
fairyworld,1936,2,2
fairyworld,1940,1,1
fairyworld,1942,6,6
fairyworld,1946,1,1
fairyworld,1948,3,3
fairyworld,1949,4,4
fairyworld,1951,1,1
fairyworld,1952,2,2
fairyworld,1953,1,1
fairyworld,1955,2,2
fairyworld,1956,2,2
fairyworld,1958,4,4
fairyworld,1962,2,2
fairyworld,1966,1,1
fairyworld,1967,4,4
fairyworld,1968,1,1
fairyworld,1969,3,3
fairyworld,1972,2,2
fairyworld,1974,2,2
fairyworld,1975,2,2
fairyworld,1976,1,1
fairyworld,1977,1,1
fairyworld,1979,1,1
fairyworld,1981,4,4
fairyworld,1982,1,1
fairyworld,1983,1,1
fairyworld,1984,3,3
fairyworld,1987,2,2
fairyworld,1988,1,1
fairyworld,1989,1,1
fairyworld,1992,1,1
fairyworld,1994,2,2
fairyworld,1996,2,2
fairyworld,1998,2,2
fairyworld,1999,1,1
fairyworld,2000,4,4
fairyworld,2001,2,2
fairyworld,2002,2,2
fairyworld,2003,2,1
fairyworld,2004,2,2
fairyworld,2005,2,2
fairyworld,2006,4,4
fairyworld,2007,3,3
fairyworld,2008,8,8
falsifying,1644,1,1
falsifying,1670,1,1
falsifying,1713,1,1
falsifying,1714,1,1
falsifying,1716,1,1
falsifying,1720,2,2
falsifying,1726,1,1
falsifying,1742,1,1
falsifying,1747,1,1
falsifying,1750,1,1
falsifying,1751,2,2
falsifying,1752,2,2
falsifying,1753,1,1
falsifying,1755,2,2
falsifying,1760,1,1
falsifying,1763,2,1
falsifying,1765,3,3
falsifying,1774,1,1
falsifying,1778,1,1
falsifying,1781,2,2
falsifying,1783,1,1
falsifying,1785,2,2
falsifying,1786,3,3
falsifying,1787,2,2
falsifying,1790,5,5
falsifying,1791,5,3
falsifying,1793,1,1
falsifying,1794,1,1
falsifying,1795,2,2
falsifying,1800,1,1
falsifying,1801,2,2
falsifying,1803,3,3
falsifying,1804,2,2
falsifying,1805,3,1
falsifying,1809,2,2
falsifying,1810,2,2
falsifying,1811,4,4
falsifying,1812,4,4
falsifying,1813,3,3
falsifying,1814,6,6
falsifying,1815,3,3
falsifying,1817,3,2
falsifying,1819,10,8
falsifying,1820,7,7
falsifying,1821,8,8
falsifying,1822,5,5
falsifying,1823,10,10
falsifying,1824,14,14
falsifying,1825,14,10
falsifying,1826,2,2
falsifying,1827,3,3
falsifying,1828,3,2
falsifying,1829,3,3
falsifying,1830,9,9
falsifying,1831,7,7
falsifying,1832,5,5
falsifying,1833,7,7
falsifying,1834,1,1
falsifying,1835,6,5
falsifying,1836,8,8
falsifying,1837,7,7
falsifying,1838,5,5
falsifying,1839,8,7
falsifying,1840,15,6
falsifying,1841,9,8
falsifying,1842,7,6
falsifying,1843,9,9
falsifying,1844,8,6
falsifying,1845,4,3
falsifying,1846,7,7
falsifying,1847,3,3
falsifying,1848,6,5
falsifying,1849,6,6
falsifying,1850,15,14
falsifying,1851,7,7
falsifying,1852,7,6
falsifying,1853,8,8
falsifying,1854,14,11
falsifying,1855,5,5
falsifying,1856,8,8
falsifying,1857,16,16
falsifying,1858,6,6
falsifying,1859,11,10
falsifying,1860,4,4
falsifying,1861,4,4
falsifying,1862,5,5
falsifying,1863,8,8
falsifying,1864,8,8
falsifying,1865,14,14
falsifying,1866,10,10
falsifying,1867,8,8
falsifying,1868,5,2
falsifying,1869,11,11
falsifying,1870,16,16
falsifying,1871,12,9
falsifying,1872,4,3
falsifying,1873,5,5
falsifying,1874,14,14
falsifying,1875,9,8
falsifying,1876,10,9
falsifying,1877,9,9
falsifying,1878,6,6
falsifying,1879,8,7
falsifying,1880,9,8
falsifying,1881,15,12
falsifying,1882,7,7
falsifying,1883,15,13
falsifying,1884,18,18
falsifying,1885,27,27
falsifying,1886,5,5
falsifying,1887,23,22
falsifying,1888,11,11
falsifying,1889,8,7
falsifying,1890,6,6
falsifying,1891,15,15
falsifying,1892,10,10
falsifying,1893,7,6
falsifying,1894,12,12
falsifying,1895,11,11
falsifying,1896,13,13
falsifying,1897,15,15
falsifying,1898,4,4
falsifying,1899,14,14
falsifying,1900,20,18
falsifying,1901,10,10
falsifying,1902,22,21
falsifying,1903,22,20
falsifying,1904,21,21
falsifying,1905,59,43
falsifying,1906,22,22
falsifying,1907,36,31
falsifying,1908,23,23
falsifying,1909,15,15
falsifying,1910,8,8
falsifying,1911,18,18
falsifying,1912,15,15
falsifying,1913,22,22
falsifying,1914,24,22
falsifying,1915,22,21
falsifying,1916,36,36
falsifying,1917,17,15
falsifying,1918,33,28
falsifying,1919,16,16
falsifying,1920,33,26
falsifying,1921,16,16
falsifying,1922,17,17
falsifying,1923,8,8
falsifying,1924,7,7
falsifying,1925,10,10
falsifying,1926,6,6
falsifying,1927,18,18
falsifying,1928,13,12
falsifying,1929,12,12
falsifying,1930,41,41
falsifying,1931,20,20
falsifying,1932,20,20
falsifying,1933,21,21
falsifying,1934,17,17
falsifying,1935,11,11
falsifying,1936,22,22
falsifying,1937,12,12
falsifying,1938,33,27
falsifying,1939,17,17
falsifying,1940,16,16
falsifying,1941,19,18
falsifying,1942,13,13
falsifying,1943,11,11
falsifying,1944,6,6
falsifying,1945,15,15
falsifying,1946,18,18
falsifying,1947,15,15
falsifying,1948,21,20
falsifying,1949,17,16
falsifying,1950,27,27
falsifying,1951,21,21
falsifying,1952,9,9
falsifying,1953,9,9
falsifying,1954,15,13
falsifying,1955,22,22
falsifying,1956,12,11
falsifying,1957,20,18
falsifying,1958,25,24
falsifying,1959,37,35
falsifying,1960,17,17
falsifying,1961,28,28
falsifying,1962,37,35
falsifying,1963,25,25
falsifying,1964,38,38
falsifying,1965,44,44
falsifying,1966,44,43
falsifying,1967,38,33
falsifying,1968,46,40
falsifying,1969,33,33
falsifying,1970,48,46
falsifying,1971,49,46
falsifying,1972,58,57
falsifying,1973,36,35
falsifying,1974,31,31
falsifying,1975,33,31
falsifying,1976,35,33
falsifying,1977,38,37
falsifying,1978,18,18
falsifying,1979,23,21
falsifying,1980,41,41
falsifying,1981,24,23
falsifying,1982,42,41
falsifying,1983,47,46
falsifying,1984,37,37
falsifying,1985,37,37
falsifying,1986,39,36
falsifying,1987,49,47
falsifying,1988,36,36
falsifying,1989,57,56
falsifying,1990,48,48
falsifying,1991,34,32
falsifying,1992,43,39
falsifying,1993,40,37
falsifying,1994,55,50
falsifying,1995,70,69
falsifying,1996,59,56
falsifying,1997,52,49
falsifying,1998,48,43
falsifying,1999,52,51
falsifying,2000,90,87
falsifying,2001,95,83
falsifying,2002,61,58
falsifying,2003,79,72
falsifying,2004,59,53
falsifying,2005,91,87
falsifying,2006,98,89
falsifying,2007,113,108
falsifying,2008,157,151
familas,1880,2,2
familas,1884,1,1
familas,1888,8,8
familas,1934,1,1
familas,1938,1,1
familas,1956,1,1
familas,1969,3,3
familas,1974,1,1
familas,1975,1,1
familas,1979,1,1
familas,1982,2,2
familas,1984,1,1
familas,1986,1,1
familas,1990,2,2
familas,1991,1,1
familas,1993,2,1
familas,1996,1,1
familas,1997,1,1
familas,1998,1,1
familas,2002,1,1
familas,2005,1,1
familas,2006,2,2
familas,2007,3,3
familas,2008,3,3
faminerelief,1878,2,2
faminerelief,1881,3,3
faminerelief,1882,2,2
faminerelief,1885,3,3
faminerelief,1900,4,4
faminerelief,1901,1,1
faminerelief,1903,1,1
faminerelief,1907,2,2
faminerelief,1908,3,3
faminerelief,1909,2,2
faminerelief,1910,1,1
faminerelief,1912,1,1
faminerelief,1913,4,4
faminerelief,1915,2,2
faminerelief,1917,1,1
faminerelief,1918,3,3
faminerelief,1923,2,2
faminerelief,1924,1,1
faminerelief,1925,2,2
faminerelief,1928,1,1
faminerelief,1929,1,1
faminerelief,1932,2,2
faminerelief,1933,2,2
faminerelief,1940,6,3
faminerelief,1944,1,1
faminerelief,1951,1,1
faminerelief,1953,2,2
faminerelief,1954,2,2
faminerelief,1955,1,1
faminerelief,1956,1,1
faminerelief,1957,1,1
faminerelief,1959,1,1
faminerelief,1961,4,4
faminerelief,1962,7,7
faminerelief,1963,2,2
faminerelief,1966,8,7
faminerelief,1967,1,1
faminerelief,1968,10,8
faminerelief,1969,3,3
faminerelief,1970,2,2
faminerelief,1971,1,1
faminerelief,1972,6,5
faminerelief,1973,3,3
faminerelief,1974,3,3
faminerelief,1975,10,10
faminerelief,1976,3,3
faminerelief,1978,6,6
faminerelief,1979,2,2
faminerelief,1980,2,2
faminerelief,1981,8,6
faminerelief,1982,2,2
faminerelief,1983,4,4
faminerelief,1984,4,4
faminerelief,1985,4,4
faminerelief,1986,4,4
faminerelief,1987,4,4
faminerelief,1988,3,3
faminerelief,1989,7,6
faminerelief,1990,1,1
faminerelief,1991,7,5
faminerelief,1993,6,6
faminerelief,1994,2,2
faminerelief,1995,1,1
faminerelief,1996,5,5
