word,year,count,sources
gabbit,1807,2,2
gabbit,1822,2,2
gabbit,1823,1,1
gabbit,1840,1,1
gabbit,1860,3,3
gabbit,1861,1,1
gabbit,1865,2,2
gabbit,1866,1,1
gabbit,1867,1,1
gabbit,1871,11,9
gabbit,1872,1,1
gabbit,1880,1,1
gabbit,1883,1,1
gabbit,1884,1,1
gabbit,1890,1,1
gabbit,1896,2,2
gabbit,1897,3,3
gabbit,1902,2,2
gabbit,1907,2,2
gabbit,1917,1,1
gabbit,1923,3,3
gabbit,1936,3,3
gabbit,1939,1,1
gabbit,1969,1,1
gabbit,1973,2,2
gabbit,1975,2,2
gabbit,1976,1,1
gabbit,1978,2,1
gabbit,1979,1,1
gabbit,1984,2,2
gabbit,1986,1,1
gabbit,1987,1,1
gabbit,1989,2,2
gabbit,1990,1,1
gabbit,1994,2,2
gabbit,1995,2,2
gabbit,1997,1,1
gabbit,1998,2,2
gabbit,2001,2,2
gabbit,2003,3,3
gabbit,2004,6,5
gabbit,2006,5,3
gabbit,2007,5,3
gabbit,2008,9,7
gabhira,1872,1,1
gabhira,1883,6,6
gabhira,1892,1,1
gabhira,1897,4,4
gabhira,1910,1,1
gabhira,1919,1,1
gabhira,1937,1,1
gabhira,1951,1,1
gabhira,1952,1,1
gabhira,1961,2,2
gabhira,1966,1,1
gabhira,1967,2,2
gabhira,1970,1,1
gabhira,1975,1,1
gabhira,1977,3,3
gabhira,1979,11,5
gabhira,1980,1,1
gabhira,1982,2,2
gabhira,1983,6,4
gabhira,1985,1,1
gabhira,1988,2,1
gabhira,1989,8,4
gabhira,1990,1,1
gabhira,1991,14,1
gabhira,1993,1,1
gabhira,1994,1,1
gabhira,1995,27,1
gabhira,1996,1,1
gabhira,1999,1,1
gabhira,2000,2,2
gabhira,2002,1,1
gabhira,2003,1,1
gabhira,2004,2,2
gabhira,2005,1,1
gabhira,2007,2,2
gabhira,2008,2,2
gaden,1828,1,1
gaden,1863,4,4
gaden,1871,1,1
gaden,1877,2,2
gaden,1884,1,1
gaden,1888,1,1
gaden,1889,3,3
gaden,1893,2,2
gaden,1897,4,4
gaden,1900,1,1
gaden,1906,1,1
gaden,1910,4,4
gaden,1913,16,5
gaden,1920,3,3
gaden,1921,1,1
gaden,1922,3,3
gaden,1925,1,1
gaden,1926,1,1
gaden,1928,1,1
gaden,1929,1,1
gaden,1930,2,2
gaden,1933,1,1
gaden,1934,2,2
gaden,1936,1,1
gaden,1937,13,2
gaden,1940,8,8
gaden,1941,1,1
gaden,1942,2,2
gaden,1943,2,2
gaden,1944,4,4
gaden,1945,1,1
gaden,1946,3,3
gaden,1947,9,9
gaden,1948,3,3
gaden,1949,2,1
gaden,1950,1,1
gaden,1951,6,6
gaden,1952,3,2
gaden,1953,1,1
gaden,1954,3,3
gaden,1955,4,4
gaden,1957,5,5
gaden,1958,5,5
gaden,1960,2,2
gaden,1961,2,2
gaden,1963,3,3
gaden,1964,3,2
gaden,1965,2,2
gaden,1966,5,5
gaden,1967,6,6
gaden,1968,2,2
gaden,1969,5,2
gaden,1970,1,1
gaden,1971,5,5
gaden,1972,9,8
gaden,1974,3,3
gaden,1975,1,1
gaden,1976,4,2
gaden,1977,4,2
gaden,1978,7,7
gaden,1979,3,3
gaden,1980,4,4
gaden,1981,3,3
gaden,1982,21,5
gaden,1983,9,9
gaden,1984,5,5
gaden,1985,4,3
gaden,1986,7,3
gaden,1987,15,9
gaden,1988,5,5
gaden,1989,25,7
gaden,1990,16,7
gaden,1991,7,7
gaden,1992,16,7
gaden,1993,10,4
gaden,1994,7,4
gaden,1995,18,13
gaden,1996,12,11
gaden,1997,4,4
gaden,1998,12,9
gaden,1999,14,10
gaden,2000,16,11
gaden,2001,13,7
gaden,2002,9,7
gaden,2003,38,16
gaden,2004,18,11
gaden,2005,7,6
gaden,2006,27,24
gaden,2007,10,9
gaden,2008,15,9
gadiformes,1951,1,1
gadiformes,1959,2,2
gadiformes,1962,3,3
gadiformes,1963,4,3
gadiformes,1964,1,1
gadiformes,1966,6,2
gadiformes,1967,2,1
gadiformes,1968,1,1
gadiformes,1972,1,1
gadiformes,1973,2,1
gadiformes,1974,1,1
gadiformes,1976,1,1
gadiformes,1979,2,2
gadiformes,1980,1,1
gadiformes,1984,1,1
gadiformes,1985,1,1
gadiformes,1987,3,3
gadiformes,1988,1,1
gadiformes,1991,2,2
gadiformes,1992,3,3
gadiformes,1996,1,1
gadiformes,1997,2,2
gadiformes,1999,1,1
gadiformes,2000,4,2
gadiformes,2001,1,1
gadiformes,2003,2,1
gadiformes,2004,5,4
gadiformes,2005,4,3
gadiformes,2006,4,3
gadiformes,2007,2,1
gadiformes,2008,4,2
gallantlv,1800,1,1
gallantlv,1826,2,2
gallantlv,1827,1,1
gallantlv,1835,1,1
gallantlv,1842,1,1
gallantlv,1847,1,1
gallantlv,1852,1,1
gallantlv,1853,1,1
gallantlv,1860,1,1
gallantlv,1862,1,1
gallantlv,1864,1,1
gallantlv,1866,1,1
gallantlv,1882,2,2
gallantlv,1883,3,3
gallantlv,1887,1,1
gallantlv,1888,1,1
gallantlv,1897,1,1
gallantlv,1900,1,1
gallantlv,1913,1,1
gallantlv,1914,1,1
gallantlv,1917,1,1
gallantlv,1919,1,1
gallantlv,1920,1,1
gallantlv,1939,1,1
gallantlv,1940,1,1
gallantlv,1942,1,1
gallantlv,1945,1,1
gallantlv,1960,1,1
gallantlv,1965,1,1
gallantlv,1967,1,1
gallantlv,1968,1,1
gallantlv,1969,2,2
gallantlv,1974,1,1
gallantlv,1980,1,1
gallantlv,1983,3,2
gallantlv,1986,1,1
gallantlv,1987,1,1
gallantlv,1993,1,1
gallantlv,1994,2,2
gallantlv,1995,1,1
gallantlv,1996,1,1
gallantlv,1998,2,2
gallantlv,1999,1,1
gallantlv,2000,2,2
gallantlv,2001,2,2
gallantlv,2002,4,4
gallantlv,2004,1,1
gallantlv,2006,1,1
gallantlv,2007,1,1
gallantlv,2008,1,1
ganamos,1799,2,2
ganamos,1878,1,1
ganamos,1880,1,1
ganamos,1902,1,1
ganamos,1905,4,4
ganamos,1910,1,1
ganamos,1911,3,3
ganamos,1919,1,1
ganamos,1927,1,1
ganamos,1935,1,1
ganamos,1944,1,1
ganamos,1947,1,1
ganamos,1948,1,1
ganamos,1951,1,1
ganamos,1955,1,1
ganamos,1956,1,1
ganamos,1959,5,5
ganamos,1961,13,5
ganamos,1962,3,3
ganamos,1963,3,3
ganamos,1964,1,1
ganamos,1967,6,3
ganamos,1968,2,2
ganamos,1969,1,1
ganamos,1971,5,5
ganamos,1972,3,3
ganamos,1973,4,2
ganamos,1974,3,2
ganamos,1976,4,4
ganamos,1977,3,3
ganamos,1978,5,3
ganamos,1979,2,2
ganamos,1980,3,3
ganamos,1981,9,7
ganamos,1983,5,3
ganamos,1984,5,5
ganamos,1985,5,4
ganamos,1986,2,2
ganamos,1988,1,1
ganamos,1989,4,3
ganamos,1990,2,2
ganamos,1991,2,2
ganamos,1992,3,3
ganamos,1993,17,14
ganamos,1994,12,9
ganamos,1995,5,5
ganamos,1996,13,10
ganamos,1997,8,8
ganamos,1998,8,8
ganamos,1999,6,5
ganamos,2000,5,5
ganamos,2001,9,9
ganamos,2002,15,14
ganamos,2003,24,15
ganamos,2004,15,10
ganamos,2005,12,10
ganamos,2006,45,28
ganamos,2007,28,21
ganamos,2008,8,6
ganancias,1825,19,2
ganancias,1829,1,1
ganancias,1834,1,1
ganancias,1838,3,3
ganancias,1857,8,8
ganancias,1867,9,9
ganancias,1868,5,5
ganancias,1870,3,3
ganancias,1874,3,3
ganancias,1879,1,1
ganancias,1880,2,2
ganancias,1885,5,5
ganancias,1886,6,6
ganancias,1887,4,4
ganancias,1888,2,2
ganancias,1900,7,7
ganancias,1902,3,3
ganancias,1906,25,9
ganancias,1907,5,5
ganancias,1910,1,1
ganancias,1911,1,1
ganancias,1914,3,3
ganancias,1915,1,1
ganancias,1917,3,2
ganancias,1918,2,2
ganancias,1919,7,3
ganancias,1920,5,1
ganancias,1921,2,1
ganancias,1922,8,4
ganancias,1923,1,1
ganancias,1924,4,2
ganancias,1926,10,2
ganancias,1929,5,2
ganancias,1930,1,1
ganancias,1931,2,1
ganancias,1934,1,1
ganancias,1935,3,3
ganancias,1938,1,1
ganancias,1939,3,1
ganancias,1940,1,1
ganancias,1943,20,5
ganancias,1944,2,2
ganancias,1945,3,2
ganancias,1946,1,1
ganancias,1947,4,2
ganancias,1948,3,2
ganancias,1949,5,5
ganancias,1950,3,2
ganancias,1951,9,9
ganancias,1952,2,2
ganancias,1953,2,2
ganancias,1954,10,1
ganancias,1955,12,3
ganancias,1956,1,1
ganancias,1957,2,2
ganancias,1959,1,1
ganancias,1960,45,7
ganancias,1961,1,1
ganancias,1962,1,1
ganancias,1963,5,5
ganancias,1964,7,4
ganancias,1965,19,4
ganancias,1966,8,6
ganancias,1967,7,3
ganancias,1968,1,1
ganancias,1969,63,11
ganancias,1970,7,7
ganancias,1971,7,7
ganancias,1972,3,3
ganancias,1973,5,5
ganancias,1974,2,2
ganancias,1975,11,6
ganancias,1976,22,14
ganancias,1977,44,11
ganancias,1978,7,7
ganancias,1979,14,7
ganancias,1980,17,12
ganancias,1981,27,17
ganancias,1982,5,3
ganancias,1983,12,9
ganancias,1984,14,13
ganancias,1985,17,8
ganancias,1986,13,11
ganancias,1987,26,12
ganancias,1988,20,10
ganancias,1989,17,9
ganancias,1990,26,15
ganancias,1991,19,17
ganancias,1992,24,15
ganancias,1993,59,26
ganancias,1994,27,19
ganancias,1995,9,5
ganancias,1996,38,16
ganancias,1997,64,20
ganancias,1998,23,15
ganancias,1999,28,10
ganancias,2000,27,16
ganancias,2001,30,22
ganancias,2002,23,20
ganancias,2003,113,26
ganancias,2004,13,11
ganancias,2005,85,23
ganancias,2006,96,38
ganancias,2007,37,20
ganancias,2008,26,18
gangan,1790,3,3
gangan,1792,2,2
gangan,1805,1,1
gangan,1807,2,2
gangan,1808,1,1
gangan,1809,1,1
gangan,1816,2,2
gangan,1819,2,2
gangan,1820,1,1
gangan,1822,2,1
gangan,1823,2,2
gangan,1824,1,1
gangan,1825,1,1
gangan,1828,1,1
gangan,1829,3,3
gangan,1830,2,1
gangan,1831,1,1
gangan,1833,2,2
gangan,1835,2,1
gangan,1836,4,2
gangan,1837,2,2
gangan,1839,2,2
gangan,1841,1,1
gangan,1844,2,2
gangan,1848,1,1
gangan,1849,1,1
gangan,1853,2,2
gangan,1854,1,1
gangan,1859,1,1
gangan,1860,1,1
gangan,1861,2,2
gangan,1862,1,1
gangan,1863,1,1
gangan,1867,1,1
gangan,1870,2,2
gangan,1871,6,6
gangan,1872,1,1
gangan,1875,1,1
gangan,1876,3,2
gangan,1877,1,1
gangan,1879,1,1
gangan,1880,4,4
gangan,1881,2,2
gangan,1883,3,3
gangan,1884,1,1
gangan,1887,36,9
gangan,1889,2,2
gangan,1891,5,5
gangan,1892,2,2
gangan,1893,1,1
gangan,1894,16,3
gangan,1898,1,1
gangan,1900,1,1
gangan,1905,1,1
gangan,1906,1,1
gangan,1911,4,4
gangan,1914,1,1
gangan,1918,3,3
gangan,1920,1,1
gangan,1921,1,1
gangan,1922,1,1
gangan,1923,1,1
gangan,1925,2,2
gangan,1926,1,1
gangan,1927,1,1
gangan,1928,4,4
gangan,1930,9,3
gangan,1932,5,5
gangan,1935,2,2
gangan,1936,1,1
gangan,1937,20,2
gangan,1939,13,2
gangan,1943,1,1
gangan,1945,1,1
gangan,1946,2,2
gangan,1947,1,1
gangan,1948,2,2
gangan,1953,2,2
gangan,1954,5,3
gangan,1955,5,4
gangan,1956,1,1
gangan,1957,4,3
gangan,1958,4,4
gangan,1959,14,6
gangan,1960,3,3
gangan,1961,1,1
gangan,1962,1,1
gangan,1963,5,5
gangan,1964,11,1
gangan,1965,22,15
gangan,1966,25,19
gangan,1967,8,8
gangan,1968,6,4
gangan,1969,18,7
gangan,1970,26,15
gangan,1971,14,9
gangan,1972,12,9
gangan,1973,25,12
gangan,1974,5,3
gangan,1975,19,7
gangan,1976,5,4
gangan,1977,13,8
gangan,1978,11,5
gangan,1979,11,8
gangan,1980,8,7
gangan,1981,4,4
gangan,1982,9,8
gangan,1983,16,11
gangan,1984,4,4
gangan,1985,21,14
gangan,1986,8,5
gangan,1987,36,6
gangan,1988,7,6
gangan,1989,18,8
gangan,1990,24,13
gangan,1991,18,14
gangan,1992,12,10
gangan,1993,6,5
gangan,1994,20,14
gangan,1995,24,14
gangan,1996,32,20
gangan,1997,28,19
gangan,1998,13,12
gangan,1999,19,18
gangan,2000,18,13
gangan,2001,13,12
gangan,2002,18,15
gangan,2003,33,22
gangan,2004,21,18
gangan,2005,40,18
gangan,2006,45,38
gangan,2007,54,22
gangan,2008,97,24
gansetts,1823,1,1
gansetts,1828,3,3
gansetts,1829,1,1
gansetts,1830,8,3
gansetts,1831,1,1
gansetts,1836,1,1
gansetts,1843,3,2
gansetts,1845,2,1
gansetts,1846,1,1
gansetts,1847,1,1
