word,year,count,sources
haberetur,1714,1,1
haberetur,1740,2,2
haberetur,1748,1,1
haberetur,1754,2,1
haberetur,1776,1,1
haberetur,1778,2,2
haberetur,1788,1,1
haberetur,1797,1,1
haberetur,1799,1,1
haberetur,1803,1,1
haberetur,1804,1,1
haberetur,1805,1,1
haberetur,1806,1,1
haberetur,1808,2,2
haberetur,1810,2,2
haberetur,1812,1,1
haberetur,1813,1,1
haberetur,1814,1,1
haberetur,1815,1,1
haberetur,1817,1,1
haberetur,1821,4,4
haberetur,1822,4,4
haberetur,1823,1,1
haberetur,1825,2,2
haberetur,1827,2,2
haberetur,1828,1,1
haberetur,1829,1,1
haberetur,1832,3,3
haberetur,1834,2,2
haberetur,1835,3,3
haberetur,1838,2,2
haberetur,1840,8,8
haberetur,1841,2,2
haberetur,1843,2,2
haberetur,1845,8,8
haberetur,1846,1,1
haberetur,1847,3,3
haberetur,1848,2,2
haberetur,1849,2,2
haberetur,1850,4,4
haberetur,1851,1,1
haberetur,1852,1,1
haberetur,1854,1,1
haberetur,1864,3,3
haberetur,1865,1,1
haberetur,1866,4,4
haberetur,1867,1,1
haberetur,1869,2,2
haberetur,1870,2,2
haberetur,1873,1,1
haberetur,1874,3,3
haberetur,1875,2,2
haberetur,1879,1,1
haberetur,1880,1,1
haberetur,1882,1,1
haberetur,1886,2,2
haberetur,1888,2,1
haberetur,1889,2,2
haberetur,1894,1,1
haberetur,1896,1,1
haberetur,1900,2,2
haberetur,1901,1,1
haberetur,1905,1,1
haberetur,1907,2,2
haberetur,1910,2,2
haberetur,1911,3,3
haberetur,1912,1,1
haberetur,1916,2,2
haberetur,1919,1,1
haberetur,1921,1,1
haberetur,1922,4,3
haberetur,1924,14,7
haberetur,1925,3,3
haberetur,1926,1,1
haberetur,1934,1,1
haberetur,1936,1,1
haberetur,1939,4,4
haberetur,1941,2,2
haberetur,1950,2,2
haberetur,1952,1,1
haberetur,1953,1,1
haberetur,1956,1,1
haberetur,1957,5,5
haberetur,1958,1,1
haberetur,1960,2,2
haberetur,1961,1,1
haberetur,1962,3,3
haberetur,1964,1,1
haberetur,1965,2,2
haberetur,1967,2,2
haberetur,1968,1,1
haberetur,1969,3,3
haberetur,1970,1,1
haberetur,1974,3,2
haberetur,1976,1,1
haberetur,1977,1,1
haberetur,1979,1,1
haberetur,1985,3,3
haberetur,1991,2,2
haberetur,1992,1,1
haberetur,1994,1,1
haberetur,1995,3,2
haberetur,1996,4,4
haberetur,1997,1,1
haberetur,2000,3,3
haberetur,2001,4,4
haberetur,2002,3,2
haberetur,2003,5,5
haberetur,2004,3,3
haberetur,2005,3,2
haberetur,2006,1,1
haberetur,2007,11,10
haberetur,2008,8,8
habian,1812,2,2
habian,1828,1,1
habian,1843,1,1
habian,1844,3,3
habian,1847,6,6
habian,1849,1,1
habian,1851,1,1
habian,1853,1,1
habian,1855,1,1
habian,1856,1,1
habian,1858,1,1
habian,1860,1,1
habian,1870,2,2
habian,1874,2,2
habian,1883,6,6
habian,1884,1,1
habian,1886,2,2
habian,1887,4,4
habian,1890,3,3
habian,1892,3,3
habian,1896,1,1
habian,1898,3,3
habian,1902,2,2
habian,1916,1,1
habian,1917,1,1
habian,1925,1,1
habian,1927,2,1
habian,1929,1,1
habian,1932,2,2
habian,1938,1,1
habian,1944,1,1
habian,1947,2,2
habian,1950,1,1
habian,1951,1,1
habian,1955,2,2
habian,1957,1,1
habian,1959,1,1
habian,1961,2,2
habian,1963,1,1
habian,1964,2,1
habian,1965,1,1
habian,1967,3,3
habian,1968,2,2
habian,1971,1,1
habian,1972,1,1
habian,1973,2,2
habian,1974,1,1
habian,1975,8,8
habian,1976,2,2
habian,1977,3,2
habian,1978,1,1
habian,1979,3,2
habian,1980,3,3
habian,1981,2,2
habian,1982,10,8
habian,1985,3,3
habian,1986,1,1
habian,1987,1,1
habian,1988,3,3
habian,1989,2,2
habian,1990,3,2
habian,1991,4,4
habian,1992,9,9
habian,1993,5,5
habian,1994,9,6
habian,1995,3,3
habian,1996,9,8
habian,1997,4,4
habian,1998,5,4
habian,1999,4,4
habian,2000,7,6
habian,2001,2,2
habian,2002,13,5
habian,2003,5,4
habian,2004,8,7
habian,2005,8,8
habian,2006,3,3
habian,2007,11,10
habian,2008,5,5
hability,1644,2,1
hability,1657,1,1
hability,1665,2,2
hability,1676,5,1
hability,1681,1,1
hability,1687,1,1
hability,1715,1,1
hability,1723,7,2
hability,1730,1,1
hability,1737,1,1
hability,1748,1,1
hability,1754,1,1
hability,1766,1,1
hability,1769,1,1
hability,1775,1,1
hability,1785,1,1
hability,1791,9,3
hability,1792,2,2
hability,1793,1,1
hability,1796,1,1
hability,1797,2,2
hability,1801,1,1
hability,1802,2,2
hability,1805,2,2
hability,1806,2,2
hability,1807,17,11
hability,1808,1,1
hability,1809,6,6
hability,1813,9,7
hability,1814,3,2
hability,1815,4,4
hability,1816,3,3
hability,1818,4,4
hability,1819,3,3
hability,1820,2,2
hability,1821,4,4
hability,1822,12,12
hability,1823,2,2
hability,1824,36,16
hability,1828,7,5
hability,1829,12,8
hability,1830,3,3
hability,1831,4,3
hability,1834,3,3
hability,1836,1,1
hability,1838,2,2
hability,1839,3,3
hability,1840,2,2
hability,1842,5,5
hability,1843,3,3
hability,1844,7,5
hability,1845,1,1
hability,1846,2,2
hability,1847,2,2
hability,1848,2,2
hability,1849,10,10
hability,1850,2,2
hability,1852,3,3
hability,1853,5,5
hability,1854,3,3
hability,1855,2,2
hability,1856,2,2
hability,1857,2,2
hability,1858,8,8
hability,1859,5,4
hability,1860,4,4
hability,1862,1,1
hability,1863,3,3
hability,1865,3,3
hability,1866,1,1
hability,1867,9,9
hability,1868,9,9
hability,1869,5,5
hability,1870,6,6
hability,1871,5,5
hability,1872,3,3
hability,1873,4,4
hability,1874,2,2
hability,1875,6,6
hability,1876,17,16
hability,1877,13,9
hability,1878,10,7
hability,1879,2,2
hability,1880,9,9
hability,1881,2,2
hability,1882,7,6
hability,1883,3,3
hability,1884,8,3
hability,1885,9,9
hability,1886,1,1
hability,1887,9,9
hability,1888,6,4
hability,1889,11,9
hability,1890,10,10
hability,1891,2,2
hability,1892,5,5
hability,1893,8,5
hability,1894,2,2
hability,1895,7,7
hability,1896,4,4
hability,1897,7,7
hability,1898,14,4
hability,1899,9,8
hability,1900,8,8
hability,1901,12,12
hability,1902,4,4
hability,1903,4,4
hability,1904,2,2
hability,1905,11,7
hability,1906,3,3
hability,1907,2,2
hability,1908,4,4
hability,1909,16,16
hability,1910,1,1
hability,1911,7,7
hability,1912,9,7
hability,1913,5,4
hability,1915,4,4
hability,1916,4,4
hability,1917,2,2
hability,1918,2,2
hability,1919,6,2
hability,1920,23,9
hability,1921,5,5
hability,1922,5,5
hability,1923,4,4
hability,1924,2,2
hability,1925,2,2
hability,1926,5,2
hability,1927,1,1
hability,1928,2,2
hability,1929,9,9
hability,1930,4,4
hability,1931,4,4
hability,1932,5,4
hability,1933,1,1
hability,1934,1,1
hability,1935,1,1
hability,1936,1,1
hability,1937,1,1
hability,1938,11,10
hability,1939,7,5
hability,1940,3,2
hability,1941,3,3
hability,1942,3,3
hability,1943,2,2
hability,1944,4,4
hability,1945,1,1
hability,1946,2,2
hability,1947,3,3
hability,1948,6,6
hability,1949,5,5
hability,1950,11,11
hability,1951,4,4
hability,1952,4,3
hability,1953,2,2
hability,1954,4,4
hability,1955,10,8
hability,1956,9,9
hability,1957,6,5
hability,1958,7,7
hability,1959,12,9
hability,1960,6,6
hability,1961,7,6
hability,1962,17,17
hability,1963,13,9
hability,1964,12,11
hability,1965,6,6
hability,1966,25,20
hability,1967,10,10
hability,1968,9,8
hability,1969,20,17
hability,1970,9,9
hability,1971,9,8
hability,1972,13,11
hability,1973,16,16
hability,1974,5,5
hability,1975,9,9
hability,1976,11,11
hability,1977,13,11
hability,1978,6,6
hability,1979,11,8
hability,1980,4,4
hability,1981,11,7
hability,1982,6,6
hability,1983,11,8
hability,1984,11,9
hability,1985,7,6
hability,1986,11,10
hability,1987,11,9
hability,1988,8,7
hability,1989,5,5
hability,1990,16,13
hability,1991,14,12
hability,1992,15,13
hability,1993,8,8
hability,1994,8,8
hability,1995,18,18
hability,1996,22,18
hability,1997,13,12
hability,1998,45,15
hability,1999,24,20
hability,2000,14,12
hability,2001,13,12
hability,2002,14,13
hability,2003,21,19
hability,2004,31,22
hability,2005,52,21
hability,2006,39,31
hability,2007,26,24
hability,2008,34,24
habitations,1507,4,1
habitations,1563,3,1
habitations,1579,1,1
habitations,1587,2,2
habitations,1603,1,1
habitations,1607,1,1
habitations,1610,1,1
habitations,1620,1,1
habitations,1621,1,1
habitations,1623,14,2
habitations,1624,12,1
habitations,1629,1,1
habitations,1634,12,3
habitations,1638,1,1
habitations,1644,3,1
habitations,1646,1,1
habitations,1647,1,1
habitations,1649,2,2
habitations,1653,3,3
habitations,1656,8,2
habitations,1657,1,1
habitations,1658,70,5
habitations,1659,2,1
habitations,1662,2,2
habitations,1663,1,1
habitations,1664,2,2
habitations,1667,2,2
habitations,1669,5,1
habitations,1670,3,2
habitations,1673,3,3
habitations,1674,7,1
habitations,1675,3,3
habitations,1676,4,2
habitations,1677,4,4
habitations,1678,2,2
habitations,1680,4,4
habitations,1681,5,5
habitations,1682,6,4
habitations,1683,3,3
habitations,1684,10,5
habitations,1685,5,3
habitations,1686,6,4
habitations,1688,3,3
habitations,1689,1,1
habitations,1690,1,1
habitations,1693,3,3
habitations,1694,2,2
habitations,1695,4,4
habitations,1696,2,2
habitations,1697,5,1
habitations,1698,6,3
habitations,1699,3,3
habitations,1700,8,5
habitations,1701,12,5
habitations,1702,4,4
habitations,1703,10,2
habitations,1704,7,4
habitations,1706,11,5
habitations,1707,7,3
habitations,1708,1,1
habitations,1709,2,1
habitations,1712,3,2
habitations,1713,2,2
habitations,1714,2,1
habitations,1715,2,2
habitations,1716,4,3
habitations,1717,28,9
habitations,1718,4,4
habitations,1719,9,2
habitations,1720,10,6
habitations,1721,6,2
habitations,1722,21,6
habitations,1723,10,5
habitations,1724,18,7
habitations,1725,6,3
habitations,1726,15,5
habitations,1727,11,4
habitations,1728,14,8
habitations,1729,25,6
habitations,1730,18,10
habitations,1731,12,4
habitations,1732,15,8
habitations,1733,28,4
habitations,1734,12,10
habitations,1735,7,5
habitations,1736,6,5
habitations,1737,22,13
habitations,1738,16,12
habitations,1739,6,6
habitations,1740,5,5
habitations,1741,4,4
habitations,1742,4,4
habitations,1743,6,4
habitations,1744,13,7
habitations,1745,12,8
habitations,1746,25,7
habitations,1747,58,16
habitations,1748,70,25
habitations,1749,27,18
habitations,1750,51,17
habitations,1751,83,35
habitations,1752,50,33
habitations,1753,80,35
habitations,1754,110,32
habitations,1755,72,45
habitations,1756,37,24
habitations,1757,42,26
habitations,1758,122,42
habitations,1759,129,62
habitations,1760,126,48
habitations,1761,95,50
habitations,1762,62,30
habitations,1763,182,44
habitations,1764,174,55
habitations,1765,85,38
habitations,1766,166,59
habitations,1767,178,65
habitations,1768,154,75
habitations,1769,132,53
habitations,1770,223,82
habitations,1771,103,57
habitations,1772,109,55
habitations,1773,190,59
habitations,1774,202,73
habitations,1775,213,79
habitations,1776,324,89
habitations,1777,276,88
habitations,1778,244,66
habitations,1779,157,71
habitations,1780,447,83
habitations,1781,209,61
habitations,1782,140,64
habitations,1783,310,86
habitations,1784,315,78
habitations,1785,267,97
habitations,1786,235,96
habitations,1787,512,172
habitations,1788,484,169
habitations,1789,493,182
habitations,1790,665,174
habitations,1791,451,165
habitations,1792,586,182
habitations,1793,443,164
habitations,1794,530,194
habitations,1795,431,176
habitations,1796,512,221
habitations,1797,572,205
habitations,1798,555,154
habitations,1799,543,193
habitations,1800,900,247
habitations,1801,1128,357
habitations,1802,1123,361
habitations,1803,1253,418
habitations,1804,1281,440
habitations,1805,1057,417
habitations,1806,1307,459
habitations,1807,1228,430
habitations,1808,1091,398
habitations,1809,1412,433
habitations,1810,1449,476
habitations,1811,1757,604
habitations,1812,1409,436
habitations,1813,1438,438
habitations,1814,1734,489
habitations,1815,1598,476
habitations,1816,1675,546
habitations,1817,1748,601
habitations,1818,2169,688
habitations,1819,2086,637
habitations,1820,2717,804
habitations,1821,1834,572
habitations,1822,2842,852
habitations,1823,2496,871
habitations,1824,2713,962
habitations,1825,2954,1039
habitations,1826,1989,703
habitations,1827,2484,808
habitations,1828,2360,851
habitations,1829,2904,921
habitations,1830,2964,983
habitations,1831,3443,991
habitations,1832,3092,935
habitations,1833,3152,1012
habitations,1834,2989,1003
habitations,1835,3636,1113
habitations,1836,3214,1108
habitations,1837,2951,970
habitations,1838,3149,1078
habitations,1839,2785,1088
habitations,1840,3296,1193
habitations,1841,2977,1094
habitations,1842,2414,948
habitations,1843,2856,943
habitations,1844,2771,1094
habitations,1845,3363,1156
habitations,1846,3419,1187
habitations,1847,3050,1109
habitations,1848,3039,1136
habitations,1849,3229,1232
habitations,1850,3795,1337
habitations,1851,3159,1255
habitations,1852,3749,1415
habitations,1853,4331,1581
habitations,1854,4556,1730
habitations,1855,3645,1452
habitations,1856,4040,1620
habitations,1857,3055,1334
habitations,1858,2804,1111
habitations,1859,3327,1358
habitations,1860,3074,1324
habitations,1861,2430,1010
habitations,1862,2074,899
habitations,1863,2248,860
habitations,1864,2391,1057
habitations,1865,3111,1070
habitations,1866,2678,1134
habitations,1867,2147,957
habitations,1868,2544,1063
habitations,1869,2263,1024
habitations,1870,2501,1048
habitations,1871,2616,1117
habitations,1872,2706,1108
habitations,1873,2507,1040
habitations,1874,2458,1162
habitations,1875,2634,1197
habitations,1876,3183,1310
habitations,1877,2664,1262
habitations,1878,2399,1111
habitations,1879,2255,1103
habitations,1880,3113,1405
habitations,1881,2763,1281
habitations,1882,3110,1456
habitations,1883,3548,1654
habitations,1884,2722,1509
habitations,1885,3283,1541
habitations,1886,2642,1174
habitations,1887,2704,1368
habitations,1888,2580,1273
habitations,1889,2184,1214
habitations,1890,2845,1332
habitations,1891,2747,1391
habitations,1892,3335,1569
habitations,1893,2720,1430
habitations,1894,2356,1203
habitations,1895,2493,1396
habitations,1896,2747,1544
habitations,1897,2788,1470
habitations,1898,3119,1591
habitations,1899,3422,1780
habitations,1900,3724,1881
habitations,1901,2843,1668
habitations,1902,2868,1594
habitations,1903,2882,1624
habitations,1904,3568,1923
habitations,1905,3113,1827
habitations,1906,3378,1849
habitations,1907,3786,1773
habitations,1908,2923,1681
habitations,1909,3235,1652
habitations,1910,2956,1596
habitations,1911,2566,1526
habitations,1912,3141,1654
habitations,1913,2388,1396
habitations,1914,2427,1405
habitations,1915,2088,1230
habitations,1916,1659,979
habitations,1917,1842,1140
habitations,1918,1586,1002
habitations,1919,2181,1079
habitations,1920,2431,1286
habitations,1921,1675,1024
habitations,1922,2546,1390
habitations,1923,1850,1191
habitations,1924,1769,1021
habitations,1925,2034,1103
habitations,1926,1941,1062
habitations,1927,2005,1194
habitations,1928,2295,1228
habitations,1929,1957,1138
habitations,1930,1846,1080
habitations,1931,1866,1034
habitations,1932,1476,833
habitations,1933,1133,756
habitations,1934,1323,865
habitations,1935,1706,1004
habitations,1936,1443,894
habitations,1937,1698,956
habitations,1938,1490,828
habitations,1939,1439,864
habitations,1940,1512,808
habitations,1941,1106,659
habitations,1942,1244,612
habitations,1943,1021,562
habitations,1944,800,482
habitations,1945,930,605
habitations,1946,1394,752
habitations,1947,1509,944
habitations,1948,1564,985
habitations,1949,1742,969
habitations,1950,1614,1013
habitations,1951,1707,914
habitations,1952,1821,1006
habitations,1953,1597,866
habitations,1954,1667,999
habitations,1955,1818,939
habitations,1956,1781,1024
habitations,1957,1701,1047
habitations,1958,1865,1038
habitations,1959,2282,1114
habitations,1960,2144,1226
habitations,1961,2183,1301
habitations,1962,2660,1523
habitations,1963,2820,1570
habitations,1964,2620,1514
habitations,1965,3425,1788
habitations,1966,3316,1821
habitations,1967,3778,2042
habitations,1968,4718,2261
habitations,1969,4486,2353
habitations,1970,4483,2203
habitations,1971,3908,2062
habitations,1972,3551,2027
habitations,1973,3206,1837
habitations,1974,2892,1705
habitations,1975,2683,1653
habitations,1976,2849,1712
habitations,1977,3173,1773
habitations,1978,2754,1643
habitations,1979,2696,1597
habitations,1980,2362,1419
habitations,1981,2522,1475
habitations,1982,2385,1427
habitations,1983,2568,1442
habitations,1984,3317,1601
habitations,1985,2978,1500
habitations,1986,2913,1610
habitations,1987,2740,1659
habitations,1988,2862,1708
habitations,1989,2872,1734
habitations,1990,3345,1844
habitations,1991,3206,1728
habitations,1992,3166,1929
habitations,1993,3099,1933
habitations,1994,3479,1995
habitations,1995,3407,2013
habitations,1996,4102,2259
habitations,1997,3717,2156
habitations,1998,3709,2181
habitations,1999,5565,2594
habitations,2000,5855,2887
habitations,2001,5370,2948
habitations,2002,4897,2788
habitations,2003,6878,3711
habitations,2004,9244,4790
habitations,2005,7246,3872
habitations,2006,10181,5268
habitations,2007,12096,6162
habitations,2008,26567,14129
habituates,1741,1,1
habituates,1773,1,1
habituates,1798,2,2
habituates,1800,1,1
habituates,1802,2,2
habituates,1803,1,1
habituates,1815,1,1
habituates,1828,1,1
habituates,1833,1,1
habituates,1834,1,1
habituates,1837,1,1
habituates,1864,1,1
habituates,1878,3,3
habituates,1880,4,2
habituates,1885,1,1
habituates,1897,1,1
habituates,1898,1,1
