word,year,count,sources
ibices,1684,1,1
ibices,1718,1,1
ibices,1720,1,1
ibices,1753,2,2
ibices,1760,1,1
ibices,1780,1,1
ibices,1785,2,1
ibices,1791,3,3
ibices,1795,1,1
ibices,1796,1,1
ibices,1801,4,4
ibices,1802,1,1
ibices,1803,1,1
ibices,1804,1,1
ibices,1805,2,2
ibices,1806,1,1
ibices,1807,1,1
ibices,1808,5,5
ibices,1809,1,1
ibices,1810,1,1
ibices,1812,1,1
ibices,1813,1,1
ibices,1814,1,1
ibices,1815,3,3
ibices,1816,2,2
ibices,1817,1,1
ibices,1818,2,2
ibices,1820,1,1
ibices,1821,3,2
ibices,1822,1,1
ibices,1823,1,1
ibices,1824,1,1
ibices,1828,9,6
ibices,1829,1,1
ibices,1830,2,1
ibices,1832,2,2
ibices,1833,1,1
ibices,1834,1,1
ibices,1835,1,1
ibices,1838,1,1
ibices,1840,6,4
ibices,1841,4,2
ibices,1843,3,3
ibices,1845,1,1
ibices,1847,1,1
ibices,1852,1,1
ibices,1854,1,1
ibices,1855,1,1
ibices,1856,1,1
ibices,1858,2,1
ibices,1859,2,2
ibices,1860,2,2
ibices,1861,1,1
ibices,1864,1,1
ibices,1865,5,5
ibices,1866,1,1
ibices,1867,2,2
ibices,1868,4,4
ibices,1870,4,4
ibices,1871,1,1
ibices,1873,1,1
ibices,1875,3,3
ibices,1876,4,4
ibices,1877,2,2
ibices,1880,1,1
ibices,1881,3,3
ibices,1882,3,3
ibices,1883,1,1
ibices,1884,1,1
ibices,1886,1,1
ibices,1887,1,1
ibices,1889,1,1
ibices,1891,2,2
ibices,1893,2,1
ibices,1896,1,1
ibices,1897,2,2
ibices,1898,2,2
ibices,1899,2,2
ibices,1900,10,6
ibices,1901,1,1
ibices,1902,2,2
ibices,1903,2,2
ibices,1906,2,2
ibices,1911,2,2
ibices,1912,1,1
ibices,1915,1,1
ibices,1916,2,2
ibices,1917,1,1
ibices,1919,1,1
ibices,1920,5,5
ibices,1921,2,2
ibices,1927,1,1
ibices,1929,2,2
ibices,1930,2,2
ibices,1932,1,1
ibices,1935,3,2
ibices,1938,2,2
ibices,1941,4,4
ibices,1947,1,1
ibices,1949,3,3
ibices,1951,1,1
ibices,1954,1,1
ibices,1956,1,1
ibices,1957,2,2
ibices,1958,2,2
ibices,1960,2,2
ibices,1961,2,2
ibices,1962,3,3
ibices,1963,3,3
ibices,1965,1,1
ibices,1966,2,2
ibices,1967,3,2
ibices,1968,1,1
ibices,1969,2,2
ibices,1971,1,1
ibices,1972,1,1
ibices,1974,1,1
ibices,1975,3,3
ibices,1976,1,1
ibices,1977,3,3
ibices,1978,2,2
ibices,1979,2,2
ibices,1980,8,3
ibices,1981,1,1
ibices,1983,6,6
ibices,1984,1,1
ibices,1985,3,2
ibices,1986,5,5
ibices,1987,9,6
ibices,1988,3,3
ibices,1989,1,1
ibices,1990,1,1
ibices,1991,1,1
ibices,1992,8,6
ibices,1993,7,6
ibices,1994,6,3
ibices,1995,4,4
ibices,1996,1,1
ibices,1997,4,3
ibices,1998,6,6
ibices,1999,2,2
ibices,2000,9,7
ibices,2001,7,7
ibices,2002,9,9
ibices,2003,6,6
ibices,2004,5,5
ibices,2005,13,9
ibices,2006,8,8
ibices,2007,10,9
ibices,2008,10,10
icechisels,1828,1,1
icechisels,1846,2,1
icechisels,1849,1,1
icechisels,1850,1,1
icechisels,1851,1,1
icechisels,1854,1,1
icechisels,1860,1,1
icechisels,1863,10,10
icechisels,1865,1,1
icechisels,1873,1,1
icechisels,1890,1,1
icechisels,1906,3,3
icechisels,1911,3,3
icechisels,1933,1,1
icechisels,1958,2,2
icechisels,1959,2,2
icechisels,1961,2,2
icechisels,1972,1,1
icechisels,1973,1,1
icechisels,1993,1,1
icechisels,2002,1,1
icechisels,2003,2,2
icechisels,2008,1,1
iceshelf,1910,1,1
iceshelf,1911,2,2
iceshelf,1914,1,1
iceshelf,1915,19,10
iceshelf,1919,1,1
iceshelf,1932,2,2
iceshelf,1937,1,1
iceshelf,1947,1,1
iceshelf,1948,1,1
iceshelf,1952,1,1
iceshelf,1956,5,2
iceshelf,1957,6,5
iceshelf,1959,1,1
iceshelf,1961,3,3
iceshelf,1962,3,2
iceshelf,1963,5,2
iceshelf,1964,5,4
iceshelf,1965,2,2
iceshelf,1966,2,2
iceshelf,1967,2,1
iceshelf,1969,7,5
iceshelf,1971,1,1
iceshelf,1973,2,2
iceshelf,1975,3,3
iceshelf,1976,1,1
iceshelf,1977,2,2
iceshelf,1978,1,1
iceshelf,1980,2,2
iceshelf,1981,3,1
iceshelf,1982,6,5
iceshelf,1983,3,3
iceshelf,1984,4,3
iceshelf,1985,1,1
iceshelf,1986,3,3
iceshelf,1987,4,4
iceshelf,1988,5,5
iceshelf,1989,5,5
iceshelf,1990,3,3
iceshelf,1991,3,3
iceshelf,1992,64,64
iceshelf,1993,14,6
iceshelf,1994,4,2
iceshelf,1995,5,5
iceshelf,1996,4,3
iceshelf,1997,5,4
iceshelf,1998,3,3
iceshelf,1999,7,7
iceshelf,2000,3,2
iceshelf,2001,8,5
iceshelf,2002,6,6
iceshelf,2003,3,1
iceshelf,2004,5,4
iceshelf,2005,3,2
iceshelf,2006,8,8
iceshelf,2007,12,10
iceshelf,2008,3,3
ichnotaxonomy,1986,2,2
ichnotaxonomy,1990,9,2
ichnotaxonomy,1991,3,1
ichnotaxonomy,1995,2,2
ichnotaxonomy,1996,8,2
ichnotaxonomy,1997,12,3
ichnotaxonomy,1998,2,2
ichnotaxonomy,1999,6,3
ichnotaxonomy,2000,9,2
ichnotaxonomy,2001,25,2
ichnotaxonomy,2002,2,2
ichnotaxonomy,2003,8,2
ichnotaxonomy,2004,16,3
ichnotaxonomy,2005,1,1
ichnotaxonomy,2006,5,4
ichnotaxonomy,2007,30,7
ichnotaxonomy,2008,7,1
icnocuicatl,1962,4,2
icnocuicatl,1966,2,1
icnocuicatl,1975,1,1
icnocuicatl,1977,3,3
icnocuicatl,1980,4,4
icnocuicatl,1982,2,2
icnocuicatl,1983,4,2
icnocuicatl,1985,30,5
icnocuicatl,1986,2,1
icnocuicatl,1987,2,2
icnocuicatl,1992,14,6
icnocuicatl,1993,3,3
icnocuicatl,1994,4,1
icnocuicatl,1996,1,1
icnocuicatl,1998,2,2
icnocuicatl,1999,5,4
icnocuicatl,2000,4,1
icnocuicatl,2001,4,3
icnocuicatl,2002,2,1
icnocuicatl,2004,10,4
icnocuicatl,2005,3,3
icnocuicatl,2006,6,2
icnocuicatl,2007,6,2
icnocuicatl,2008,15,2
iconomachy,1847,1,1
iconomachy,1850,1,1
iconomachy,1855,5,5
iconomachy,1856,24,24
iconomachy,1857,2,2
iconomachy,1858,6,6
iconomachy,1861,2,2
iconomachy,1864,4,4
iconomachy,1867,1,1
iconomachy,1868,16,2
iconomachy,1870,4,4
iconomachy,1871,2,2
iconomachy,1875,3,3
iconomachy,1877,1,1
iconomachy,1879,3,3
iconomachy,1880,3,3
iconomachy,1883,8,7
iconomachy,1888,1,1
iconomachy,1889,1,1
iconomachy,1892,2,2
iconomachy,1898,10,9
iconomachy,1900,18,18
iconomachy,1901,3,3
iconomachy,1902,1,1
iconomachy,1906,7,7
iconomachy,1908,4,2
iconomachy,1909,3,3
iconomachy,1913,2,2
iconomachy,1925,1,1
iconomachy,1929,2,2
iconomachy,1930,2,2
iconomachy,1950,1,1
iconomachy,1957,1,1
iconomachy,1958,1,1
iconomachy,1962,1,1
iconomachy,1963,4,2
iconomachy,1964,7,5
iconomachy,1967,1,1
iconomachy,1972,2,2
iconomachy,1973,3,3
iconomachy,1975,2,2
iconomachy,1980,1,1
iconomachy,1982,1,1
iconomachy,1984,7,2
iconomachy,1985,1,1
iconomachy,1987,2,2
iconomachy,1988,18,2
iconomachy,1989,2,2
iconomachy,1993,4,2
iconomachy,1994,2,2
iconomachy,1995,2,2
iconomachy,1996,2,1
iconomachy,1997,21,13
iconomachy,1998,2,1
iconomachy,1999,1,1
iconomachy,2000,1,1
iconomachy,2001,4,4
iconomachy,2002,11,7
iconomachy,2003,12,6
iconomachy,2004,5,4
iconomachy,2005,3,2
iconomachy,2006,13,9
iconomachy,2007,6,4
iconomachy,2008,9,6
icrifices,1724,1,1
icrifices,1737,1,1
icrifices,1807,1,1
icrifices,1810,1,1
icrifices,1834,1,1
icrifices,1844,1,1
icrifices,1846,1,1
icrifices,1854,1,1
icrifices,1859,1,1
icrifices,1861,1,1
icrifices,1862,1,1
icrifices,1869,1,1
icrifices,1871,3,3
icrifices,1882,1,1
icrifices,1890,1,1
icrifices,1897,1,1
icrifices,1931,1,1
icrifices,1935,1,1
icrifices,1944,1,1
icrifices,1946,2,2
icrifices,1950,1,1
icrifices,1954,1,1
icrifices,1956,1,1
icrifices,1957,2,2
icrifices,1958,1,1
icrifices,1960,1,1
icrifices,1963,3,2
icrifices,1964,1,1
icrifices,1965,1,1
icrifices,1966,2,2
icrifices,1968,1,1
icrifices,1970,1,1
icrifices,1971,1,1
icrifices,1973,1,1
icrifices,1976,1,1
icrifices,1977,2,2
icrifices,1981,1,1
icrifices,1984,1,1
icrifices,1985,3,3
icrifices,1987,1,1
icrifices,1991,1,1
icrifices,1992,1,1
icrifices,1993,2,2
icrifices,1994,2,1
icrifices,1997,1,1
icrifices,1998,2,2
icrifices,1999,1,1
icrifices,2001,1,1
icrifices,2004,1,1
icrifices,2007,1,1
icti,1763,1,1
icti,1789,1,1
icti,1809,1,1
icti,1813,1,1
icti,1828,1,1
icti,1829,1,1
icti,1835,1,1
icti,1863,1,1
icti,1871,1,1
icti,1872,1,1
icti,1873,1,1
icti,1874,1,1
icti,1878,1,1
icti,1884,1,1
icti,1892,2,1
icti,1894,1,1
icti,1902,1,1
icti,1904,1,1
icti,1908,1,1
icti,1912,1,1
icti,1913,1,1
icti,1917,1,1
icti,1918,1,1
icti,1922,1,1
icti,1935,1,1
icti,1938,1,1
