word,year,count,sources
jabberers,1819,2,1
jabberers,1822,1,1
jabberers,1827,3,3
jabberers,1833,1,1
jabberers,1843,1,1
jabberers,1848,4,4
jabberers,1852,1,1
jabberers,1854,1,1
jabberers,1855,1,1
jabberers,1856,2,2
jabberers,1858,2,2
jabberers,1859,1,1
jabberers,1862,2,1
jabberers,1865,2,1
jabberers,1867,1,1
jabberers,1871,14,10
jabberers,1872,1,1
jabberers,1873,2,2
jabberers,1877,2,2
jabberers,1883,4,4
jabberers,1887,3,3
jabberers,1888,4,2
jabberers,1889,4,4
jabberers,1890,5,5
jabberers,1891,2,2
jabberers,1892,5,3
jabberers,1893,3,2
jabberers,1894,8,8
jabberers,1895,12,12
jabberers,1896,12,12
jabberers,1897,6,5
jabberers,1898,2,1
jabberers,1899,15,13
jabberers,1900,2,2
jabberers,1901,6,6
jabberers,1902,3,2
jabberers,1903,9,5
jabberers,1904,1,1
jabberers,1905,6,3
jabberers,1906,14,12
jabberers,1907,1,1
jabberers,1909,7,6
jabberers,1910,7,7
jabberers,1911,4,4
jabberers,1912,7,6
jabberers,1913,1,1
jabberers,1915,14,11
jabberers,1916,10,10
jabberers,1917,4,4
jabberers,1918,2,2
jabberers,1919,11,11
jabberers,1920,9,9
jabberers,1921,5,4
jabberers,1922,3,3
jabberers,1923,3,3
jabberers,1924,3,2
jabberers,1925,3,3
jabberers,1926,7,6
jabberers,1927,4,4
jabberers,1928,2,2
jabberers,1929,2,2
jabberers,1930,5,5
jabberers,1931,5,5
jabberers,1932,1,1
jabberers,1933,5,5
jabberers,1934,10,10
jabberers,1935,10,9
jabberers,1936,5,5
jabberers,1937,7,6
jabberers,1938,7,7
jabberers,1939,9,9
jabberers,1940,9,9
jabberers,1941,6,5
jabberers,1942,3,3
jabberers,1943,3,3
jabberers,1944,2,2
jabberers,1945,6,6
jabberers,1946,5,5
jabberers,1947,3,3
jabberers,1948,6,6
jabberers,1949,1,1
jabberers,1950,9,9
jabberers,1951,12,12
jabberers,1952,4,4
jabberers,1953,9,7
jabberers,1954,2,2
jabberers,1955,4,4
jabberers,1956,5,3
jabberers,1957,5,5
jabberers,1958,2,2
jabberers,1959,3,3
jabberers,1960,3,3
jabberers,1961,4,4
jabberers,1962,5,5
jabberers,1963,16,12
jabberers,1964,10,7
jabberers,1965,19,18
jabberers,1966,6,6
jabberers,1967,2,1
jabberers,1968,7,5
jabberers,1969,5,5
jabberers,1970,11,10
jabberers,1971,16,15
jabberers,1972,6,6
jabberers,1973,25,19
jabberers,1974,4,4
jabberers,1975,6,6
jabberers,1976,3,3
jabberers,1977,6,5
jabberers,1978,2,2
jabberers,1979,9,9
jabberers,1980,4,4
jabberers,1981,6,6
jabberers,1982,8,6
jabberers,1983,6,6
jabberers,1984,10,7
jabberers,1985,12,12
jabberers,1986,8,8
jabberers,1987,6,6
jabberers,1988,5,5
jabberers,1989,6,6
jabberers,1990,3,3
jabberers,1991,8,8
jabberers,1992,4,4
jabberers,1993,9,9
jabberers,1994,6,6
jabberers,1995,14,13
jabberers,1996,8,8
jabberers,1997,8,8
jabberers,1998,8,8
jabberers,1999,14,13
jabberers,2000,9,8
jabberers,2001,6,4
jabberers,2002,7,7
jabberers,2003,7,7
jabberers,2004,17,16
jabberers,2005,18,16
jabberers,2006,20,18
jabberers,2007,30,24
jabberers,2008,38,38
jabbin,1843,4,4
jabbin,1846,1,1
jabbin,1903,9,9
jabbin,1911,2,2
jabbin,1917,4,4
jabbin,1928,1,1
jabbin,1929,1,1
jabbin,1938,1,1
jabbin,1941,1,1
jabbin,1943,1,1
jabbin,1965,4,2
jabbin,1966,2,2
jabbin,1969,1,1
jabbin,1970,1,1
jabbin,1973,1,1
jabbin,1975,2,1
jabbin,1982,2,1
jabbin,1983,2,2
jabbin,1985,1,1
jabbin,1999,1,1
jabbin,2002,3,3
jabbin,2005,2,2
jabbin,2006,2,2
jabbin,2007,7,7
jabbin,2008,12,12
jacketlike,1933,1,1
jacketlike,1936,1,1
jacketlike,1940,1,1
jacketlike,1947,1,1
jacketlike,1949,1,1
jacketlike,1950,1,1
jacketlike,1951,2,2
jacketlike,1978,1,1
jacketlike,1979,1,1
jacketlike,1980,1,1
jacketlike,1981,1,1
jacketlike,1982,1,1
jacketlike,1983,3,3
jacketlike,1985,1,1
jacketlike,1986,1,1
jacketlike,1987,1,1
jacketlike,1988,3,3
jacketlike,1991,3,3
jacketlike,1992,1,1
jacketlike,1994,1,1
jacketlike,1995,6,6
jacketlike,1996,5,3
jacketlike,1997,1,1
jacketlike,1998,4,4
jacketlike,2000,1,1
jacketlike,2001,1,1
jacketlike,2003,6,6
jacketlike,2004,1,1
jacketlike,2005,2,2
jacketlike,2006,1,1
jacketlike,2008,1,1
jalth,1804,1,1
jalth,1858,1,1
jalth,1865,3,3
jalth,1883,1,1
jalth,1888,1,1
jalth,1895,1,1
jalth,1897,2,2
jalth,1916,1,1
jalth,1926,1,1
jalth,1932,1,1
jalth,1957,1,1
jalth,1959,1,1
jalth,1960,1,1
jalth,1962,1,1
jalth,1963,1,1
jalth,1968,1,1
jalth,1974,1,1
jalth,1976,1,1
jalth,1978,1,1
jalth,1979,1,1
jalth,1980,2,2
jalth,1982,1,1
jalth,1984,1,1
jalth,1985,1,1
jalth,1989,3,3
jalth,1990,2,2
jalth,1992,1,1
jalth,1993,1,1
jalth,1996,1,1
jalth,2000,1,1
jalth,2001,1,1
jalth,2002,1,1
jalth,2004,2,2
jalth,2006,1,1
jalth,2007,2,2
jalth,2008,3,3
jargonesque,1961,7,7
jargonesque,1962,1,1
jargonesque,1971,3,3
jargonesque,1972,2,2
jargonesque,1974,2,2
jargonesque,1977,1,1
jargonesque,1981,1,1
jargonesque,1982,5,5
jargonesque,1983,2,2
jargonesque,1984,1,1
jargonesque,1985,2,2
jargonesque,1986,4,4
jargonesque,1988,1,1
jargonesque,1989,1,1
jargonesque,1990,1,1
jargonesque,1993,2,2
jargonesque,1994,2,2
jargonesque,1995,2,2
jargonesque,1997,2,2
jargonesque,1998,4,4
jargonesque,1999,5,5
jargonesque,2001,2,2
jargonesque,2002,4,4
jargonesque,2003,1,1
jargonesque,2004,2,2
jargonesque,2006,1,1
jargonesque,2008,1,1
jball,1681,1,1
jball,1685,1,1
jball,1704,1,1
jball,1708,1,1
jball,1709,1,1
jball,1714,2,2
jball,1717,2,2
jball,1718,1,1
jball,1720,1,1
jball,1721,1,1
jball,1722,1,1
jball,1726,2,2
jball,1733,1,1
jball,1735,1,1
jball,1738,1,1
jball,1739,1,1
jball,1741,1,1
jball,1743,3,3
jball,1750,1,1
jball,1763,1,1
jball,1765,1,1
jball,1766,1,1
jball,1768,1,1
jball,1771,1,1
jball,1779,1,1
jball,1780,1,1
jball,1793,1,1
jball,1796,1,1
jball,1802,1,1
jball,1853,1,1
jball,1862,2,2
jball,1968,1,1
jball,1969,1,1
jball,1973,1,1
jball,1982,2,2
jball,1993,1,1
jball,2000,1,1
jball,2001,2,2
jball,2002,1,1
jball,2003,1,1
jeconomy,1811,1,1
jeconomy,1892,1,1
jeconomy,1909,1,1
jeconomy,1913,1,1
jeconomy,1931,1,1
jeconomy,1939,1,1
jeconomy,1943,1,1
jeconomy,1946,1,1
jeconomy,1952,2,2
jeconomy,1959,1,1
jeconomy,1960,1,1
jeconomy,1962,3,3
jeconomy,1963,1,1
jeconomy,1964,1,1
jeconomy,1965,1,1
jeconomy,1966,1,1
jeconomy,1967,1,1
jeconomy,1969,2,2
jeconomy,1970,1,1
jeconomy,1971,2,2
jeconomy,1972,1,1
jeconomy,1974,2,2
jeconomy,1977,1,1
jeconomy,1978,1,1
jeconomy,1982,1,1
jeconomy,1984,2,2
jeconomy,1985,3,3
jeconomy,1987,2,2
jeconomy,1988,1,1
jeconomy,1990,1,1
jeconomy,1997,1,1
jiind,1733,1,1
jiind,1803,1,1
jiind,1817,1,1
jiind,1820,1,1
jiind,1842,1,1
jiind,1845,1,1
jiind,1850,2,2
jiind,1854,1,1
jiind,1860,1,1
jiind,1868,1,1
jiind,1872,1,1
jiind,1873,1,1
jiind,1876,1,1
jiind,1877,2,2
jiind,1883,1,1
jiind,1884,1,1
jiind,1885,1,1
jiind,1890,2,2
jiind,1892,1,1
jiind,1898,1,1
jiind,1899,1,1
jiind,1901,1,1
jiind,1952,1,1
jiind,1954,1,1
jiind,1970,2,2
jiind,1972,1,1
jiind,1978,1,1
jiind,1979,1,1
jiind,1985,2,2
jiind,1988,1,1
jiind,1989,1,1
jiind,1993,2,2
jiind,1996,1,1
jiind,2003,1,1
jiind,2004,1,1
jiind,2008,2,2
jines,1708,1,1
jines,1738,1,1
jines,1754,1,1
jines,1763,1,1
jines,1769,1,1
jines,1772,1,1
jines,1785,1,1
jines,1786,1,1
jines,1788,1,1
jines,1793,2,2
jines,1798,2,1
jines,1800,1,1
jines,1801,1,1
jines,1802,2,2
jines,1803,1,1
jines,1805,1,1
jines,1806,1,1
jines,1807,1,1
jines,1808,2,2
jines,1810,2,2
jines,1813,1,1
jines,1814,1,1
jines,1816,1,1
jines,1818,3,3
jines,1819,3,2
jines,1820,4,4
jines,1822,1,1
jines,1823,2,2
jines,1824,3,3
jines,1825,1,1
jines,1826,1,1
jines,1829,2,2
jines,1830,1,1
jines,1831,1,1
jines,1835,1,1
jines,1841,2,2
jines,1842,1,1
jines,1843,1,1
jines,1849,1,1
jines,1852,4,4
jines,1855,2,2
jines,1857,1,1
jines,1863,1,1
jines,1864,3,3
jines,1866,2,2
jines,1870,2,2
jines,1872,1,1
jines,1873,1,1
jines,1875,2,2
jines,1876,1,1
jines,1877,5,5
jines,1878,1,1
jines,1879,1,1
jines,1882,3,3
jines,1883,1,1
jines,1885,2,2
jines,1886,2,2
jines,1887,10,10
jines,1888,1,1
jines,1889,1,1
jines,1890,1,1
jines,1891,2,2
jines,1892,2,2
jines,1893,2,2
jines,1895,1,1
jines,1896,4,4
jines,1897,1,1
jines,1898,6,6
jines,1899,9,9
jines,1900,3,3
jines,1901,1,1
jines,1902,2,2
jines,1903,1,1
jines,1904,1,1
jines,1905,2,2
jines,1907,4,3
jines,1908,2,2
jines,1910,8,8
jines,1911,7,6
jines,1912,1,1
jines,1913,5,5
jines,1914,1,1
jines,1915,3,3
jines,1916,2,2
jines,1917,7,7
jines,1918,1,1
jines,1919,4,4
jines,1920,1,1
jines,1921,4,4
jines,1922,3,3
jines,1923,5,5
jines,1924,5,5
jines,1925,3,3
jines,1927,4,4
jines,1929,2,2
jines,1930,6,5
jines,1932,2,2
jines,1933,1,1
jines,1934,1,1
jines,1935,5,5
jines,1939,1,1
jines,1940,3,3
jines,1941,1,1
jines,1942,5,5
jines,1943,3,3
jines,1944,6,6
jines,1945,1,1
jines,1946,1,1
jines,1948,2,2
jines,1950,1,1
jines,1951,4,2
jines,1952,1,1
jines,1953,2,2
jines,1954,2,2
jines,1955,4,4
jines,1956,4,3
jines,1957,3,3
jines,1958,3,3
jines,1959,1,1
jines,1960,3,3
jines,1961,2,2
jines,1962,2,2
jines,1963,2,2
jines,1964,1,1
jines,1965,2,2
jines,1966,3,3
jines,1967,9,9
jines,1968,8,8
jines,1969,3,3
jines,1970,4,4
jines,1971,2,2
jines,1972,4,4
jines,1973,4,4
jines,1974,2,2
jines,1975,4,4
jines,1976,4,4
jines,1977,6,6
jines,1978,2,2
jines,1979,8,8
jines,1980,2,2
jines,1981,4,4
jines,1983,5,5
jines,1984,6,6
jines,1985,6,5
jines,1986,6,6
jines,1987,3,3
jines,1988,4,3
jines,1990,4,4
jines,1991,4,4
jines,1992,3,3
jines,1993,3,3
jines,1995,5,5
jines,1996,9,9
jines,1997,4,4
jines,1998,3,3
jines,1999,8,8
jines,2000,3,3
jines,2001,8,8
jines,2002,9,9
jines,2003,11,11
jines,2004,15,14
jines,2005,12,12
jines,2006,9,9
jines,2007,13,13
jines,2008,32,32
