word,year,count,sources
kafedra,1946,1,1
kafedra,1957,9,5
kafedra,1958,2,1
kafedra,1959,1,1
kafedra,1960,4,1
kafedra,1962,11,6
kafedra,1963,4,4
kafedra,1964,1,1
kafedra,1965,2,2
kafedra,1966,1,1
kafedra,1967,36,4
kafedra,1968,20,3
kafedra,1969,6,2
kafedra,1970,1,1
kafedra,1972,13,7
kafedra,1974,15,2
kafedra,1975,5,3
kafedra,1976,1,1
kafedra,1977,4,2
kafedra,1978,15,2
kafedra,1979,6,4
kafedra,1980,4,4
kafedra,1981,9,3
kafedra,1982,1,1
kafedra,1984,7,7
kafedra,1986,1,1
kafedra,1987,1,1
kafedra,1988,10,7
kafedra,1989,1,1
kafedra,1990,5,3
kafedra,1991,11,8
kafedra,1992,8,5
kafedra,1993,9,6
kafedra,1994,4,2
kafedra,1995,4,2
kafedra,1996,50,2
kafedra,1997,9,2
kafedra,1998,2,2
kafedra,1999,7,4
kafedra,2000,11,8
kafedra,2001,2,1
kafedra,2002,5,4
kafedra,2003,6,3
kafedra,2004,7,3
kafedra,2005,4,3
kafedra,2006,4,3
kafedra,2007,4,3
kahki,1902,2,2
kahki,1903,3,3
kahki,1904,3,1
kahki,1908,3,3
kahki,1910,15,4
kahki,1912,13,8
kahki,1915,3,3
kahki,1916,4,2
kahki,1917,5,5
kahki,1918,3,3
kahki,1919,4,4
kahki,1927,3,3
kahki,1928,1,1
kahki,1929,2,2
kahki,1930,1,1
kahki,1931,1,1
kahki,1933,2,2
kahki,1935,2,2
kahki,1938,1,1
kahki,1939,1,1
kahki,1940,2,2
kahki,1941,6,6
kahki,1943,2,2
kahki,1944,1,1
kahki,1945,1,1
kahki,1946,5,5
kahki,1949,1,1
kahki,1951,1,1
kahki,1952,1,1
kahki,1971,1,1
kahki,1972,1,1
kahki,1976,1,1
kahki,1978,1,1
kahki,1979,1,1
kahki,1981,2,2
kahki,1982,1,1
kahki,1983,2,2
kahki,1984,1,1
kahki,1986,4,4
kahki,1987,4,4
kahki,1988,2,2
kahki,1989,2,2
kahki,1990,2,2
kahki,1991,1,1
kahki,1993,1,1
kahki,1994,2,1
kahki,1995,1,1
kahki,1997,2,2
kahki,2000,1,1
kahki,2001,3,3
kahki,2003,1,1
kahki,2004,7,5
kahki,2005,8,5
kahki,2006,3,3
kahki,2007,7,3
kahki,2008,26,18
kaing,1843,1,1
kaing,1882,3,3
kaing,1897,2,1
kaing,1900,11,7
kaing,1901,8,3
kaing,1903,1,1
kaing,1904,6,5
kaing,1908,3,3
kaing,1910,3,3
kaing,1913,3,1
kaing,1927,1,1
kaing,1928,2,1
kaing,1950,2,2
kaing,1953,2,1
kaing,1961,1,1
kaing,1964,20,4
kaing,1967,4,2
kaing,1969,1,1
kaing,1970,3,1
kaing,1971,1,1
kaing,1973,1,1
kaing,1975,2,2
kaing,1977,2,2
kaing,1978,1,1
kaing,1979,17,1
kaing,1981,2,2
kaing,1982,1,1
kaing,1983,12,4
kaing,1984,2,2
kaing,1986,3,2
kaing,1987,2,2
kaing,1988,3,2
kaing,1989,3,2
kaing,1992,2,2
kaing,1994,1,1
kaing,1995,1,1
kaing,1997,2,2
kaing,1999,1,1
kaing,2000,2,2
kaing,2001,10,4
kaing,2002,4,4
kaing,2003,3,2
kaing,2005,4,4
kaing,2006,7,3
kaing,2007,1,1
kaing,2008,1,1
kaju,1817,2,2
kaju,1852,2,2
kaju,1853,3,3
kaju,1876,2,2
kaju,1887,2,1
kaju,1897,1,1
kaju,1920,5,5
kaju,1942,3,3
kaju,1945,1,1
kaju,1948,5,1
kaju,1950,2,2
kaju,1951,1,1
kaju,1953,1,1
kaju,1955,1,1
kaju,1956,20,2
kaju,1957,3,1
kaju,1958,3,3
kaju,1959,1,1
kaju,1960,1,1
kaju,1961,3,3
kaju,1962,6,4
kaju,1963,3,1
kaju,1964,5,2
kaju,1965,1,1
kaju,1966,6,5
kaju,1967,9,4
kaju,1968,4,3
kaju,1969,1,1
kaju,1970,5,3
kaju,1971,2,1
kaju,1972,2,2
kaju,1973,3,3
kaju,1974,3,3
kaju,1975,3,3
kaju,1976,2,2
kaju,1977,3,1
kaju,1978,2,2
kaju,1979,7,1
kaju,1980,1,1
kaju,1981,10,1
kaju,1982,5,5
kaju,1983,2,2
kaju,1984,7,7
kaju,1985,2,2
kaju,1986,1,1
kaju,1987,7,6
kaju,1988,5,5
kaju,1989,13,4
kaju,1991,2,2
kaju,1992,5,4
kaju,1995,4,4
kaju,1996,8,8
kaju,1997,4,4
kaju,1998,12,2
kaju,1999,12,12
kaju,2000,15,8
kaju,2001,9,9
kaju,2002,4,4
kaju,2003,9,5
kaju,2004,5,4
kaju,2005,11,5
kaju,2006,5,5
kaju,2007,9,7
kaju,2008,6,6
kako,1856,1,1
kako,1872,1,1
kako,1883,3,3
kako,1891,4,4
kako,1894,5,5
kako,1895,6,6
kako,1901,7,1
kako,1902,3,3
kako,1903,1,1
kako,1904,1,1
kako,1905,6,6
kako,1906,4,4
kako,1908,1,1
kako,1909,3,1
kako,1912,2,2
kako,1925,3,3
kako,1928,4,2
kako,1930,2,1
kako,1932,1,1
kako,1934,1,1
kako,1935,3,3
kako,1936,2,2
kako,1937,6,4
kako,1938,5,3
kako,1939,4,4
kako,1940,1,1
kako,1943,4,4
kako,1946,3,3
kako,1947,1,1
kako,1949,7,3
kako,1950,9,8
kako,1951,5,3
kako,1957,3,3
kako,1961,2,2
kako,1962,4,4
kako,1963,17,5
kako,1964,9,9
kako,1966,11,6
kako,1967,28,12
kako,1968,13,9
kako,1969,3,3
kako,1970,1,1
kako,1971,4,4
kako,1973,11,7
kako,1975,4,4
kako,1976,15,10
kako,1977,34,3
kako,1978,1,1
kako,1979,5,4
kako,1980,4,4
kako,1981,57,9
kako,1982,13,10
kako,1983,17,11
kako,1984,6,6
kako,1985,20,14
kako,1986,19,11
kako,1987,27,11
kako,1988,9,7
kako,1989,13,11
kako,1990,15,7
kako,1991,18,10
kako,1992,20,18
kako,1993,13,9
kako,1994,12,11
kako,1995,100,6
kako,1996,15,10
kako,1997,14,12
kako,1998,19,12
kako,1999,17,17
kako,2000,22,19
kako,2001,33,20
kako,2002,14,13
kako,2003,20,13
kako,2004,21,19
kako,2005,24,23
kako,2006,73,33
kako,2007,32,27
kako,2008,19,18
kalaemia,1954,1,1
kalaemia,1960,2,2
kalaemia,1961,1,1
kalaemia,1963,1,1
kalaemia,1964,3,2
kalaemia,1966,1,1
kalaemia,1967,5,5
kalaemia,1968,3,2
kalaemia,1969,2,2
kalaemia,1971,2,2
kalaemia,1972,4,4
kalaemia,1973,2,2
kalaemia,1974,4,4
kalaemia,1977,3,1
kalaemia,1978,4,3
kalaemia,1979,3,3
kalaemia,1980,4,3
kalaemia,1982,3,3
kalaemia,1983,1,1
kalaemia,1985,2,2
kalaemia,1986,4,2
kalaemia,1987,4,4
kalaemia,1990,2,2
kalaemia,1991,3,2
kalaemia,1992,3,3
kalaemia,1993,1,1
kalaemia,1994,1,1
kalaemia,1995,5,3
kalaemia,1997,5,5
kalaemia,1998,2,2
kalaemia,1999,1,1
kalaemia,2000,3,3
kalaemia,2001,3,3
kalaemia,2002,3,3
kalaemia,2003,3,2
kalaemia,2004,3,3
kalaemia,2005,11,8
kalaemia,2006,7,7
kalaemia,2007,4,4
kalaemia,2008,1,1
kamel,1820,2,2
kamel,1838,4,1
kamel,1841,4,1
kamel,1843,1,1
kamel,1846,1,1
kamel,1861,10,10
kamel,1885,1,1
kamel,1886,1,1
kamel,1890,1,1
kamel,1912,1,1
kamel,1930,1,1
kamel,1938,1,1
kamel,1939,1,1
kamel,1940,2,2
kamel,1952,1,1
kamel,1957,2,2
kamel,1958,1,1
kamel,1959,3,3
kamel,1960,1,1
kamel,1961,1,1
kamel,1963,3,1
kamel,1967,4,4
kamel,1968,7,7
kamel,1969,2,2
kamel,1970,2,2
kamel,1971,3,3
kamel,1972,2,2
kamel,1973,1,1
kamel,1974,2,2
kamel,1976,1,1
kamel,1977,2,2
kamel,1978,12,6
kamel,1979,6,6
kamel,1980,5,5
kamel,1982,2,2
kamel,1983,1,1
kamel,1984,2,2
kamel,1985,1,1
kamel,1986,2,2
kamel,1987,3,2
kamel,1988,1,1
kamel,1989,4,4
kamel,1990,24,6
kamel,1991,2,2
kamel,1992,5,5
kamel,1993,2,2
kamel,1994,3,3
kamel,1995,5,5
kamel,1996,6,5
kamel,1997,6,5
kamel,1998,10,7
kamel,1999,5,5
kamel,2000,7,7
kamel,2001,4,4
kamel,2002,7,5
kamel,2003,6,5
kamel,2004,6,4
kamel,2005,9,9
kamel,2006,20,7
kamel,2007,12,10
kamel,2008,17,14
kangaku,1952,2,2
kangaku,1959,6,1
kangaku,1960,4,2
kangaku,1962,1,1
kangaku,1964,1,1
kangaku,1971,2,2
kangaku,1973,3,3
kangaku,1974,1,1
kangaku,1975,4,1
kangaku,1977,1,1
kangaku,1980,6,3
kangaku,1981,10,1
kangaku,1982,10,2
kangaku,1984,2,2
kangaku,1986,1,1
kangaku,1987,1,1
kangaku,1988,7,5
kangaku,1989,6,4
kangaku,1992,1,1
kangaku,1994,1,1
kangaku,1995,19,3
kangaku,1996,4,4
kangaku,1997,15,3
kangaku,1998,3,2
kangaku,1999,10,3
kangaku,2001,53,2
kangaku,2002,17,5
kangaku,2003,73,3
kangaku,2004,43,5
kangaku,2005,4,4
kangaku,2006,13,7
kangaku,2007,27,4
kangaku,2008,4,4
kanna,1799,2,2
kanna,1804,1,1
kanna,1813,2,2
kanna,1816,2,1
kanna,1818,3,3
kanna,1824,8,2
kanna,1826,5,3
kanna,1827,4,4
kanna,1828,1,1
kanna,1838,6,6
kanna,1841,3,3
kanna,1842,8,4
kanna,1844,1,1
kanna,1846,2,2
kanna,1847,4,4
kanna,1851,3,3
kanna,1854,20,3
kanna,1856,7,5
kanna,1861,4,4
kanna,1864,6,3
kanna,1865,41,2
kanna,1868,2,2
kanna,1871,6,3
kanna,1872,1,1
kanna,1874,1,1
kanna,1875,1,1
kanna,1876,1,1
kanna,1877,7,7
kanna,1878,1,1
kanna,1881,2,2
kanna,1882,2,2
kanna,1884,1,1
kanna,1885,14,6
kanna,1887,4,3
kanna,1888,1,1
kanna,1889,1,1
kanna,1891,7,7
kanna,1892,2,1
kanna,1893,5,5
kanna,1895,3,1
kanna,1898,2,2
kanna,1899,2,2
kanna,1900,1,1
kanna,1902,4,4
kanna,1903,6,1
kanna,1904,6,6
kanna,1906,1,1
kanna,1908,10,7
kanna,1909,8,2
kanna,1910,1,1
kanna,1911,5,5
kanna,1912,1,1
kanna,1913,1,1
kanna,1920,5,5
kanna,1921,5,4
kanna,1923,1,1
kanna,1924,6,4
kanna,1926,1,1
kanna,1927,1,1
kanna,1928,5,3
kanna,1929,4,4
kanna,1930,3,3
kanna,1931,2,2
kanna,1936,2,2
kanna,1937,6,5
kanna,1938,1,1
kanna,1939,1,1
kanna,1940,1,1
kanna,1941,1,1
kanna,1942,1,1
kanna,1943,1,1
kanna,1944,1,1
kanna,1946,1,1
kanna,1947,2,2
kanna,1948,6,5
kanna,1949,3,3
kanna,1950,5,3
kanna,1951,3,3
kanna,1952,2,2
kanna,1953,9,4
kanna,1954,3,3
kanna,1955,2,2
kanna,1956,1,1
kanna,1957,32,9
kanna,1958,12,10
kanna,1959,5,3
kanna,1960,15,8
kanna,1961,2,2
kanna,1962,9,7
kanna,1963,8,3
kanna,1964,7,5
kanna,1965,8,8
kanna,1966,26,14
kanna,1967,31,6
kanna,1968,22,16
kanna,1969,12,12
kanna,1970,19,10
kanna,1971,14,10
kanna,1972,26,11
kanna,1973,16,10
kanna,1974,9,7
kanna,1975,39,24
kanna,1976,15,15
kanna,1977,18,15
kanna,1978,20,11
kanna,1979,22,12
kanna,1980,21,12
kanna,1981,15,8
kanna,1982,14,14
kanna,1983,11,8
kanna,1984,34,14
kanna,1985,29,16
kanna,1986,10,9
kanna,1987,39,17
kanna,1988,24,14
kanna,1989,132,25
kanna,1990,19,6
kanna,1991,39,18
kanna,1992,32,24
kanna,1993,9,8
kanna,1994,45,27
kanna,1995,13,12
kanna,1996,55,24
kanna,1997,32,24
kanna,1998,70,20
kanna,1999,43,29
kanna,2000,41,28
kanna,2001,35,24
kanna,2002,30,26
kanna,2003,32,27
kanna,2004,53,23
kanna,2005,47,28
kanna,2006,76,31
kanna,2007,48,34
kanna,2008,39,24
kanoko,1889,2,2
kanoko,1899,2,1
kanoko,1905,6,3
kanoko,1931,1,1
kanoko,1936,5,5
kanoko,1952,1,1
kanoko,1957,3,3
kanoko,1962,4,1
kanoko,1963,66,1
kanoko,1964,1,1
kanoko,1965,1,1
kanoko,1966,10,2
kanoko,1969,2,2
kanoko,1973,4,2
kanoko,1974,2,1
kanoko,1975,1,1
kanoko,1976,4,2
kanoko,1978,1,1
kanoko,1980,1,1
kanoko,1981,1,1
kanoko,1983,38,5
kanoko,1984,2,2
kanoko,1985,2,2
kanoko,1986,6,3
kanoko,1987,4,2
kanoko,1989,13,1
kanoko,1990,4,2
kanoko,1992,16,1
kanoko,1993,4,2
kanoko,1994,3,1
kanoko,1995,5,4
kanoko,1996,6,4
kanoko,1997,10,3
kanoko,1998,3,3
kanoko,1999,38,1
kanoko,2001,3,3
kanoko,2002,2,1
kanoko,2004,1,1
kanoko,2005,2,2
kanoko,2006,35,3
kanoko,2007,5,5
kanoko,2008,9,5
kaoi,1856,1,1
kaoi,1875,1,1
kaoi,1910,1,1
kaoi,1925,1,1
kaoi,1948,1,1
kaoi,1956,2,2
kaoi,1958,1,1
kaoi,1967,1,1
kaoi,1972,1,1
kaoi,1978,4,4
kaoi,1979,1,1
kaoi,1981,3,3
kaoi,1986,2,2
kaoi,1987,3,3
kaoi,1989,1,1
kaoi,1990,1,1
kaoi,1991,2,2
kaoi,1993,1,1
kaoi,1994,1,1
kaoi,1996,6,3
kaoi,1997,2,2
kaoi,1999,1,1
kaoi,2000,2,2
kaoi,2001,1,1
kaoi,2002,2,2
kaoi,2003,2,2
kaoi,2004,3,3
kaoi,2006,2,2
kaopectate,1953,1,1
kaopectate,1955,4,4
kaopectate,1956,3,3
kaopectate,1958,4,2
kaopectate,1961,2,2
kaopectate,1963,2,2
kaopectate,1964,4,4
kaopectate,1965,4,4
kaopectate,1966,5,5
kaopectate,1967,1,1
kaopectate,1968,3,3
kaopectate,1970,6,6
kaopectate,1971,2,2
kaopectate,1972,5,5
kaopectate,1974,4,4
kaopectate,1975,5,5
kaopectate,1976,13,11
kaopectate,1977,9,9
kaopectate,1978,4,4
kaopectate,1979,4,4
kaopectate,1980,7,7
kaopectate,1981,11,10
kaopectate,1982,12,11
kaopectate,1983,10,10
kaopectate,1984,10,10
kaopectate,1985,9,9
kaopectate,1986,17,9
kaopectate,1987,5,4
kaopectate,1988,20,18
kaopectate,1989,13,6
kaopectate,1990,3,2
kaopectate,1991,4,4
kaopectate,1992,7,7
kaopectate,1993,10,8
kaopectate,1994,9,7
kaopectate,1995,16,13
kaopectate,1996,12,10
kaopectate,1997,3,3
kaopectate,1998,6,6
kaopectate,1999,11,11
kaopectate,2000,9,9
kaopectate,2001,10,7
kaopectate,2002,15,13
kaopectate,2003,8,8
kaopectate,2004,9,8
kaopectate,2005,10,8
kaopectate,2006,23,19
kaopectate,2007,6,6
kaopectate,2008,3,3
kardiya,1975,2,2
kardiya,1985,3,1
kardiya,1986,2,1
kardiya,1990,3,3
kardiya,1991,14,4
kardiya,1992,1,1
kardiya,1993,2,2
kardiya,1994,1,1
kardiya,1995,3,2
kardiya,1998,7,5
kardiya,1999,1,1
kardiya,2000,25,5
kardiya,2001,1,1
kardiya,2002,4,3
kardiya,2003,19,2
kardiya,2004,5,2
kardiya,2005,5,5
kardiya,2006,4,4
kardiya,2007,8,2
kardiya,2008,2,2
karkuns,1861,4,2
karkuns,1870,1,1
karkuns,1879,2,2
karkuns,1881,2,1
karkuns,1884,7,1
karkuns,1886,19,5
karkuns,1891,1,1
karkuns,1893,3,3
karkuns,1894,8,1
karkuns,1895,1,1
karkuns,1896,3,1
karkuns,1900,1,1
karkuns,1906,1,1
karkuns,1907,3,3
karkuns,1908,2,2
karkuns,1910,2,2
karkuns,1914,7,4
karkuns,1920,4,2
karkuns,1921,3,3
karkuns,1922,4,2
karkuns,1923,1,1
karkuns,1928,16,2
karkuns,1930,6,2
karkuns,1931,3,2
karkuns,1933,3,3
karkuns,1934,2,2
karkuns,1939,2,2
karkuns,1941,4,2
karkuns,1944,7,4
karkuns,1945,2,2
karkuns,1947,1,1
