word,year,count,sources
labentes,1727,1,1
labentes,1728,3,3
labentes,1735,1,1
labentes,1738,1,1
labentes,1750,2,2
labentes,1755,1,1
labentes,1787,1,1
labentes,1788,2,2
labentes,1789,1,1
labentes,1790,1,1
labentes,1801,3,3
labentes,1802,1,1
labentes,1803,1,1
labentes,1806,2,2
labentes,1807,2,2
labentes,1809,2,2
labentes,1812,3,3
labentes,1814,1,1
labentes,1817,2,2
labentes,1819,3,3
labentes,1820,1,1
labentes,1823,2,2
labentes,1829,3,3
labentes,1835,3,3
labentes,1836,1,1
labentes,1839,3,3
labentes,1840,1,1
labentes,1841,2,1
labentes,1842,1,1
labentes,1844,1,1
labentes,1845,6,6
labentes,1848,2,1
labentes,1849,2,2
labentes,1850,3,3
labentes,1851,2,2
labentes,1853,2,1
labentes,1854,2,2
labentes,1856,1,1
labentes,1857,1,1
labentes,1858,1,1
labentes,1860,1,1
labentes,1865,1,1
labentes,1866,1,1
labentes,1868,1,1
labentes,1870,1,1
labentes,1871,1,1
labentes,1875,1,1
labentes,1876,6,6
labentes,1878,1,1
labentes,1879,3,3
labentes,1880,1,1
labentes,1883,1,1
labentes,1885,1,1
labentes,1895,8,8
labentes,1896,1,1
labentes,1900,1,1
labentes,1902,4,4
labentes,1909,1,1
labentes,1920,1,1
labentes,1922,2,2
labentes,1928,1,1
labentes,1936,1,1
labentes,1937,2,2
labentes,1938,1,1
labentes,1940,1,1
labentes,1951,2,2
labentes,1960,1,1
labentes,1961,1,1
labentes,1963,1,1
labentes,1965,4,4
labentes,1966,2,1
labentes,1967,2,2
labentes,1968,1,1
labentes,1972,1,1
labentes,1983,1,1
labentes,1984,5,1
labentes,1989,1,1
labentes,1990,3,3
labentes,1992,1,1
labentes,1995,1,1
labentes,1996,1,1
labentes,1997,1,1
labentes,1999,2,2
labentes,2002,1,1
labentes,2003,1,1
labentes,2005,5,5
labentes,2006,7,5
labentes,2007,3,1
labentes,2008,3,3
labuta,1902,1,1
labuta,1917,1,1
labuta,1924,1,1
labuta,1925,4,3
labuta,1926,1,1
labuta,1927,9,5
labuta,1930,2,2
labuta,1931,1,1
labuta,1935,3,3
labuta,1936,1,1
labuta,1937,2,2
labuta,1940,1,1
labuta,1942,1,1
labuta,1948,4,4
labuta,1956,2,2
labuta,1958,2,1
labuta,1959,1,1
labuta,1960,2,2
labuta,1961,1,1
labuta,1965,2,2
labuta,1966,4,4
labuta,1967,1,1
labuta,1968,2,2
labuta,1969,3,2
labuta,1970,1,1
labuta,1971,3,3
labuta,1972,5,5
labuta,1974,3,3
labuta,1975,1,1
labuta,1976,2,2
labuta,1977,1,1
labuta,1980,2,1
labuta,1983,1,1
labuta,1989,1,1
labuta,1991,1,1
labuta,1992,1,1
labuta,1994,1,1
labuta,1995,1,1
labuta,1998,1,1
labuta,2000,6,4
labuta,2001,1,1
labuta,2002,1,1
labuta,2003,18,10
labuta,2004,4,3
labuta,2006,6,6
labuta,2007,5,4
labuta,2008,15,14
lacertid,1923,5,1
lacertid,1941,2,2
lacertid,1955,1,1
lacertid,1957,23,4
lacertid,1962,10,1
lacertid,1964,1,1
lacertid,1966,2,1
lacertid,1969,6,4
lacertid,1970,5,4
lacertid,1973,4,2
lacertid,1974,10,9
lacertid,1976,5,4
lacertid,1977,3,3
lacertid,1978,15,9
lacertid,1979,3,1
lacertid,1980,2,2
lacertid,1981,6,5
lacertid,1982,12,7
lacertid,1983,9,3
lacertid,1984,6,6
lacertid,1985,3,3
lacertid,1986,3,3
lacertid,1987,3,1
lacertid,1988,12,5
lacertid,1990,9,7
lacertid,1991,4,4
lacertid,1992,9,7
lacertid,1993,9,5
lacertid,1994,8,7
lacertid,1995,1,1
lacertid,1996,2,1
lacertid,1997,4,4
lacertid,1998,4,3
lacertid,1999,2,2
lacertid,2000,11,5
lacertid,2001,3,3
lacertid,2002,8,8
lacertid,2003,15,6
