word,year,count,sources
macad,1858,1,1
macad,1860,1,1
macad,1866,2,2
macad,1867,1,1
macad,1869,1,1
macad,1870,1,1
macad,1881,1,1
macad,1882,1,1
macad,1887,1,1
macad,1888,1,1
macad,1895,1,1
macad,1902,1,1
macad,1909,3,3
macad,1910,3,3
macad,1911,3,3
macad,1921,1,1
macad,1930,6,6
macad,1931,2,2
macad,1934,1,1
macad,1955,1,1
macad,1969,1,1
macad,1975,1,1
macad,1978,3,3
macad,1979,2,1
macad,1980,4,3
macad,1982,1,1
macad,1983,15,1
macad,1985,1,1
macad,1986,1,1
macad,1988,4,4
macad,1989,4,3
macad,1990,1,1
macad,1992,3,1
macad,1993,2,2
macad,1994,1,1
macad,1995,1,1
macad,1996,1,1
macad,1998,4,4
macad,1999,3,3
macad,2000,3,2
macad,2001,1,1
macad,2003,23,6
macad,2004,3,2
macad,2006,1,1
macad,2007,1,1
macad,2008,1,1
macerate,1790,2,2
macerate,1791,1,1
macerate,1802,1,1
macerate,1808,1,1
macerate,1810,1,1
macerate,1811,1,1
macerate,1813,1,1
macerate,1816,3,3
macerate,1820,5,5
macerate,1821,2,2
macerate,1822,6,6
macerate,1823,1,1
macerate,1824,1,1
macerate,1825,7,7
macerate,1828,2,2
macerate,1830,1,1
macerate,1831,1,1
macerate,1832,2,2
macerate,1836,1,1
macerate,1838,1,1
macerate,1842,3,2
macerate,1844,1,1
macerate,1845,1,1
macerate,1846,1,1
macerate,1847,1,1
macerate,1848,1,1
macerate,1850,3,3
macerate,1851,3,3
macerate,1853,5,4
macerate,1856,2,2
macerate,1859,2,2
macerate,1860,1,1
macerate,1861,2,2
macerate,1863,1,1
macerate,1865,2,2
macerate,1866,2,2
macerate,1869,1,1
macerate,1871,5,3
macerate,1872,2,2
macerate,1875,1,1
macerate,1877,2,2
macerate,1879,1,1
macerate,1883,3,1
macerate,1885,3,3
macerate,1886,3,1
macerate,1889,3,3
macerate,1890,2,2
macerate,1891,2,2
macerate,1892,1,1
macerate,1893,10,10
macerate,1894,1,1
macerate,1895,1,1
macerate,1901,1,1
macerate,1902,3,3
macerate,1903,3,3
macerate,1905,8,1
macerate,1906,5,5
macerate,1908,1,1
macerate,1910,17,5
macerate,1912,1,1
macerate,1913,5,3
macerate,1917,5,5
macerate,1918,2,1
macerate,1920,2,2
macerate,1921,2,2
macerate,1923,1,1
macerate,1924,1,1
macerate,1925,4,4
macerate,1929,1,1
macerate,1930,2,2
macerate,1932,4,2
macerate,1934,1,1
macerate,1936,2,1
macerate,1937,2,2
macerate,1939,7,2
macerate,1941,1,1
macerate,1945,8,4
macerate,1946,1,1
macerate,1947,3,3
macerate,1948,4,4
macerate,1949,6,6
macerate,1950,1,1
macerate,1951,23,13
macerate,1952,6,5
macerate,1953,3,3
macerate,1954,3,3
macerate,1955,2,1
macerate,1956,20,10
macerate,1957,14,10
macerate,1958,4,4
macerate,1959,10,9
macerate,1960,8,5
macerate,1961,9,4
macerate,1962,7,6
macerate,1963,26,17
macerate,1964,19,12
macerate,1965,35,17
macerate,1966,11,6
macerate,1967,45,15
macerate,1968,12,12
macerate,1969,10,7
macerate,1970,10,8
macerate,1971,16,15
macerate,1972,45,22
macerate,1973,18,8
macerate,1974,13,8
macerate,1975,23,10
macerate,1976,24,16
macerate,1977,33,19
macerate,1978,28,16
macerate,1979,16,15
macerate,1980,16,12
macerate,1981,22,15
macerate,1982,24,17
macerate,1983,5,5
macerate,1984,32,18
macerate,1985,25,18
macerate,1986,42,22
macerate,1987,15,11
macerate,1988,15,11
macerate,1989,14,12
macerate,1990,25,13
macerate,1991,27,20
macerate,1992,10,8
macerate,1993,17,12
macerate,1994,17,9
macerate,1995,22,14
macerate,1996,29,14
macerate,1997,21,13
macerate,1998,27,13
macerate,1999,15,10
macerate,2000,29,25
macerate,2001,26,19
macerate,2002,33,22
macerate,2003,34,22
macerate,2004,41,21
macerate,2005,20,20
macerate,2006,26,22
macerate,2007,35,29
macerate,2008,37,28
machineryl,1903,1,1
