word,year,count,sources
nachdenken,1902,2,2
nachdenken,1940,2,2
nachdenken,1946,1,1
nachdenken,1953,2,1
nachdenken,1958,1,1
nachdenken,1961,2,2
nachdenken,1967,1,1
nachdenken,1968,2,2
nachdenken,1971,1,1
nachdenken,1974,1,1
nachdenken,1976,1,1
nachdenken,1977,4,3
nachdenken,1978,3,3
nachdenken,1980,2,2
nachdenken,1981,7,7
nachdenken,1982,4,3
nachdenken,1984,2,2
nachdenken,1985,2,2
nachdenken,1987,1,1
nachdenken,1988,6,6
nachdenken,1989,9,9
nachdenken,1990,4,4
nachdenken,1991,2,2
nachdenken,1992,2,2
nachdenken,1993,1,1
nachdenken,1994,5,5
nachdenken,1995,3,3
nachdenken,1996,8,5
nachdenken,1997,3,2
nachdenken,1998,4,4
nachdenken,1999,2,2
nachdenken,2000,5,4
nachdenken,2001,6,6
nachdenken,2002,3,3
nachdenken,2003,10,10
nachdenken,2004,3,2
nachdenken,2005,10,10
nachdenken,2006,10,7
nachdenken,2007,2,2
nachdenken,2008,10,10
nachzuprüfen,1845,1,1
nachzuprüfen,1927,1,1
nachzuprüfen,1929,1,1
nachzuprüfen,1930,2,2
nachzuprüfen,1932,1,1
nachzuprüfen,1934,1,1
nachzuprüfen,1935,1,1
nachzuprüfen,1938,1,1
nachzuprüfen,1940,1,1
nachzuprüfen,1943,1,1
nachzuprüfen,1944,1,1
nachzuprüfen,1949,2,2
nachzuprüfen,1952,2,2
nachzuprüfen,1953,8,8
nachzuprüfen,1954,5,4
nachzuprüfen,1955,2,2
nachzuprüfen,1956,1,1
nachzuprüfen,1957,4,3
nachzuprüfen,1958,1,1
nachzuprüfen,1959,2,2
nachzuprüfen,1960,2,2
nachzuprüfen,1961,3,2
nachzuprüfen,1962,1,1
nachzuprüfen,1963,1,1
nachzuprüfen,1964,3,3
nachzuprüfen,1970,4,4
nachzuprüfen,1971,2,2
nachzuprüfen,1972,5,5
nachzuprüfen,1975,1,1
nachzuprüfen,1976,4,4
nachzuprüfen,1977,1,1
nachzuprüfen,1978,1,1
nachzuprüfen,1979,1,1
nachzuprüfen,1980,1,1
nachzuprüfen,1981,1,1
nachzuprüfen,1982,1,1
nachzuprüfen,1983,1,1
nachzuprüfen,1985,1,1
nachzuprüfen,1987,1,1
nachzuprüfen,1988,2,2
nachzuprüfen,1994,2,2
nachzuprüfen,1995,2,2
nachzuprüfen,1996,1,1
nachzuprüfen,2002,2,2
nachzuprüfen,2006,2,2
nachzuprüfen,2007,2,2
nakhuda,1843,2,1
nakhuda,1888,2,1
nakhuda,1899,1,1
nakhuda,1907,1,1
nakhuda,1908,1,1
nakhuda,1909,1,1
nakhuda,1910,1,1
nakhuda,1911,12,4
nakhuda,1912,1,1
nakhuda,1913,1,1
nakhuda,1914,2,2
nakhuda,1915,4,2
nakhuda,1920,2,1
nakhuda,1923,2,1
nakhuda,1924,2,2
nakhuda,1925,4,2
nakhuda,1926,7,1
nakhuda,1928,4,4
nakhuda,1931,6,3
nakhuda,1933,1,1
nakhuda,1934,1,1
nakhuda,1939,1,1
nakhuda,1947,11,1
nakhuda,1954,24,3
nakhuda,1955,65,1
nakhuda,1959,3,2
nakhuda,1960,7,4
nakhuda,1962,1,1
nakhuda,1968,71,7
nakhuda,1970,7,2
nakhuda,1972,1,1
nakhuda,1974,1,1
nakhuda,1975,3,3
nakhuda,1976,2,2
nakhuda,1977,8,4
nakhuda,1979,64,3
nakhuda,1980,3,3
nakhuda,1983,7,2
nakhuda,1985,6,4
nakhuda,1986,10,7
nakhuda,1987,8,4
nakhuda,1988,17,6
nakhuda,1989,7,3
nakhuda,1990,18,4
nakhuda,1992,17,5
nakhuda,1993,3,2
nakhuda,1994,54,5
nakhuda,1995,6,5
nakhuda,1996,2,2
nakhuda,1997,8,2
nakhuda,1998,7,4
nakhuda,1999,6,5
nakhuda,2000,17,9
nakhuda,2001,60,4
nakhuda,2002,50,9
nakhuda,2003,8,5
nakhuda,2004,24,5
nakhuda,2005,15,9
nakhuda,2006,8,6
nakhuda,2007,12,5
nakhuda,2008,11,5
naphthalenone,1953,1,1
naphthalenone,1959,2,2
naphthalenone,1963,1,1
naphthalenone,1965,3,3
naphthalenone,1966,3,2
naphthalenone,1967,6,4
naphthalenone,1968,1,1
naphthalenone,1969,2,1
naphthalenone,1970,4,1
naphthalenone,1972,4,3
naphthalenone,1973,3,3
naphthalenone,1975,2,1
naphthalenone,1976,3,2
naphthalenone,1977,3,1
naphthalenone,1979,7,4
naphthalenone,1980,1,1
naphthalenone,1981,2,2
naphthalenone,1982,1,1
naphthalenone,1983,1,1
