word,year,count,sources
oanyon,1853,1,1
oanyon,1882,8,2
oanyon,1898,1,1
oanyon,1899,1,1
oanyon,1910,1,1
oanyon,1917,2,1
oanyon,1919,1,1
oanyon,1923,1,1
oanyon,1924,5,2
oanyon,1925,10,1
oanyon,1926,1,1
oanyon,1928,4,2
oanyon,1929,8,3
oanyon,1930,2,2
oanyon,1933,2,1
oanyon,1934,3,3
oanyon,1935,1,1
oanyon,1936,5,2
oanyon,1938,2,2
oanyon,1939,2,2
oanyon,1940,2,1
oanyon,1941,2,2
oanyon,1943,1,1
oanyon,1947,1,1
oanyon,1949,10,3
oanyon,1950,3,2
oanyon,1951,4,3
oanyon,1952,2,2
oanyon,1954,7,2
oanyon,1960,1,1
oanyon,1961,2,2
oanyon,1962,5,3
oanyon,1964,1,1
oanyon,1967,1,1
oanyon,1969,1,1
oanyon,1972,1,1
oanyon,1979,1,1
oanyon,1980,1,1
oanyon,1986,1,1
oanyon,1987,1,1
oanyon,1990,1,1
oarae,1731,1,1
oarae,1799,1,1
oarae,1801,1,1
oarae,1815,1,1
oarae,1817,1,1
oarae,1823,1,1
oarae,1865,1,1
oarae,1866,1,1
oarae,1869,1,1
oarae,1873,1,1
oarae,1876,1,1
oarae,1884,1,1
oarae,1892,1,1
oarae,1893,1,1
oarae,1895,1,1
oarae,1901,2,2
oarae,1908,1,1
oarae,1910,1,1
oarae,1912,1,1
oarae,1915,1,1
oarae,1917,1,1
oarae,1919,1,1
oarae,1920,1,1
oarae,1924,1,1
oarae,1925,1,1
oarae,1929,1,1
oarae,1931,1,1
oarae,1932,3,3
oarae,1934,1,1
oarae,1935,1,1
oarae,1936,2,2
oarae,1938,2,2
oarae,1939,2,2
oarae,1940,2,1
oarae,1941,3,2
oarae,1942,2,2
oarae,1944,1,1
oarae,1945,2,2
oarae,1946,3,3
oarae,1947,5,5
oarae,1948,3,3
oarae,1949,1,1
oarae,1950,3,3
oarae,1951,1,1
oarae,1953,2,2
oarae,1954,3,3
oarae,1955,1,1
oarae,1956,1,1
oarae,1958,1,1
oarae,1959,1,1
oarae,1962,1,1
oarae,1966,1,1
oarae,1969,1,1
oarae,1970,1,1
oarae,1972,1,1
oarae,1975,2,2
oarae,1977,1,1
oarae,1979,1,1
oarae,1980,1,1
oarae,1983,1,1
oarae,1984,1,1
oarae,1985,1,1
oarae,1989,1,1
oarae,1993,1,1
oarae,1994,1,1
oarae,1997,2,2
oarae,1998,1,1
oarae,1999,2,2
oarae,2001,1,1
oarae,2002,1,1
oarae,2003,3,3
oarae,2004,1,1
oarae,2008,7,7
objectiflcation,1881,1,1
objectiflcation,1887,2,1
objectiflcation,1890,1,1
objectiflcation,1892,2,1
objectiflcation,1894,1,1
objectiflcation,1896,3,3
objectiflcation,1898,1,1
objectiflcation,1900,1,1
objectiflcation,1901,1,1
objectiflcation,1903,1,1
objectiflcation,1905,1,1
objectiflcation,1907,1,1
objectiflcation,1912,2,2
objectiflcation,1927,1,1
objectiflcation,1936,1,1
objectiflcation,1937,1,1
objectiflcation,1938,1,1
objectiflcation,1939,1,1
objectiflcation,1941,1,1
objectiflcation,1942,2,2
objectiflcation,1943,2,2
objectiflcation,1944,1,1
objectiflcation,1947,2,2
objectiflcation,1948,1,1
objectiflcation,1949,2,1
objectiflcation,1950,2,2
objectiflcation,1954,1,1
objectiflcation,1955,2,1
objectiflcation,1957,1,1
objectiflcation,1958,1,1
objectiflcation,1959,2,2
objectiflcation,1961,4,2
objectiflcation,1962,4,3
objectiflcation,1963,1,1
objectiflcation,1964,2,2
objectiflcation,1965,3,3
objectiflcation,1966,2,2
objectiflcation,1967,4,3
objectiflcation,1968,2,2
objectiflcation,1969,4,4
objectiflcation,1970,3,3
objectiflcation,1971,4,4
objectiflcation,1972,7,2
objectiflcation,1973,10,6
objectiflcation,1974,11,6
objectiflcation,1975,5,4
objectiflcation,1976,12,8
objectiflcation,1977,1,1
objectiflcation,1978,4,4
objectiflcation,1979,7,7
objectiflcation,1980,10,8
objectiflcation,1981,7,7
objectiflcation,1982,8,7
objectiflcation,1983,8,4
objectiflcation,1984,4,4
objectiflcation,1985,8,8
objectiflcation,1986,2,2
objectiflcation,1987,9,9
objectiflcation,1988,13,9
objectiflcation,1989,8,6
objectiflcation,1990,12,12
objectiflcation,1991,23,12
objectiflcation,1992,13,12
objectiflcation,1993,14,11
objectiflcation,1994,14,11
objectiflcation,1995,14,12
objectiflcation,1996,20,19
objectiflcation,1997,27,19
objectiflcation,1998,13,9
objectiflcation,1999,17,11
objectiflcation,2000,9,9
objectiflcation,2001,16,16
objectiflcation,2002,20,20
objectiflcation,2003,22,20
objectiflcation,2004,25,15
objectiflcation,2005,17,14
objectiflcation,2006,23,20
objectiflcation,2007,20,17
objectiflcation,2008,14,11
obturatorius,1795,2,1
obturatorius,1818,2,1
obturatorius,1819,1,1
obturatorius,1826,1,1
obturatorius,1828,1,1
obturatorius,1832,4,1
obturatorius,1834,2,1
obturatorius,1837,1,1
obturatorius,1840,1,1
obturatorius,1847,1,1
obturatorius,1850,1,1
obturatorius,1851,1,1
obturatorius,1852,2,2
obturatorius,1856,1,1
obturatorius,1861,5,5
obturatorius,1866,19,6
obturatorius,1867,2,2
obturatorius,1869,4,4
obturatorius,1871,1,1
obturatorius,1872,1,1
obturatorius,1874,1,1
obturatorius,1875,4,4
obturatorius,1876,2,2
obturatorius,1877,4,4
obturatorius,1878,1,1
obturatorius,1879,4,4
obturatorius,1881,2,2
obturatorius,1882,7,7
obturatorius,1883,3,3
obturatorius,1887,3,3
obturatorius,1888,1,1
obturatorius,1889,5,5
obturatorius,1891,1,1
obturatorius,1892,4,4
obturatorius,1893,1,1
obturatorius,1896,3,3
obturatorius,1897,1,1
obturatorius,1898,1,1
obturatorius,1899,6,3
obturatorius,1901,10,10
obturatorius,1902,1,1
obturatorius,1903,9,7
obturatorius,1904,9,4
obturatorius,1905,1,1
obturatorius,1907,4,2
obturatorius,1908,3,3
obturatorius,1909,3,3
obturatorius,1910,8,6
obturatorius,1912,5,5
obturatorius,1913,3,2
obturatorius,1914,5,4
obturatorius,1917,1,1
obturatorius,1918,3,3
obturatorius,1920,1,1
obturatorius,1921,1,1
obturatorius,1922,1,1
obturatorius,1923,4,2
obturatorius,1924,2,2
obturatorius,1925,4,2
obturatorius,1926,4,4
obturatorius,1927,4,4
obturatorius,1930,6,4
obturatorius,1933,7,3
obturatorius,1935,3,3
obturatorius,1936,2,2
obturatorius,1937,1,1
obturatorius,1938,1,1
obturatorius,1939,13,1
obturatorius,1943,3,3
obturatorius,1946,4,4
obturatorius,1947,3,3
obturatorius,1948,1,1
obturatorius,1950,3,1
obturatorius,1951,1,1
obturatorius,1953,2,2
obturatorius,1954,6,3
obturatorius,1955,1,1
obturatorius,1956,1,1
obturatorius,1957,3,1
obturatorius,1959,3,2
obturatorius,1961,6,4
obturatorius,1962,1,1
obturatorius,1963,8,3
obturatorius,1964,6,5
obturatorius,1965,1,1
obturatorius,1966,6,2
obturatorius,1968,11,8
obturatorius,1969,1,1
obturatorius,1970,1,1
obturatorius,1972,1,1
obturatorius,1973,2,2
obturatorius,1976,1,1
obturatorius,1977,3,3
obturatorius,1978,3,2
obturatorius,1979,2,1
obturatorius,1985,2,1
obturatorius,1986,1,1
obturatorius,1988,1,1
obturatorius,1989,2,1
obturatorius,1990,1,1
obturatorius,1992,1,1
obturatorius,1994,2,2
obturatorius,1997,1,1
obturatorius,1998,5,3
obturatorius,1999,1,1
obturatorius,2000,1,1
obturatorius,2003,2,2
obturatorius,2004,2,2
obturatorius,2005,5,3
obturatorius,2006,6,3
obturatorius,2007,28,3
obturatorius,2008,1,1
occacion,1779,1,1
occacion,1791,1,1
occacion,1792,2,2
occacion,1814,1,1
occacion,1824,2,2
occacion,1826,1,1
occacion,1827,2,1
occacion,1829,2,2
occacion,1836,2,1
occacion,1840,1,1
occacion,1842,4,2
occacion,1843,4,4
occacion,1844,1,1
occacion,1850,3,3
occacion,1851,1,1
occacion,1861,5,5
occacion,1862,2,2
occacion,1868,6,6
occacion,1874,1,1
