word,year,count,sources
paag,1883,1,1
paag,1897,2,2
paag,1898,1,1
paag,1902,1,1
paag,1906,1,1
paag,1908,1,1
paag,1917,2,1
paag,1928,1,1
paag,1939,2,2
paag,1947,1,1
paag,1949,3,3
paag,1951,1,1
paag,1952,4,1
paag,1957,2,2
paag,1959,2,1
paag,1960,1,1
paag,1964,2,2
paag,1966,1,1
paag,1973,2,2
paag,1977,6,1
paag,1980,3,3
paag,1985,1,1
paag,1987,6,4
paag,1989,1,1
paag,1991,16,3
paag,1994,3,1
paag,1995,28,4
paag,1996,3,2
paag,1999,5,2
paag,2001,14,2
paag,2002,4,3
paag,2003,4,2
paag,2004,8,3
paag,2005,2,2
paag,2006,3,2
paag,2007,1,1
paag,2008,4,4
pacca,1786,2,2
pacca,1800,1,1
pacca,1821,5,5
pacca,1826,3,3
pacca,1834,1,1
pacca,1841,1,1
pacca,1854,1,1
pacca,1866,1,1
pacca,1873,9,1
pacca,1874,1,1
pacca,1882,1,1
pacca,1885,3,2
pacca,1889,1,1
pacca,1898,2,2
pacca,1902,4,4
pacca,1907,1,1
pacca,1910,1,1
pacca,1911,5,4
pacca,1913,7,7
pacca,1914,1,1
pacca,1917,2,2
pacca,1920,3,1
pacca,1923,4,2
pacca,1924,1,1
pacca,1925,2,1
pacca,1928,9,2
pacca,1929,4,4
pacca,1930,5,2
pacca,1931,6,4
pacca,1933,1,1
pacca,1934,2,2
pacca,1935,9,4
pacca,1936,4,1
pacca,1937,7,1
pacca,1939,19,4
pacca,1940,4,4
pacca,1941,6,2
pacca,1942,3,3
pacca,1945,7,5
pacca,1947,6,3
pacca,1948,7,1
pacca,1949,1,1
pacca,1950,2,2
pacca,1952,4,3
pacca,1953,11,5
pacca,1954,4,3
pacca,1955,13,4
pacca,1956,10,7
pacca,1957,7,6
pacca,1958,15,10
pacca,1959,18,7
pacca,1960,32,7
pacca,1961,7,6
pacca,1962,9,8
pacca,1963,16,13
pacca,1964,37,6
pacca,1965,19,15
pacca,1966,29,14
pacca,1967,24,11
pacca,1968,20,12
pacca,1969,22,10
pacca,1970,38,17
pacca,1971,10,7
pacca,1972,7,6
pacca,1973,80,11
pacca,1974,15,12
pacca,1975,18,18
pacca,1976,12,12
pacca,1977,18,18
pacca,1978,18,14
pacca,1979,35,17
pacca,1980,12,9
pacca,1981,13,8
pacca,1982,15,13
pacca,1983,61,10
pacca,1984,115,12
pacca,1985,36,12
pacca,1986,23,19
pacca,1987,25,21
pacca,1988,35,18
pacca,1989,23,11
pacca,1990,59,18
pacca,1991,32,15
pacca,1992,28,25
pacca,1993,25,15
pacca,1994,18,16
pacca,1995,27,13
pacca,1996,37,26
pacca,1997,32,21
pacca,1998,25,20
pacca,1999,50,16
pacca,2000,76,21
pacca,2001,36,16
pacca,2002,18,11
pacca,2003,28,22
pacca,2004,28,22
pacca,2005,9,7
pacca,2006,26,20
pacca,2007,51,23
pacca,2008,20,17
packaga,1898,1,1
packaga,1900,1,1
packaga,1902,1,1
packaga,1909,1,1
packaga,1912,2,2
packaga,1914,1,1
packaga,1915,1,1
packaga,1921,1,1
packaga,1959,2,2
packaga,1962,1,1
packaga,1964,1,1
packaga,1970,1,1
packaga,1972,1,1
packaga,1976,1,1
packaga,1977,1,1
packaga,1978,3,3
packaga,1981,2,2
packaga,1982,1,1
packaga,1985,5,5
packaga,1986,6,6
packaga,1987,11,5
packaga,1988,5,3
packaga,1989,2,2
packaga,1990,3,3
packaga,1991,17,8
packaga,1992,3,2
packaga,1993,3,3
packaga,1994,3,3
packaga,1995,3,2
packaga,1996,4,3
packaga,1997,6,5
packaga,1998,6,4
packaga,1999,7,5
packaga,2000,4,4
packaga,2001,4,4
packaga,2002,4,3
packaga,2003,1,1
packaga,2004,4,4
packaga,2005,4,3
packaga,2006,1,1
packaga,2007,1,1
packaga,2008,1,1
