word,year,count,sources
qib,1744,1,1
qib,1781,1,1
qib,1900,1,1
qib,1907,1,1
qib,1909,1,1
qib,1915,1,1
qib,1945,2,2
qib,1948,1,1
qib,1958,1,1
qib,1959,1,1
qib,1960,1,1
qib,1962,6,3
qib,1965,2,2
qib,1967,2,2
qib,1968,2,2
qib,1973,2,2
qib,1976,1,1
qib,1977,1,1
qib,1983,1,1
qib,1984,2,2
qib,1985,1,1
qib,1986,1,1
qib,1987,9,7
qib,1988,2,1
qib,1989,1,1
qib,1990,3,3
qib,1992,2,2
qib,1993,2,2
qib,1994,2,2
qib,1995,1,1
qib,1998,1,1
qib,1999,1,1
qib,2000,2,2
qib,2001,1,1
qib,2002,5,3
qib,2004,2,2
qib,2006,3,3
qib,2007,2,2
qib,2008,1,1
qinggui,1966,7,1
qinggui,1992,1,1
qinggui,1994,3,1
qinggui,1996,1,1
qinggui,1997,3,3
qinggui,1998,2,2
qinggui,2000,34,10
qinggui,2001,9,5
qinggui,2002,219,3
qinggui,2003,21,4
qinggui,2004,213,4
qinggui,2005,42,10
qinggui,2006,74,9
qinggui,2007,29,12
qinggui,2008,113,12
qissah,1939,7,1
qissah,1978,1,1
qissah,1980,2,2
qissah,1985,1,1
qissah,1986,1,1
qissah,1990,12,3
qissah,1991,14,1
qissah,1992,4,2
qissah,1993,6,3
qissah,1995,4,4
qissah,1999,3,1
qissah,2000,1,1
qissah,2001,6,4
qissah,2002,77,3
qissah,2003,50,4
qissah,2004,5,4
qissah,2005,3,3
qissah,2006,22,3
qissah,2007,6,2
qissah,2008,1,1
qnire,1714,1,1
qnire,1806,1,1
qnire,1810,2,2
qnire,1812,1,1
qnire,1817,1,1
qnire,1822,1,1
qnire,1829,1,1
qnire,1844,1,1
qnire,1849,2,2
qnire,1850,1,1
qnire,1856,3,3
qnire,1857,1,1
qnire,1858,1,1
qnire,1859,1,1
qnire,1860,2,2
qnire,1862,1,1
qnire,1866,1,1
qnire,1870,1,1
qnire,1875,1,1
qnire,1877,11,2
qnire,1880,1,1
qnire,1883,1,1
qnire,1885,2,2
qnire,1886,1,1
qnire,1890,1,1
qnire,1893,1,1
qnire,1894,1,1
qnire,1898,2,2
qnire,1904,1,1
qnire,1907,1,1
qnire,1931,1,1
qnire,1968,1,1
qnire,1976,1,1
qnire,1984,1,1
qnire,2000,1,1
qnire,2008,1,1
quanttty,1701,1,1
quanttty,1742,1,1
quanttty,1818,1,1
quanttty,1823,2,2
quanttty,1828,1,1
quanttty,1830,1,1
quanttty,1831,1,1
quanttty,1836,1,1
quanttty,1840,1,1
quanttty,1847,1,1
quanttty,1854,1,1
quanttty,1855,4,3
quanttty,1858,1,1
quanttty,1861,1,1
quanttty,1862,1,1
quanttty,1863,1,1
quanttty,1871,1,1
quanttty,1879,1,1
quanttty,1880,1,1
quanttty,1883,1,1
quanttty,1896,2,2
quanttty,1897,2,2
quanttty,1900,1,1
quanttty,1902,1,1
quanttty,1904,1,1
quanttty,1906,4,2
quanttty,1907,2,2
quanttty,1911,1,1
quanttty,1913,2,2
quanttty,1919,1,1
quanttty,1922,1,1
quanttty,1925,3,3
quanttty,1930,1,1
quanttty,1931,2,1
quanttty,1949,1,1
quanttty,1962,2,2
quanttty,1972,3,2
quanttty,1973,1,1
quanttty,1977,1,1
quanttty,1980,1,1
quanttty,1983,1,1
quanttty,1984,1,1
quanttty,1989,1,1
quanttty,1991,1,1
quanttty,1994,1,1
quanttty,1997,2,2
quanttty,1998,1,1
quanttty,2000,2,2
quanttty,2001,1,1
quanttty,2002,3,3
quanttty,2003,7,4
quanttty,2004,3,3
quanttty,2005,1,1
quanttty,2006,1,1
quanttty,2007,1,1
quentlv,1822,1,1
quentlv,1829,1,1
quentlv,1846,1,1
quentlv,1849,1,1
quentlv,1850,1,1
quentlv,1851,1,1
quentlv,1865,1,1
quentlv,1868,1,1
quentlv,1870,1,1
quentlv,1872,1,1
quentlv,1879,2,2
quentlv,1883,3,3
quentlv,1890,1,1
quentlv,1899,2,2
quentlv,1909,1,1
quentlv,1910,2,2
quentlv,1911,1,1
quentlv,1913,2,2
quentlv,1915,1,1
quentlv,1916,2,2
quentlv,1956,1,1
quentlv,1957,3,3
quentlv,1958,1,1
quentlv,1960,1,1
quentlv,1962,1,1
quentlv,1963,1,1
quentlv,1966,2,2
quentlv,1967,1,1
quentlv,1968,2,2
quentlv,1969,1,1
quentlv,1970,2,2
quentlv,1971,1,1
quentlv,1979,1,1
quentlv,1982,1,1
quentlv,1984,1,1
quentlv,1986,1,1
quentlv,1991,2,2
quentlv,1994,2,2
quentlv,1996,1,1
quentlv,2001,1,1
quentlv,2004,4,4
quentlv,2007,1,1
quentlv,2008,1,1
queror,1593,1,1
queror,1703,1,1
queror,1719,2,2
queror,1722,1,1
queror,1723,1,1
queror,1725,1,1
queror,1726,2,2
queror,1727,1,1
queror,1738,1,1
queror,1739,2,2
queror,1746,1,1
queror,1747,1,1
queror,1748,1,1
queror,1750,1,1
queror,1751,1,1
queror,1753,1,1
queror,1755,1,1
queror,1756,1,1
queror,1760,1,1
queror,1761,1,1
queror,1763,1,1
queror,1765,2,2
queror,1767,2,2
queror,1770,1,1
queror,1771,2,2
queror,1773,2,2
queror,1775,2,2
queror,1776,3,3
queror,1777,2,2
queror,1778,4,4
queror,1779,1,1
queror,1780,1,1
queror,1781,7,5
queror,1783,1,1
queror,1784,1,1
queror,1787,3,3
queror,1788,4,4
queror,1789,1,1
queror,1791,1,1
queror,1792,3,2
queror,1793,2,2
queror,1794,2,2
queror,1796,4,4
queror,1799,1,1
queror,1800,1,1
queror,1801,1,1
queror,1802,1,1
queror,1803,8,6
queror,1804,2,2
queror,1805,9,9
queror,1806,3,3
queror,1807,10,10
queror,1808,1,1
queror,1809,2,2
queror,1810,3,3
queror,1811,2,2
queror,1812,1,1
queror,1813,3,3
queror,1814,11,7
queror,1815,3,3
queror,1816,7,6
queror,1817,2,2
queror,1818,4,4
queror,1819,1,1
queror,1820,6,6
queror,1821,7,7
queror,1822,8,8
queror,1823,13,6
queror,1824,1,1
queror,1825,14,4
queror,1826,12,11
queror,1827,21,21
queror,1828,3,3
queror,1829,9,9
queror,1830,14,13
queror,1831,2,2
queror,1832,2,2
queror,1833,1,1
queror,1835,3,3
queror,1836,3,3
queror,1837,3,3
queror,1839,12,9
queror,1840,30,29
queror,1841,3,3
queror,1842,1,1
queror,1843,3,3
queror,1844,5,4
queror,1845,9,9
queror,1846,3,3
queror,1847,1,1
queror,1848,17,17
queror,1849,8,8
queror,1850,2,1
queror,1851,11,6
queror,1852,7,7
queror,1853,3,3
queror,1854,4,3
queror,1855,5,5
queror,1856,8,8
queror,1857,12,12
queror,1858,10,10
queror,1859,2,2
queror,1860,4,4
queror,1861,1,1
queror,1862,7,7
queror,1863,7,7
queror,1864,30,18
queror,1865,1,1
queror,1866,3,3
queror,1867,16,11
queror,1868,1,1
queror,1869,7,7
queror,1870,4,4
queror,1871,8,8
queror,1872,3,3
queror,1873,7,7
queror,1874,16,14
queror,1875,13,6
queror,1876,27,6
queror,1877,7,7
queror,1878,8,5
queror,1879,10,10
queror,1880,19,13
queror,1881,5,5
queror,1882,15,9
queror,1883,4,2
queror,1885,14,14
queror,1886,2,2
queror,1887,8,8
queror,1888,10,10
queror,1889,5,5
queror,1890,3,3
queror,1891,17,16
queror,1892,6,6
queror,1893,7,7
queror,1894,7,7
queror,1895,4,4
queror,1896,7,7
queror,1897,4,4
queror,1898,6,6
queror,1899,17,17
queror,1900,8,8
queror,1901,4,4
queror,1902,7,7
queror,1903,10,8
queror,1904,10,10
queror,1905,11,8
queror,1906,5,5
queror,1907,11,11
queror,1908,21,20
queror,1909,2,2
queror,1910,8,8
queror,1911,13,13
queror,1912,8,8
queror,1913,2,2
queror,1914,3,3
queror,1915,3,3
queror,1917,5,5
queror,1918,7,7
queror,1919,3,3
queror,1920,5,5
queror,1921,11,7
queror,1922,8,8
queror,1923,5,5
queror,1924,5,5
queror,1925,4,4
queror,1926,9,8
queror,1927,8,4
queror,1928,5,4
queror,1929,5,5
queror,1930,3,3
queror,1931,2,2
queror,1932,2,2
queror,1933,2,2
queror,1934,5,3
queror,1935,4,4
queror,1936,6,1
queror,1937,3,3
queror,1939,1,1
queror,1940,2,2
queror,1941,1,1
queror,1942,6,3
queror,1943,2,2
queror,1944,4,4
queror,1945,1,1
queror,1946,4,4
queror,1947,3,3
queror,1948,2,2
queror,1949,3,3
queror,1950,3,2
queror,1951,3,3
queror,1952,2,2
queror,1953,1,1
queror,1955,1,1
queror,1956,1,1
queror,1957,3,3
queror,1958,2,2
queror,1959,1,1
queror,1960,9,9
queror,1961,5,5
queror,1962,2,2
queror,1963,8,8
queror,1964,1,1
queror,1965,2,2
queror,1966,3,3
queror,1967,4,4
queror,1968,9,9
queror,1969,5,5
queror,1970,5,5
queror,1971,3,3
queror,1972,7,7
queror,1973,6,6
queror,1974,2,2
queror,1975,5,5
queror,1977,1,1
queror,1978,9,9
queror,1979,5,5
queror,1980,3,3
queror,1982,5,5
queror,1983,3,2
queror,1984,2,2
queror,1985,2,2
queror,1986,4,4
queror,1988,2,2
queror,1989,2,2
queror,1990,3,3
queror,1991,2,2
queror,1992,3,3
queror,1993,2,2
queror,1994,3,3
queror,1995,2,2
queror,1996,5,5
queror,1997,1,1
queror,1998,7,7
queror,1999,4,4
queror,2000,5,5
queror,2001,4,4
queror,2002,12,10
queror,2003,9,9
queror,2004,9,9
queror,2005,3,3
queror,2006,12,12
queror,2007,7,7
queror,2008,37,36
questionnare,1927,2,1
questionnare,1929,2,2
questionnare,1930,3,3
questionnare,1932,1,1
questionnare,1939,1,1
questionnare,1941,1,1
questionnare,1943,1,1
questionnare,1947,1,1
questionnare,1952,2,2
questionnare,1953,1,1
questionnare,1954,1,1
questionnare,1955,1,1
questionnare,1957,4,4
questionnare,1958,5,5
questionnare,1961,2,2
questionnare,1963,3,3
questionnare,1965,1,1
questionnare,1967,6,6
questionnare,1969,5,5
questionnare,1970,1,1
questionnare,1971,5,5
questionnare,1972,6,6
questionnare,1973,6,6
questionnare,1974,1,1
