word,year,count,sources
raceexperience,1893,2,2
raceexperience,1900,3,3
raceexperience,1903,1,1
raceexperience,1904,18,18
raceexperience,1905,23,11
raceexperience,1907,6,6
raceexperience,1908,3,1
raceexperience,1910,4,2
raceexperience,1911,2,2
raceexperience,1913,4,2
raceexperience,1914,1,1
raceexperience,1915,13,11
raceexperience,1916,3,3
raceexperience,1921,1,1
raceexperience,1922,5,5
raceexperience,1923,2,2
raceexperience,1924,4,4
raceexperience,1925,2,2
raceexperience,1927,1,1
raceexperience,1932,2,2
raceexperience,1935,1,1
raceexperience,1936,5,5
raceexperience,1946,1,1
raceexperience,1950,5,5
raceexperience,1952,1,1
raceexperience,1955,2,2
raceexperience,1956,2,2
raceexperience,1957,7,7
raceexperience,1960,2,2
raceexperience,1962,1,1
raceexperience,1964,1,1
raceexperience,1966,1,1
raceexperience,1968,1,1
raceexperience,1969,3,3
raceexperience,1970,2,2
raceexperience,1972,2,2
raceexperience,1975,1,1
raceexperience,1978,1,1
raceexperience,1981,1,1
raceexperience,1983,1,1
raceexperience,1985,1,1
raceexperience,1986,2,2
raceexperience,1993,1,1
raceexperience,1994,1,1
raceexperience,1996,7,7
raceexperience,1997,1,1
raceexperience,1998,2,2
raceexperience,1999,2,2
raceexperience,2000,4,4
raceexperience,2001,2,2
raceexperience,2002,1,1
raceexperience,2003,2,2
raceexperience,2004,2,2
raceexperience,2005,6,6
raceexperience,2006,2,2
raceexperience,2007,7,7
raceexperience,2008,1,1
rachetable,1831,2,2
rachetable,1839,3,3
rachetable,1860,5,2
rachetable,1867,1,1
rachetable,1886,7,7
rachetable,1889,5,4
rachetable,1904,2,2
rachetable,1905,1,1
rachetable,1907,1,1
rachetable,1915,1,1
rachetable,1948,2,1
rachetable,1951,2,1
rachetable,1969,6,1
rachetable,1970,1,1
rachetable,1974,3,3
rachetable,1984,3,1
rachetable,1986,1,1
rachetable,1987,1,1
rachetable,1988,1,1
rachetable,1989,6,2
rachetable,1995,2,2
rachetable,1996,2,2
rachetable,1998,2,2
rachetable,1999,1,1
rachetable,2003,2,1
rachetable,2004,2,2
rachetable,2008,6,6
racingstable,1878,2,2
racingstable,1879,1,1
racingstable,1880,1,1
racingstable,1890,1,1
racingstable,1893,1,1
racingstable,1897,1,1
racingstable,1898,5,5
racingstable,1899,1,1
racingstable,1901,3,3
