word,year,count,sources
sacht,1804,1,1
sacht,1805,1,1
sacht,1853,4,4
sacht,1865,1,1
sacht,1871,1,1
sacht,1874,1,1
sacht,1875,1,1
sacht,1880,4,4
sacht,1882,1,1
sacht,1883,1,1
sacht,1884,1,1
sacht,1888,1,1
sacht,1889,1,1
sacht,1890,1,1
sacht,1893,1,1
sacht,1895,1,1
sacht,1896,1,1
sacht,1899,1,1
sacht,1901,1,1
sacht,1902,7,5
sacht,1906,1,1
sacht,1908,1,1
sacht,1912,1,1
sacht,1913,1,1
sacht,1914,7,4
sacht,1925,5,5
sacht,1928,6,6
sacht,1934,1,1
sacht,1936,2,2
sacht,1938,3,3
sacht,1939,1,1
sacht,1953,1,1
sacht,1954,1,1
sacht,1957,1,1
sacht,1958,2,2
sacht,1959,1,1
sacht,1960,2,2
sacht,1961,5,5
sacht,1962,3,3
sacht,1963,1,1
sacht,1964,2,2
sacht,1965,8,5
sacht,1966,1,1
sacht,1967,1,1
sacht,1968,1,1
sacht,1969,1,1
sacht,1970,4,4
sacht,1971,4,4
sacht,1972,2,2
sacht,1973,2,2
sacht,1974,2,2
sacht,1975,6,5
sacht,1977,3,3
sacht,1978,3,3
sacht,1979,5,5
sacht,1980,15,7
sacht,1981,10,4
sacht,1982,2,2
sacht,1983,2,2
sacht,1985,2,2
sacht,1986,2,2
sacht,1987,2,2
sacht,1988,2,2
sacht,1989,3,3
sacht,1990,1,1
sacht,1991,1,1
sacht,1992,1,1
sacht,1993,11,4
sacht,1995,5,2
sacht,1996,4,3
sacht,1997,5,4
sacht,1998,6,6
sacht,1999,5,2
sacht,2000,2,2
sacht,2002,4,4
sacht,2003,2,2
sacht,2004,3,3
sacht,2007,2,2
sacht,2008,6,6
sacle,1730,1,1
sacle,1805,1,1
sacle,1835,1,1
sacle,1853,1,1
sacle,1861,1,1
sacle,1895,1,1
sacle,1899,1,1
sacle,1902,1,1
sacle,1910,1,1
sacle,1911,3,3
sacle,1913,1,1
sacle,1919,1,1
sacle,1922,1,1
sacle,1929,1,1
sacle,1930,9,9
sacle,1932,3,3
sacle,1933,1,1
sacle,1935,1,1
sacle,1940,1,1
sacle,1946,3,3
sacle,1947,1,1
sacle,1949,1,1
sacle,1952,2,2
sacle,1954,3,3
sacle,1955,1,1
sacle,1956,3,3
sacle,1957,2,2
sacle,1958,1,1
sacle,1960,6,4
sacle,1961,5,5
sacle,1962,1,1
sacle,1963,4,4
sacle,1964,6,6
sacle,1965,3,3
sacle,1966,1,1
sacle,1967,7,7
sacle,1968,7,6
sacle,1969,2,2
sacle,1970,5,5
sacle,1971,7,6
sacle,1972,9,9
sacle,1973,13,12
sacle,1974,6,6
sacle,1975,11,9
sacle,1976,11,11
sacle,1977,4,4
sacle,1978,13,13
sacle,1979,13,13
sacle,1980,13,13
sacle,1981,7,7
sacle,1982,13,13
sacle,1983,5,5
sacle,1984,8,8
sacle,1985,8,8
sacle,1986,10,7
sacle,1987,11,11
sacle,1988,6,6
sacle,1989,11,11
sacle,1990,10,10
sacle,1991,6,6
sacle,1992,7,7
sacle,1993,10,8
sacle,1994,7,7
sacle,1995,3,3
sacle,1996,2,2
sacle,1997,4,4
sacle,1998,4,4
sacle,1999,4,4
sacle,2000,8,8
sacle,2001,10,10
sacle,2002,7,7
sacle,2004,2,2
sacle,2005,9,9
sacle,2006,5,5
sacle,2007,6,6
sacle,2008,3,3
sadan,1854,1,1
sadan,1862,2,2
