word,year,count,sources
taamish,1877,2,2
taamish,1880,12,5
taamish,1881,1,1
taamish,1882,2,2
taamish,1883,2,2
taamish,1884,4,4
taamish,1885,3,3
taamish,1886,11,3
taamish,1887,1,1
taamish,1889,3,3
taamish,1891,2,2
taamish,1893,3,3
taamish,1895,3,3
taamish,1896,6,6
taamish,1897,3,3
taamish,1898,2,2
taamish,1901,1,1
taamish,1904,1,1
taamish,1905,1,1
taamish,1906,2,2
taamish,1910,1,1
taamish,1916,3,3
taamish,1920,1,1
taamish,1921,2,2
taamish,1943,6,2
taamish,1966,1,1
taamish,1975,1,1
taamish,2002,1,1
taamish,2003,3,3
tabasco,1811,1,1
tabasco,1815,1,1
tabasco,1832,1,1
tabasco,1835,1,1
tabasco,1836,1,1
tabasco,1839,1,1
tabasco,1843,1,1
tabasco,1844,1,1
tabasco,1846,3,3
tabasco,1851,1,1
tabasco,1854,1,1
tabasco,1858,2,1
tabasco,1873,7,7
tabasco,1874,2,1
tabasco,1875,1,1
tabasco,1885,1,1
tabasco,1892,16,16
tabasco,1893,3,3
tabasco,1895,3,3
tabasco,1897,1,1
tabasco,1898,4,2
tabasco,1899,22,8
tabasco,1900,46,8
tabasco,1901,10,5
tabasco,1902,23,16
tabasco,1903,8,8
tabasco,1904,10,10
tabasco,1905,18,17
tabasco,1906,29,16
tabasco,1907,9,7
tabasco,1908,16,12
tabasco,1909,24,18
tabasco,1910,28,27
tabasco,1911,35,32
tabasco,1912,23,14
tabasco,1913,32,16
tabasco,1914,31,21
tabasco,1915,28,22
tabasco,1916,19,19
tabasco,1917,27,18
tabasco,1918,21,21
tabasco,1919,21,20
tabasco,1920,23,20
tabasco,1921,21,20
tabasco,1922,29,29
tabasco,1923,8,8
tabasco,1924,21,14
tabasco,1925,21,17
tabasco,1926,11,11
tabasco,1927,9,5
tabasco,1928,82,26
tabasco,1929,22,20
tabasco,1930,19,17
tabasco,1931,103,22
tabasco,1932,64,16
tabasco,1933,23,22
tabasco,1934,17,14
tabasco,1935,35,25
tabasco,1936,22,18
tabasco,1937,19,17
tabasco,1938,44,26
tabasco,1939,50,14
tabasco,1940,32,29
tabasco,1941,44,31
tabasco,1942,34,19
tabasco,1943,36,28
tabasco,1944,20,15
tabasco,1945,22,19
tabasco,1946,22,19
tabasco,1947,36,21
tabasco,1948,38,24
tabasco,1949,26,16
tabasco,1950,37,30
