word,year,count,sources
uaber,1812,1,1
uaber,1842,1,1
uaber,1845,2,1
uaber,1865,1,1
uaber,1893,1,1
uaber,1928,1,1
uaber,1930,1,1
uaber,1933,2,2
uaber,1934,1,1
uaber,1937,3,3
uaber,1939,3,3
uaber,1940,1,1
uaber,1941,2,2
uaber,1942,1,1
uaber,1943,3,3
uaber,1946,1,1
uaber,1947,1,1
uaber,1948,1,1
uaber,1950,1,1
uaber,1951,1,1
uaber,1953,1,1
uaber,1954,1,1
uaber,1956,2,2
uaber,1960,2,2
uaber,1961,1,1
uaber,1963,1,1
uaber,1964,2,1
uaber,1966,1,1
uaber,1968,1,1
uaber,1969,1,1
uaber,1971,3,3
uaber,1973,1,1
uaber,1975,2,2
uaber,1976,1,1
uaber,1979,1,1
uaber,1981,2,2
uaber,1983,1,1
uaber,1985,1,1
uaber,1986,1,1
uaber,1987,1,1
uaber,1988,1,1
uaber,1989,1,1
uaber,1991,1,1
uaber,1992,3,2
uaber,1995,1,1
uaber,1998,1,1
uaber,2001,3,3
uaber,2008,1,1
uctures,1779,1,1
uctures,1818,1,1
uctures,1820,2,2
uctures,1825,1,1
uctures,1853,2,2
uctures,1857,1,1
uctures,1863,1,1
uctures,1867,1,1
uctures,1870,1,1
uctures,1873,2,2
uctures,1876,1,1
uctures,1878,1,1
uctures,1880,2,2
uctures,1884,1,1
uctures,1885,1,1
uctures,1889,2,2
uctures,1894,1,1
uctures,1895,1,1
uctures,1896,1,1
uctures,1897,1,1
uctures,1901,1,1
uctures,1902,1,1
uctures,1906,1,1
uctures,1907,2,2
uctures,1908,2,2
uctures,1910,1,1
uctures,1912,1,1
uctures,1913,1,1
uctures,1914,2,2
uctures,1915,2,2
uctures,1917,1,1
uctures,1918,1,1
uctures,1920,2,2
uctures,1921,1,1
uctures,1922,1,1
uctures,1923,1,1
uctures,1924,1,1
uctures,1925,1,1
uctures,1929,1,1
uctures,1931,1,1
uctures,1932,1,1
uctures,1933,1,1
uctures,1935,1,1
uctures,1936,2,2
uctures,1939,3,3
uctures,1940,2,2
uctures,1942,2,2
uctures,1943,1,1
uctures,1945,1,1
uctures,1946,1,1
uctures,1947,2,2
uctures,1949,1,1
uctures,1950,1,1
uctures,1951,2,2
uctures,1956,1,1
uctures,1957,2,2
uctures,1958,2,2
uctures,1959,1,1
uctures,1960,8,8
uctures,1961,7,5
uctures,1962,3,3
uctures,1963,7,7
uctures,1964,5,5
uctures,1965,6,6
uctures,1966,5,5
uctures,1967,9,8
uctures,1968,3,3
uctures,1969,2,2
uctures,1970,7,7
uctures,1971,7,7
uctures,1972,5,5
uctures,1973,8,8
uctures,1974,8,8
uctures,1975,11,10
uctures,1976,5,5
uctures,1977,13,13
uctures,1978,7,7
uctures,1979,13,11
uctures,1980,16,13
uctures,1981,8,8
uctures,1982,9,8
uctures,1983,15,14
uctures,1984,26,22
uctures,1985,21,20
uctures,1986,12,11
uctures,1987,13,11
uctures,1988,8,7
uctures,1989,12,12
uctures,1990,12,12
uctures,1991,9,7
uctures,1992,23,21
uctures,1993,9,9
uctures,1994,8,8
uctures,1995,11,10
uctures,1996,19,17
uctures,1997,12,11
uctures,1998,14,13
uctures,1999,13,12
uctures,2000,18,14
uctures,2001,16,16
uctures,2002,13,11
uctures,2003,16,13
uctures,2004,20,17
uctures,2005,36,29
uctures,2006,21,19
uctures,2007,9,9
uctures,2008,32,30
udcs,1832,1,1
udcs,1837,1,1
udcs,1851,1,1
udcs,1862,1,1
udcs,1886,1,1
udcs,1893,1,1
udcs,1911,1,1
udcs,1929,1,1
udcs,1958,5,1
udcs,1960,5,1
udcs,1965,1,1
udcs,1968,1,1
udcs,1969,1,1
udcs,1970,2,2
udcs,1971,2,2
udcs,1972,1,1
udcs,1974,2,2
udcs,1975,1,1
udcs,1976,122,1
udcs,1977,2,2
udcs,1978,1,1
udcs,1979,1,1
udcs,1982,1,1
udcs,1983,1,1
udcs,1984,3,2
udcs,1986,5,2
udcs,1991,1,1
udcs,1992,2,2
udcs,1994,5,2
udcs,1995,1,1
udcs,1997,1,1
udcs,1998,1,1
udcs,1999,2,1
udcs,2001,1,1
udcs,2003,1,1
udcs,2004,2,2
udcs,2005,2,2
udcs,2006,1,1
udcs,2008,1,1
ueans,1792,1,1
ueans,1803,1,1
ueans,1809,1,1
ueans,1813,1,1
ueans,1814,1,1
ueans,1818,1,1
ueans,1819,1,1
ueans,1820,2,2
ueans,1823,1,1
ueans,1824,1,1
ueans,1825,1,1
ueans,1833,1,1
ueans,1837,1,1
ueans,1847,1,1
ueans,1854,1,1
ueans,1855,2,2
ueans,1857,1,1
ueans,1858,1,1
ueans,1860,2,2
ueans,1862,1,1
ueans,1867,1,1
ueans,1870,1,1
ueans,1871,1,1
ueans,1874,1,1
ueans,1876,1,1
ueans,1878,1,1
ueans,1880,1,1
ueans,1881,1,1
ueans,1882,2,2
ueans,1885,1,1
ueans,1886,1,1
ueans,1889,2,2
ueans,1890,1,1
ueans,1891,1,1
ueans,1894,1,1
ueans,1896,1,1
ueans,1897,2,2
ueans,1899,2,2
ueans,1900,1,1
ueans,1901,1,1
ueans,1902,2,1
ueans,1903,1,1
ueans,1905,1,1
ueans,1906,1,1
ueans,1907,1,1
ueans,1908,1,1
ueans,1910,1,1
ueans,1914,1,1
ueans,1916,1,1
ueans,1917,1,1
ueans,1923,1,1
ueans,1924,1,1
ueans,1925,1,1
ueans,1926,2,2
ueans,1928,4,3
ueans,1929,3,3
ueans,1930,2,2
ueans,1931,1,1
ueans,1933,5,4
ueans,1935,3,3
ueans,1937,3,3
ueans,1938,1,1
ueans,1939,5,3
ueans,1940,2,2
ueans,1941,3,3
ueans,1942,5,4
ueans,1943,1,1
ueans,1944,3,2
ueans,1945,2,2
ueans,1946,3,3
ueans,1947,6,6
ueans,1948,2,2
ueans,1949,5,5
ueans,1950,8,8
ueans,1951,4,4
ueans,1952,6,6
ueans,1953,4,4
ueans,1954,1,1
ueans,1955,6,6
ueans,1956,4,4
ueans,1957,5,4
ueans,1958,5,5
ueans,1959,3,3
ueans,1960,6,6
ueans,1961,1,1
ueans,1962,2,2
ueans,1964,1,1
ueans,1965,9,7
ueans,1966,5,4
ueans,1967,9,8
ueans,1968,2,2
ueans,1970,2,2
ueans,1971,4,4
ueans,1972,6,5
ueans,1973,6,5
ueans,1974,4,4
ueans,1976,3,3
ueans,1977,1,1
ueans,1978,2,2
ueans,1979,2,2
ueans,1980,2,2
ueans,1981,5,5
ueans,1982,5,5
ueans,1983,4,4
ueans,1984,5,5
ueans,1985,2,2
ueans,1986,2,2
ueans,1987,4,3
ueans,1989,1,1
ueans,1990,2,2
ueans,1992,1,1
ueans,1993,1,1
ueans,1996,1,1
ueans,2003,2,2
ueans,2006,3,3
ueans,2007,1,1
ueans,2008,3,3
uend,1726,1,1
uend,1772,1,1
uend,1822,1,1
uend,1836,1,1
uend,1847,1,1
uend,1848,1,1
uend,1866,1,1
uend,1870,2,2
uend,1881,1,1
uend,1889,1,1
uend,1890,2,2
uend,1907,1,1
uend,1908,3,3
uend,1909,1,1
uend,1927,1,1
uend,1931,1,1
uend,1934,1,1
uend,1937,3,3
uend,1944,1,1
uend,1948,1,1
uend,1951,4,1
uend,1952,2,2
uend,1953,12,3
