word,year,count,sources
vacances,1724,2,2
vacances,1741,1,1
vacances,1762,1,1
vacances,1775,1,1
vacances,1791,1,1
vacances,1793,1,1
vacances,1795,1,1
vacances,1804,4,4
vacances,1809,1,1
vacances,1817,7,6
vacances,1822,2,2
vacances,1823,1,1
vacances,1824,3,1
vacances,1827,1,1
vacances,1829,5,5
vacances,1830,1,1
vacances,1833,1,1
vacances,1838,1,1
vacances,1841,7,6
vacances,1842,5,5
vacances,1843,16,6
vacances,1844,2,2
vacances,1848,1,1
vacances,1849,1,1
vacances,1850,1,1
vacances,1853,3,3
vacances,1854,15,3
vacances,1855,2,2
vacances,1857,30,12
vacances,1858,6,2
vacances,1859,11,3
vacances,1860,1,1
vacances,1862,2,1
vacances,1865,4,4
vacances,1866,5,5
vacances,1867,1,1
vacances,1868,10,3
vacances,1869,1,1
vacances,1873,4,2
vacances,1875,1,1
vacances,1876,3,1
vacances,1878,2,2
vacances,1879,1,1
vacances,1880,2,2
vacances,1881,5,4
vacances,1882,1,1
vacances,1883,17,17
vacances,1884,2,2
vacances,1886,17,5
vacances,1888,1,1
vacances,1890,3,3
vacances,1891,11,4
vacances,1892,8,4
vacances,1895,16,16
vacances,1896,6,4
vacances,1897,10,9
vacances,1899,2,2
vacances,1900,7,7
vacances,1901,20,18
vacances,1902,5,4
vacances,1903,4,4
vacances,1904,14,12
vacances,1905,13,7
vacances,1906,8,8
vacances,1907,20,14
vacances,1908,4,3
vacances,1909,2,2
vacances,1910,3,3
vacances,1911,19,10
vacances,1912,16,12
vacances,1913,1,1
vacances,1914,15,12
vacances,1915,5,3
vacances,1916,3,3
vacances,1917,7,7
vacances,1918,11,11
vacances,1919,19,19
vacances,1920,10,4
vacances,1921,1,1
vacances,1922,17,16
vacances,1923,5,5
vacances,1924,6,3
vacances,1925,13,13
vacances,1926,6,4
vacances,1927,8,8
vacances,1928,8,5
vacances,1929,30,13
vacances,1930,11,9
vacances,1931,26,16
vacances,1932,20,13
vacances,1933,17,11
vacances,1934,6,4
vacances,1935,22,18
vacances,1936,7,4
vacances,1937,25,17
vacances,1938,14,12
vacances,1939,4,3
vacances,1940,12,5
vacances,1941,23,5
vacances,1942,20,7
vacances,1943,4,4
vacances,1944,11,8
vacances,1945,2,2
vacances,1946,6,4
vacances,1947,17,10
vacances,1948,7,7
vacances,1949,4,4
vacances,1950,9,7
vacances,1951,18,12
vacances,1952,17,16
vacances,1953,22,13
vacances,1954,103,15
vacances,1955,84,12
vacances,1956,518,17
vacances,1957,28,21
vacances,1958,78,30
vacances,1959,177,22
vacances,1960,101,22
vacances,1961,436,31
vacances,1962,167,30
vacances,1963,162,31
vacances,1964,131,43
vacances,1965,205,29
vacances,1966,104,30
vacances,1967,85,34
vacances,1968,129,55
vacances,1969,91,58
vacances,1970,97,44
vacances,1971,90,51
vacances,1972,110,60
vacances,1973,85,52
vacances,1974,77,47
vacances,1975,112,49
vacances,1976,99,57
vacances,1977,77,49
vacances,1978,83,40
vacances,1979,100,66
vacances,1980,86,56
vacances,1981,120,59
vacances,1982,76,57
vacances,1983,117,64
vacances,1984,99,71
vacances,1985,140,78
vacances,1986,168,70
vacances,1987,138,74
vacances,1988,128,84
vacances,1989,111,83
vacances,1990,186,92
vacances,1991,108,72
vacances,1992,152,85
vacances,1993,179,97
vacances,1994,233,109
vacances,1995,146,80
vacances,1996,262,94
vacances,1997,260,101
vacances,1998,215,96
vacances,1999,254,101
vacances,2000,373,150
vacances,2001,301,138
vacances,2002,1405,122
vacances,2003,361,119
vacances,2004,274,139
vacances,2005,242,135
vacances,2006,385,188
vacances,2007,350,150
vacances,2008,338,182
vaganza,1769,1,1
vaganza,1834,1,1
vaganza,1851,1,1
vaganza,1900,2,2
vaganza,1912,1,1
vaganza,1917,1,1
vaganza,1930,2,2
vaganza,1943,1,1
vaganza,1948,1,1
vaganza,1958,1,1
vaganza,1960,2,2
vaganza,1964,2,2
vaganza,1969,1,1
vaganza,1976,2,2
vaganza,1978,3,3
vaganza,1983,1,1
vaganza,1984,1,1
vaganza,1986,2,2
vaganza,1987,2,2
vaganza,1990,3,3
vaganza,1991,3,3
vaganza,1995,1,1
vaganza,1998,1,1
vaganza,1999,1,1
vaganza,2001,15,4
vaganza,2003,5,3
vaganza,2004,2,2
vaganza,2005,3,3
vaganza,2006,1,1
vaganza,2007,1,1
vaganza,2008,6,6
vaginalitis,1851,1,1
vaginalitis,1854,10,1
vaginalitis,1859,11,2
vaginalitis,1864,1,1
vaginalitis,1865,10,1
vaginalitis,1867,2,2
vaginalitis,1868,1,1
vaginalitis,1869,1,1
vaginalitis,1875,1,1
vaginalitis,1881,5,3
vaginalitis,1882,1,1
vaginalitis,1885,1,1
vaginalitis,1891,1,1
vaginalitis,1893,20,2
vaginalitis,1894,2,1
vaginalitis,1895,21,5
vaginalitis,1896,3,1
vaginalitis,1897,8,4
vaginalitis,1898,7,3
vaginalitis,1900,25,6
vaginalitis,1901,6,2
vaginalitis,1904,21,5
vaginalitis,1905,6,2
vaginalitis,1906,13,6
vaginalitis,1907,1,1
vaginalitis,1908,1,1
vaginalitis,1909,1,1
vaginalitis,1910,25,7
vaginalitis,1911,9,4
vaginalitis,1912,16,7
vaginalitis,1915,1,1
vaginalitis,1917,4,1
vaginalitis,1918,6,2
vaginalitis,1919,6,2
vaginalitis,1920,2,1
vaginalitis,1921,1,1
vaginalitis,1924,6,2
vaginalitis,1926,1,1
vaginalitis,1928,1,1
vaginalitis,1930,3,1
vaginalitis,1935,3,2
vaginalitis,1936,1,1
vaginalitis,1938,3,1
vaginalitis,1943,3,1
vaginalitis,1950,3,1
vaginalitis,1952,14,4
vaginalitis,1955,3,2
vaginalitis,1958,3,1
vaginalitis,1963,1,1
vaginalitis,1964,1,1
vaginalitis,1965,3,3
vaginalitis,1966,2,1
vaginalitis,1979,2,2
vaginalitis,1980,2,1
vaginalitis,1982,2,1
vaginalitis,1984,2,1
vaginalitis,1985,3,2
vaginalitis,1986,5,5
vaginalitis,1987,1,1
vaginalitis,1988,1,1
vaginalitis,1990,6,6
vaginalitis,1993,4,4
vaginalitis,1995,1,1
vaginalitis,1996,1,1
vaginalitis,2000,2,1
vaginalitis,2002,2,2
vaginalitis,2003,2,1
vaginalitis,2006,1,1
vaginalitis,2008,1,1
vainy,1659,1,1
vainy,1703,1,1
vainy,1719,1,1
vainy,1744,1,1
vainy,1753,1,1
vainy,1754,1,1
