word,year,count,sources
wabet,1959,4,2
wabet,1968,1,1
wabet,1985,2,2
wabet,1990,1,1
wabet,1992,7,3
wabet,1993,1,1
wabet,1994,1,1
wabet,1995,3,3
wabet,1996,45,3
wabet,1998,11,5
wabet,1999,32,6
wabet,2000,2,2
wabet,2001,16,7
wabet,2002,16,8
wabet,2003,370,8
wabet,2004,11,7
wabet,2005,53,10
wabet,2006,23,7
wabet,2007,10,5
wabet,2008,6,4
waea,1814,1,1
waea,1818,1,1
waea,1828,1,1
waea,1837,1,1
waea,1838,2,2
waea,1841,1,1
waea,1848,1,1
waea,1849,1,1
waea,1852,2,1
waea,1854,1,1
waea,1855,6,3
waea,1856,2,2
waea,1858,1,1
waea,1863,1,1
waea,1870,7,4
waea,1877,2,2
waea,1882,1,1
waea,1898,1,1
waea,1907,1,1
waea,1916,1,1
waea,1935,3,3
waea,1941,1,1
waea,1944,3,3
waea,1949,1,1
waea,1951,2,2
waea,1953,1,1
waea,1966,3,3
waea,1967,1,1
waea,1968,1,1
waea,1969,2,2
waea,1970,1,1
waea,1971,1,1
waea,1972,5,4
waea,1974,3,3
waea,1976,5,3
waea,1981,5,2
waea,1982,1,1
waea,1983,1,1
waea,1984,2,2
waea,1988,4,4
waea,1989,2,2
waea,1990,7,2
waea,1991,1,1
waea,1992,1,1
waea,1993,1,1
waea,1994,2,2
waea,1995,2,2
waea,1996,2,2
waea,1997,1,1
waea,1998,4,4
waea,1999,3,3
waea,2000,3,3
waea,2001,1,1
waea,2002,1,1
waea,2003,1,1
waea,2004,2,1
waea,2005,1,1
waea,2006,26,3
waea,2007,2,2
waea,2008,5,4
wagona,1825,1,1
wagona,1832,1,1
wagona,1842,1,1
wagona,1843,1,1
wagona,1845,2,2
wagona,1849,2,2
wagona,1850,1,1
wagona,1851,1,1
wagona,1856,2,2
wagona,1857,1,1
wagona,1861,1,1
wagona,1865,3,3
wagona,1866,2,1
wagona,1868,1,1
wagona,1869,1,1
wagona,1874,1,1
wagona,1879,1,1
wagona,1882,1,1
wagona,1883,1,1
wagona,1884,2,2
wagona,1885,2,2
wagona,1887,1,1
wagona,1888,1,1
wagona,1890,2,2
wagona,1898,1,1
wagona,1900,4,4
wagona,1902,2,2
wagona,1903,1,1
wagona,1904,1,1
wagona,1906,1,1
wagona,1909,1,1
wagona,1912,1,1
wagona,1914,2,2
wagona,1917,1,1
wagona,1918,1,1
wagona,1920,2,2
wagona,1921,2,2
wagona,1922,3,3
wagona,1924,3,3
wagona,1925,2,2
wagona,1926,1,1
wagona,1927,2,2
wagona,1930,1,1
wagona,1931,1,1
wagona,1932,1,1
wagona,1933,1,1
wagona,1935,1,1
wagona,1938,2,2
wagona,1939,1,1
wagona,1941,1,1
wagona,1942,1,1
wagona,1944,1,1
wagona,1947,1,1
wagona,1948,1,1
wagona,1949,1,1
wagona,1950,2,2
wagona,1951,2,2
wagona,1954,1,1
wagona,1956,3,3
wagona,1957,1,1
wagona,1959,2,2
wagona,1961,2,2
wagona,1965,3,3
wagona,1969,1,1
wagona,1970,1,1
wagona,1972,2,2
wagona,1973,1,1
wagona,1974,1,1
wagona,1975,1,1
wagona,1976,2,2
wagona,1977,7,4
wagona,1978,1,1
wagona,1980,1,1
wagona,1981,4,4
wagona,1983,1,1
wagona,1985,1,1
wagona,1986,5,5
wagona,1987,3,3
wagona,1988,2,2
wagona,1992,4,1
wagona,1993,1,1
wagona,1995,1,1
wagona,1998,1,1
wagona,1999,3,2
wagona,2000,1,1
wagona,2003,1,1
wagona,2006,2,1
wagona,2008,16,15
walior,1836,2,1
walior,1853,1,1
walior,1859,1,1
walior,1872,1,1
walior,1876,1,1
walior,1878,2,2
walior,1881,2,2
walior,1890,1,1
walior,1896,2,2
walior,1897,1,1
walior,1902,1,1
walior,1909,1,1
walior,1912,1,1
walior,1916,1,1
walior,1925,1,1
walior,1944,1,1
walior,1955,1,1
walior,1961,1,1
walior,1964,5,3
walior,1965,1,1
walior,1971,1,1
walior,1978,3,2
walior,1984,1,1
walior,1985,1,1
walior,1986,2,2
walior,1988,1,1
walior,1990,1,1
walior,1992,1,1
walior,1993,2,2
walior,1994,1,1
walior,1995,1,1
walior,1996,5,4
walior,1999,1,1
walior,2005,1,1
walior,2006,3,3
walior,2008,5,5
wame,1643,4,1
wame,1644,1,1
wame,1749,1,1
wame,1770,1,1
wame,1778,1,1
wame,1788,1,1
wame,1795,2,1
wame,1800,3,1
wame,1805,1,1
wame,1806,3,3
wame,1807,11,3
wame,1808,5,5
wame,1809,1,1
wame,1810,1,1
wame,1811,8,2
wame,1813,2,2
wame,1814,2,2
wame,1816,10,10
wame,1817,3,3
wame,1818,16,9
wame,1819,23,19
wame,1820,2,2
wame,1821,6,3
wame,1822,7,4
wame,1824,15,15
wame,1825,3,3
wame,1826,7,6
wame,1827,2,2
wame,1828,6,6
wame,1829,10,8
wame,1830,6,6
wame,1831,19,12
wame,1832,6,6
wame,1833,12,11
wame,1834,26,16
wame,1835,2,2
wame,1836,16,16
wame,1837,18,11
wame,1838,14,8
wame,1839,21,13
wame,1840,7,7
wame,1841,8,6
wame,1842,5,4
wame,1843,14,8
wame,1844,13,12
wame,1845,15,12
wame,1846,25,18
wame,1847,16,11
wame,1848,15,14
wame,1849,11,9
wame,1850,8,6
wame,1851,4,4
wame,1852,32,23
wame,1853,5,5
wame,1854,5,5
wame,1855,7,6
wame,1856,12,10
wame,1857,10,10
wame,1858,11,8
wame,1859,14,12
wame,1860,16,13
wame,1861,29,19
wame,1862,17,5
wame,1863,10,8
wame,1864,13,13
wame,1865,16,13
wame,1866,5,5
wame,1867,13,7
wame,1868,8,6
wame,1869,14,10
wame,1870,30,16
wame,1871,27,19
wame,1872,16,16
wame,1873,7,4
wame,1874,12,11
wame,1875,4,4
wame,1876,7,7
wame,1877,10,9
wame,1878,5,5
wame,1879,8,7
wame,1880,24,16
wame,1881,13,11
wame,1882,16,13
wame,1883,11,11
wame,1884,31,19
wame,1885,10,9
wame,1886,9,9
wame,1887,9,8
wame,1888,11,11
wame,1889,8,7
wame,1890,13,9
wame,1891,24,23
wame,1892,29,26
wame,1893,66,45
wame,1894,26,23
wame,1895,65,39
wame,1896,40,28
wame,1897,31,24
wame,1898,18,15
wame,1899,45,36
wame,1900,47,35
wame,1901,52,38
wame,1902,37,28
wame,1903,13,11
wame,1904,55,49
wame,1905,40,26
wame,1906,21,15
wame,1907,27,23
wame,1908,18,11
wame,1909,22,18
wame,1910,17,11
wame,1911,30,25
wame,1912,44,23
wame,1913,21,15
wame,1914,10,4
wame,1915,15,8
wame,1916,5,5
wame,1917,5,5
wame,1918,15,15
wame,1919,20,13
wame,1920,13,11
wame,1921,10,10
wame,1922,19,10
wame,1923,56,35
wame,1924,15,13
wame,1925,19,16
wame,1926,21,12
wame,1927,7,5
wame,1928,7,6
wame,1929,12,11
wame,1930,11,9
wame,1931,14,14
wame,1932,14,13
wame,1933,13,10
wame,1934,11,10
wame,1935,9,7
wame,1936,10,10
wame,1937,7,7
wame,1938,6,6
wame,1939,5,4
wame,1940,29,7
wame,1941,2,2
wame,1942,7,7
wame,1943,4,2
wame,1944,3,3
wame,1945,5,3
wame,1946,8,8
wame,1947,28,15
wame,1948,21,16
wame,1949,12,9
wame,1950,9,8
wame,1951,13,11
wame,1952,16,9
wame,1953,18,17
wame,1954,10,9
wame,1955,5,2
wame,1956,8,8
wame,1957,4,4
wame,1958,12,9
wame,1959,10,9
wame,1960,20,16
wame,1961,5,5
wame,1962,10,5
wame,1963,6,5
wame,1964,24,9
wame,1965,9,7
wame,1966,25,20
wame,1967,28,18
wame,1968,11,10
wame,1969,21,20
wame,1970,28,21
wame,1971,25,21
wame,1972,13,12
wame,1973,12,10
wame,1974,12,11
wame,1975,17,16
wame,1976,30,21
wame,1977,25,15
wame,1978,30,17
wame,1979,15,10
wame,1980,17,11
wame,1981,55,16
wame,1982,18,14
wame,1983,13,11
wame,1984,17,12
wame,1985,9,7
wame,1986,19,16
wame,1987,22,13
wame,1988,33,17
wame,1989,26,16
wame,1990,36,27
wame,1991,27,20
wame,1992,29,20
wame,1993,23,17
wame,1994,56,30
wame,1995,57,29
wame,1996,36,26
wame,1997,51,28
wame,1998,25,13
wame,1999,52,21
wame,2000,42,36
wame,2001,68,38
wame,2002,30,21
wame,2003,92,34
wame,2004,78,50
wame,2005,59,46
wame,2006,131,67
wame,2007,142,81
wame,2008,259,178
warath,1828,2,2
warath,1841,5,5
warath,1843,1,1
warath,1927,1,1
warath,1933,1,1
warath,1934,4,2
warath,1939,1,1
warath,1942,1,1
warath,1948,1,1
warath,1949,2,2
warath,1950,3,3
warath,1951,1,1
warath,1952,1,1
warath,1953,4,4
warath,1954,5,3
warath,1955,1,1
warath,1956,2,2
warath,1957,2,2
warath,1958,1,1
warath,1960,1,1
warath,1961,4,3
warath,1962,1,1
warath,1971,1,1
warath,1972,1,1
warath,1973,1,1
warath,1974,1,1
warath,1976,1,1
warath,1978,2,2
warath,1980,1,1
warath,1982,1,1
warath,1983,1,1
warath,1984,2,2
warath,1985,2,2
warath,1986,3,2
warath,1987,3,3
warath,1989,2,2
warath,1992,2,2
warath,1995,1,1
warath,1996,1,1
warath,1997,1,1
warath,2000,1,1
warath,2001,1,1
warath,2002,1,1
warath,2003,1,1
warath,2005,2,2
warbonnet,1875,3,3
warbonnet,1876,1,1
warbonnet,1879,2,2
warbonnet,1880,1,1
warbonnet,1883,1,1
warbonnet,1888,4,4
warbonnet,1889,2,2
warbonnet,1891,5,5
warbonnet,1892,2,2
warbonnet,1894,2,2
warbonnet,1895,1,1
warbonnet,1897,1,1
warbonnet,1901,4,4
warbonnet,1902,1,1
warbonnet,1903,4,4
warbonnet,1904,7,7
warbonnet,1905,3,3
warbonnet,1907,3,3
warbonnet,1908,9,5
warbonnet,1909,8,8
warbonnet,1910,7,7
warbonnet,1911,5,5
warbonnet,1912,20,11
warbonnet,1913,5,4
warbonnet,1914,7,7
warbonnet,1915,9,5
warbonnet,1917,1,1
warbonnet,1918,8,8
warbonnet,1919,2,2
warbonnet,1920,3,3
warbonnet,1921,31,15
warbonnet,1922,6,5
warbonnet,1923,8,6
warbonnet,1924,2,2
warbonnet,1925,7,2
warbonnet,1926,7,7
warbonnet,1927,1,1
warbonnet,1928,14,5
warbonnet,1929,8,7
warbonnet,1930,2,2
warbonnet,1931,15,2
warbonnet,1932,5,5
warbonnet,1933,3,3
warbonnet,1934,3,3
warbonnet,1935,8,7
warbonnet,1936,1,1
warbonnet,1937,11,4
warbonnet,1938,6,6
warbonnet,1939,16,7
warbonnet,1940,6,2
warbonnet,1941,5,2
warbonnet,1942,1,1
warbonnet,1943,1,1
warbonnet,1944,48,4
warbonnet,1945,1,1
warbonnet,1946,3,3
warbonnet,1947,6,2
warbonnet,1948,1,1
warbonnet,1949,5,2
warbonnet,1951,8,4
warbonnet,1952,6,6
warbonnet,1953,11,4
warbonnet,1954,6,6
warbonnet,1955,3,3
warbonnet,1956,4,2
warbonnet,1957,18,4
warbonnet,1958,1,1
warbonnet,1959,4,4
warbonnet,1960,6,5
warbonnet,1961,11,10
warbonnet,1962,57,10
warbonnet,1963,26,11
warbonnet,1964,9,5
warbonnet,1965,15,11
warbonnet,1966,14,8
warbonnet,1967,26,7
warbonnet,1968,25,9
warbonnet,1969,24,14
warbonnet,1970,11,7
warbonnet,1971,25,12
warbonnet,1972,41,17
warbonnet,1973,25,10
warbonnet,1974,15,12
warbonnet,1975,35,15
warbonnet,1976,49,25
warbonnet,1977,15,12
warbonnet,1978,30,20
warbonnet,1979,43,21
warbonnet,1980,23,10
warbonnet,1981,22,16
warbonnet,1982,17,16
warbonnet,1983,33,19
warbonnet,1984,41,21
warbonnet,1985,45,24
warbonnet,1986,24,15
warbonnet,1987,43,18
warbonnet,1988,47,24
warbonnet,1989,38,23
warbonnet,1990,58,28
warbonnet,1991,70,34
warbonnet,1992,70,39
warbonnet,1993,51,35
warbonnet,1994,117,37
warbonnet,1995,70,42
warbonnet,1996,89,46
warbonnet,1997,98,47
warbonnet,1998,57,38
warbonnet,1999,60,40
warbonnet,2000,66,38
warbonnet,2001,78,42
warbonnet,2002,60,39
warbonnet,2003,66,32
warbonnet,2004,70,34
warbonnet,2005,106,54
warbonnet,2006,84,46
warbonnet,2007,112,47
warbonnet,2008,61,38
warmem,1816,1,1
warmem,1828,1,1
warmem,1891,2,1
warmem,1928,2,2
warmem,1948,2,2
