word,year,count,sources
xdy,1717,1,1
xdy,1727,1,1
xdy,1826,1,1
xdy,1828,1,1
xdy,1830,3,3
xdy,1831,1,1
xdy,1847,1,1
xdy,1874,1,1
xdy,1881,1,1
xdy,1885,1,1
xdy,1886,1,1
xdy,1892,4,4
xdy,1895,2,2
xdy,1896,2,2
xdy,1898,1,1
xdy,1901,4,4
xdy,1903,1,1
xdy,1904,1,1
xdy,1906,2,2
xdy,1917,1,1
xdy,1919,1,1
xdy,1925,2,2
xdy,1926,4,4
xdy,1929,1,1
xdy,1933,2,2
xdy,1935,1,1
xdy,1938,3,1
xdy,1941,2,2
xdy,1945,1,1
xdy,1947,1,1
xdy,1948,2,2
xdy,1950,1,1
xdy,1953,1,1
xdy,1954,1,1
xdy,1955,1,1
xdy,1957,5,5
xdy,1959,8,8
xdy,1960,1,1
xdy,1961,1,1
xdy,1968,1,1
xdy,1969,5,3
xdy,1972,6,1
xdy,1978,3,3
xdy,1979,1,1
xdy,1980,2,2
xdy,1983,1,1
xdy,1985,1,1
xdy,1986,2,2
xdy,1987,1,1
xdy,1992,1,1
xdy,1993,1,1
xdy,1995,1,1
xdy,1996,3,3
xdy,1997,4,4
xdy,1998,2,2
xdy,1999,2,2
xdy,2002,10,8
xdy,2003,1,1
xdy,2004,3,3
xdy,2005,4,4
xdy,2006,2,2
xdy,2007,1,1
xenografting,1967,4,2
xenografting,1968,1,1
xenografting,1970,3,1
xenografting,1971,3,3
xenografting,1972,5,5
xenografting,1973,2,2
xenografting,1974,4,4
xenografting,1976,2,2
xenografting,1977,2,2
xenografting,1978,20,4
xenografting,1979,1,1
xenografting,1980,5,4
xenografting,1981,4,4
xenografting,1982,12,6
xenografting,1983,3,3
xenografting,1984,2,2
xenografting,1985,4,4
xenografting,1986,9,7
xenografting,1987,1,1
xenografting,1988,8,3
xenografting,1989,15,10
xenografting,1990,42,10
xenografting,1991,99,10
xenografting,1992,9,9
xenografting,1993,30,13
xenografting,1994,27,17
xenografting,1995,54,19
xenografting,1996,27,14
xenografting,1997,122,15
xenografting,1998,56,23
xenografting,1999,58,20
xenografting,2000,27,17
xenografting,2001,47,27
xenografting,2002,78,23
xenografting,2003,32,19
xenografting,2004,41,23
xenografting,2005,47,24
xenografting,2006,34,15
xenografting,2007,30,22
xenografting,2008,27,13
xha,1706,1,1
xha,1714,1,1
xha,1790,1,1
xha,1825,1,1
xha,1835,1,1
xha,1860,1,1
xha,1876,1,1
xha,1886,1,1
xha,1890,1,1
xha,1891,1,1
xha,1901,1,1
xha,1910,1,1
xha,1911,1,1
xha,1914,1,1
xha,1916,1,1
xha,1917,1,1
xha,1922,7,2
xha,1924,2,2
xha,1937,4,1
xha,1939,1,1
xha,1944,1,1
xha,1954,2,2
xha,1961,1,1
xha,1962,1,1
xha,1965,21,7
xha,1966,1,1
xha,1968,3,3
xha,1976,3,3
xha,1977,1,1
xha,1981,2,2
xha,1982,1,1
xha,1983,4,4
xha,1986,1,1
xha,1987,18,8
xha,1990,1,1
xha,1991,2,2
xha,1995,5,5
