word,year,count,sources
yais,1716,1,1
yais,1817,1,1
yais,1823,2,2
yais,1826,1,1
yais,1838,1,1
yais,1841,2,2
yais,1844,1,1
yais,1856,1,1
yais,1857,1,1
yais,1861,1,1
yais,1870,1,1
yais,1873,4,4
yais,1874,1,1
yais,1875,1,1
yais,1877,2,2
yais,1879,1,1
yais,1882,1,1
yais,1883,1,1
yais,1889,2,2
yais,1891,1,1
yais,1901,12,6
yais,1902,1,1
yais,1903,2,1
yais,1904,2,2
yais,1906,1,1
yais,1909,2,2
yais,1911,1,1
yais,1912,1,1
yais,1916,1,1
yais,1917,2,1
yais,1918,7,4
yais,1919,1,1
yais,1921,4,4
yais,1924,2,1
yais,1925,1,1
yais,1927,2,1
yais,1928,8,4
yais,1929,2,2
yais,1930,2,1
yais,1931,2,2
yais,1932,3,3
yais,1933,1,1
yais,1938,4,2
yais,1942,1,1
yais,1946,1,1
yais,1948,2,1
yais,1952,2,1
yais,1954,1,1
yais,1955,2,1
yais,1959,3,3
yais,1961,3,3
yais,1962,2,1
yais,1963,3,2
yais,1964,2,2
yais,1965,6,6
yais,1969,1,1
yais,1970,1,1
yais,1971,3,3
yais,1972,1,1
yais,1974,1,1
yais,1975,4,3
yais,1977,1,1
yais,1978,1,1
yais,1979,1,1
yais,1981,1,1
yais,1982,4,3
yais,1983,1,1
yais,1985,1,1
yais,1986,5,3
yais,1988,3,2
yais,1989,5,4
yais,1990,4,4
yais,1991,3,3
yais,1992,3,2
yais,1993,1,1
yais,1994,4,4
yais,1995,4,4
yais,1996,3,2
yais,1997,6,6
yais,1998,1,1
yais,1999,2,2
yais,2000,1,1
yais,2001,2,2
yais,2002,4,4
yais,2004,4,3
yais,2005,3,3
yais,2006,7,6
yais,2007,8,5
yais,2008,23,13
yaja,1850,1,1
yaja,1866,1,1
yaja,1885,1,1
yaja,1888,2,2
yaja,1893,1,1
yaja,1895,1,1
yaja,1916,1,1
yaja,1929,1,1
yaja,1939,1,1
yaja,1941,2,1
yaja,1944,1,1
yaja,1945,1,1
yaja,1953,2,1
yaja,1954,1,1
yaja,1956,1,1
yaja,1957,1,1
yaja,1959,2,2
yaja,1963,1,1
yaja,1964,2,2
yaja,1965,1,1
yaja,1967,13,2
yaja,1968,4,2
yaja,1969,1,1
yaja,1970,9,2
yaja,1971,2,2
yaja,1973,2,2
yaja,1974,14,7
yaja,1975,2,2
yaja,1976,13,12
yaja,1977,10,6
yaja,1978,2,2
yaja,1979,4,4
yaja,1980,2,2
