word,year,count,sources
A'Aang,1879,45,5
A'Aang,1882,5,4
A'Aang,1885,1,1
A'Aang,1891,1,1
A'Aang,1899,20,4
A'Aang,1927,3,1
A'Aang,1959,5,2
A'Aang,1962,2,2
A'Aang,1963,1,1
A'Aang,1966,45,13
A'Aang,1967,6,4
A'Aang,1968,5,4
A'Aang,1970,6,2
A'Aang,1975,4,1
A'Aang,2001,1,1
A'Aang,2004,3,1
A.Briggs,1874,1,1
A.Briggs,1903,2,2
A.Briggs,1908,1,1
A.Briggs,1941,1,1
A.Briggs,1962,1,1
A.Briggs,1968,2,2
A.Briggs,1971,1,1
A.Briggs,1972,1,1
A.Briggs,1975,2,1
A.Briggs,1976,4,1
A.Briggs,1977,1,1
A.Briggs,1978,4,2
A.Briggs,1979,5,2
A.Briggs,1980,2,2
A.Briggs,1982,2,2
A.Briggs,1985,6,6
A.Briggs,1986,2,2
A.Briggs,1987,6,5
A.Briggs,1988,25,9
A.Briggs,1989,1,1
A.Briggs,1990,6,4
A.Briggs,1991,3,3
A.Briggs,1992,2,2
A.Briggs,1993,9,7
A.Briggs,1994,16,9
A.Briggs,1995,13,11
A.Briggs,1996,28,12
A.Briggs,1997,9,7
A.Briggs,1998,22,13
A.Briggs,1999,8,5
A.Briggs,2000,6,6
A.Briggs,2001,11,7
A.Briggs,2002,12,8
A.Briggs,2003,16,5
A.Briggs,2004,3,3
A.Briggs,2005,11,8
A.Briggs,2006,5,4
A.Briggs,2007,2,1
A.Briggs,2008,2,2
A.C.I.I,1910,1,1
A.C.I.I,1923,2,2
A.C.I.I,1926,1,1
A.C.I.I,1927,1,1
A.C.I.I,1928,1,1
A.C.I.I,1931,5,5
A.C.I.I,1932,3,3
A.C.I.I,1933,3,3
A.C.I.I,1934,7,7
A.C.I.I,1935,4,4
A.C.I.I,1936,5,5
A.C.I.I,1937,10,10
A.C.I.I,1938,6,6
A.C.I.I,1939,3,3
A.C.I.I,1940,2,2
A.C.I.I,1941,1,1
A.C.I.I,1967,1,1
A.C.I.I,1994,1,1
A.C.I.I,1996,1,1
A.C.I.I,1997,1,1
A.C.I.I,1998,1,1
A.C.I.I,1999,2,2
A.C.I.I,2001,1,1
A.C.I.I,2007,3,2
A.C.M.S.,1859,1,1
A.C.M.S.,1867,1,1
A.C.M.S.,1942,2,1
A.C.M.S.,1945,2,1
A.C.M.S.,1947,1,1
A.C.M.S.,1948,6,2
A.C.M.S.,1949,13,1
A.C.M.S.,1951,4,2
A.C.M.S.,1953,9,4
A.C.M.S.,1954,10,1
A.C.M.S.,1957,6,1
A.C.M.S.,1958,1,1
A.C.M.S.,1960,6,1
A.C.M.S.,1962,15,1
A.C.M.S.,1964,5,3
A.C.M.S.,1965,14,5
A.C.M.S.,1966,1,1
A.C.M.S.,1969,3,2
A.C.M.S.,1971,22,1
A.C.M.S.,1973,1,1
A.C.M.S.,1976,3,3
A.C.M.S.,1977,7,2
A.C.M.S.,1978,2,1
A.C.M.S.,1979,12,1
A.C.M.S.,1980,1,1
A.C.M.S.,1982,3,1
A.C.M.S.,1983,5,1
A.C.M.S.,1984,5,1
A.C.M.S.,1985,6,2
A.C.M.S.,1989,5,1
A.C.M.S.,1990,1,1
A.C.M.S.,1991,2,1
A.C.M.S.,1994,1,1
A.C.M.S.,1998,4,1
A.C.M.S.,1999,1,1
A.C.M.S.,2001,3,2
A.C.M.S.,2002,7,4
A.C.M.S.,2003,18,3
A.C.M.S.,2004,3,1
A.C.M.S.,2005,3,1
A.C.M.S.,2007,2,1
A.D.A.C.,1934,1,1
A.D.A.C.,1947,2,1
A.D.A.C.,1948,1,1
A.D.A.C.,1952,1,1
A.D.A.C.,1953,6,3
A.D.A.C.,1954,2,2
A.D.A.C.,1955,1,1
A.D.A.C.,1956,1,1
A.D.A.C.,1960,2,2
A.D.A.C.,1963,6,1
A.D.A.C.,1968,2,1
A.D.A.C.,1969,2,2
A.D.A.C.,1970,6,3
A.D.A.C.,1971,3,2
A.D.A.C.,1973,4,1
A.D.A.C.,1974,1,1
A.D.A.C.,1976,2,2
A.D.A.C.,1977,1,1
A.D.A.C.,1979,3,2
A.D.A.C.,1980,2,2
A.D.A.C.,1983,1,1
A.D.A.C.,1984,2,2
A.D.A.C.,1985,3,2
A.D.A.C.,1989,1,1
A.D.A.C.,1990,3,1
A.D.A.C.,1993,2,2
A.D.A.C.,1994,2,1
A.D.A.C.,1995,2,2
A.D.A.C.,1997,1,1
A.D.A.C.,1998,3,3
A.D.A.C.,1999,5,3
A.D.A.C.,2000,1,1
A.D.A.C.,2001,3,2
A.D.A.C.,2002,8,4
A.D.A.C.,2003,1,1
A.D.A.C.,2006,1,1
A.D.A.C.,2007,2,2
A.IR.,1859,1,1
A.IR.,1917,1,1
A.IR.,1942,1,1
A.IR.,1951,1,1
A.IR.,1953,5,3
A.IR.,1954,4,3
A.IR.,1955,1,1
A.IR.,1956,6,3
A.IR.,1958,2,1
A.IR.,1959,6,2
A.IR.,1960,2,1
A.IR.,1961,2,2
A.IR.,1962,9,5
A.IR.,1963,5,3
A.IR.,1964,18,5
A.IR.,1965,6,4
A.IR.,1966,14,5
A.IR.,1967,4,4
A.IR.,1968,3,2
A.IR.,1969,2,1
A.IR.,1971,3,3
A.IR.,1972,2,2
A.IR.,1973,2,2
A.IR.,1974,1,1
A.IR.,1975,1,1
A.IR.,1976,4,2
A.IR.,1977,2,2
A.IR.,1978,2,2
A.IR.,1980,1,1
A.IR.,1982,12,3
A.IR.,1983,1,1
A.IR.,1984,2,2
A.IR.,1985,2,2
A.IR.,1986,4,1
A.IR.,1987,1,1
A.IR.,1988,7,3
A.IR.,1990,8,5
A.IR.,1991,8,5
A.IR.,1992,4,2
A.IR.,1996,6,2
A.IR.,1997,2,2
A.IR.,2000,1,1
A.IR.,2006,2,2
A.IR.,2007,2,2
A.J.B.,1875,16,2
A.J.B.,1876,4,1
A.J.B.,1877,2,1
A.J.B.,1882,1,1
A.J.B.,1884,2,2
A.J.B.,1899,3,2
A.J.B.,1900,1,1
A.J.B.,1903,1,1
A.J.B.,1912,1,1
A.J.B.,1914,2,2
A.J.B.,1915,2,2
A.J.B.,1917,3,3
A.J.B.,1918,1,1
A.J.B.,1921,2,2
A.J.B.,1925,3,3
A.J.B.,1926,3,3
A.J.B.,1927,2,2
A.J.B.,1928,8,6
A.J.B.,1930,4,4
A.J.B.,1931,23,9
A.J.B.,1932,56,10
A.J.B.,1933,1,1
A.J.B.,1934,21,9
A.J.B.,1935,46,9
A.J.B.,1936,8,4
A.J.B.,1937,9,5
A.J.B.,1938,22,4
A.J.B.,1939,6,6
A.J.B.,1940,3,3
A.J.B.,1942,8,2
A.J.B.,1943,3,3
A.J.B.,1945,6,6
A.J.B.,1946,8,4
A.J.B.,1947,18,4
A.J.B.,1948,2,1
A.J.B.,1949,20,4
A.J.B.,1950,2,2
A.J.B.,1951,31,6
A.J.B.,1952,15,7
A.J.B.,1953,46,9
A.J.B.,1954,10,6
A.J.B.,1955,52,18
A.J.B.,1956,11,10
A.J.B.,1957,3,2
A.J.B.,1958,8,8
A.J.B.,1959,24,11
A.J.B.,1960,72,17
A.J.B.,1961,23,8
A.J.B.,1962,13,8
A.J.B.,1963,300,25
A.J.B.,1964,66,22
A.J.B.,1965,43,22
A.J.B.,1966,31,21
A.J.B.,1967,45,20
A.J.B.,1968,49,23
A.J.B.,1969,99,30
A.J.B.,1970,71,30
A.J.B.,1971,40,19
A.J.B.,1972,81,31
A.J.B.,1973,110,40
A.J.B.,1974,100,34
A.J.B.,1975,63,25
A.J.B.,1976,94,61
A.J.B.,1977,103,46
A.J.B.,1978,77,46
A.J.B.,1979,43,28
A.J.B.,1980,218,79
A.J.B.,1981,145,66
A.J.B.,1982,110,56
A.J.B.,1983,166,91
A.J.B.,1984,180,89
A.J.B.,1985,177,79
A.J.B.,1986,143,79
A.J.B.,1987,148,81
A.J.B.,1988,214,84
A.J.B.,1989,154,93
A.J.B.,1990,110,63
A.J.B.,1991,117,80
A.J.B.,1992,167,112
A.J.B.,1993,151,85
A.J.B.,1994,186,95
A.J.B.,1995,393,108
A.J.B.,1996,205,115
A.J.B.,1997,156,87
A.J.B.,1998,194,111
A.J.B.,1999,165,109
A.J.B.,2000,180,107
A.J.B.,2001,172,108
A.J.B.,2002,146,95
A.J.B.,2003,156,112
A.J.B.,2004,230,120
A.J.B.,2005,237,126
A.J.B.,2006,220,124
A.J.B.,2007,301,126
A.J.B.,2008,321,118
A.L.L,1924,3,2
A.L.L,1930,1,1
A.L.L,1937,1,1
A.L.L,1938,1,1
A.L.L,1942,2,1
A.L.L,1959,1,1
A.L.L,1960,1,1
A.L.L,1963,5,2
A.L.L,1967,1,1
A.L.L,1970,1,1
A.L.L,1972,1,1
A.L.L,1982,5,1
A.L.L,1985,1,1
A.L.L,1990,1,1
A.L.L,1992,2,2
A.L.L,1993,4,3
A.L.L,1994,2,2
A.L.L,1996,2,1
A.L.L,1997,2,2
A.L.L,1998,3,1
A.L.L,1999,3,1
A.L.L,2002,4,4
A.L.L,2003,4,1
A.L.L,2004,11,3
A.L.L,2005,1,1
A.L.L,2006,2,1
A.L.L,2007,4,2
A.N.Kolmogorov,1958,1,1
A.N.Kolmogorov,1959,16,10
A.N.Kolmogorov,1964,2,1
A.N.Kolmogorov,1966,1,1
A.N.Kolmogorov,1967,1,1
A.N.Kolmogorov,1973,1,1
A.N.Kolmogorov,1980,1,1
A.N.Kolmogorov,1981,3,2
A.N.Kolmogorov,1983,1,1
A.N.Kolmogorov,1984,3,3
A.N.Kolmogorov,1985,4,3
A.N.Kolmogorov,1987,3,2
A.N.Kolmogorov,1988,3,1
A.N.Kolmogorov,1989,3,3
A.N.Kolmogorov,1990,2,1
A.N.Kolmogorov,1991,5,5
A.N.Kolmogorov,1993,3,1
A.N.Kolmogorov,1994,9,4
A.N.Kolmogorov,1995,1,1
A.N.Kolmogorov,1996,3,2
A.N.Kolmogorov,1998,3,3
A.N.Kolmogorov,1999,3,3
A.N.Kolmogorov,2000,4,4
A.N.Kolmogorov,2001,11,5
A.N.Kolmogorov,2002,6,5
A.N.Kolmogorov,2003,3,2
A.N.Kolmogorov,2004,9,5
A.N.Kolmogorov,2005,5,4
A.N.Kolmogorov,2006,1,1
A.N.Kolmogorov,2007,10,4
A.N.,1715,1,1
A.N.,1725,1,1
A.N.,1750,7,2
A.N.,1784,1,1
