word,year,count,sources
B'h,1794,1,1
B'h,1855,1,1
B'h,1872,1,1
B'h,1878,3,2
B'h,1884,1,1
B'h,1885,1,1
B'h,1892,1,1
B'h,1896,1,1
B'h,1898,3,3
B'h,1906,1,1
B'h,1908,1,1
B'h,1909,2,2
B'h,1910,1,1
B'h,1918,1,1
B'h,1920,2,2
B'h,1923,1,1
B'h,1924,1,1
B'h,1927,2,1
B'h,1929,1,1
B'h,1930,1,1
B'h,1931,1,1
B'h,1933,1,1
B'h,1935,1,1
B'h,1958,1,1
B'h,1964,2,2
B'h,1970,1,1
B'h,1971,1,1
B'h,1972,1,1
B'h,1974,1,1
B'h,1977,2,1
B'h,1978,2,1
B'h,1979,1,1
B'h,1980,4,1
B'h,1981,1,1
B'h,1982,2,1
B'h,1985,1,1
B'h,1987,2,2
B'h,1989,2,2
B'h,1991,5,3
B'h,1992,12,5
B'h,1993,9,3
B'h,1994,7,3
B'h,1995,1,1
B'h,1996,5,4
B'h,1997,4,4
B'h,1998,1,1
B'h,1999,1,1
B'h,2000,1,1
B'h,2001,3,3
B'h,2004,1,1
B'h,2006,3,3
B'h,2008,2,1
B.138,1862,1,1
B.138,1863,1,1
B.138,1925,1,1
B.138,1939,1,1
B.138,1945,1,1
B.138,1946,1,1
B.138,1948,2,1
B.138,1959,3,3
B.138,1961,3,1
B.138,1962,1,1
B.138,1963,5,5
B.138,1965,1,1
B.138,1966,3,3
B.138,1971,1,1
B.138,1974,2,2
B.138,1975,3,2
B.138,1976,11,2
B.138,1977,1,1
B.138,1978,5,3
B.138,1979,1,1
B.138,1980,3,3
B.138,1981,3,2
B.138,1982,4,1
B.138,1984,6,3
B.138,1985,3,2
B.138,1986,2,1
B.138,1988,1,1
B.138,1989,2,2
B.138,1990,2,2
B.138,1991,1,1
B.138,1992,9,5
B.138,1993,1,1
B.138,1995,1,1
B.138,1996,5,3
B.138,1997,1,1
B.138,1998,2,1
B.138,2000,3,3
B.138,2001,3,3
