word,year,count,sources
C'rit,1788,1,1
C'rit,1816,1,1
C'rit,1818,1,1
C'rit,1825,1,1
C'rit,1827,1,1
C'rit,1835,1,1
C'rit,1837,2,2
C'rit,1841,1,1
C'rit,1850,1,1
C'rit,1852,1,1
C'rit,1854,1,1
C'rit,1856,1,1
C'rit,1870,1,1
C'rit,1873,1,1
C'rit,1878,1,1
C'rit,1882,2,2
C'rit,1886,1,1
C'rit,1889,2,1
C'rit,1891,1,1
C'rit,1892,1,1
C'rit,1899,1,1
C'rit,1902,2,2
C'rit,1917,1,1
C'rit,1921,1,1
C'rit,1945,1,1
C'rit,1957,1,1
C'rit,1965,1,1
C'rit,1976,1,1
C'rit,1988,1,1
C'rit,1997,1,1
C'rit,1998,1,1
C'rit,1999,1,1
C'rit,2001,1,1
C'rit,2002,3,3
C'rit,2003,2,2
C'rit,2004,1,1
C'rit,2005,1,1
C'rit,2006,7,6
C'rit,2007,1,1
C'rit,2008,5,5
C-332/89,1991,4,4
C-332/89,1992,4,3
C-332/89,1993,1,1
C-332/89,1994,7,3
C-332/89,1995,7,5
C-332/89,1996,7,5
C-332/89,1997,2,1
C-332/89,1998,6,3
C-332/89,1999,13,4
C-332/89,2000,10,4
C-332/89,2001,14,8
C-332/89,2002,12,8
C-332/89,2003,13,7
C-332/89,2004,2,1
C-332/89,2005,21,6
C-332/89,2006,16,7
C-332/89,2007,5,2
C-332/89,2008,12,5
C-443/98,2000,2,1
C-443/98,2001,6,4
C-443/98,2002,14,9
C-443/98,2003,35,13
C-443/98,2004,25,13
C-443/98,2005,18,8
C-443/98,2006,18,8
C-443/98,2007,23,11
C-443/98,2008,25,14
C-47/88,1993,5,1
C-47/88,1994,2,1
C-47/88,1995,8,3
C-47/88,1996,2,1
C-47/88,1998,5,2
C-47/88,1999,5,2
C-47/88,2000,2,2
C-47/88,2001,3,3
C-47/88,2002,8,5
C-47/88,2003,7,4
C-47/88,2004,5,2
C-47/88,2005,4,4
C-47/88,2006,18,6
C-47/88,2007,3,2
C-47/88,2008,12,6
C.17,1659,1,1
C.17,1761,1,1
C.17,1772,2,2
C.17,1794,1,1
C.17,1809,1,1
C.17,1818,1,1
C.17,1820,1,1
C.17,1822,1,1
C.17,1827,1,1
C.17,1836,2,1
C.17,1845,1,1
C.17,1847,1,1
C.17,1851,2,2
C.17,1852,1,1
C.17,1865,2,2
C.17,1870,1,1
C.17,1879,2,2
C.17,1880,1,1
C.17,1881,1,1
C.17,1886,1,1
C.17,1894,1,1
C.17,1898,1,1
C.17,1903,1,1
C.17,1905,2,2
C.17,1907,1,1
C.17,1909,1,1
C.17,1910,1,1
C.17,1911,1,1
C.17,1914,5,4
C.17,1917,3,3
C.17,1920,3,3
C.17,1922,1,1
C.17,1923,8,4
C.17,1924,2,2
C.17,1926,9,6
C.17,1927,2,1
C.17,1928,3,3
C.17,1930,2,2
C.17,1931,3,3
C.17,1932,2,2
C.17,1934,3,3
C.17,1935,2,2
C.17,1936,1,1
C.17,1937,8,3
C.17,1938,1,1
C.17,1940,4,4
C.17,1941,3,3
C.17,1942,2,2
C.17,1945,9,5
C.17,1946,2,2
C.17,1947,9,7
C.17,1948,3,3
C.17,1949,4,4
C.17,1950,3,3
C.17,1951,5,5
C.17,1952,5,5
C.17,1953,4,4
C.17,1954,10,8
C.17,1955,4,4
C.17,1956,4,4
C.17,1957,19,14
C.17,1958,20,9
C.17,1959,12,10
C.17,1960,9,9
C.17,1961,18,15
C.17,1962,23,18
C.17,1963,27,11
C.17,1964,33,26
C.17,1965,54,32
C.17,1966,27,22
C.17,1967,38,33
C.17,1968,40,34
C.17,1969,64,33
C.17,1970,32,25
C.17,1971,56,39
C.17,1972,70,34
C.17,1973,41,29
C.17,1974,40,30
C.17,1975,53,32
C.17,1976,44,33
C.17,1977,38,31
C.17,1978,52,37
C.17,1979,67,41
C.17,1980,53,38
C.17,1981,91,57
C.17,1982,39,32
C.17,1983,66,38
C.17,1984,66,35
C.17,1985,74,38
C.17,1986,85,51
C.17,1987,87,55
C.17,1988,78,60
C.17,1989,126,67
C.17,1990,100,60
C.17,1991,124,66
C.17,1992,199,61
C.17,1993,106,65
C.17,1994,86,60
C.17,1995,97,73
C.17,1996,114,75
C.17,1997,119,79
C.17,1998,116,69
C.17,1999,128,77
C.17,2000,109,77
C.17,2001,147,83
C.17,2002,168,89
C.17,2003,167,90
C.17,2004,160,108
C.17,2005,180,112
C.17,2006,178,103
C.17,2007,185,117
C.17,2008,193,113
C.1940,1943,1,1
C.1940,1950,4,3
C.1940,1955,2,2
C.1940,1965,2,2
C.1940,1969,1,1
C.1940,1971,3,3
C.1940,1975,1,1
C.1940,1978,1,1
C.1940,1979,17,1
C.1940,1981,3,2
C.1940,1982,2,1
C.1940,1983,2,1
C.1940,1984,1,1
C.1940,1986,3,3
C.1940,1987,1,1
C.1940,1988,5,3
C.1940,1990,3,3
C.1940,1992,1,1
C.1940,1993,2,2
C.1940,1994,3,3
C.1940,1995,3,3
C.1940,1996,5,3
C.1940,1997,1,1
C.1940,1998,6,6
C.1940,2000,4,3
C.1940,2001,8,4
C.1940,2002,3,3
C.1940,2003,10,6
C.1940,2004,1,1
C.1940,2006,5,4
C.1940,2007,8,7
C.1940,2008,2,2
C.A.S.H.,1956,5,2
C.A.S.H.,1957,2,1
C.A.S.H.,1967,6,1
C.A.S.H.,1968,9,4
C.A.S.H.,1972,10,6
C.A.S.H.,1973,1,1
C.A.S.H.,1974,4,2
C.A.S.H.,1975,3,2
C.A.S.H.,1976,11,11
C.A.S.H.,1977,1,1
C.A.S.H.,1978,8,1
C.A.S.H.,1979,1,1
C.A.S.H.,1980,5,5
C.A.S.H.,1981,1,1
C.A.S.H.,1983,2,2
C.A.S.H.,1984,3,3
C.A.S.H.,1985,3,3
C.A.S.H.,1986,1,1
C.A.S.H.,1987,2,2
C.A.S.H.,1988,7,7
C.A.S.H.,1989,3,1
C.A.S.H.,1990,7,3
C.A.S.H.,1991,27,6
C.A.S.H.,1992,4,4
C.A.S.H.,1993,3,2
C.A.S.H.,1994,8,5
C.A.S.H.,1996,1,1
C.A.S.H.,1997,18,7
C.A.S.H.,1998,4,1
C.A.S.H.,1999,6,3
C.A.S.H.,2000,15,2
C.A.S.H.,2001,2,2
C.A.S.H.,2002,2,2
C.A.S.H.,2003,1,1
C.A.S.H.,2004,2,2
C.A.S.H.,2005,38,5
C.A.S.H.,2006,12,4
C.A.S.H.,2007,9,4
C.A.S.H.,2008,14,5
C.D.J,1860,1,1
C.D.J,1870,1,1
C.D.J,1885,1,1
C.D.J,1889,1,1
C.D.J,1908,1,1
C.D.J,1911,1,1
C.D.J,1918,1,1
C.D.J,1921,1,1
C.D.J,1926,5,5
C.D.J,1961,1,1
C.D.J,1973,1,1
C.D.J,1975,2,2
C.D.J,1977,2,1
C.D.J,1978,1,1
C.D.J,1979,7,4
C.D.J,1980,6,6
C.D.J,1981,6,2
C.D.J,1984,2,1
C.D.J,1986,3,3
C.D.J,1987,7,6
C.D.J,1988,1,1
C.D.J,1989,3,3
C.D.J,1990,5,2
C.D.J,1991,4,2
C.D.J,1994,1,1
C.D.J,1995,3,3
C.D.J,1996,1,1
C.D.J,1997,3,2
C.D.J,1998,1,1
C.D.J,1999,2,1
C.D.J,2000,1,1
C.D.J,2001,1,1
C.D.J,2003,3,2
C.D.J,2005,1,1
C.D.J,2007,2,2
C.D.J,2008,3,2
C.H.B.E.,1928,12,1
C.H.B.E.,1929,38,3
C.H.B.E.,1930,6,2
C.H.B.E.,1931,5,2
C.H.B.E.,1932,3,1
C.H.B.E.,1934,17,5
C.H.B.E.,1935,5,4
C.H.B.E.,1936,8,2
C.H.B.E.,1937,5,1
C.H.B.E.,1938,32,4
C.H.B.E.,1939,4,1
C.H.B.E.,1940,60,3
C.H.B.E.,1941,5,2
C.H.B.E.,1942,14,3
C.H.B.E.,1943,4,1
C.H.B.E.,1944,1,1
C.H.B.E.,1946,10,3
C.H.B.E.,1948,4,4
C.H.B.E.,1949,8,3
C.H.B.E.,1950,10,5
C.H.B.E.,1951,6,2
C.H.B.E.,1952,30,8
C.H.B.E.,1953,8,6
C.H.B.E.,1954,9,1
C.H.B.E.,1955,16,2
C.H.B.E.,1956,71,6
C.H.B.E.,1957,30,3
C.H.B.E.,1958,8,3
C.H.B.E.,1959,1,1
C.H.B.E.,1960,63,7
C.H.B.E.,1961,71,17
C.H.B.E.,1962,8,4
C.H.B.E.,1963,29,7
C.H.B.E.,1964,44,17
C.H.B.E.,1965,45,15
C.H.B.E.,1966,28,6
C.H.B.E.,1967,20,9
C.H.B.E.,1968,36,13
C.H.B.E.,1969,140,22
C.H.B.E.,1970,74,13
