word,year,count,sources
D.Conn.2000,1992,1,1
D.Conn.2000,1993,1,1
D.Conn.2000,1998,3,2
D.Conn.2000,2000,3,3
D.Conn.2000,2001,4,2
D.Conn.2000,2002,17,10
D.Conn.2000,2003,12,7
D.Conn.2000,2004,21,10
D.Conn.2000,2005,34,13
D.Conn.2000,2006,23,13
D.Conn.2000,2007,17,11
D.Conn.2000,2008,7,5
D.Del.1987,1950,1,1
D.Del.1987,1986,10,2
D.Del.1987,1988,9,3
D.Del.1987,1989,1,1
D.Del.1987,1990,6,4
D.Del.1987,1991,2,2
D.Del.1987,1992,33,4
D.Del.1987,1994,4,4
D.Del.1987,1995,8,5
D.Del.1987,1996,3,3
D.Del.1987,1998,2,1
D.Del.1987,1999,1,1
D.Del.1987,2000,6,6
D.Del.1987,2001,3,2
D.Del.1987,2002,10,6
D.Del.1987,2004,2,1
D.Del.1987,2005,10,7
D.Del.1987,2007,1,1
D.Shapiro,1966,1,1
D.Shapiro,1969,1,1
D.Shapiro,1972,2,2
D.Shapiro,1977,1,1
D.Shapiro,1978,3,3
D.Shapiro,1979,5,5
D.Shapiro,1980,1,1
D.Shapiro,1981,1,1
D.Shapiro,1983,1,1
D.Shapiro,1984,1,1
D.Shapiro,1989,22,4
D.Shapiro,1990,1,1
D.Shapiro,1992,9,3
D.Shapiro,1993,7,5
D.Shapiro,1994,3,2
D.Shapiro,1995,4,4
D.Shapiro,1996,4,4
D.Shapiro,1997,12,7
D.Shapiro,1998,1,1
D.Shapiro,1999,5,5
D.Shapiro,2000,12,10
D.Shapiro,2001,7,2
D.Shapiro,2002,8,3
D.Shapiro,2003,4,4
D.Shapiro,2004,5,4
D.Shapiro,2005,8,6
D.Shapiro,2006,2,2
D.Shapiro,2007,1,1
D.Shapiro,2008,2,2
D.utch,1711,1,1
D.utch,1750,1,1
D.utch,1761,1,1
D.utch,1763,1,1
D.utch,1775,1,1
D.utch,1785,1,1
D.utch,1788,1,1
D.utch,1799,1,1
D.utch,1800,1,1
D.utch,1804,1,1
D.utch,1818,1,1
D.utch,1819,1,1
D.utch,1820,1,1
D.utch,1823,1,1
D.utch,1827,1,1
D.utch,1846,1,1
D.utch,1862,1,1
D.utch,1871,1,1
D.utch,1877,1,1
D.utch,1878,2,2
D.utch,1887,1,1
D.utch,1892,1,1
D.utch,1901,1,1
D.utch,1905,1,1
D.utch,1910,1,1
D.utch,1942,1,1
D.utch,1948,1,1
D.utch,1962,1,1
D.utch,1966,2,2
D.utch,1967,1,1
D.utch,1970,1,1
D.utch,1972,1,1
D.utch,1976,1,1
D.utch,1978,1,1
D.utch,1980,1,1
D.utch,1983,2,2
D.utch,1984,1,1
D.utch,1989,1,1
D.utch,1991,1,1
D.utch,1997,1,1
D.utch,2000,1,1
D.utch,2001,3,3
D.utch,2003,1,1
D1CT1ONARY,1840,1,1
D1CT1ONARY,1842,4,1
D1CT1ONARY,1846,2,1
D1CT1ONARY,1851,1,1
D1CT1ONARY,1853,2,1
D1CT1ONARY,1861,1,1
D1CT1ONARY,1868,8,1
D1CT1ONARY,1875,1,1
D1CT1ONARY,1881,1,1
D1CT1ONARY,1882,1,1
D1CT1ONARY,1892,2,1
D1CT1ONARY,1893,4,1
D1CT1ONARY,1899,1,1
D1CT1ONARY,1951,1,1
D1CT1ONARY,1956,1,1
D1CT1ONARY,1960,4,2
D1CT1ONARY,1961,1,1
D1CT1ONARY,1962,1,1
D1CT1ONARY,1968,1,1
D1CT1ONARY,1971,2,1
D1CT1ONARY,1973,2,1
D1CT1ONARY,1977,1,1
D1CT1ONARY,1979,1,1
D1CT1ONARY,1980,2,1
D1CT1ONARY,1982,1,1
D1CT1ONARY,1985,2,2
D1CT1ONARY,1986,2,2
D1CT1ONARY,1987,3,2
D1CT1ONARY,1988,1,1
D1CT1ONARY,1990,3,3
D1CT1ONARY,1992,6,2
D1CT1ONARY,1993,3,1
D1CT1ONARY,1994,6,1
