word,year,count,sources
E05,1818,1,1
E05,1823,1,1
E05,1847,1,1
E05,1874,1,1
E05,1877,1,1
E05,1887,1,1
E05,1896,2,2
E05,1902,2,2
E05,1904,1,1
E05,1907,2,2
E05,1910,1,1
E05,1913,1,1
E05,1919,2,2
E05,1941,1,1
E05,1943,1,1
E05,1944,1,1
E05,1945,3,2
E05,1947,25,4
E05,1949,28,4
E05,1952,1,1
E05,1955,17,4
E05,1957,7,2
E05,1958,5,1
E05,1959,2,2
E05,1960,1,1
E05,1961,1,1
E05,1962,3,3
E05,1963,2,2
E05,1964,4,2
E05,1966,6,6
E05,1967,2,2
E05,1968,2,1
E05,1969,2,2
E05,1970,5,5
E05,1971,6,4
E05,1972,4,4
E05,1973,37,11
E05,1974,5,5
E05,1975,3,3
E05,1976,23,11
E05,1977,16,12
E05,1978,73,8
E05,1979,10,7
E05,1980,10,6
E05,1981,15,10
E05,1982,13,10
E05,1983,30,13
E05,1984,53,18
E05,1985,3,3
E05,1986,9,6
E05,1987,9,8
E05,1988,19,11
E05,1989,29,13
E05,1990,167,15
E05,1991,19,15
E05,1992,33,20
E05,1993,22,14
E05,1994,21,16
E05,1995,28,18
E05,1996,33,22
E05,1997,18,17
E05,1998,44,19
E05,1999,27,15
E05,2000,35,15
E05,2001,27,13
E05,2002,140,24
E05,2003,113,33
E05,2004,149,49
E05,2005,133,45
E05,2006,88,38
E05,2007,94,55
E05,2008,107,42
E16mentaire,1813,1,1
E16mentaire,1817,1,1
E16mentaire,1828,1,1
E16mentaire,1832,1,1
E16mentaire,1841,1,1
E16mentaire,1843,1,1
E16mentaire,1844,2,1
E16mentaire,1849,1,1
E16mentaire,1850,1,1
E16mentaire,1851,1,1
E16mentaire,1852,1,1
E16mentaire,1853,2,2
E16mentaire,1855,2,1
E16mentaire,1856,1,1
E16mentaire,1858,2,2
E16mentaire,1861,1,1
E16mentaire,1862,1,1
E16mentaire,1863,1,1
E16mentaire,1866,2,2
E16mentaire,1872,1,1
E16mentaire,1875,1,1
E16mentaire,1883,1,1
E16mentaire,1889,1,1
E16mentaire,1899,1,1
E16mentaire,1910,1,1
E16mentaire,1914,2,2
E16mentaire,1919,1,1
E16mentaire,1924,1,1
E16mentaire,1933,1,1
E16mentaire,1950,1,1
E16mentaire,1954,1,1
E16mentaire,1958,1,1
E16mentaire,1978,1,1
E16mentaire,1980,1,1
E16mentaire,1985,1,1
E16mentaire,1986,1,1
E16mentaire,1990,1,1
E16mentaire,1992,3,3
E16mentaire,1996,1,1
E16mentaire,1997,1,1
E16mentaire,2008,1,1
E491,1946,16,10
E491,1947,2,1
E491,1951,2,1
E491,1957,3,3
E491,1960,1,1
E491,1963,1,1
E491,1966,1,1
E491,1967,1,1
E491,1968,3,3
E491,1969,3,2
E491,1970,6,3
E491,1971,3,2
E491,1972,2,2
E491,1973,5,4
E491,1974,1,1
E491,1975,1,1
E491,1977,12,6
E491,1978,8,4
E491,1979,2,1
E491,1980,3,2
E491,1981,5,5
E491,1982,3,3
E491,1984,4,2
E491,1985,4,4
E491,1986,5,2
E491,1987,7,7
E491,1988,1,1
E491,1989,3,3
E491,1990,5,5
E491,1991,3,3
E491,1993,2,2
E491,1994,5,5
E491,1995,2,2
E491,1996,3,3
E491,1997,4,3
