word,year,count,sources
F.3a,1893,1,1
F.3a,1955,2,1
F.3a,1971,1,1
F.3a,1975,1,1
F.3a,1978,1,1
F.3a,1980,2,2
F.3a,1983,1,1
F.3a,1988,1,1
F.3a,1990,3,2
F.3a,1992,1,1
F.3a,1993,3,3
F.3a,1995,1,1
F.3a,1996,5,3
F.3a,1997,1,1
F.3a,1998,3,3
F.3a,1999,1,1
F.3a,2000,3,3
F.3a,2002,2,2
F.3a,2003,2,1
F.3a,2004,1,1
F.3a,2005,4,4
F.3a,2006,1,1
F.3a,2008,4,4
F.C.M.A.,1920,1,1
F.C.M.A.,1925,1,1
F.C.M.A.,1952,16,1
F.C.M.A.,1962,1,1
F.C.M.A.,1964,16,2
F.C.M.A.,1966,1,1
F.C.M.A.,1971,4,1
F.C.M.A.,1973,2,2
F.C.M.A.,1975,2,2
F.C.M.A.,1976,1,1
F.C.M.A.,1977,8,6
F.C.M.A.,1978,13,3
F.C.M.A.,1979,1,1
F.C.M.A.,1980,9,6
F.C.M.A.,1982,1,1
F.C.M.A.,1983,1,1
F.C.M.A.,1984,10,4
F.C.M.A.,1985,6,2
F.C.M.A.,1987,2,1
F.C.M.A.,1988,2,1
F.C.M.A.,1989,1,1
F.C.M.A.,1990,1,1
F.C.M.A.,1991,2,1
F.C.M.A.,1992,4,2
F.C.M.A.,1993,4,2
F.C.M.A.,1995,4,2
F.C.M.A.,1996,14,6
F.C.M.A.,1997,9,5
F.C.M.A.,1998,1,1
F.C.M.A.,1999,8,5
F.C.M.A.,2000,3,2
F.C.M.A.,2001,5,3
F.C.M.A.,2002,9,7
F.C.M.A.,2003,6,6
F.C.M.A.,2005,4,2
F.C.M.A.,2006,3,2
F.C.M.A.,2007,5,5
F.C.M.A.,2008,14,3
F.Frere,1876,1,1
F.Frere,1878,3,3
F.Frere,1879,36,36
F.Frere,1880,18,18
F.Frere,1881,6,6
F.Frere,2007,1,1
F.L.U.,1883,1,1
F.L.U.,1923,1,1
F.L.U.,1938,1,1
F.L.U.,1944,8,2
F.L.U.,1948,8,4
F.L.U.,1953,1,1
F.L.U.,1955,2,2
F.L.U.,1963,22,1
F.L.U.,1965,1,1
F.L.U.,1968,8,2
F.L.U.,1969,1,1
F.L.U.,1971,2,2
F.L.U.,1976,1,1
F.L.U.,1979,1,1
F.L.U.,1980,33,1
F.L.U.,1981,2,2
F.L.U.,1985,1,1
F.L.U.,1986,5,5
F.L.U.,1988,1,1
F.L.U.,1989,39,1
F.L.U.,1990,1,1
F.L.U.,1994,1,1
F.L.U.,1996,3,2
F.L.U.,1997,1,1
F.L.U.,1999,1,1
F.L.U.,2000,2,2
F.L.U.,2001,2,2
F.L.U.,2003,3,2
F.L.U.,2006,1,1
F.L.U.,2007,2,2
F.L.U.,2008,1,1
F.Miller,1839,2,2
F.Miller,1883,2,2
F.Miller,1885,1,1
F.Miller,1886,2,2
F.Miller,1888,1,1
F.Miller,1890,3,3
F.Miller,1899,1,1
F.Miller,1901,1,1
F.Miller,1907,1,1
F.Miller,1909,6,6
F.Miller,1915,1,1
F.Miller,1956,33,2
F.Miller,1959,1,1
F.Miller,1965,1,1
F.Miller,1967,2,2
F.Miller,1969,1,1
F.Miller,1970,1,1
F.Miller,1972,1,1
F.Miller,1973,2,2
F.Miller,1974,6,2
F.Miller,1978,1,1
F.Miller,1979,5,3
F.Miller,1980,2,2
F.Miller,1981,1,1
F.Miller,1983,2,2
F.Miller,1984,2,2
F.Miller,1985,2,2
F.Miller,1986,1,1
F.Miller,1988,2,2
F.Miller,1989,5,4
F.Miller,1990,1,1
F.Miller,1991,12,4
F.Miller,1992,2,2
F.Miller,1993,6,4
F.Miller,1994,4,3
F.Miller,1995,8,7
F.Miller,1996,8,6
F.Miller,1997,8,7
F.Miller,1998,9,8
F.Miller,1999,5,5
F.Miller,2000,4,4
F.Miller,2001,1,1
F.Miller,2002,8,6
F.Miller,2003,5,4
F.Miller,2004,10,6
F.Miller,2005,6,3
F.Miller,2006,9,6
F.Miller,2007,4,3
F.Miller,2008,8,7
F.R.E.E.,1974,1,1
F.R.E.E.,1976,2,2
F.R.E.E.,1979,1,1
F.R.E.E.,1980,6,4
F.R.E.E.,1981,21,4
F.R.E.E.,1982,7,4
F.R.E.E.,1983,3,2
F.R.E.E.,1984,3,1
F.R.E.E.,1986,2,2
F.R.E.E.,1988,4,2
F.R.E.E.,1989,1,1
F.R.E.E.,1990,31,5
F.R.E.E.,1991,1,1
F.R.E.E.,1992,1,1
F.R.E.E.,1993,6,4
F.R.E.E.,1995,2,2
F.R.E.E.,1996,20,5
F.R.E.E.,1997,5,3
F.R.E.E.,1998,7,2
F.R.E.E.,1999,2,1
F.R.E.E.,2000,3,3
