word,year,count,sources
G.3.2,1947,1,1
G.3.2,1965,2,2
G.3.2,1970,1,1
G.3.2,1975,2,2
G.3.2,1977,2,1
G.3.2,1979,5,5
G.3.2,1980,10,7
G.3.2,1981,6,5
G.3.2,1982,2,2
G.3.2,1983,9,5
G.3.2,1985,5,1
G.3.2,1986,1,1
G.3.2,1988,5,4
G.3.2,1989,6,5
G.3.2,1990,2,2
G.3.2,1991,6,4
G.3.2,1992,9,4
G.3.2,1993,10,6
G.3.2,1994,9,4
G.3.2,1995,5,2
G.3.2,1996,41,5
G.3.2,1997,3,3
G.3.2,1998,8,5
G.3.2,1999,1,1
G.3.2,2000,12,9
G.3.2,2001,13,7
G.3.2,2002,14,11
G.3.2,2003,8,4
G.3.2,2004,4,4
G.3.2,2005,4,4
G.3.2,2006,96,14
G.3.2,2007,5,5
G.3.2,2008,11,6
G.D.B.,1874,1,1
G.D.B.,1890,1,1
G.D.B.,1907,1,1
G.D.B.,1928,2,1
G.D.B.,1930,1,1
G.D.B.,1932,1,1
G.D.B.,1935,2,1
G.D.B.,1940,1,1
G.D.B.,1949,4,2
G.D.B.,1950,3,3
G.D.B.,1951,2,2
G.D.B.,1955,5,1
G.D.B.,1957,3,1
G.D.B.,1960,1,1
G.D.B.,1961,4,2
G.D.B.,1963,1,1
G.D.B.,1964,1,1
G.D.B.,1966,1,1
G.D.B.,1967,2,2
G.D.B.,1969,1,1
G.D.B.,1970,2,2
G.D.B.,1971,5,5
G.D.B.,1973,6,6
G.D.B.,1974,7,7
G.D.B.,1975,37,16
G.D.B.,1976,23,19
G.D.B.,1977,8,6
G.D.B.,1978,11,9
G.D.B.,1979,4,4
G.D.B.,1980,3,3
G.D.B.,1981,33,12
G.D.B.,1982,37,18
G.D.B.,1983,25,6
G.D.B.,1984,59,18
G.D.B.,1985,127,18
G.D.B.,1986,15,13
G.D.B.,1987,60,20
G.D.B.,1988,14,12
G.D.B.,1989,39,15
G.D.B.,1990,7,6
G.D.B.,1991,140,13
G.D.B.,1992,29,14
G.D.B.,1993,27,13
G.D.B.,1994,21,7
G.D.B.,1995,36,13
G.D.B.,1996,14,10
G.D.B.,1997,46,14
G.D.B.,1998,27,19
G.D.B.,1999,23,12
G.D.B.,2000,55,28
G.D.B.,2001,61,9
G.D.B.,2002,28,18
G.D.B.,2003,40,17
G.D.B.,2004,31,18
G.D.B.,2005,21,10
G.D.B.,2006,77,17
G.D.B.,2007,42,16
G.D.B.,2008,21,18
G.G.M.,1883,1,1
G.G.M.,1888,1,1
G.G.M.,1930,4,2
G.G.M.,1934,3,1
G.G.M.,1935,2,2
G.G.M.,1936,1,1
G.G.M.,1937,1,1
G.G.M.,1939,2,2
G.G.M.,1950,1,1
G.G.M.,1952,3,3
G.G.M.,1953,2,1
G.G.M.,1954,1,1
G.G.M.,1957,10,4
G.G.M.,1959,2,1
G.G.M.,1961,3,1
G.G.M.,1963,1,1
G.G.M.,1964,2,2
G.G.M.,1965,5,4
G.G.M.,1966,4,3
G.G.M.,1967,4,3
G.G.M.,1968,1,1
G.G.M.,1969,1,1
G.G.M.,1970,10,2
G.G.M.,1971,19,1
G.G.M.,1972,33,3
G.G.M.,1973,1,1
G.G.M.,1974,5,2
G.G.M.,1975,22,6
G.G.M.,1976,13,3
G.G.M.,1977,5,3
G.G.M.,1978,11,7
G.G.M.,1979,4,3
G.G.M.,1980,17,6
G.G.M.,1981,8,5
G.G.M.,1982,24,11
G.G.M.,1983,30,11
G.G.M.,1984,7,7
G.G.M.,1985,20,16
G.G.M.,1986,18,15
G.G.M.,1987,28,19
G.G.M.,1988,45,6
G.G.M.,1989,14,9
G.G.M.,1990,24,12
G.G.M.,1991,17,14
G.G.M.,1992,20,16
G.G.M.,1993,53,17
G.G.M.,1994,10,8
G.G.M.,1995,20,17
G.G.M.,1996,39,22
G.G.M.,1997,23,16
G.G.M.,1998,16,13
