word,year,count,sources
H.38,1811,2,2
H.38,1883,1,1
H.38,1916,2,2
H.38,1921,1,1
H.38,1930,1,1
H.38,1932,1,1
H.38,1949,1,1
H.38,1950,15,2
H.38,1952,1,1
H.38,1957,32,6
H.38,1959,1,1
H.38,1960,1,1
H.38,1961,1,1
H.38,1963,2,1
H.38,1964,7,4
H.38,1967,3,3
H.38,1968,4,3
H.38,1969,2,2
H.38,1970,1,1
H.38,1971,3,3
H.38,1972,3,3
H.38,1973,1,1
H.38,1974,1,1
H.38,1975,1,1
H.38,1976,1,1
H.38,1977,1,1
H.38,1979,3,3
H.38,1980,9,8
H.38,1981,8,8
H.38,1982,5,4
H.38,1983,3,3
H.38,1984,2,2
H.38,1985,6,4
H.38,1986,3,3
H.38,1987,6,6
H.38,1988,6,5
H.38,1989,6,6
H.38,1990,3,3
H.38,1991,2,2
H.38,1992,1,1
H.38,1993,4,4
H.38,1994,5,4
H.38,1995,8,6
H.38,1996,2,2
H.38,1997,16,7
H.38,1998,3,3
H.38,1999,8,7
H.38,2000,4,2
H.38,2001,3,3
H.38,2002,6,4
H.38,2003,7,5
H.38,2004,7,7
H.38,2005,4,4
H.38,2006,12,11
H.38,2007,16,9
H.38,2008,5,5
H.A.N.,1930,1,1
H.A.N.,1931,2,2
H.A.N.,1932,1,1
H.A.N.,1936,1,1
H.A.N.,1951,3,1
H.A.N.,1952,1,1
H.A.N.,1954,2,1
H.A.N.,1956,2,2
H.A.N.,1959,2,2
H.A.N.,1960,1,1
H.A.N.,1962,1,1
H.A.N.,1969,1,1
H.A.N.,1970,1,1
H.A.N.,1971,2,2
H.A.N.,1976,5,3
H.A.N.,1977,1,1
H.A.N.,1979,12,7
H.A.N.,1980,5,3
H.A.N.,1981,5,5
H.A.N.,1982,3,1
H.A.N.,1983,13,3
H.A.N.,1984,1,1
H.A.N.,1985,3,3
H.A.N.,1986,3,3
H.A.N.,1987,2,1
H.A.N.,1988,8,7
H.A.N.,1989,4,4
H.A.N.,1990,3,3
H.A.N.,1991,2,2
H.A.N.,1992,17,8
H.A.N.,1993,59,5
H.A.N.,1994,7,5
H.A.N.,1995,6,3
H.A.N.,1996,9,4
H.A.N.,1997,3,2
H.A.N.,1998,3,3
H.A.N.,1999,13,8
H.A.N.,2000,4,3
H.A.N.,2001,1,1
H.A.N.,2002,9,6
H.A.N.,2003,59,4
H.A.N.,2004,9,3
H.A.N.,2005,1,1
H.A.N.,2006,14,11
H.A.N.,2007,12,7
H.A.N.,2008,4,3
H.E.A.T.,1948,1,1
H.E.A.T.,1957,1,1
H.E.A.T.,1967,1,1
H.E.A.T.,1968,4,1
H.E.A.T.,1969,1,1
H.E.A.T.,1970,1,1
H.E.A.T.,1979,5,2
H.E.A.T.,1981,1,1
H.E.A.T.,1983,2,2
H.E.A.T.,1984,6,4
H.E.A.T.,1985,5,3
H.E.A.T.,1986,4,3
H.E.A.T.,1987,1,1
H.E.A.T.,1988,1,1
H.E.A.T.,1990,8,4
H.E.A.T.,1991,6,3
H.E.A.T.,1992,1,1
H.E.A.T.,1993,1,1
H.E.A.T.,1994,2,2
H.E.A.T.,1995,9,4
H.E.A.T.,1996,3,3
H.E.A.T.,1997,6,3
H.E.A.T.,1998,6,3
