word,year,count,sources
I'Antiquité,1918,1,1
I'Antiquité,1930,1,1
I'Antiquité,1948,1,1
I'Antiquité,1949,1,1
I'Antiquité,1950,1,1
I'Antiquité,1955,1,1
I'Antiquité,1962,2,2
I'Antiquité,1963,1,1
I'Antiquité,1966,3,2
I'Antiquité,1967,1,1
I'Antiquité,1968,2,2
I'Antiquité,1969,1,1
I'Antiquité,1970,1,1
I'Antiquité,1976,1,1
I'Antiquité,1978,2,1
I'Antiquité,1981,4,2
I'Antiquité,1983,3,3
I'Antiquité,1984,2,2
I'Antiquité,1985,2,2
I'Antiquité,1986,7,3
I'Antiquité,1987,2,2
I'Antiquité,1988,2,2
I'Antiquité,1989,14,1
I'Antiquité,1990,2,2
I'Antiquité,1992,7,5
I'Antiquité,1993,1,1
I'Antiquité,1994,2,2
I'Antiquité,1995,3,3
I'Antiquité,1996,1,1
I'Antiquité,1997,2,2
I'Antiquité,1998,1,1
I'Antiquité,2000,4,4
I'Antiquité,2001,3,3
I'Antiquité,2002,4,4
I'Antiquité,2004,3,3
I'Antiquité,2006,1,1
I'Antiquité,2007,1,1
I'Antiquité,2008,1,1
I'Opéra,1896,1,1
I'Opéra,1905,2,2
I'Opéra,1929,2,2
I'Opéra,1930,4,4
I'Opéra,1931,5,2
I'Opéra,1934,1,1
I'Opéra,1935,1,1
I'Opéra,1946,1,1
I'Opéra,1951,2,2
I'Opéra,1969,2,2
I'Opéra,1971,1,1
I'Opéra,1973,1,1
I'Opéra,1974,1,1
I'Opéra,1977,5,2
I'Opéra,1978,1,1
I'Opéra,1979,1,1
I'Opéra,1983,6,2
I'Opéra,1984,4,1
I'Opéra,1985,1,1
I'Opéra,1988,2,2
I'Opéra,1992,1,1
I'Opéra,1993,3,2
I'Opéra,1994,4,3
I'Opéra,1995,3,3
I'Opéra,1996,9,3
I'Opéra,1997,3,2
I'Opéra,1999,8,3
I'Opéra,2000,3,2
I'Opéra,2003,4,4
I'Opéra,2004,2,2
I'Opéra,2005,2,2
I'Opéra,2006,2,2
I'Opéra,2007,8,4
I'arrete,1913,1,1
I'arrete,1915,1,1
I'arrete,1928,1,1
I'arrete,1929,1,1
I'arrete,1931,1,1
I'arrete,1932,2,1
I'arrete,1937,1,1
I'arrete,1954,3,3
I'arrete,1962,5,1
I'arrete,1963,7,1
I'arrete,1972,2,2
I'arrete,1979,12,4
I'arrete,1982,16,2
I'arrete,1985,2,2
I'arrete,1986,3,3
I'arrete,1987,3,2
I'arrete,1988,1,1
I'arrete,1990,1,1
I'arrete,1991,5,4
I'arrete,1993,4,2
I'arrete,1994,1,1
I'arrete,1995,1,1
I'arrete,1996,3,2
I'arrete,1997,2,1
I'arrete,1998,1,1
I'arrete,2000,3,2
I'arrete,2002,5,2
I'arrete,2003,4,4
I'arrete,2004,4,3
I'arrete,2005,1,1
I'arrete,2006,2,2
I'arrete,2007,5,2
I'gad,1704,17,1
I'gad,1732,3,1
I'gad,1741,26,2
I'gad,1743,1,1
I'gad,1749,1,1
I'gad,1755,1,1
I'gad,1761,1,1
I'gad,1767,2,2
I'gad,1772,14,1
I'gad,1800,3,3
I'gad,1808,9,5
I'gad,1811,4,4
I'gad,1814,5,3
I'gad,1824,5,5
I'gad,1845,1,1
I'gad,1859,2,2
I'gad,1861,1,1
I'gad,1869,1,1
I'gad,1871,1,1
I'gad,1876,5,1
I'gad,1879,29,5
I'gad,1880,8,3
I'gad,1882,3,3
I'gad,1883,7,7
I'gad,1885,45,3
I'gad,1895,1,1
I'gad,1898,4,4
I'gad,1899,3,3
I'gad,1902,3,3
I'gad,1905,2,1
I'gad,1910,1,1
I'gad,1913,1,1
I'gad,1918,15,3
I'gad,1922,2,2
I'gad,1927,3,1
I'gad,1928,8,6
I'gad,1933,1,1
I'gad,1935,5,5
I'gad,1938,4,3
I'gad,1940,1,1
I'gad,1946,2,2
I'gad,1948,1,1
I'gad,1949,1,1
I'gad,1950,2,2
I'gad,1952,1,1
I'gad,1954,4,2
I'gad,1956,2,2
I'gad,1957,59,4
I'gad,1959,8,4
I'gad,1961,1,1
I'gad,1962,2,2
I'gad,1963,1,1
I'gad,1965,4,3
I'gad,1966,1,1
I'gad,1967,11,4
I'gad,1968,30,4
I'gad,1969,6,4
I'gad,1970,10,7
I'gad,1971,36,3
I'gad,1972,2,2
I'gad,1973,1,1
I'gad,1974,2,2
I'gad,1977,2,2
I'gad,1978,3,2
I'gad,1979,2,1
I'gad,1981,2,2
I'gad,1983,2,1
I'gad,1985,1,1
I'gad,1990,2,2
I'gad,1993,1,1
I'gad,1995,1,1
I'gad,1996,12,1
I'gad,1998,3,2
I'gad,1999,8,1
I'gad,2000,1,1
I'gad,2002,6,1
I'gad,2003,1,1
I'gad,2004,2,2
I'gad,2005,1,1
I'gad,2006,1,1
I'gad,2007,5,3
I'gad,2008,29,15
I'go,1812,1,1
I'go,1813,1,1
I'go,1844,1,1
I'go,1856,1,1
I'go,1859,1,1
I'go,1864,1,1
I'go,1875,2,2
I'go,1882,1,1
I'go,1887,1,1
I'go,1888,1,1
I'go,1891,2,2
I'go,1893,1,1
I'go,1896,1,1
I'go,1899,1,1
I'go,1901,1,1
I'go,1904,1,1
I'go,1909,1,1
I'go,1931,4,1
I'go,1932,1,1
I'go,1935,1,1
I'go,1939,1,1
I'go,1943,1,1
I'go,1945,1,1
I'go,1947,1,1
I'go,1957,1,1
I'go,1958,2,2
I'go,1960,1,1
I'go,1966,3,3
I'go,1969,1,1
I'go,1974,1,1
I'go,1975,1,1
I'go,1980,1,1
I'go,1982,1,1
I'go,1983,1,1
I'go,1984,1,1
I'go,1988,1,1
I'go,1993,2,2
I'go,1994,1,1
I'go,1997,1,1
I'go,1999,1,1
I'go,2001,1,1
I'go,2002,1,1
I'go,2006,1,1
I'go,2007,1,1
I'go,2008,1,1
I'helice,1918,5,5
I'helice,1922,1,1
I'helice,1932,2,2
I'helice,1942,1,1
I'helice,1945,1,1
I'helice,1954,2,2
I'helice,1960,2,1
I'helice,1963,1,1
I'helice,1967,1,1
I'helice,1968,1,1
I'helice,1972,1,1
I'helice,1973,1,1
I'helice,1978,1,1
I'helice,1985,1,1
I'helice,1987,3,1
I'helice,1990,1,1
I'helice,1992,1,1
I'helice,1993,6,6
I'helice,1994,1,1
I'helice,1995,2,2
I'helice,1996,3,3
I'helice,1997,1,1
I'helice,1998,1,1
I'helice,1999,4,2
I'helice,2000,1,1
I'helice,2001,1,1
I'helice,2003,2,2
I'helice,2006,4,3
I'inauguration,1915,1,1
I'inauguration,1945,1,1
I'inauguration,1957,1,1
I'inauguration,1965,1,1
I'inauguration,1977,1,1
I'inauguration,1978,1,1
I'inauguration,1979,1,1
I'inauguration,1981,1,1
I'inauguration,1985,1,1
I'inauguration,1989,3,1
I'inauguration,1990,6,5
I'inauguration,1991,1,1
I'inauguration,1992,2,2
I'inauguration,1994,1,1
