word,year,count,sources
J.Agardh,1871,1,1
J.Agardh,1902,1,1
J.Agardh,1903,1,1
J.Agardh,1917,1,1
J.Agardh,1945,2,1
J.Agardh,1978,8,2
J.Agardh,1979,1,1
J.Agardh,1981,1,1
J.Agardh,1982,4,4
J.Agardh,1986,1,1
J.Agardh,1987,1,1
J.Agardh,1990,6,3
J.Agardh,1994,1,1
J.Agardh,1995,10,1
J.Agardh,1997,6,1
J.Agardh,1998,6,2
J.Agardh,2000,7,3
J.Agardh,2001,8,3
J.Agardh,2002,47,4
J.Agardh,2003,4,1
J.Agardh,2004,2,1
J.Agardh,2005,62,2
J.Agardh,2006,4,4
J.Agardh,2008,1,1
J.Archer,1894,3,3
J.Archer,1946,1,1
J.Archer,1963,1,1
J.Archer,1980,1,1
J.Archer,1981,2,1
J.Archer,1985,1,1
J.Archer,1990,1,1
J.Archer,1991,1,1
J.Archer,1993,3,2
J.Archer,1994,12,6
J.Archer,1996,1,1
J.Archer,1997,1,1
J.Archer,1998,5,5
J.Archer,1999,1,1
J.Archer,2000,18,8
J.Archer,2001,2,2
J.Archer,2002,5,5
J.Archer,2003,5,5
J.Archer,2004,5,2
J.Archer,2005,3,3
J.Archer,2006,3,2
J.Archer,2008,2,1
J.B.T.M.,1958,1,1
J.B.T.M.,1984,4,1
J.B.T.M.,1986,4,3
J.B.T.M.,1987,7,4
J.B.T.M.,1988,1,1
J.B.T.M.,1989,1,1
J.B.T.M.,1990,1,1
J.B.T.M.,1991,3,2
J.B.T.M.,1992,4,1
J.B.T.M.,1993,3,2
J.B.T.M.,1994,15,5
J.B.T.M.,1995,2,2
J.B.T.M.,1996,4,2
J.B.T.M.,1997,1,1
J.B.T.M.,1998,3,1
J.B.T.M.,1999,2,2
J.B.T.M.,2000,7,2
J.B.T.M.,2001,11,8
J.B.T.M.,2002,6,3
J.B.T.M.,2003,9,5
J.B.T.M.,2004,28,17
J.B.T.M.,2005,11,9
J.B.T.M.,2006,7,7
J.B.T.M.,2007,10,9
J.B.T.M.,2008,11,9
J.Comput.Phys,1970,3,3
J.Comput.Phys,1981,2,2
J.Comput.Phys,1982,1,1
J.Comput.Phys,1983,12,2
J.Comput.Phys,1985,1,1
J.Comput.Phys,1986,6,5
J.Comput.Phys,1987,4,3
J.Comput.Phys,1988,2,1
J.Comput.Phys,1989,4,4
J.Comput.Phys,1990,12,6
J.Comput.Phys,1991,3,3
J.Comput.Phys,1992,4,4
J.Comput.Phys,1993,13,8
J.Comput.Phys,1994,3,3
J.Comput.Phys,1996,1,1
J.Comput.Phys,1997,5,3
J.Comput.Phys,1998,4,4
J.Comput.Phys,1999,5,3
J.Comput.Phys,2000,2,1
