word,year,count,sources
K'il,1749,1,1
K'il,1813,1,1
K'il,1821,1,1
K'il,1824,1,1
K'il,1837,2,1
K'il,1839,2,2
K'il,1846,2,2
K'il,1847,5,1
K'il,1853,1,1
K'il,1856,6,1
K'il,1859,1,1
K'il,1868,4,4
K'il,1869,33,6
K'il,1870,2,1
K'il,1873,14,3
K'il,1875,14,2
K'il,1876,1,1
K'il,1877,1,1
K'il,1885,1,1
K'il,1895,1,1
K'il,1897,1,1
K'il,1898,1,1
K'il,1899,1,1
K'il,1900,1,1
K'il,1906,2,2
K'il,1910,6,4
K'il,1911,2,1
K'il,1915,6,6
K'il,1917,2,2
K'il,1920,8,8
K'il,1922,2,2
K'il,1931,1,1
K'il,1934,4,4
K'il,1935,3,3
K'il,1938,5,3
K'il,1939,4,4
K'il,1940,2,1
K'il,1945,5,1
K'il,1950,1,1
K'il,1953,1,1
K'il,1957,1,1
K'il,1959,1,1
K'il,1960,3,3
K'il,1963,4,2
K'il,1964,1,1
K'il,1966,3,3
K'il,1967,4,2
K'il,1968,2,2
K'il,1969,1,1
K'il,1970,1,1
K'il,1971,1,1
K'il,1972,2,2
K'il,1974,8,6
K'il,1976,1,1
K'il,1978,7,4
K'il,1979,6,3
K'il,1980,1,1
K'il,1982,3,2
K'il,1984,2,1
K'il,1985,1,1
K'il,1990,2,2
K'il,1991,3,2
K'il,1992,2,2
K'il,1993,1,1
K'il,1994,4,2
K'il,1995,5,4
K'il,1996,2,2
K'il,1997,1,1
K'il,1998,7,5
K'il,1999,4,2
K'il,2000,4,4
K'il,2001,3,2
K'il,2002,4,4
K'il,2003,4,4
K'il,2004,7,2
K'il,2005,2,2
K'il,2007,13,6
K'il,2008,6,6
K.269,1944,4,2
K.269,1945,2,2
K.269,1948,2,1
K.269,1956,8,3
K.269,1957,1,1
K.269,1962,1,1
K.269,1964,1,1
K.269,1976,6,4
K.269,1981,2,1
K.269,1983,2,2
K.269,1984,2,2
K.269,1987,1,1
K.269,1988,3,2
K.269,1989,1,1
K.269,1990,6,3
K.269,1991,1,1
K.269,1992,2,2
K.269,1994,2,2
K.269,1996,1,1
K.269,1997,2,2
K.269,1999,1,1
K.269,2000,3,1
K.269,2002,1,1
K.269,2003,2,2
K.269,2004,2,2
K.269,2006,2,1
K.269,2008,1,1
K.A.P.,1912,4,2
K.A.P.,1920,1,1
K.A.P.,1923,1,1
K.A.P.,1924,2,2
K.A.P.,1928,4,4
K.A.P.,1931,2,2
K.A.P.,1932,1,1
K.A.P.,1935,5,2
K.A.P.,1940,2,1
K.A.P.,1941,3,3
K.A.P.,1943,3,1
K.A.P.,1952,9,5
K.A.P.,1953,1,1
K.A.P.,1954,1,1
K.A.P.,1956,1,1
K.A.P.,1957,1,1
K.A.P.,1959,2,1
K.A.P.,1961,1,1
K.A.P.,1962,1,1
K.A.P.,1963,2,2
K.A.P.,1964,4,4
K.A.P.,1965,23,8
K.A.P.,1966,5,3
K.A.P.,1967,13,6
K.A.P.,1968,5,5
K.A.P.,1969,14,10
K.A.P.,1970,27,13
K.A.P.,1971,23,7
K.A.P.,1972,45,22
K.A.P.,1973,27,16
K.A.P.,1974,26,13
K.A.P.,1975,45,16
K.A.P.,1976,12,9
K.A.P.,1977,22,12
K.A.P.,1978,12,9
K.A.P.,1979,17,10
K.A.P.,1980,14,8
K.A.P.,1981,19,9
K.A.P.,1982,30,15
K.A.P.,1983,50,11
K.A.P.,1984,87,11
K.A.P.,1985,25,14
K.A.P.,1986,20,15
K.A.P.,1987,11,8
K.A.P.,1988,46,20
K.A.P.,1989,31,17
K.A.P.,1990,42,17
K.A.P.,1991,25,16
K.A.P.,1992,31,16
K.A.P.,1993,20,12
K.A.P.,1994,74,17
K.A.P.,1995,17,15
K.A.P.,1996,16,14
K.A.P.,1997,41,18
K.A.P.,1998,32,16
K.A.P.,1999,34,16
K.A.P.,2000,50,15
K.A.P.,2001,15,7
K.A.P.,2002,35,14
K.A.P.,2003,26,10
K.A.P.,2004,114,23
K.A.P.,2005,4,4
K.A.P.,2006,36,12
K.A.P.,2007,16,8
K.A.P.,2008,67,21
K.N.D.O.,1946,1,1
K.N.D.O.,1951,12,4
K.N.D.O.,1952,4,2
K.N.D.O.,1953,3,1
K.N.D.O.,1955,17,4
K.N.D.O.,1956,15,5
K.N.D.O.,1958,18,2
K.N.D.O.,1960,19,3
K.N.D.O.,1962,9,3
K.N.D.O.,1963,5,5
K.N.D.O.,1965,10,1
K.N.D.O.,1966,9,5
K.N.D.O.,1968,3,3
K.N.D.O.,1971,3,1
K.N.D.O.,1973,2,2
K.N.D.O.,1974,4,2
K.N.D.O.,1979,1,1
K.N.D.O.,1980,80,1
K.N.D.O.,1981,1,1
K.N.D.O.,1991,2,1
K.N.D.O.,2003,14,2
K.N.D.O.,2005,2,1
K.N.D.O.,2007,2,1
K1rchner,1877,1,1
K1rchner,1890,2,1
K1rchner,1897,1,1
K1rchner,1900,3,3
K1rchner,1901,8,5
K1rchner,1902,1,1
K1rchner,1903,1,1
K1rchner,1905,4,2
K1rchner,1907,1,1
K1rchner,1911,5,2
K1rchner,1912,1,1
K1rchner,1913,1,1
K1rchner,1914,7,4
K1rchner,1915,1,1
K1rchner,1921,2,2
K1rchner,1925,1,1
K1rchner,1930,1,1
K1rchner,1935,1,1
K1rchner,1938,1,1
K1rchner,1945,2,1
K1rchner,1946,1,1
K1rchner,1947,1,1
K1rchner,1948,1,1
K1rchner,1951,2,2
K1rchner,1952,1,1
K1rchner,1957,1,1
K1rchner,1959,3,3
K1rchner,1961,2,2
K1rchner,1962,2,1
K1rchner,1963,4,4
K1rchner,1965,5,5
K1rchner,1966,2,2
K1rchner,1967,1,1
K1rchner,1968,1,1
K1rchner,1969,4,3
K1rchner,1970,2,2
K1rchner,1971,1,1
K1rchner,1972,1,1
K1rchner,1976,1,1
K1rchner,1978,3,3
