word,year,count,sources
L.E.As,1937,1,1
L.E.As,1957,1,1
L.E.As,1960,8,1
L.E.As,1961,4,2
L.E.As,1966,1,1
L.E.As,1967,1,1
L.E.As,1968,2,2
L.E.As,1969,1,1
L.E.As,1970,3,2
L.E.As,1971,5,3
L.E.As,1972,4,3
L.E.As,1973,13,1
L.E.As,1975,1,1
L.E.As,1977,2,1
L.E.As,1978,1,1
L.E.As,1981,4,3
L.E.As,1982,1,1
L.E.As,1983,2,2
L.E.As,1984,4,2
L.E.As,1985,8,2
L.E.As,1986,4,2
L.E.As,1987,44,1
L.E.As,1990,1,1
L.E.As,1999,2,1
L.E.As,2003,16,5
L.E.As,2006,1,1
L.E.As,2007,1,1
L/m2/h,1986,1,1
L/m2/h,1993,8,1
L/m2/h,1994,1,1
L/m2/h,1995,1,1
L/m2/h,1996,1,1
L/m2/h,1997,2,2
L/m2/h,1998,12,5
L/m2/h,1999,2,2
L/m2/h,2000,5,3
L/m2/h,2001,5,3
L/m2/h,2002,5,2
L/m2/h,2003,2,2
L/m2/h,2004,5,4
L/m2/h,2005,5,2
L/m2/h,2006,3,3
L/m2/h,2007,12,8
L/m2/h,2008,79,6
L17,1702,1,1
L17,1727,1,1
L17,1735,1,1
L17,1738,1,1
L17,1797,1,1
L17,1809,1,1
L17,1821,2,2
L17,1827,1,1
L17,1829,1,1
L17,1830,1,1
L17,1831,1,1
L17,1840,1,1
L17,1856,1,1
L17,1867,1,1
L17,1872,1,1
L17,1873,2,1
L17,1875,1,1
L17,1878,1,1
L17,1881,1,1
L17,1888,1,1
L17,1900,1,1
L17,1904,1,1
L17,1905,1,1
L17,1906,2,2
L17,1907,1,1
L17,1908,1,1
L17,1910,1,1
L17,1911,2,2
L17,1912,3,3
L17,1916,7,7
L17,1917,2,2
L17,1920,2,2
L17,1923,1,1
L17,1924,3,1
L17,1925,2,2
L17,1927,2,2
L17,1928,1,1
L17,1929,1,1
L17,1930,4,3
L17,1931,1,1
L17,1934,1,1
L17,1935,1,1
L17,1936,5,5
L17,1937,9,5
L17,1938,6,6
L17,1939,7,7
L17,1940,1,1
L17,1941,36,3
L17,1942,4,4
L17,1943,4,4
L17,1944,6,5
L17,1945,5,3
L17,1946,5,5
L17,1947,2,2
L17,1948,3,3
L17,1949,23,14
L17,1950,11,6
L17,1951,12,7
L17,1952,7,4
L17,1953,13,7
L17,1954,5,5
L17,1955,47,14
L17,1956,5,4
L17,1957,9,9
L17,1958,7,6
L17,1959,14,6
L17,1960,12,9
L17,1961,22,15
L17,1962,6,5
L17,1963,31,21
L17,1964,40,17
L17,1965,13,9
L17,1966,14,10
L17,1967,30,14
L17,1968,29,22
L17,1969,48,21
L17,1970,17,14
L17,1971,29,25
L17,1972,38,31
L17,1973,21,20
L17,1974,34,27
L17,1975,36,31
L17,1976,84,34
L17,1977,37,27
L17,1978,56,33
L17,1979,66,36
L17,1980,117,48
L17,1981,108,73
L17,1982,96,65
L17,1983,140,68
L17,1984,138,80
L17,1985,144,68
L17,1986,129,68
L17,1987,171,97
L17,1988,143,84
L17,1989,119,78
L17,1990,168,120
L17,1991,165,97
L17,1992,130,90
L17,1993,131,86
L17,1994,160,94
L17,1995,131,74
L17,1996,192,80
L17,1997,177,99
L17,1998,194,85
L17,1999,185,90
L17,2000,227,99
L17,2001,140,87
L17,2002,219,112
L17,2003,125,75
L17,2004,201,114
L17,2005,161,112
L17,2006,296,94
L17,2007,203,128
L17,2008,166,118
L1NDSEY,1812,1,1
L1NDSEY,1821,1,1
L1NDSEY,1833,1,1
L1NDSEY,1845,2,2
L1NDSEY,1849,1,1
L1NDSEY,1885,1,1
L1NDSEY,1915,1,1
L1NDSEY,1916,1,1
L1NDSEY,1917,1,1
L1NDSEY,1923,2,2
L1NDSEY,1925,1,1
L1NDSEY,1929,1,1
L1NDSEY,1931,1,1
L1NDSEY,1933,1,1
L1NDSEY,1954,6,3
