word,year,count,sources
M'Afee,1801,1,1
M'Afee,1815,2,1
M'Afee,1822,3,3
M'Afee,1823,5,5
M'Afee,1824,10,2
M'Afee,1828,12,3
M'Afee,1833,8,2
M'Afee,1834,7,2
M'Afee,1835,1,1
M'Afee,1836,1,1
M'Afee,1837,3,3
M'Afee,1838,16,10
M'Afee,1840,75,13
M'Afee,1841,15,5
M'Afee,1842,8,8
M'Afee,1843,3,3
M'Afee,1844,6,6
M'Afee,1845,6,4
M'Afee,1846,34,10
M'Afee,1847,30,6
M'Afee,1848,20,6
M'Afee,1849,35,6
M'Afee,1850,7,5
M'Afee,1851,4,3
M'Afee,1852,14,5
M'Afee,1853,3,3
M'Afee,1854,9,2
M'Afee,1855,35,4
M'Afee,1856,15,12
M'Afee,1857,12,7
M'Afee,1858,16,7
M'Afee,1859,7,1
M'Afee,1860,19,8
M'Afee,1861,2,2
M'Afee,1862,21,6
M'Afee,1863,6,3
M'Afee,1865,8,5
M'Afee,1866,11,4
M'Afee,1867,5,4
M'Afee,1868,166,11
M'Afee,1869,9,2
M'Afee,1870,2,1
M'Afee,1872,2,2
M'Afee,1873,1,1
M'Afee,1875,1,1
M'Afee,1876,3,3
M'Afee,1877,9,6
M'Afee,1878,20,12
M'Afee,1879,17,11
M'Afee,1880,13,7
M'Afee,1881,13,7
M'Afee,1882,3,2
M'Afee,1885,5,3
M'Afee,1888,3,1
M'Afee,1889,3,2
M'Afee,1890,5,1
M'Afee,1891,9,1
M'Afee,1896,27,2
M'Afee,1897,2,2
M'Afee,1900,3,3
M'Afee,1901,1,1
M'Afee,1902,3,2
M'Afee,1903,8,8
M'Afee,1904,5,5
M'Afee,1905,28,4
M'Afee,1906,2,2
M'Afee,1907,4,2
M'Afee,1908,16,6
M'Afee,1909,92,7
M'Afee,1910,22,4
M'Afee,1912,6,1
M'Afee,1916,6,4
M'Afee,1918,10,10
M'Afee,1919,6,1
M'Afee,1921,5,5
M'Afee,1922,4,4
M'Afee,1923,1,1
M'Afee,1925,14,4
M'Afee,1927,18,1
M'Afee,1929,2,1
M'Afee,1930,1,1
M'Afee,1931,3,3
M'Afee,1932,2,2
M'Afee,1936,2,2
M'Afee,1940,1,1
M'Afee,1941,17,2
M'Afee,1943,12,3
M'Afee,1945,2,1
M'Afee,1951,1,1
M'Afee,1952,6,2
M'Afee,1954,4,2
M'Afee,1955,1,1
M'Afee,1958,1,1
M'Afee,1961,3,1
M'Afee,1962,9,3
M'Afee,1964,1,1
M'Afee,1965,1,1
M'Afee,1966,22,6
M'Afee,1968,1,1
M'Afee,1969,3,2
M'Afee,1970,1,1
M'Afee,1971,8,3
M'Afee,1972,5,5
M'Afee,1974,2,1
M'Afee,1975,5,2
M'Afee,1976,12,4
M'Afee,1977,7,1
M'Afee,1979,7,2
M'Afee,1980,2,1
M'Afee,1981,3,1
M'Afee,1985,1,1
M'Afee,1987,6,2
M'Afee,1990,1,1
M'Afee,1991,1,1
M'Afee,1993,6,3
M'Afee,1998,3,2
M'Afee,1999,1,1
M'Afee,2002,4,2
M'Afee,2003,16,4
M'Afee,2004,25,3
M'Afee,2005,13,4
M'Afee,2006,29,5
M'Afee,2007,20,7
M'Afee,2008,25,14
M'Cola,1822,2,1
M'Cola,1935,1715,6
M'Cola,1942,12,3
M'Cola,1947,4,1
M'Cola,1952,23,2
M'Cola,1953,7,1
M'Cola,1954,270,1
M'Cola,1956,48,4
M'Cola,1957,1,1
M'Cola,1960,3,1
M'Cola,1961,17,6
M'Cola,1962,1,1
M'Cola,1963,634,11
M'Cola,1965,56,3
M'Cola,1968,5,5
M'Cola,1969,10,4
M'Cola,1970,1,1
M'Cola,1971,10,3
M'Cola,1972,20,4
M'Cola,1973,3,1
M'Cola,1974,77,7
M'Cola,1975,20,9
M'Cola,1976,2,1
M'Cola,1977,25,9
M'Cola,1978,10,3
M'Cola,1979,3,1
M'Cola,1981,6,3
M'Cola,1983,1,1
M'Cola,1984,3,1
M'Cola,1985,4,3
M'Cola,1987,1,1
M'Cola,1988,4,2
M'Cola,1989,11,6
M'Cola,1990,154,7
M'Cola,1991,9,3
M'Cola,1992,4,3
M'Cola,1993,7,5
M'Cola,1994,4,2
M'Cola,1995,1,1
M'Cola,1996,3,1
M'Cola,1998,292,4
M'Cola,1999,7,4
M'Cola,2001,100,3
M'Cola,2002,40,6
M'Cola,2003,100,4
M'Cola,2004,13,2
M'Cola,2005,64,4
M'Cola,2006,3,1
M'Cola,2007,2,2
M'Cola,2008,11,4
M'Connell,1731,1,1
M'Connell,1782,1,1
M'Connell,1786,8,1
M'Connell,1797,1,1
M'Connell,1799,1,1
M'Connell,1801,1,1
M'Connell,1808,5,5
M'Connell,1809,3,2
M'Connell,1811,1,1
M'Connell,1812,2,2
M'Connell,1813,1,1
M'Connell,1814,2,1
M'Connell,1815,1,1
M'Connell,1816,3,3
M'Connell,1817,3,2
M'Connell,1818,3,2
M'Connell,1819,1,1
M'Connell,1820,1,1
M'Connell,1821,1,1
M'Connell,1822,5,5
M'Connell,1823,5,3
M'Connell,1824,5,5
M'Connell,1825,2,2
M'Connell,1826,4,4
M'Connell,1827,7,7
M'Connell,1828,1,1
M'Connell,1829,8,4
M'Connell,1830,10,4
M'Connell,1831,4,4
M'Connell,1832,7,7
M'Connell,1833,7,7
M'Connell,1834,2,1
M'Connell,1835,8,5
M'Connell,1836,23,21
M'Connell,1837,5,5
M'Connell,1838,5,5
M'Connell,1839,20,9
M'Connell,1840,11,7
M'Connell,1841,13,4
M'Connell,1842,9,7
M'Connell,1843,39,26
M'Connell,1844,9,5
M'Connell,1845,27,13
M'Connell,1846,82,18
M'Connell,1847,248,23
M'Connell,1848,40,26
M'Connell,1849,29,18
M'Connell,1850,21,18
M'Connell,1851,23,14
M'Connell,1852,26,15
M'Connell,1853,21,10
M'Connell,1854,64,23
M'Connell,1855,49,16
M'Connell,1856,19,11
M'Connell,1857,24,19
M'Connell,1858,48,20
M'Connell,1859,32,12
M'Connell,1860,63,21
M'Connell,1861,11,9
M'Connell,1862,12,8
M'Connell,1863,141,14
M'Connell,1864,56,16
M'Connell,1865,25,11
M'Connell,1866,135,47
M'Connell,1867,72,23
M'Connell,1868,68,30
M'Connell,1869,32,8
M'Connell,1870,147,27
M'Connell,1871,40,11
M'Connell,1872,15,10
M'Connell,1873,33,20
M'Connell,1874,30,13
M'Connell,1875,117,19
M'Connell,1876,19,9
M'Connell,1877,23,10
M'Connell,1878,99,22
M'Connell,1879,37,13
M'Connell,1880,29,15
M'Connell,1881,131,22
M'Connell,1882,20,12
M'Connell,1883,26,15
M'Connell,1884,42,19
M'Connell,1885,15,14
M'Connell,1886,14,9
M'Connell,1887,15,12
M'Connell,1888,40,15
M'Connell,1889,33,16
M'Connell,1890,13,5
M'Connell,1891,33,17
M'Connell,1892,12,11
M'Connell,1893,9,8
M'Connell,1894,14,10
M'Connell,1895,22,11
M'Connell,1896,26,15
M'Connell,1897,32,15
M'Connell,1898,42,13
M'Connell,1899,6,6
M'Connell,1900,25,10
M'Connell,1901,33,18
M'Connell,1902,18,12
