word,year,count,sources
N.88,1806,1,1
N.88,1909,1,1
N.88,1927,1,1
N.88,1935,1,1
N.88,1950,2,1
N.88,1958,2,2
N.88,1959,7,3
N.88,1960,1,1
N.88,1962,6,2
N.88,1963,2,2
N.88,1965,2,1
N.88,1967,2,1
N.88,1968,2,1
N.88,1969,1,1
N.88,1971,1,1
N.88,1972,2,2
N.88,1973,1,1
N.88,1974,1,1
N.88,1975,3,2
N.88,1976,3,3
N.88,1977,1,1
N.88,1978,6,6
N.88,1979,1,1
N.88,1981,6,6
N.88,1984,5,2
N.88,1985,1,1
N.88,1986,1,1
N.88,1988,1,1
N.88,1989,1,1
N.88,1990,1,1
N.88,1991,1,1
N.88,1992,2,2
N.88,1993,3,2
N.88,1994,8,6
N.88,1995,1,1
N.88,1996,27,6
N.88,1997,7,6
N.88,1998,3,1
N.88,1999,1,1
N.88,2000,27,5
N.88,2001,3,3
N.88,2002,3,3
N.88,2004,4,2
N.88,2005,1,1
N.88,2006,4,3
N.88,2007,1,1
N.88,2008,1,1
N.D.N.Y.1989,1993,5,3
N.D.N.Y.1989,1994,5,5
N.D.N.Y.1989,1995,3,3
N.D.N.Y.1989,1996,2,1
N.D.N.Y.1989,1997,2,2
N.D.N.Y.1989,1998,4,4
N.D.N.Y.1989,1999,3,3
N.D.N.Y.1989,2000,5,3
N.D.N.Y.1989,2001,1,1
N.D.N.Y.1989,2002,3,2
N.D.N.Y.1989,2003,3,3
N.D.N.Y.1989,2005,5,3
N.D.N.Y.1989,2006,7,3
N.D.N.Y.1989,2007,5,3
N.D.N.Y.1989,2008,1,1
N.E.S.C.,1944,2,1
N.E.S.C.,1945,10,2
N.E.S.C.,1950,3,1
N.E.S.C.,1954,3,2
N.E.S.C.,1955,2,2
N.E.S.C.,1956,1,1
N.E.S.C.,1957,1,1
N.E.S.C.,1966,1,1
N.E.S.C.,1970,2,1
N.E.S.C.,1971,1,1
N.E.S.C.,1974,17,1
N.E.S.C.,1975,3,2
N.E.S.C.,1979,1,1
N.E.S.C.,1980,9,5
N.E.S.C.,1982,14,2
N.E.S.C.,1983,1,1
N.E.S.C.,1984,4,2
N.E.S.C.,1985,24,2
N.E.S.C.,1986,15,2
N.E.S.C.,1987,1,1
N.E.S.C.,1988,2,2
N.E.S.C.,1989,1,1
N.E.S.C.,1992,3,1
N.E.S.C.,1993,5,4
N.E.S.C.,1994,1,1
N.E.S.C.,1998,1,1
N.E.S.C.,2000,3,1
N.E.S.C.,2001,1,1
N.E.S.C.,2002,1,1
N.E.S.C.,2005,4,3
N.Y.8.2d,1935,2,2
N.Y.8.2d,1941,1,1
N.Y.8.2d,1948,9,2
N.Y.8.2d,1949,8,2
N.Y.8.2d,1950,27,11
N.Y.8.2d,1960,10,3
N.Y.8.2d,1962,1,1
N.Y.8.2d,1963,18,6
N.Y.8.2d,1964,1,1
N.Y.8.2d,1966,25,4
N.Y.8.2d,1968,3,3
N.Y.8.2d,1970,6,1
N.Y.8.2d,1971,1,1
N.Y.8.2d,1972,1,1
N.Y.8.2d,1973,1,1
N.Y.8.2d,1974,1,1
N.Y.8.2d,1975,1,1
N.Y.8.2d,1976,4,4
N.Y.8.2d,1978,1,1
N.Y.8.2d,1979,1,1
N.Y.8.2d,1980,3,3
N.Y.8.2d,1984,2,1
N.Y.8.2d,1986,2,2
N.Y.8.2d,1988,3,3
N.Y.8.2d,1989,3,1
N.Y.8.2d,1990,28,5
N.Y.8.2d,1991,2,1
N.Y.8.2d,1992,1,1
N.Y.8.2d,1994,1,1
N.Y.8.2d,1997,13,4
N.Y.8.2d,2007,1,1
N/21,1885,1,1
N/21,1948,2,2
N/21,1952,1,1
N/21,1953,1,1
N/21,1961,13,2
N/21,1962,1,1
N/21,1963,1,1
N/21,1964,2,2
N/21,1965,1,1
N/21,1967,1,1
N/21,1970,1,1
N/21,1972,1,1
N/21,1974,1,1
N/21,1978,8,8
N/21,1979,1,1
N/21,1980,2,1
N/21,1981,3,1
N/21,1982,1,1
N/21,1984,5,5
N/21,1987,1,1
N/21,1988,2,2
N/21,1989,1,1
N/21,1990,2,2
N/21,1992,6,4
N/21,1993,3,3
N/21,1994,2,2
N/21,1995,2,1
N/21,1997,8,5
N/21,1998,2,2
N/21,1999,3,2
N/21,2004,1,1
N/21,2005,1,1
N/21,2006,3,3
N/21,2007,2,2
N/21,2008,3,2
N0rrevang,1961,3,2
N0rrevang,1963,1,1
N0rrevang,1972,3,3
N0rrevang,1973,8,5
N0rrevang,1974,43,4
N0rrevang,1975,11,8
N0rrevang,1976,5,5
N0rrevang,1977,3,3
N0rrevang,1979,5,3
N0rrevang,1980,2,1
N0rrevang,1981,3,1
N0rrevang,1982,1,1
N0rrevang,1983,30,6
N0rrevang,1984,1,1
N0rrevang,1985,4,2
N0rrevang,1986,2,1
N0rrevang,1987,10,5
N0rrevang,1988,3,3
N0rrevang,1989,3,3
N0rrevang,1990,19,4
N0rrevang,1991,13,1
N0rrevang,1992,3,2
N0rrevang,1993,84,3
N0rrevang,1994,11,4
N0rrevang,1995,9,5
N0rrevang,1996,3,2
N0rrevang,1997,2,2
N0rrevang,1998,2,1
N0rrevang,2000,4,1
N0rrevang,2002,12,5
N0rrevang,2003,1,1
N0rrevang,2005,1,1
N145BP,1999,2,2
N145BP,2001,11,9
N145BP,2002,27,26
N145BP,2003,47,44
N145BP,2004,10,10
N1CS,1863,1,1
N1CS,1876,1,1
N1CS,1894,1,1
N1CS,1975,1,1
N1CS,1980,1,1
N1CS,1981,1,1
N1CS,1986,2,2
N1CS,1988,1,1
N1CS,1989,1,1
N1CS,1992,8,6
N1CS,1993,2,2
N1CS,1994,1,1
N1CS,1995,2,2
N1CS,1997,3,3
N1CS,1998,4,3
N1CS,1999,3,3
N1CS,2001,1,1
N1CS,2002,3,3
N1CS,2003,2,2
N1CS,2004,2,2
N1CS,2005,2,2
N1CS,2006,1,1
N1CS,2007,5,5
N284,1951,5,2
N284,1955,1,1
N284,1956,3,1
N284,1963,2,2
N284,1964,1,1
N284,1966,5,5
N284,1968,1,1
N284,1969,1,1
N284,1971,1,1
N284,1974,1,1
N284,1975,1,1
N284,1977,1,1
N284,1981,1,1
N284,1983,1,1
N284,1984,1,1
N284,1985,1,1
N284,1987,3,3
N284,1988,1,1
N284,1990,1,1
N284,1992,11,8
N284,1994,1,1
N284,1995,2,2
N284,1996,4,4
N284,1997,3,3
N284,1998,10,8
N284,1999,2,2
N284,2000,1,1
N284,2002,9,3
N284,2003,2,2
N284,2004,1,1
N284,2005,1,1
N284,2006,1,1
N284,2007,1,1
N284,2008,4,4
N302,1864,1,1
N302,1872,1,1
N302,1880,1,1
N302,1888,1,1
N302,1889,1,1
N302,1895,1,1
N302,1900,1,1
N302,1904,2,2
N302,1905,1,1
N302,1908,1,1
N302,1911,1,1
