word,year,count,sources
O'Carrigan,1970,1,1
O'Carrigan,1979,3,1
O'Carrigan,1980,1,1
O'Carrigan,1981,1,1
O'Carrigan,1982,1,1
O'Carrigan,1983,8,2
O'Carrigan,1984,2,2
O'Carrigan,1986,4,2
O'Carrigan,1987,5,5
O'Carrigan,1988,1,1
O'Carrigan,1989,2,2
O'Carrigan,1991,2,1
O'Carrigan,1993,2,2
O'Carrigan,1994,3,2
O'Carrigan,1997,5,3
O'Carrigan,2001,13,4
O'Carrigan,2002,15,2
O'Carrigan,2003,5,3
O'Carrigan,2004,3,2
O'Carrigan,2005,2,1
O'Carrigan,2007,24,6
O'Carrigan,2008,9,5
O'Heynes,1778,2,2
O'Heynes,1781,1,1
O'Heynes,1786,1,1
O'Heynes,1791,3,3
O'Heynes,1824,3,3
O'Heynes,1837,1,1
O'Heynes,1840,2,2
O'Heynes,1845,1,1
O'Heynes,1860,2,2
O'Heynes,1869,2,2
O'Heynes,1872,1,1
O'Heynes,1891,1,1
O'Heynes,1893,59,4
O'Heynes,1899,28,1
O'Heynes,1902,1,1
O'Heynes,1908,13,5
O'Heynes,1909,5,2
O'Heynes,1910,1,1
O'Heynes,1912,1,1
O'Heynes,1913,15,5
O'Heynes,1914,2,2
O'Heynes,1916,5,4
O'Heynes,1917,6,3
O'Heynes,1918,2,1
O'Heynes,1919,2,1
O'Heynes,1920,5,5
O'Heynes,1922,6,6
O'Heynes,1923,3,1
O'Heynes,1924,9,3
O'Heynes,1925,6,3
O'Heynes,1929,8,4
O'Heynes,1932,2,1
O'Heynes,1933,2,1
O'Heynes,1939,2,1
O'Heynes,1941,1,1
O'Heynes,1946,1,1
O'Heynes,1947,4,2
O'Heynes,1949,7,5
O'Heynes,1950,3,3
O'Heynes,1952,4,2
O'Heynes,1954,1,1
O'Heynes,1956,12,2
O'Heynes,1957,4,1
O'Heynes,1958,2,1
O'Heynes,1960,7,3
O'Heynes,1961,2,1
O'Heynes,1962,2,2
O'Heynes,1963,1,1
O'Heynes,1964,1,1
O'Heynes,1966,7,3
O'Heynes,1968,3,3
O'Heynes,1972,8,2
O'Heynes,1974,1,1
O'Heynes,1975,26,4
O'Heynes,1976,2,2
O'Heynes,1978,4,2
O'Heynes,1979,2,2
O'Heynes,1980,9,3
O'Heynes,1982,2,2
O'Heynes,1984,4,2
O'Heynes,1985,4,1
O'Heynes,1986,31,1
O'Heynes,1988,1,1
O'Heynes,1989,8,2
O'Heynes,1990,2,1
O'Heynes,1991,1,1
O'Heynes,1995,9,1
O'Heynes,1996,1,1
O'Heynes,1997,11,4
O'Heynes,1999,5,3
O'Heynes,2000,3,2
O'Heynes,2001,3,2
O'Heynes,2002,2,1
O'Heynes,2003,20,4
O'Heynes,2004,6,3
O'Heynes,2005,1,1
O'Heynes,2006,8,2
O'Heynes,2007,40,8
O'Heynes,2008,34,14
O'Larkin,1830,1,1
O'Larkin,1834,1,1
O'Larkin,1863,1,1
O'Larkin,1864,2,2
O'Larkin,1901,1,1
O'Larkin,1902,4,2
O'Larkin,1903,9,3
O'Larkin,1904,1,1
O'Larkin,1905,1,1
O'Larkin,1928,14,7
O'Larkin,1937,6,3
O'Larkin,1939,7,5
O'Larkin,1955,2,1
O'Larkin,1962,2,2
O'Larkin,1978,1,1
O'Larkin,1981,2,2
O'Larkin,1984,3,3
O'Larkin,1990,3,3
O'Larkin,1992,2,1
O'Larkin,1998,1,1
O'Larkin,1999,1,1
O'Larkin,2000,1,1
O'Larkin,2003,1,1
O'Larkin,2004,1,1
O'Larkin,2005,1,1
O'OO,1802,1,1
O'OO,1805,1,1
O'OO,1808,3,3
O'OO,1811,1,1
O'OO,1854,1,1
O'OO,1856,1,1
O'OO,1860,2,2
O'OO,1866,1,1
O'OO,1871,1,1
O'OO,1873,1,1
O'OO,1875,1,1
O'OO,1877,1,1
O'OO,1878,1,1
O'OO,1879,3,3
O'OO,1880,1,1
O'OO,1881,3,3
O'OO,1883,4,4
O'OO,1885,2,2
O'OO,1886,3,3
O'OO,1890,1,1
O'OO,1893,3,3
O'OO,1897,1,1
O'OO,1900,1,1
O'OO,1901,2,2
O'OO,1902,1,1
O'OO,1904,3,3
O'OO,1906,1,1
O'OO,1907,2,2
O'OO,1908,2,2
O'OO,1911,2,2
O'OO,1912,3,2
O'OO,1913,1,1
O'OO,1914,1,1
O'OO,1916,3,3
O'OO,1917,2,2
O'OO,1918,1,1
O'OO,1919,2,2
O'OO,1921,1,1
O'OO,1923,1,1
O'OO,1925,4,4
O'OO,1927,5,1
O'OO,1931,1,1
O'OO,1932,1,1
O'OO,1935,1,1
O'OO,1943,1,1
O'OO,1945,2,2
O'OO,1946,6,3
O'OO,1947,1,1
O'OO,1949,2,1
O'OO,1950,2,2
O'OO,1953,1,1
O'OO,1956,1,1
O'OO,1958,1,1
O'OO,1959,2,1
O'OO,1960,5,1
O'OO,1961,4,3
O'OO,1962,1,1
O'OO,1963,2,1
O'OO,1965,2,2
O'OO,1967,1,1
O'OO,1969,1,1
O'OO,1970,2,2
O'OO,1972,13,4
O'OO,1976,2,2
O'OO,1977,5,3
O'OO,1978,1,1
O'OO,1979,5,3
O'OO,1980,1,1
O'OO,1981,1,1
O'OO,1982,3,3
O'OO,1983,3,3
O'OO,1984,2,2
O'OO,1986,1,1
O'OO,1987,1,1
O'OO,1988,1,1
O'OO,1989,1,1
O'OO,1990,3,2
O'OO,1992,12,3
O'OO,1993,5,3
O'OO,1994,2,2
O'OO,1995,2,2
O'OO,1996,53,13
O'OO,1997,1,1
O'OO,1998,14,9
O'OO,1999,2,2
O'OO,2000,9,5
O'OO,2001,1,1
O'OO,2002,9,5
O'OO,2003,7,6
O'OO,2004,4,4
O'OO,2006,2,2
O'OO,2007,5,4
O'OO,2008,11,5
O'Tolle,1930,1,1
O'Tolle,1970,1,1
O'Tolle,1973,1,1
O'Tolle,1975,1,1
O'Tolle,1977,1,1
O'Tolle,1978,1,1
O'Tolle,1979,2,2
O'Tolle,1982,1,1
O'Tolle,1983,1,1
O'Tolle,1984,5,4
O'Tolle,1985,1,1
O'Tolle,1988,1,1
O'Tolle,1992,6,6
O'Tolle,1994,1,1
O'Tolle,1996,2,2
O'Tolle,1997,3,3
O'Tolle,1999,2,2
O'Tolle,2000,5,4
O'Tolle,2001,1,1
O'Tolle,2002,7,4
O'Tolle,2004,3,3
O'Tolle,2005,2,2
O'Tolle,2006,10,9
O'Tolle,2007,1,1
O'Tolle,2008,1,1
O.C.C.,1855,1,1
O.C.C.,1856,5,5
O.C.C.,1865,1,1
O.C.C.,1868,1,1
O.C.C.,1869,2,2
O.C.C.,1870,1,1
O.C.C.,1871,1,1
O.C.C.,1879,1,1
O.C.C.,1882,1,1
O.C.C.,1883,4,3
O.C.C.,1884,8,3
O.C.C.,1886,2,1
O.C.C.,1896,1,1
O.C.C.,1898,6,3
O.C.C.,1901,1,1
O.C.C.,1902,1,1
O.C.C.,1905,2,1
O.C.C.,1906,3,3
O.C.C.,1908,4,3
O.C.C.,1912,2,2
O.C.C.,1913,3,2
O.C.C.,1915,1,1
O.C.C.,1916,4,3
O.C.C.,1921,4,4
O.C.C.,1922,2,2
O.C.C.,1924,2,1
O.C.C.,1925,3,3
O.C.C.,1926,11,4
O.C.C.,1928,2,2
O.C.C.,1930,4,4
O.C.C.,1931,1,1
O.C.C.,1932,1,1
O.C.C.,1937,1,1
O.C.C.,1940,1,1
O.C.C.,1941,1,1
O.C.C.,1942,1,1
O.C.C.,1943,1,1
O.C.C.,1944,3,1
O.C.C.,1946,5,5
O.C.C.,1947,3,3
O.C.C.,1948,1,1
O.C.C.,1950,38,2
O.C.C.,1951,1,1
O.C.C.,1952,2,2
O.C.C.,1953,12,11
O.C.C.,1954,1,1
O.C.C.,1955,1,1
O.C.C.,1957,15,11
O.C.C.,1958,5,3
O.C.C.,1959,2,1
O.C.C.,1961,5,3
O.C.C.,1962,4,4
O.C.C.,1963,9,3
O.C.C.,1965,11,5
O.C.C.,1966,23,6
O.C.C.,1967,5,3
O.C.C.,1968,4,2
O.C.C.,1969,6,3
O.C.C.,1970,27,7
O.C.C.,1971,10,5
O.C.C.,1972,100,6
O.C.C.,1973,29,4
O.C.C.,1974,1,1
O.C.C.,1975,9,5
O.C.C.,1976,28,5
O.C.C.,1977,40,13
O.C.C.,1978,8,6
O.C.C.,1979,15,8
O.C.C.,1980,1,1
O.C.C.,1981,8,6
O.C.C.,1982,3,3
O.C.C.,1983,2,1
O.C.C.,1984,18,5
O.C.C.,1985,13,8
O.C.C.,1986,11,7
O.C.C.,1987,112,16
O.C.C.,1988,30,11
O.C.C.,1989,7,6
O.C.C.,1990,13,7
O.C.C.,1991,46,10
O.C.C.,1992,13,8
O.C.C.,1993,13,9
O.C.C.,1994,22,8
O.C.C.,1995,123,14
O.C.C.,1996,8,7
O.C.C.,1997,7,7
O.C.C.,1998,88,10
O.C.C.,1999,35,15
O.C.C.,2000,22,8
O.C.C.,2001,17,10
O.C.C.,2002,63,18
O.C.C.,2003,29,12
O.C.C.,2004,30,7
O.C.C.,2005,95,15
O.C.C.,2006,239,21
O.C.C.,2007,125,11
O.C.C.,2008,218,23
O.lAf,1921,1,1
O.lAf,1931,1,1
