word,year,count,sources
P.-G.,1801,24,1
P.-G.,1867,1,1
P.-G.,1870,2,1
P.-G.,1882,1,1
P.-G.,1894,1,1
P.-G.,1895,1,1
P.-G.,1896,4,3
P.-G.,1906,3,3
P.-G.,1909,1,1
P.-G.,1911,4,1
P.-G.,1913,4,4
P.-G.,1915,1,1
P.-G.,1918,3,3
P.-G.,1921,2,2
P.-G.,1924,3,3
P.-G.,1925,3,3
P.-G.,1926,5,3
P.-G.,1928,1,1
P.-G.,1929,3,3
P.-G.,1930,16,12
P.-G.,1932,1,1
P.-G.,1933,3,3
P.-G.,1934,6,3
P.-G.,1936,9,6
P.-G.,1937,3,3
P.-G.,1938,6,3
P.-G.,1939,12,6
P.-G.,1940,1,1
P.-G.,1941,2,2
P.-G.,1946,2,2
P.-G.,1947,6,2
P.-G.,1948,5,3
P.-G.,1949,2,1
P.-G.,1950,10,7
P.-G.,1951,1,1
P.-G.,1953,4,2
P.-G.,1954,1,1
P.-G.,1955,68,10
P.-G.,1956,9,2
P.-G.,1957,11,8
P.-G.,1958,19,9
P.-G.,1959,14,4
P.-G.,1960,5,5
P.-G.,1961,7,5
P.-G.,1962,10,7
P.-G.,1963,17,9
P.-G.,1964,24,14
P.-G.,1965,175,11
P.-G.,1966,242,14
P.-G.,1967,49,21
P.-G.,1968,27,18
P.-G.,1969,200,25
P.-G.,1970,39,17
P.-G.,1971,42,22
P.-G.,1972,73,29
P.-G.,1973,57,25
P.-G.,1974,108,26
P.-G.,1975,42,27
P.-G.,1976,73,29
P.-G.,1977,60,39
P.-G.,1978,37,18
P.-G.,1979,73,38
P.-G.,1980,60,33
P.-G.,1981,110,50
P.-G.,1982,61,37
P.-G.,1983,148,45
P.-G.,1984,115,52
P.-G.,1985,140,71
P.-G.,1986,76,49
P.-G.,1987,429,89
P.-G.,1988,199,84
P.-G.,1989,200,89
P.-G.,1990,119,72
P.-G.,1991,189,85
P.-G.,1992,222,95
P.-G.,1993,204,100
P.-G.,1994,166,93
P.-G.,1995,186,99
P.-G.,1996,186,117
P.-G.,1997,173,99
P.-G.,1998,153,86
P.-G.,1999,180,105
P.-G.,2000,315,132
P.-G.,2001,233,110
P.-G.,2002,197,110
P.-G.,2003,187,111
P.-G.,2004,234,126
P.-G.,2005,185,117
P.-G.,2006,257,142
P.-G.,2007,240,128
P.-G.,2008,171,95
P.92,1758,1,1
P.92,1779,1,1
P.92,1809,1,1
P.92,1833,1,1
P.92,1876,1,1
P.92,1893,1,1
P.92,1901,1,1
P.92,1904,1,1
P.92,1911,1,1
P.92,1912,1,1
P.92,1917,2,2
P.92,1934,2,2
P.92,1937,1,1
P.92,1938,1,1
P.92,1940,3,3
P.92,1949,1,1
P.92,1954,1,1
P.92,1955,1,1
P.92,1957,1,1
P.92,1958,1,1
P.92,1959,14,4
P.92,1962,1,1
P.92,1964,3,3
P.92,1965,10,2
P.92,1966,7,7
P.92,1967,3,3
P.92,1969,2,2
P.92,1970,4,4
P.92,1971,7,2
P.92,1972,1,1
P.92,1974,2,2
P.92,1975,8,3
P.92,1976,4,3
P.92,1977,3,3
P.92,1978,1,1
P.92,1979,5,5
P.92,1980,9,9
P.92,1981,2,2
P.92,1982,5,3
P.92,1983,1,1
P.92,1984,9,9
P.92,1985,1,1
P.92,1986,1,1
P.92,1987,1,1
P.92,1988,12,9
P.92,1989,4,4
P.92,1990,13,12
P.92,1991,7,5
P.92,1992,14,9
P.92,1993,18,11
P.92,1994,16,10
P.92,1995,20,16
P.92,1996,18,8
P.92,1997,18,9
P.92,1998,13,7
P.92,1999,10,7
P.92,2000,9,9
P.92,2001,19,17
P.92,2002,8,8
P.92,2003,13,12
P.92,2004,18,16
P.92,2005,22,14
P.92,2006,11,10
P.92,2007,13,7
P.92,2008,19,10
P.G.A.M.,1981,2,2
P.G.A.M.,1984,1,1
P.G.A.M.,1985,1,1
P.G.A.M.,1986,1,1
P.G.A.M.,1987,3,3
P.G.A.M.,1988,1,1
P.G.A.M.,1990,1,1
P.G.A.M.,1991,3,3
P.G.A.M.,1993,2,2
P.G.A.M.,1994,1,1
P.G.A.M.,1997,29,6
P.G.A.M.,1999,7,5
P.G.A.M.,2000,23,7
P.G.A.M.,2001,2,2
P.G.A.M.,2002,3,2
P.G.A.M.,2003,6,3
P.G.A.M.,2004,16,3
P.G.A.M.,2005,2,2
P.G.A.M.,2007,6,3
P.G.A.M.,2008,3,3
P.H.L,1892,1,1
P.H.L,1923,1,1
P.H.L,1972,1,1
P.H.L,1979,1,1
P.H.L,1982,1,1
P.H.L,1987,4,4
P.H.L,1988,2,2
P.H.L,1989,1,1
P.H.L,1990,3,3
P.H.L,1991,1,1
P.H.L,1994,3,2
P.H.L,1997,1,1
P.H.L,1998,3,3
P.H.L,1999,4,4
P.H.L,2002,5,4
P.H.L,2003,1,1
P.H.L,2004,9,1
P.H.L,2005,5,5
P.H.L,2006,4,3
P.H.L,2007,2,2
P.H.L,2008,4,4
P.Lloyd,1970,1,1
P.Lloyd,1973,1,1
P.Lloyd,1977,1,1
P.Lloyd,1979,2,1
P.Lloyd,1980,2,2
P.Lloyd,1983,4,3
P.Lloyd,1986,6,3
P.Lloyd,1992,5,4
P.Lloyd,1993,1,1
P.Lloyd,1994,3,3
P.Lloyd,1996,1,1
P.Lloyd,1997,3,3
P.Lloyd,1998,1,1
P.Lloyd,1999,4,3
P.Lloyd,2001,2,2
P.Lloyd,2002,3,2
P.Lloyd,2003,3,3
P.Lloyd,2004,1,1
P.Lloyd,2005,3,3
P.Lloyd,2007,1,1
P.P.N,1922,1,1
P.P.N,1958,2,1
P.P.N,1963,2,2
P.P.N,1964,2,1
P.P.N,1966,2,1
P.P.N,1967,5,2
P.P.N,1968,2,1
P.P.N,1969,3,1
P.P.N,1972,4,2
P.P.N,1974,2,2
P.P.N,1975,2,1
P.P.N,1977,6,2
P.P.N,1978,2,1
P.P.N,1982,1,1
P.P.N,1983,1,1
P.P.N,1984,1,1
P.P.N,1985,1,1
P.P.N,1986,8,8
P.P.N,1987,3,3
P.P.N,1988,6,6
P.P.N,1989,1,1
P.P.N,1990,2,2
P.P.N,1991,3,3
P.P.N,1992,1,1
P.P.N,1993,4,4
P.P.N,1994,2,2
P.P.N,1995,2,2
P.P.N,1996,3,3
P.P.N,1997,1,1
P.P.N,1998,1,1
P.P.N,1999,2,2
P.P.N,2001,1,1
P.P.N,2002,2,2
P.P.N,2003,1,1
P.P.N,2005,1,1
P.P.N,2007,1,1
P.P.N,2008,4,4
P.Q.W.,1880,1,1
P.Q.W.,1889,1,1
P.Q.W.,1899,3,1
P.Q.W.,1903,1,1
P.Q.W.,1909,1,1
P.Q.W.,1912,3,2
P.Q.W.,1922,7,4
P.Q.W.,1923,4,4
P.Q.W.,1926,2,2
P.Q.W.,1930,2,1
P.Q.W.,1931,2,1
P.Q.W.,1937,6,1
P.Q.W.,1943,2,1
P.Q.W.,1951,1,1
P.Q.W.,1953,2,2
P.Q.W.,1956,4,2
P.Q.W.,1957,6,1
P.Q.W.,1960,2,2
P.Q.W.,1962,8,4
P.Q.W.,1963,12,3
P.Q.W.,1965,1,1
P.Q.W.,1969,1,1
P.Q.W.,1972,1,1
P.Q.W.,1980,1,1
P.Q.W.,1981,5,3
P.Q.W.,1990,1,1
P.Q.W.,1992,56,1
P.Q.W.,1996,1,1
P.Q.W.,1998,1,1
P.Q.W.,2007,1,1
P.Q.W.,2008,2,1
P.S.J.,1872,2,2
P.S.J.,1910,1,1
P.S.J.,1924,10,2
P.S.J.,1925,1,1
P.S.J.,1926,1,1
P.S.J.,1929,1,1
P.S.J.,1939,1,1
P.S.J.,1943,1,1
P.S.J.,1945,1,1
P.S.J.,1946,377,2
P.S.J.,1949,4,3
P.S.J.,1950,1,1
P.S.J.,1951,2,2
P.S.J.,1953,108,2
P.S.J.,1954,1,1
P.S.J.,1955,1,1
P.S.J.,1956,3,1
P.S.J.,1958,1,1
P.S.J.,1959,1,1
P.S.J.,1963,3,2
P.S.J.,1964,2,2
P.S.J.,1965,2,1
P.S.J.,1967,5,3
P.S.J.,1968,2,2
P.S.J.,1969,2,2
P.S.J.,1971,5,3
P.S.J.,1972,1,1
