word,year,count,sources
Q.795,1943,1,1
Q.795,1946,2,2
Q.795,1976,2,2
Q.795,1986,5,3
Q.795,1987,8,4
Q.795,1988,11,6
Q.795,1989,7,6
Q.795,1990,2,2
Q.795,1991,6,5
Q.795,1992,9,9
Q.795,1993,3,3
Q.795,1994,1,1
Q.795,1995,3,3
Q.795,1996,3,3
Q.795,1997,3,3
Q.795,1998,2,2
Q.795,1999,2,2
Q.795,2000,3,3
Q.795,2001,7,5
Q.795,2002,3,2
Q.795,2004,1,1
Q.795,2006,3,2
Q.795,2007,2,1
Q.795,2008,1,1
Q.A.N.T.A.S.,1926,2,1
Q.A.N.T.A.S.,1932,1,1
Q.A.N.T.A.S.,1937,2,2
Q.A.N.T.A.S.,1939,3,1
Q.A.N.T.A.S.,1944,7,2
Q.A.N.T.A.S.,1945,2,1
Q.A.N.T.A.S.,1946,1,1
Q.A.N.T.A.S.,1948,4,1
Q.A.N.T.A.S.,1950,7,2
Q.A.N.T.A.S.,1951,2,2
Q.A.N.T.A.S.,1952,5,2
Q.A.N.T.A.S.,1956,5,2
Q.A.N.T.A.S.,1957,2,2
Q.A.N.T.A.S.,1959,1,1
Q.A.N.T.A.S.,1960,40,2
Q.A.N.T.A.S.,1962,40,1
Q.A.N.T.A.S.,1963,3,3
Q.A.N.T.A.S.,1964,4,1
Q.A.N.T.A.S.,1965,5,1
Q.A.N.T.A.S.,1967,1,1
Q.A.N.T.A.S.,1969,1,1
Q.A.N.T.A.S.,1970,5,3
Q.A.N.T.A.S.,1972,1,1
Q.A.N.T.A.S.,1973,1,1
Q.A.N.T.A.S.,1974,1,1
Q.A.N.T.A.S.,1977,3,1
Q.A.N.T.A.S.,1978,1,1
Q.A.N.T.A.S.,1979,18,3
Q.A.N.T.A.S.,1980,3,3
Q.A.N.T.A.S.,1981,1,1
Q.A.N.T.A.S.,1983,1,1
Q.A.N.T.A.S.,1984,1,1
Q.A.N.T.A.S.,1985,73,1
Q.A.N.T.A.S.,1987,164,4
Q.A.N.T.A.S.,1988,6,3
Q.A.N.T.A.S.,1989,3,3
Q.A.N.T.A.S.,1990,48,1
Q.A.N.T.A.S.,1992,2,2
Q.A.N.T.A.S.,1996,1,1
Q.A.N.T.A.S.,1999,3,2
Q.A.N.T.A.S.,2004,1,1
Q.A.N.T.A.S.,2005,3,1
Q6A,1929,1,1
Q6A,1963,1,1
Q6A,1976,1,1
Q6A,1979,5,2
Q6A,1980,6,3
Q6A,1981,3,1
Q6A,1983,2,1
Q6A,1984,4,4
Q6A,1985,1,1
Q6A,1986,1,1
Q6A,1987,1,1
Q6A,1988,1,1
Q6A,1991,6,2
Q6A,1992,5,2
Q6A,1993,10,3
Q6A,1994,14,2
Q6A,1995,1,1
Q6A,1996,1,1
Q6A,1997,1,1
Q6A,1998,4,4
Q6A,1999,5,5
Q6A,2000,14,3
Q6A,2001,64,10
Q6A,2002,20,13
Q6A,2003,33,17
Q6A,2004,12,8
Q6A,2005,49,23
Q6A,2006,73,11
Q6A,2007,46,23
Q6A,2008,50,25
QAPlus,1991,6,4
QAPlus,1992,8,4
QAPlus,1993,21,10
QAPlus,1994,15,5
QAPlus,1995,22,11
QAPlus,1996,41,10
QAPlus,1997,15,9
QAPlus,1998,23,9
QAPlus,1999,18,10
QAPlus,2002,3,3
QAPlus,2003,1,1
QAPlus,2004,3,3
QAPlus,2005,3,3
QAPlus,2006,4,2
QAPlus,2007,2,1
QAPlus,2008,1,1
QBr,1853,2,1
QBr,1863,1,1
QBr,1948,1,1
QBr,1959,1,1
QBr,1963,2,2
QBr,1967,3,2
QBr,1971,2,1
QBr,1973,14,5
QBr,1974,1,1
QBr,1975,2,1
QBr,1980,2,2
QBr,1986,21,1
QBr,1987,1,1
QBr,1988,1,1
QBr,1991,1,1
QBr,1993,1,1
QBr,1994,5,2
QBr,1996,1,1
QBr,1998,2,1
QBr,1999,2,2
QBr,2001,7,6
QBr,2002,10,4
QBr,2003,10,4
QBr,2004,1,1
QBr,2005,3,3
QBr,2006,13,2
QBr,2007,1,1
QBr,2008,1,1
QES,1823,1,1
QES,1845,3,2
QES,1859,1,1
QES,1862,2,1
QES,1863,1,1
QES,1866,2,2
QES,1869,1,1
QES,1870,1,1
QES,1872,2,2
QES,1873,2,2
QES,1874,1,1
QES,1876,1,1
QES,1878,1,1
QES,1880,2,1
QES,1882,3,3
QES,1886,1,1
QES,1890,1,1
QES,1895,1,1
QES,1896,1,1
QES,1899,1,1
QES,1908,9,1
QES,1909,3,3
QES,1910,1,1
QES,1913,1,1
QES,1917,1,1
QES,1918,3,3
QES,1921,2,2
QES,1925,1,1
QES,1932,1,1
QES,1934,2,1
QES,1936,1,1
QES,1937,2,2
QES,1938,4,4
QES,1939,1,1
QES,1940,3,3
QES,1941,2,2
QES,1943,4,4
QES,1944,1,1
QES,1945,1,1
QES,1946,1,1
QES,1949,2,2
QES,1951,3,3
QES,1952,1,1
QES,1955,1,1
QES,1957,2,2
QES,1958,5,2
QES,1959,7,6
QES,1960,1,1
QES,1961,3,3
QES,1962,5,5
QES,1964,3,3
QES,1965,2,2
QES,1966,3,3
QES,1968,5,3
QES,1969,3,3
QES,1970,2,2
QES,1971,2,2
QES,1972,18,4
QES,1973,1,1
QES,1974,257,7
QES,1975,26,4
QES,1976,39,6
QES,1977,43,7
QES,1978,14,9
QES,1979,36,8
QES,1980,345,6
QES,1981,25,5
QES,1982,92,14
QES,1983,273,20
QES,1984,130,22
QES,1985,58,16
QES,1986,115,32
QES,1987,99,19
QES,1988,35,18
QES,1989,192,30
QES,1990,120,22
QES,1991,59,11
QES,1992,240,21
QES,1993,116,15
QES,1994,220,30
QES,1995,113,21
QES,1996,61,22
QES,1997,43,14
QES,1998,178,23
QES,1999,98,17
QES,2000,107,25
QES,2001,175,22
QES,2002,112,22
QES,2003,52,16
QES,2004,60,17
QES,2005,93,28
QES,2006,90,33
QES,2007,117,33
QES,2008,88,26
QRU,1854,1,1
QRU,1907,9,5
QRU,1910,4,3
QRU,1912,2,1
QRU,1915,1,1
QRU,1920,3,2
QRU,1922,1,1
QRU,1927,1,1
QRU,1935,5,5
QRU,1936,1,1
QRU,1943,3,2
QRU,1944,2,1
QRU,1945,1,1
QRU,1947,1,1
QRU,1948,2,2
QRU,1949,5,2
QRU,1951,1,1
QRU,1952,1,1
QRU,1953,5,5
QRU,1954,1,1
QRU,1955,4,4
QRU,1956,2,1
QRU,1957,2,2
QRU,1960,2,2
QRU,1961,1,1
QRU,1963,4,4
QRU,1965,3,2
QRU,1966,4,2
QRU,1967,15,6
QRU,1968,2,2
QRU,1969,6,2
QRU,1970,3,3
QRU,1971,4,2
QRU,1972,1,1
QRU,1973,10,7
QRU,1974,2,2
QRU,1975,16,1
QRU,1976,3,3
QRU,1977,2,1
QRU,1978,26,12
QRU,1979,2,2
QRU,1980,11,5
QRU,1982,1,1
QRU,1983,45,7
QRU,1984,18,3
QRU,1985,17,2
QRU,1986,13,6
QRU,1987,11,7
QRU,1988,20,7
QRU,1989,1,1
QRU,1990,20,5
QRU,1991,6,3
QRU,1992,16,4
QRU,1993,4,4
QRU,1994,10,3
QRU,1995,33,7
QRU,1996,4,4
QRU,1997,4,3
QRU,1998,12,5
QRU,1999,1,1
QRU,2000,4,3
QRU,2001,13,5
QRU,2002,16,7
QRU,2003,9,8
QRU,2004,13,9
QRU,2005,8,8
QRU,2006,7,7
QRU,2007,28,11
QRU,2008,34,13
QUANTITIES,1737,1,1
QUANTITIES,1750,2,2
QUANTITIES,1754,2,1
QUANTITIES,1766,1,1
QUANTITIES,1773,1,1
QUANTITIES,1776,5,3
QUANTITIES,1780,2,2
QUANTITIES,1789,1,1
QUANTITIES,1790,2,1
QUANTITIES,1794,1,1
QUANTITIES,1800,3,2
QUANTITIES,1801,3,2
QUANTITIES,1802,2,2
QUANTITIES,1805,2,2
QUANTITIES,1806,2,2
QUANTITIES,1807,3,3
QUANTITIES,1808,4,4
QUANTITIES,1809,12,7
QUANTITIES,1810,1,1
QUANTITIES,1812,3,1
QUANTITIES,1814,2,1
QUANTITIES,1815,9,7
QUANTITIES,1816,3,1
QUANTITIES,1817,14,12
QUANTITIES,1818,2,2
QUANTITIES,1819,23,7
QUANTITIES,1820,6,6
QUANTITIES,1821,7,4
QUANTITIES,1822,8,6
QUANTITIES,1823,6,6
QUANTITIES,1824,13,7
QUANTITIES,1825,13,8
QUANTITIES,1826,4,4
QUANTITIES,1827,7,3
QUANTITIES,1828,10,7
QUANTITIES,1829,3,3
QUANTITIES,1830,14,11
QUANTITIES,1831,20,8
QUANTITIES,1832,24,9
QUANTITIES,1833,2,2
QUANTITIES,1834,21,18
QUANTITIES,1835,15,15
QUANTITIES,1836,29,4
QUANTITIES,1837,1,1
QUANTITIES,1838,20,9
QUANTITIES,1839,35,6
QUANTITIES,1840,7,5
QUANTITIES,1841,33,12
QUANTITIES,1842,18,12
QUANTITIES,1843,23,16
QUANTITIES,1844,19,11
QUANTITIES,1845,35,18
QUANTITIES,1846,10,7
QUANTITIES,1847,54,21
QUANTITIES,1848,16,8
QUANTITIES,1849,34,8
QUANTITIES,1850,65,27
QUANTITIES,1851,19,16
QUANTITIES,1852,21,19
QUANTITIES,1853,24,15
QUANTITIES,1854,19,17
QUANTITIES,1855,34,24
QUANTITIES,1856,46,27
QUANTITIES,1857,49,37
QUANTITIES,1858,30,20
QUANTITIES,1859,41,29
QUANTITIES,1860,35,26
QUANTITIES,1861,25,19
QUANTITIES,1862,16,15
QUANTITIES,1863,15,9
QUANTITIES,1864,16,13
QUANTITIES,1865,42,30
QUANTITIES,1866,32,24
QUANTITIES,1867,49,23
QUANTITIES,1868,46,29
QUANTITIES,1869,36,24
QUANTITIES,1870,31,20
QUANTITIES,1871,57,33
QUANTITIES,1872,35,27
QUANTITIES,1873,43,31
QUANTITIES,1874,54,42
QUANTITIES,1875,50,39
QUANTITIES,1876,57,42
QUANTITIES,1877,63,43
QUANTITIES,1878,48,39
QUANTITIES,1879,44,42
QUANTITIES,1880,81,62
QUANTITIES,1881,83,60
QUANTITIES,1882,49,41
QUANTITIES,1883,90,51
QUANTITIES,1884,85,51
QUANTITIES,1885,64,43
QUANTITIES,1886,41,30
QUANTITIES,1887,60,43
QUANTITIES,1888,61,41
QUANTITIES,1889,52,36
QUANTITIES,1890,70,56
QUANTITIES,1891,70,51
QUANTITIES,1892,68,59
QUANTITIES,1893,80,60
QUANTITIES,1894,43,32
QUANTITIES,1895,58,43
QUANTITIES,1896,65,46
QUANTITIES,1897,70,55
QUANTITIES,1898,93,67
QUANTITIES,1899,41,37
QUANTITIES,1900,85,50
QUANTITIES,1901,95,65
QUANTITIES,1902,102,70
QUANTITIES,1903,96,77
QUANTITIES,1904,147,109
QUANTITIES,1905,133,81
QUANTITIES,1906,141,96
QUANTITIES,1907,117,91
QUANTITIES,1908,160,81
QUANTITIES,1909,178,103
QUANTITIES,1910,122,82
QUANTITIES,1911,195,120
QUANTITIES,1912,164,96
QUANTITIES,1913,125,81
QUANTITIES,1914,150,97
QUANTITIES,1915,119,60
QUANTITIES,1916,114,79
QUANTITIES,1917,128,91
QUANTITIES,1918,244,75
QUANTITIES,1919,206,87
QUANTITIES,1920,172,78
QUANTITIES,1921,135,72
QUANTITIES,1922,127,79
QUANTITIES,1923,109,73
QUANTITIES,1924,134,67
QUANTITIES,1925,78,52
QUANTITIES,1926,137,80
QUANTITIES,1927,74,56
QUANTITIES,1928,140,80
QUANTITIES,1929,65,42
QUANTITIES,1930,125,73
QUANTITIES,1931,78,58
QUANTITIES,1932,82,58
QUANTITIES,1933,79,46
QUANTITIES,1934,77,49
QUANTITIES,1935,95,69
QUANTITIES,1936,76,55
QUANTITIES,1937,129,74
QUANTITIES,1938,111,80
QUANTITIES,1939,154,97
QUANTITIES,1940,166,98
QUANTITIES,1941,106,80
QUANTITIES,1942,129,82
QUANTITIES,1943,109,79
QUANTITIES,1944,103,67
QUANTITIES,1945,78,57
QUANTITIES,1946,150,90
QUANTITIES,1947,123,80
QUANTITIES,1948,176,103
QUANTITIES,1949,191,130
QUANTITIES,1950,202,131
QUANTITIES,1951,175,116
QUANTITIES,1952,267,119
QUANTITIES,1953,203,120
QUANTITIES,1954,198,117
QUANTITIES,1955,220,117
QUANTITIES,1956,200,112
QUANTITIES,1957,178,118
QUANTITIES,1958,165,115
QUANTITIES,1959,171,116
QUANTITIES,1960,211,137
QUANTITIES,1961,328,208
QUANTITIES,1962,300,192
QUANTITIES,1963,350,210
QUANTITIES,1964,266,203
QUANTITIES,1965,354,224
QUANTITIES,1966,329,224
QUANTITIES,1967,462,213
QUANTITIES,1968,377,256
QUANTITIES,1969,349,222
QUANTITIES,1970,300,200
QUANTITIES,1971,321,214
QUANTITIES,1972,501,232
QUANTITIES,1973,455,248
QUANTITIES,1974,425,261
QUANTITIES,1975,362,233
QUANTITIES,1976,333,220
QUANTITIES,1977,396,205
QUANTITIES,1978,281,201
QUANTITIES,1979,440,250
QUANTITIES,1980,405,249
QUANTITIES,1981,332,217
QUANTITIES,1982,394,231
QUANTITIES,1983,541,272
QUANTITIES,1984,444,236
QUANTITIES,1985,616,290
QUANTITIES,1986,508,354
QUANTITIES,1987,441,261
QUANTITIES,1988,363,228
QUANTITIES,1989,333,209
QUANTITIES,1990,458,234
QUANTITIES,1991,437,236
QUANTITIES,1992,360,219
QUANTITIES,1993,346,207
QUANTITIES,1994,403,210
QUANTITIES,1995,346,219
QUANTITIES,1996,300,203
QUANTITIES,1997,306,210
QUANTITIES,1998,452,223
QUANTITIES,1999,302,178
QUANTITIES,2000,345,229
QUANTITIES,2001,420,230
QUANTITIES,2002,315,224
QUANTITIES,2003,367,237
QUANTITIES,2004,327,232
QUANTITIES,2005,289,209
QUANTITIES,2006,316,223
QUANTITIES,2007,379,258
QUANTITIES,2008,544,377
QUESTONS,1884,2,2
QUESTONS,1941,2,2
QUESTONS,1947,1,1
QUESTONS,1959,2,2
QUESTONS,1960,1,1
QUESTONS,1962,1,1
QUESTONS,1964,1,1
QUESTONS,1966,3,3
QUESTONS,1976,1,1
QUESTONS,1980,1,1
QUESTONS,1982,1,1
QUESTONS,1985,2,2
QUESTONS,1986,6,4
QUESTONS,1988,2,2
QUESTONS,1989,2,2
QUESTONS,1990,3,3
QUESTONS,1991,1,1
QUESTONS,1994,1,1
QUESTONS,1995,2,2
QUESTONS,1996,1,1
QUESTONS,1998,1,1
QUESTONS,1999,1,1
QUESTONS,2000,6,6
QUESTONS,2002,1,1
QUESTONS,2004,2,2
QUESTONS,2005,4,4
QUESTONS,2006,3,3
QUESTONS,2007,1,1
QUESTONS,2008,2,2
QUEStions,1927,4,2
QUEStions,1928,1,1
QUEStions,1937,3,3
QUEStions,1947,1,1
QUEStions,1955,1,1
QUEStions,1956,4,3
QUEStions,1959,2,2
QUEStions,1964,1,1
QUEStions,1966,2,2
QUEStions,1967,1,1
QUEStions,1970,1,1
QUEStions,1982,1,1
QUEStions,1983,1,1
QUEStions,1984,1,1
QUEStions,1986,1,1
QUEStions,1987,1,1
QUEStions,1988,5,4
QUEStions,1989,1,1
QUEStions,1990,2,2
QUEStions,1992,14,8
QUEStions,1994,5,5
QUEStions,1995,3,3
QUEStions,1996,1,1
QUEStions,1997,2,2
QUEStions,1999,12,4
QUEStions,2000,4,3
QUEStions,2001,3,3
QUEStions,2002,4,3
QUEStions,2004,8,6
QUEStions,2005,3,3
QUEStions,2006,2,2
QUEStions,2007,4,4
QUEStions,2008,2,2
Qacobs,1971,2,2
Qacobs,1973,2,2
Qacobs,1977,1,1
Qacobs,1978,1,1
Qacobs,1980,1,1
Qacobs,1981,1,1
Qacobs,1982,1,1
Qacobs,1984,1,1
Qacobs,1985,4,4
Qacobs,1986,1,1
Qacobs,1987,4,4
Qacobs,1988,1,1
Qacobs,1989,7,6
Qacobs,1990,4,4
Qacobs,1991,4,4
Qacobs,1992,5,5
Qacobs,1993,6,6
Qacobs,1994,3,3
Qacobs,1995,15,14
Qacobs,1996,8,7
Qacobs,1997,19,16
Qacobs,1998,12,10
Qacobs,1999,13,11
Qacobs,2000,5,5
Qacobs,2001,6,5
Qacobs,2002,14,14
Qacobs,2003,6,5
Qacobs,2004,8,7
Qacobs,2005,12,12
Qacobs,2006,11,11
Qacobs,2007,7,7
Qacobs,2008,6,5
Qadariya,1908,1,1
Qadariya,1927,3,3
Qadariya,1929,4,2
Qadariya,1930,2,1
Qadariya,1931,2,1
Qadariya,1932,6,2
Qadariya,1936,2,1
Qadariya,1937,4,4
Qadariya,1941,1,1
Qadariya,1948,121,3
Qadariya,1949,2,2
Qadariya,1950,2,2
Qadariya,1951,1,1
Qadariya,1952,2,2
Qadariya,1953,11,3
Qadariya,1956,2,1
Qadariya,1958,1,1
Qadariya,1963,8,6
Qadariya,1964,20,4
Qadariya,1965,2,1
Qadariya,1967,4,2
Qadariya,1968,1,1
Qadariya,1969,2,2
Qadariya,1971,1,1
Qadariya,1972,1,1
Qadariya,1973,1,1
Qadariya,1974,7,3
Qadariya,1975,2,2
Qadariya,1976,6,4
Qadariya,1977,6,3
Qadariya,1978,2,2
Qadariya,1979,7,4
Qadariya,1980,7,5
Qadariya,1981,7,5
Qadariya,1982,1,1
Qadariya,1983,9,7
Qadariya,1984,10,3
Qadariya,1985,2,2
Qadariya,1986,4,2
Qadariya,1987,6,4
Qadariya,1988,12,11
Qadariya,1989,4,3
Qadariya,1990,4,2
Qadariya,1991,1,1
Qadariya,1992,2,2
Qadariya,1993,2,2
Qadariya,1994,18,10
Qadariya,1995,15,4
Qadariya,1996,6,5
Qadariya,1997,29,11
Qadariya,1998,5,5
Qadariya,1999,14,4
Qadariya,2000,70,13
Qadariya,2001,16,7
Qadariya,2002,11,9
Qadariya,2003,16,6
Qadariya,2004,2,2
Qadariya,2005,6,3
Qadariya,2006,7,5
Qadariya,2007,13,9
Qadariya,2008,6,5
Qassics,1902,1,1
Qassics,1908,1,1
Qassics,1912,1,1
Qassics,1917,2,1
Qassics,1926,5,5
Qassics,1935,2,2
Qassics,1936,1,1
Qassics,1939,1,1
Qassics,1949,1,1
Qassics,1953,1,1
Qassics,1956,2,2
Qassics,1957,1,1
Qassics,1959,2,2
Qassics,1960,1,1
Qassics,1962,2,2
Qassics,1963,1,1
Qassics,1964,1,1
Qassics,1965,3,3
Qassics,1966,2,2
Qassics,1967,4,4
Qassics,1968,2,2
Qassics,1969,2,2
Qassics,1971,2,2
Qassics,1972,2,2
Qassics,1974,1,1
Qassics,1975,5,5
Qassics,1976,5,4
Qassics,1977,4,3
Qassics,1978,4,4
Qassics,1979,4,4
Qassics,1980,6,3
Qassics,1981,1,1
Qassics,1982,2,2
Qassics,1983,3,3
Qassics,1984,3,3
Qassics,1985,2,2
Qassics,1986,2,2
Qassics,1987,2,2
Qassics,1988,3,2
Qassics,1989,2,2
Qassics,1990,1,1
Qassics,1991,2,2
Qassics,1992,5,3
Qassics,1993,4,4
Qassics,1994,4,4
Qassics,1995,5,4
Qassics,1996,7,7
Qassics,1997,3,2
Qassics,1998,3,3
Qassics,1999,8,7
Qassics,2000,4,4
Qassics,2001,3,2
Qassics,2002,1,1
Qassics,2003,2,2
Qassics,2004,4,4
Qassics,2005,2,2
Qassics,2006,1,1
Qassics,2007,4,4
Qassics,2008,2,2
Qd,1644,1,1
Qd,1702,1,1
Qd,1705,2,2
Qd,1710,1,1
Qd,1711,1,1
Qd,1715,1,1
Qd,1720,2,2
Qd,1722,1,1
Qd,1723,1,1
Qd,1727,1,1
Qd,1728,1,1
Qd,1732,1,1
Qd,1734,1,1
Qd,1735,1,1
Qd,1736,1,1
Qd,1739,1,1
Qd,1740,1,1
Qd,1742,1,1
Qd,1747,2,2
Qd,1751,1,1
Qd,1766,1,1
Qd,1767,1,1
Qd,1769,1,1
Qd,1770,1,1
Qd,1772,2,2
Qd,1773,1,1
Qd,1781,1,1
Qd,1782,1,1
Qd,1785,1,1
Qd,1788,1,1
Qd,1789,2,2
Qd,1791,2,1
Qd,1793,1,1
Qd,1798,1,1
Qd,1799,6,6
Qd,1800,12,9
Qd,1801,7,7
Qd,1802,4,3
Qd,1803,15,13
Qd,1804,31,22
Qd,1805,20,14
Qd,1806,24,17
Qd,1807,19,15
Qd,1808,31,23
Qd,1809,25,17
Qd,1810,42,19
Qd,1811,51,33
Qd,1812,24,21
Qd,1813,35,26
Qd,1814,29,17
Qd,1815,48,23
Qd,1816,28,24
Qd,1817,30,20
Qd,1818,41,39
Qd,1819,35,23
Qd,1820,81,43
Qd,1821,22,17
Qd,1822,31,24
Qd,1823,53,29
Qd,1824,46,29
Qd,1825,33,25
Qd,1826,26,20
Qd,1827,29,24
Qd,1828,44,30
Qd,1829,144,26
Qd,1830,57,40
Qd,1831,61,52
Qd,1832,31,26
Qd,1833,39,30
Qd,1834,53,43
Qd,1835,45,33
Qd,1836,33,29
Qd,1837,46,32
Qd,1838,47,36
Qd,1839,75,34
Qd,1840,65,30
Qd,1841,45,39
Qd,1842,44,36
Qd,1843,40,35
Qd,1844,64,47
Qd,1845,83,62
Qd,1846,106,66
Qd,1847,81,59
Qd,1848,134,89
Qd,1849,77,62
Qd,1850,73,59
Qd,1851,184,107
Qd,1852,235,135
Qd,1853,232,127
Qd,1854,240,143
Qd,1855,216,114
Qd,1856,189,115
Qd,1857,224,124
Qd,1858,176,103
Qd,1859,232,148
Qd,1860,191,113
Qd,1861,147,106
Qd,1862,115,90
Qd,1863,183,81
Qd,1864,140,88
Qd,1865,252,133
Qd,1866,170,99
Qd,1867,150,98
Qd,1868,162,110
Qd,1869,206,118
Qd,1870,112,81
Qd,1871,125,81
Qd,1872,114,82
Qd,1873,141,74
Qd,1874,128,100
Qd,1875,115,86
