word,year,count,sources
R-3574-NIE/RC,1985,4,2
R-3574-NIE/RC,1986,2,1
R-3574-NIE/RC,1987,1,1
R-3574-NIE/RC,1989,1,1
R-3574-NIE/RC,1990,1,1
R-3574-NIE/RC,1991,2,2
R-3574-NIE/RC,1992,1,1
R-3574-NIE/RC,1993,8,8
R-3574-NIE/RC,1994,3,3
R-3574-NIE/RC,1996,3,3
R-3574-NIE/RC,1997,2,2
R-3574-NIE/RC,1999,5,5
R-3574-NIE/RC,2000,7,7
R-3574-NIE/RC,2002,1,1
R-3574-NIE/RC,2003,3,3
R-3574-NIE/RC,2007,1,1
R-3574-NIE/RC,2008,1,1
R.E.H.,1858,3,3
R.E.H.,1876,1,1
R.E.H.,1885,1,1
R.E.H.,1927,2,2
R.E.H.,1939,2,1
R.E.H.,1947,1,1
R.E.H.,1951,1,1
R.E.H.,1952,1,1
R.E.H.,1953,2,1
R.E.H.,1955,4,2
R.E.H.,1957,5,3
R.E.H.,1958,2,2
R.E.H.,1959,1,1
R.E.H.,1960,4,2
R.E.H.,1961,1,1
R.E.H.,1962,5,5
R.E.H.,1963,1,1
R.E.H.,1964,4,4
R.E.H.,1965,4,4
R.E.H.,1966,4,4
R.E.H.,1967,9,6
R.E.H.,1968,6,6
R.E.H.,1969,11,8
R.E.H.,1970,17,12
R.E.H.,1971,3,3
R.E.H.,1972,8,8
R.E.H.,1973,7,6
R.E.H.,1974,13,7
R.E.H.,1975,16,11
R.E.H.,1976,43,13
R.E.H.,1977,25,20
R.E.H.,1978,34,16
R.E.H.,1979,25,16
R.E.H.,1980,33,15
R.E.H.,1981,18,15
R.E.H.,1982,20,11
R.E.H.,1983,38,26
R.E.H.,1984,39,27
R.E.H.,1985,39,27
R.E.H.,1986,75,41
R.E.H.,1987,46,30
R.E.H.,1988,61,25
R.E.H.,1989,105,59
R.E.H.,1990,30,25
R.E.H.,1991,44,30
R.E.H.,1992,45,27
R.E.H.,1993,47,29
R.E.H.,1994,72,42
R.E.H.,1995,55,37
R.E.H.,1996,42,28
R.E.H.,1997,44,26
R.E.H.,1998,85,36
R.E.H.,1999,25,19
R.E.H.,2000,46,30
R.E.H.,2001,57,34
R.E.H.,2002,56,36
R.E.H.,2003,50,29
R.E.H.,2004,34,23
R.E.H.,2005,162,29
R.E.H.,2006,138,35
R.E.H.,2007,65,46
R.E.H.,2008,45,27
R.Grimm,1974,4,3
R.Grimm,1976,1,1
R.Grimm,1978,3,2
R.Grimm,1980,1,1
R.Grimm,1981,12,2
R.Grimm,1982,4,4
R.Grimm,1985,1,1
R.Grimm,1986,1,1
R.Grimm,1987,1,1
R.Grimm,1988,1,1
R.Grimm,1991,2,2
R.Grimm,1993,4,2
R.Grimm,1995,5,5
R.Grimm,1996,3,3
R.Grimm,1997,2,2
R.Grimm,1998,2,2
R.Grimm,1999,1,1
R.Grimm,2000,2,1
R.Grimm,2001,1,1
R.Grimm,2002,2,2
R.Grimm,2003,2,2
R.Grimm,2004,1,1
R.Grimm,2005,4,2
R.Grimm,2007,1,1
R.OH,1899,1,1
R.OH,1900,2,2
R.OH,1902,1,1
R.OH,1912,1,1
R.OH,1915,5,3
R.OH,1916,2,2
R.OH,1917,2,1
R.OH,1921,1,1
R.OH,1922,4,4
R.OH,1923,1,1
R.OH,1930,3,3
R.OH,1931,2,1
R.OH,1935,2,1
R.OH,1936,2,2
R.OH,1940,3,2
R.OH,1941,2,1
R.OH,1945,1,1
R.OH,1947,5,3
R.OH,1948,1,1
R.OH,1952,8,4
R.OH,1953,3,3
R.OH,1955,3,1
R.OH,1956,2,1
R.OH,1961,4,4
R.OH,1963,1,1
R.OH,1965,5,2
R.OH,1966,6,6
R.OH,1967,1,1
R.OH,1970,1,1
R.OH,1971,3,3
R.OH,1973,1,1
R.OH,1974,1,1
R.OH,1977,1,1
R.OH,1980,1,1
R.OH,1984,2,2
R.OH,1986,1,1
R.OH,1987,2,2
R.OH,1990,1,1
R.OH,1991,1,1
R.OH,1992,1,1
R.OH,1993,1,1
R.OH,1995,1,1
R.OH,1996,1,1
R.OH,1999,3,3
R.OH,2001,1,1
R.OH,2004,1,1
R.OH,2006,2,2
R.S.L,1877,1,1
R.S.L,1896,1,1
R.S.L,1898,1,1
R.S.L,1906,1,1
R.S.L,1931,1,1
R.S.L,1946,1,1
R.S.L,1951,1,1
R.S.L,1953,1,1
R.S.L,1957,1,1
R.S.L,1961,1,1
R.S.L,1962,1,1
R.S.L,1964,2,2
R.S.L,1966,3,3
R.S.L,1968,1,1
R.S.L,1970,1,1
R.S.L,1971,1,1
R.S.L,1972,2,1
R.S.L,1973,1,1
R.S.L,1974,2,2
R.S.L,1975,1,1
R.S.L,1977,2,2
R.S.L,1978,2,2
R.S.L,1979,3,3
R.S.L,1980,1,1
R.S.L,1982,13,3
R.S.L,1983,2,2
R.S.L,1985,1,1
R.S.L,1986,10,1
R.S.L,1987,1,1
R.S.L,1989,1,1
R.S.L,1990,2,2
R.S.L,1991,1,1
R.S.L,1992,8,6
R.S.L,1993,2,2
R.S.L,1994,3,2
R.S.L,1996,5,5
R.S.L,1997,5,4
R.S.L,1998,3,3
R.S.L,1999,2,2
R.S.L,2000,3,3
R.S.L,2001,1,1
R.S.L,2003,6,6
R.S.L,2004,11,3
R.S.L,2005,1,1
R.S.L,2006,1,1
R.S.L,2007,15,6
R.S.L,2008,3,3
R.Schulz,1900,1,1
R.Schulz,1981,6,3
R.Schulz,1982,1,1
R.Schulz,1986,4,4
R.Schulz,1989,3,3
R.Schulz,1990,1,1
R.Schulz,1991,1,1
R.Schulz,1992,1,1
R.Schulz,1993,2,2
R.Schulz,1994,4,4
R.Schulz,1995,18,4
R.Schulz,1996,5,3
R.Schulz,1997,1,1
R.Schulz,1998,1,1
R.Schulz,1999,2,2
R.Schulz,2001,9,3
R.Schulz,2003,1,1
R.Schulz,2004,2,1
R.Schulz,2005,2,2
R.Schulz,2006,1,1
R.Schulz,2007,1,1
R.Schulz,2008,4,2
R.Weld,1845,1,1
R.Weld,1847,1,1
R.Weld,1848,4,4
R.Weld,1849,3,3
R.Weld,1850,1,1
R.Weld,1851,3,3
R.Weld,1852,5,5
R.Weld,1853,5,5
R.Weld,1854,3,3
R.Weld,1855,7,7
R.Weld,1856,13,13
R.Weld,1857,11,11
R.Weld,1858,18,18
R.Weld,1859,14,14
R.Weld,1860,5,5
R.Weld,1868,1,1
R.Weld,1869,1,1
R.Weld,1915,6,6
R.Weld,1922,2,2
R.Weld,1946,1,1
R.Weld,2005,2,2
R00023,1992,1,1
R00023,1994,4,4
R00023,1995,3,3
R00023,1996,1,1
R00023,1997,5,5
R00023,1998,7,7
R00023,1999,9,8
R00023,2000,4,4
R00023,2001,4,4
R00023,2002,2,2
R00023,2003,2,2
R00023,2004,5,3
R00023,2008,2,2
R0R,1847,1,1
R0R,1882,1,1
R0R,1888,1,1
R0R,1902,1,1
R0R,1906,1,1
R0R,1921,1,1
R0R,1935,1,1
R0R,1944,1,1
R0R,1949,2,2
R0R,1953,2,2
R0R,1957,3,3
R0R,1958,1,1
R0R,1959,1,1
R0R,1961,2,2
R0R,1962,2,2
R0R,1963,1,1
R0R,1964,1,1
R0R,1965,3,3
R0R,1966,5,5
R0R,1967,2,2
R0R,1968,8,6
R0R,1969,8,6
R0R,1970,1,1
R0R,1971,4,2
R0R,1972,1,1
R0R,1973,21,2
R0R,1974,2,2
R0R,1975,2,2
R0R,1976,9,3
R0R,1977,12,9
R0R,1978,7,4
R0R,1979,15,10
R0R,1980,5,2
R0R,1981,3,1
R0R,1982,4,2
R0R,1983,4,2
R0R,1984,4,3
R0R,1985,1,1
R0R,1986,8,7
R0R,1987,12,9
R0R,1988,6,5
R0R,1989,5,4
R0R,1990,2,2
R0R,1991,13,7
R0R,1992,5,4
R0R,1993,2,2
R0R,1994,11,7
R0R,1996,1,1
R0R,1998,4,4
R0R,1999,7,4
R0R,2000,2,2
R0R,2001,2,2
R0R,2002,9,2
R0R,2003,2,1
R0R,2004,11,6
R0R,2005,6,5
R0R,2006,14,8
R0R,2007,2,2
R0R,2008,6,4
R100000,1972,4,1
R100000,1976,6,2
R100000,1977,1,1
R100000,1978,1,1
R100000,1980,2,2
R100000,1981,2,2
R100000,1982,1,1
R100000,1984,5,2
R100000,1985,2,1
R100000,1986,1,1
R100000,1987,5,5
R100000,1988,2,2
R100000,1989,5,2
R100000,1991,3,3
R100000,1992,6,2
R100000,1994,1,1
R100000,1996,3,1
R100000,1997,5,1
R100000,1998,1,1
R100000,1999,1,1
R100000,2000,4,2
R100000,2001,4,3
R100000,2002,7,2
R100000,2003,2,2
R100000,2004,2,2
R100000,2005,7,6
R100000,2006,4,2
R100000,2007,3,2
R100000,2008,4,4
R1025,1946,2,2
R1025,1977,1,1
R1025,1985,2,1
R1025,1988,1,1
R1025,1991,2,2
R1025,1993,7,3
R1025,1994,9,8
R1025,1995,2,2
R1025,1996,4,4
R1025,1997,12,12
R1025,1998,5,4
R1025,1999,5,5
R1025,2000,2,2
R1025,2001,5,4
R1025,2002,8,7
R1025,2003,5,5
R1025,2004,6,6
R1025,2005,7,7
R1025,2006,7,7
R1025,2007,9,8
R1025,2008,2,2
R637,1933,1,1
R637,1939,1,1
R637,1951,2,2
R637,1952,1,1
R637,1958,1,1
R637,1963,2,1
R637,1968,1,1
R637,1975,1,1
R637,1976,1,1
R637,1978,1,1
R637,1979,4,4
R637,1981,3,3
R637,1982,1,1
R637,1984,7,2
R637,1985,3,3
R637,1986,4,2
R637,1988,1,1
R637,1989,3,3
R637,1990,3,3
R637,1991,3,3
R637,1992,1,1
R637,1993,10,4
R637,1994,3,2
R637,1995,5,4
R637,1996,3,2
R637,1997,1,1
R637,1998,2,2
R637,1999,4,3
R637,2000,1,1
R637,2001,10,4
R637,2002,13,6
R637,2003,15,8
R637,2004,3,3
R637,2005,2,2
R637,2006,2,2
R637,2007,5,4
R637,2008,6,6
RACHELLE,1903,1,1
RACHELLE,1927,3,3
RACHELLE,1934,1,1
RACHELLE,1936,1,1
RACHELLE,1940,2,2
RACHELLE,1941,1,1
RACHELLE,1942,1,1
RACHELLE,1945,1,1
RACHELLE,1956,1,1
RACHELLE,1958,1,1
RACHELLE,1962,1,1
RACHELLE,1964,1,1
RACHELLE,1966,1,1
RACHELLE,1969,1,1
RACHELLE,1970,1,1
RACHELLE,1971,7,6
RACHELLE,1973,1,1
RACHELLE,1974,3,3
RACHELLE,1975,4,4
RACHELLE,1976,6,3
RACHELLE,1977,3,3
RACHELLE,1978,12,10
RACHELLE,1979,4,4
RACHELLE,1980,8,7
RACHELLE,1981,3,3
RACHELLE,1982,11,5
RACHELLE,1983,7,7
RACHELLE,1984,10,5
RACHELLE,1985,14,9
RACHELLE,1986,17,7
RACHELLE,1987,28,9
RACHELLE,1988,9,8
RACHELLE,1989,9,9
RACHELLE,1990,18,12
RACHELLE,1991,11,7
RACHELLE,1992,11,5
RACHELLE,1993,5,4
RACHELLE,1994,7,4
RACHELLE,1995,7,6
RACHELLE,1996,12,7
RACHELLE,1997,12,11
RACHELLE,1998,14,13
RACHELLE,1999,19,12
RACHELLE,2000,13,12
RACHELLE,2001,87,17
RACHELLE,2002,17,14
RACHELLE,2003,9,9
RACHELLE,2004,10,9
RACHELLE,2005,9,5
RACHELLE,2006,22,11
RACHELLE,2007,28,15
RACHELLE,2008,18,11
RADVANYI,1945,1,1
RADVANYI,1949,1,1
RADVANYI,1954,2,1
RADVANYI,1967,2,1
RADVANYI,1968,1,1
RADVANYI,1969,1,1
RADVANYI,1971,1,1
RADVANYI,1973,2,2
RADVANYI,1974,6,5
RADVANYI,1977,2,2
RADVANYI,1978,1,1
RADVANYI,1979,1,1
RADVANYI,1980,2,2
RADVANYI,1981,6,6
RADVANYI,1983,1,1
RADVANYI,1985,5,4
RADVANYI,1986,7,5
RADVANYI,1987,2,1
RADVANYI,1988,2,2
RADVANYI,1989,2,2
RADVANYI,1992,1,1
RADVANYI,1994,1,1
RADVANYI,1995,3,1
RADVANYI,1996,2,2
RADVANYI,1999,127,2
RADVANYI,2001,1,1
RADVANYI,2006,2,2
RADVANYI,2007,1,1
RADVANYI,2008,5,2
RAIMENT,1788,2,2
RAIMENT,1800,1,1
RAIMENT,1804,1,1
RAIMENT,1805,4,4
RAIMENT,1810,4,4
RAIMENT,1811,1,1
RAIMENT,1814,3,3
RAIMENT,1815,3,2
RAIMENT,1818,1,1
RAIMENT,1819,2,2
RAIMENT,1823,2,2
RAIMENT,1827,4,3
RAIMENT,1829,1,1
RAIMENT,1832,3,3
RAIMENT,1833,3,3
RAIMENT,1834,1,1
RAIMENT,1835,3,3
RAIMENT,1837,2,2
RAIMENT,1838,9,5
RAIMENT,1839,2,1
RAIMENT,1840,1,1
RAIMENT,1841,2,2
RAIMENT,1842,5,4
RAIMENT,1843,3,3
RAIMENT,1844,3,3
RAIMENT,1845,1,1
RAIMENT,1846,1,1
RAIMENT,1848,2,1
RAIMENT,1849,1,1
RAIMENT,1851,4,4
RAIMENT,1853,5,4
RAIMENT,1855,9,6
RAIMENT,1856,4,4
RAIMENT,1857,11,7
RAIMENT,1858,3,3
RAIMENT,1859,12,10
RAIMENT,1860,8,4
RAIMENT,1861,6,6
RAIMENT,1863,5,2
RAIMENT,1864,6,6
RAIMENT,1865,5,5
RAIMENT,1867,2,2
RAIMENT,1868,3,3
RAIMENT,1869,1,1
RAIMENT,1870,3,3
RAIMENT,1871,13,8
RAIMENT,1873,2,2
RAIMENT,1874,4,4
RAIMENT,1876,1,1
RAIMENT,1877,1,1
RAIMENT,1879,6,6
RAIMENT,1880,2,2
RAIMENT,1881,3,3
RAIMENT,1882,4,4
RAIMENT,1884,2,2
RAIMENT,1885,2,1
RAIMENT,1886,1,1
RAIMENT,1887,3,3
