word,year,count,sources
S'20,1817,1,1
S'20,1829,1,1
S'20,1855,1,1
S'20,1856,2,2
S'20,1863,1,1
S'20,1865,1,1
S'20,1870,2,2
S'20,1872,1,1
S'20,1876,1,1
S'20,1878,1,1
S'20,1881,1,1
S'20,1883,1,1
S'20,1885,3,3
S'20,1886,1,1
S'20,1888,5,5
S'20,1890,3,2
S'20,1894,1,1
S'20,1897,2,2
S'20,1898,1,1
S'20,1902,1,1
S'20,1910,2,2
S'20,1911,2,2
S'20,1933,1,1
S'20,1947,3,1
S'20,1950,8,2
S'20,1954,1,1
S'20,1957,2,1
S'20,1960,3,3
S'20,1963,1,1
S'20,1965,1,1
S'20,1966,2,2
S'20,1967,1,1
S'20,1968,1,1
S'20,1969,8,1
S'20,1972,2,1
S'20,1973,1,1
S'20,1975,2,2
S'20,1977,1,1
S'20,1978,1,1
S'20,1979,1,1
S'20,1980,1,1
S'20,1981,1,1
S'20,1987,3,3
S'20,1988,1,1
S'20,1989,1,1
S'20,1998,2,2
S'20,2001,1,1
S'20,2002,1,1
S'20,2003,1,1
S'20,2004,2,2
S'20,2005,1,1
S'20,2006,2,2
S'20,2007,1,1
S'20,2008,1,1
S'agapo,1955,1,1
S'agapo,1961,6,2
S'agapo,1967,2,2
S'agapo,1968,3,3
S'agapo,1969,1,1
S'agapo,1974,1,1
S'agapo,1978,2,2
S'agapo,1982,3,1
S'agapo,1983,1,1
S'agapo,1984,3,2
S'agapo,1985,1,1
S'agapo,1989,1,1
S'agapo,1990,9,7
S'agapo,1991,1,1
S'agapo,1993,1,1
S'agapo,1994,2,1
S'agapo,1997,1,1
S'agapo,1998,2,2
S'agapo,1999,7,2
S'agapo,2000,4,2
S'agapo,2002,5,4
S'agapo,2003,10,5
S'agapo,2004,19,10
S'agapo,2005,9,7
S'agapo,2006,11,6
S'agapo,2007,18,10
S'agapo,2008,11,7
S.-S.,1761,1,1
S.-S.,1818,1,1
S.-S.,1858,1,1
S.-S.,1862,1,1
S.-S.,1867,2,1
S.-S.,1876,1,1
S.-S.,1882,1,1
S.-S.,1883,1,1
S.-S.,1884,1,1
S.-S.,1885,5,3
S.-S.,1886,3,3
S.-S.,1888,7,4
S.-S.,1889,2,1
S.-S.,1890,1,1
S.-S.,1891,27,8
S.-S.,1892,8,5
S.-S.,1893,2,2
S.-S.,1895,2,2
S.-S.,1896,7,4
S.-S.,1898,11,4
S.-S.,1899,5,4
S.-S.,1900,1,1
S.-S.,1901,116,5
S.-S.,1904,52,2
S.-S.,1905,7,3
S.-S.,1906,11,4
S.-S.,1907,15,9
S.-S.,1908,1,1
S.-S.,1909,14,5
S.-S.,1911,21,8
S.-S.,1912,12,6
S.-S.,1913,22,1
S.-S.,1915,2,1
S.-S.,1916,2,1
S.-S.,1917,1,1
S.-S.,1919,7,2
S.-S.,1920,14,7
S.-S.,1921,1,1
S.-S.,1922,6,2
S.-S.,1923,5,5
S.-S.,1924,9,4
S.-S.,1925,18,5
S.-S.,1926,1,1
S.-S.,1927,9,5
S.-S.,1929,2,2
S.-S.,1931,1,1
S.-S.,1932,3,1
S.-S.,1933,8,8
S.-S.,1934,8,4
S.-S.,1935,3,3
S.-S.,1936,1,1
S.-S.,1937,3,1
S.-S.,1939,1,1
S.-S.,1940,3,2
S.-S.,1941,1,1
S.-S.,1942,8,2
S.-S.,1943,1,1
S.-S.,1944,1,1
S.-S.,1946,6,2
S.-S.,1947,1,1
S.-S.,1949,22,6
S.-S.,1950,7,2
S.-S.,1952,2,2
S.-S.,1954,2,2
S.-S.,1955,19,4
S.-S.,1956,1,1
S.-S.,1957,14,9
S.-S.,1958,16,7
S.-S.,1959,35,6
S.-S.,1960,17,9
S.-S.,1961,27,12
S.-S.,1962,27,12
S.-S.,1963,49,8
S.-S.,1964,31,13
S.-S.,1965,10,7
S.-S.,1966,5,3
S.-S.,1967,7,7
S.-S.,1968,244,18
S.-S.,1969,24,13
S.-S.,1970,37,13
S.-S.,1971,26,11
S.-S.,1972,226,15
S.-S.,1973,86,25
S.-S.,1974,88,21
S.-S.,1975,49,13
S.-S.,1976,60,25
S.-S.,1977,21,17
S.-S.,1978,37,26
S.-S.,1979,48,32
S.-S.,1980,59,37
S.-S.,1981,57,46
S.-S.,1982,103,40
S.-S.,1983,61,44
S.-S.,1984,71,40
S.-S.,1985,72,55
S.-S.,1986,76,46
S.-S.,1987,89,55
S.-S.,1988,94,67
S.-S.,1989,191,101
S.-S.,1990,83,62
S.-S.,1991,103,74
S.-S.,1992,114,80
S.-S.,1993,120,85
S.-S.,1994,111,69
S.-S.,1995,131,84
S.-S.,1996,91,62
S.-S.,1997,171,98
S.-S.,1998,150,81
S.-S.,1999,258,87
S.-S.,2000,225,99
S.-S.,2001,217,159
S.-S.,2002,156,121
S.-S.,2003,199,147
S.-S.,2004,191,147
S.-S.,2005,176,133
S.-S.,2006,243,166
S.-S.,2007,282,166
S.-S.,2008,211,140
S.307,1837,1,1
S.307,1861,1,1
S.307,1864,1,1
S.307,1898,1,1
S.307,1901,1,1
S.307,1920,2,2
S.307,1932,1,1
S.307,1937,2,2
S.307,1954,3,3
S.307,1959,2,2
S.307,1963,1,1
S.307,1965,2,2
S.307,1967,2,2
S.307,1968,1,1
S.307,1969,1,1
S.307,1971,1,1
S.307,1972,2,2
S.307,1973,2,2
S.307,1975,2,2
S.307,1976,9,6
S.307,1977,3,3
S.307,1978,2,1
S.307,1980,1,1
S.307,1981,1,1
S.307,1983,3,3
S.307,1986,2,2
S.307,1989,4,3
S.307,1990,2,2
S.307,1992,1,1
S.307,1993,5,2
S.307,1994,1,1
S.307,1995,1,1
S.307,1996,3,3
S.307,1997,2,2
S.307,1998,1,1
S.307,1999,1,1
S.307,2001,6,5
S.307,2002,13,4
S.307,2003,5,4
S.307,2004,4,4
S.307,2005,5,4
S.307,2007,2,2
S.384,1800,1,1
S.384,1926,1,1
S.384,1939,1,1
S.384,1963,2,2
S.384,1966,1,1
S.384,1970,3,3
S.384,1972,2,2
S.384,1974,1,1
S.384,1977,3,3
S.384,1980,2,2
S.384,1981,2,2
S.384,1988,3,3
S.384,1989,2,2
S.384,1990,2,2
S.384,1991,1,1
S.384,1993,7,1
S.384,1994,1,1
S.384,1995,1,1
S.384,1996,1,1
S.384,1999,2,2
S.384,2000,1,1
S.384,2001,2,2
S.384,2002,10,3
S.384,2003,2,2
S.384,2005,1,1
S.384,2007,2,2
