word,year,count,sources
T/6D,1939,2,2
T/6D,1941,2,1
T/6D,1948,1,1
T/6D,1950,2,1
T/6D,1955,2,2
T/6D,1957,1,1
T/6D,1960,5,5
T/6D,1961,3,3
T/6D,1965,3,3
T/6D,1966,5,4
T/6D,1968,2,2
T/6D,1969,1,1
T/6D,1970,1,1
T/6D,1971,1,1
T/6D,1972,3,1
T/6D,1974,1,1
T/6D,1975,1,1
T/6D,1976,2,2
T/6D,1977,2,2
T/6D,1979,5,5
T/6D,1981,2,1
T/6D,1982,2,2
T/6D,1983,1,1
T/6D,1984,5,3
T/6D,1986,3,2
T/6D,1987,4,4
T/6D,1988,33,3
T/6D,1989,5,3
T/6D,1990,3,3
T/6D,1991,3,3
T/6D,1992,2,1
T/6D,1993,1,1
T/6D,2003,3,1
T/6D,2005,1,1
T030,1843,11,2
T030,1846,1,1
T030,1854,1,1
T030,1857,1,1
T030,1863,3,3
T030,1867,1,1
T030,1869,2,2
T030,1872,1,1
T030,1873,1,1
T030,1875,1,1
T030,1876,1,1
T030,1879,1,1
T030,1882,1,1
T030,1884,1,1
T030,1885,2,2
T030,1886,1,1
T030,1901,1,1
T030,1907,2,1
T030,1908,2,1
T030,1909,2,2
T030,1911,2,2
T030,1915,1,1
T030,1919,1,1
T030,1920,3,3
T030,1941,1,1
T030,1958,2,1
T030,1960,1,1
T030,1961,1,1
T030,1962,1,1
T030,1970,1,1
T030,1974,1,1
T030,1976,2,2
T030,1978,9,4
T030,1981,2,2
T030,1982,1,1
T030,1983,2,1
T030,1987,4,2
T030,1988,1,1
T030,1990,10,1
T030,1993,2,2
T030,1994,1,1
T030,1995,1,1
T030,1998,3,2
T030,1999,3,2
T030,2000,2,2
T030,2001,4,4
T030,2003,4,4
T030,2004,2,2
T030,2005,1,1
T030,2006,20,4
T030,2007,3,3
T030,2008,4,2
T1CKNOR,1835,2,1
T1CKNOR,1839,1,1
T1CKNOR,1845,1,1
T1CKNOR,1850,3,3
T1CKNOR,1851,4,4
T1CKNOR,1852,4,4
T1CKNOR,1853,2,2
T1CKNOR,1854,2,2
T1CKNOR,1855,1,1
T1CKNOR,1857,1,1
T1CKNOR,1861,1,1
T1CKNOR,1862,1,1
T1CKNOR,1864,1,1
T1CKNOR,1869,1,1
T1CKNOR,1874,2,2
T1CKNOR,1876,2,2
T1CKNOR,1886,1,1
T1CKNOR,1888,1,1
T1CKNOR,1889,1,1
T1CKNOR,1894,1,1
T1CKNOR,1904,1,1
T1CKNOR,1913,1,1
T1CKNOR,1939,1,1
T1CKNOR,1962,1,1
T1CKNOR,1965,1,1
T1CKNOR,1972,1,1
T1CKNOR,1974,1,1
T1CKNOR,1983,4,4
T1CKNOR,1985,1,1
T1CKNOR,1986,3,3
T1CKNOR,1987,2,2
T1CKNOR,1988,1,1
T1CKNOR,1993,3,3
T1CKNOR,1994,3,1
