word,year,count,sources
U.K.I,1809,1,1
U.K.I,1904,1,1
U.K.I,1914,1,1
U.K.I,1946,1,1
U.K.I,1954,1,1
U.K.I,1962,2,2
U.K.I,1963,4,4
U.K.I,1965,2,2
U.K.I,1969,2,2
U.K.I,1970,7,6
U.K.I,1971,6,4
U.K.I,1972,3,3
U.K.I,1973,1,1
U.K.I,1974,1,1
U.K.I,1976,1,1
U.K.I,1978,2,2
U.K.I,1979,3,3
U.K.I,1980,9,7
U.K.I,1981,7,5
U.K.I,1982,3,2
U.K.I,1983,10,8
U.K.I,1984,8,7
U.K.I,1985,1,1
U.K.I,1986,2,2
U.K.I,1987,3,3
U.K.I,1989,12,7
U.K.I,1990,1,1
U.K.I,1991,1,1
U.K.I,1992,1,1
U.K.I,1994,5,5
U.K.I,1997,5,5
U.K.I,1998,4,4
U.K.I,1999,2,2
U.K.I,2000,5,3
U.K.I,2001,1,1
U.K.I,2002,5,5
U.K.I,2003,3,3
U.K.I,2004,1,1
U.K.I,2006,1,1
U.K.I,2007,2,2
U.K.I,2008,1,1
U.S.Cong,1934,1,1
U.S.Cong,1952,1,1
U.S.Cong,1957,1,1
U.S.Cong,1960,1,1
U.S.Cong,1970,1,1
U.S.Cong,1971,2,1
U.S.Cong,1972,2,2
U.S.Cong,1973,2,2
U.S.Cong,1974,6,4
U.S.Cong,1977,5,5
U.S.Cong,1979,2,2
U.S.Cong,1980,5,1
U.S.Cong,1981,1,1
U.S.Cong,1982,4,4
U.S.Cong,1983,1,1
U.S.Cong,1984,5,3
U.S.Cong,1985,7,6
U.S.Cong,1986,6,6
U.S.Cong,1987,2,2
U.S.Cong,1988,3,3
U.S.Cong,1989,1,1
U.S.Cong,1990,2,2
U.S.Cong,1991,3,2
U.S.Cong,1992,6,6
U.S.Cong,1993,1,1
U.S.Cong,1994,1,1
U.S.Cong,1995,3,2
U.S.Cong,1997,6,4
U.S.Cong,1998,4,4
U.S.Cong,2000,2,2
U.S.Cong,2001,3,2
U.S.Cong,2002,4,3
U.S.Cong,2003,1,1
U.S.Cong,2005,6,5
U.S.Cong,2006,3,3
U.S.Cong,2007,2,2
U.S.Cong,2008,14,7
U.ll,1872,1,1
U.ll,1879,1,1
U.ll,1880,1,1
U.ll,1885,1,1
U.ll,1911,1,1
U.ll,1919,1,1
U.ll,1920,1,1
U.ll,1922,1,1
U.ll,1931,1,1
U.ll,1939,1,1
U.ll,1943,1,1
U.ll,1946,1,1
U.ll,1947,1,1
U.ll,1949,1,1
U.ll,1950,2,1
U.ll,1951,1,1
U.ll,1952,1,1
U.ll,1953,1,1
U.ll,1954,1,1
U.ll,1955,4,2
U.ll,1956,3,3
U.ll,1957,12,5
U.ll,1958,2,2
U.ll,1959,11,7
U.ll,1960,4,2
U.ll,1961,6,5
U.ll,1962,7,7
U.ll,1963,6,4
U.ll,1964,3,3
U.ll,1965,14,11
U.ll,1966,10,9
U.ll,1967,22,13
U.ll,1968,20,14
U.ll,1969,22,15
U.ll,1970,4,3
U.ll,1971,12,9
U.ll,1972,18,14
U.ll,1973,32,13
U.ll,1974,17,12
U.ll,1975,18,12
U.ll,1976,16,12
U.ll,1977,20,11
U.ll,1978,14,11
U.ll,1979,8,6
U.ll,1980,13,10
U.ll,1981,5,5
U.ll,1982,14,7
U.ll,1983,10,8
U.ll,1984,2,2
U.ll,1985,8,5
U.ll,1986,4,4
U.ll,1987,6,6
U.ll,1988,1,1
U.ll,1989,3,3
U.ll,1990,3,3
U.ll,1992,2,2
U.ll,1993,3,3
U.ll,1994,2,2
U.ll,1995,7,5
U.ll,1996,1,1
U.ll,1997,4,3
U.ll,2000,36,2
U.ll,2001,2,2
U.ll,2002,2,2
U.ll,2004,1,1
U.ll,2005,1,1
U.ll,2007,2,2
U.ll,2008,2,2
UDion,1828,1,1
UDion,1842,1,1
UDion,1844,1,1
UDion,1845,1,1
UDion,1847,2,2
UDion,1848,1,1
UDion,1851,1,1
UDion,1852,1,1
UDion,1854,2,2
UDion,1856,2,2
UDion,1857,1,1
UDion,1860,2,2
UDion,1861,1,1
UDion,1862,2,2
UDion,1864,1,1
UDion,1865,1,1
UDion,1866,1,1
UDion,1867,2,2
UDion,1868,2,2
UDion,1870,2,2
UDion,1873,2,2
UDion,1875,1,1
UDion,1878,3,3
UDion,1879,1,1
UDion,1880,1,1
UDion,1884,1,1
UDion,1885,1,1
UDion,1886,1,1
UDion,1887,2,2
UDion,1889,1,1
UDion,1890,1,1
UDion,1891,2,2
UDion,1892,2,2
UDion,1896,2,2
UDion,1897,2,2
UDion,1899,1,1
UDion,1900,1,1
UDion,1901,4,4
UDion,1902,4,4
UDion,1903,1,1
UDion,1907,1,1
UDion,1909,1,1
UDion,1912,1,1
UDion,1918,2,2
UDion,1934,1,1
UDion,1940,1,1
UDion,1946,1,1
UDion,1947,1,1
UDion,1955,1,1
UDion,1962,2,2
UDion,1964,1,1
UDion,1967,1,1
UDion,1968,1,1
UDion,1970,1,1
UDion,1973,1,1
UDion,1976,1,1
UDion,1979,1,1
UDion,1980,2,2
UDion,1981,1,1
UDion,1983,2,2
UDion,1984,2,2
UDion,1985,1,1
UDion,1986,1,1
UDion,1987,2,2
UDion,1998,1,1
UDion,2006,1,1
UDion,2008,5,5
UExpress,1920,1,1
UExpress,1955,8,1
UExpress,1957,6,3
UExpress,1958,12,6
UExpress,1960,2,1
UExpress,1961,7,4
UExpress,1962,12,5
UExpress,1963,4,4
UExpress,1964,13,9
UExpress,1965,1,1
UExpress,1966,15,11
UExpress,1967,12,6
UExpress,1968,48,20
UExpress,1969,7,4
UExpress,1970,17,9
UExpress,1971,2,2
UExpress,1972,3,3
UExpress,1973,3,3
UExpress,1974,2,2
UExpress,1975,16,6
UExpress,1976,5,5
UExpress,1977,3,3
UExpress,1978,7,6
UExpress,1979,6,5
UExpress,1980,9,3
UExpress,1981,1,1
UExpress,1984,1,1
UExpress,1985,8,7
UExpress,1988,1,1
UExpress,1989,1,1
UExpress,1990,2,2
UExpress,1991,5,4
UExpress,1992,9,7
UExpress,1993,3,3
UExpress,1994,1,1
UExpress,1995,14,11
UExpress,1996,4,4
UExpress,1997,10,4
UExpress,1998,10,9
UExpress,1999,5,4
UExpress,2000,10,8
UExpress,2001,3,3
UExpress,2002,7,6
UExpress,2003,3,3
UExpress,2004,12,6
UExpress,2005,11,6
UExpress,2006,4,4
UExpress,2007,8,6
UExpress,2008,4,4
UF9,1942,1,1
UF9,1943,1,1
UF9,1949,3,3
UF9,1950,1,1
UF9,1954,2,2
UF9,1957,3,2
UF9,1959,2,2
UF9,1963,6,1
UF9,1965,1,1
UF9,1968,1,1
UF9,1970,1,1
UF9,1979,3,2
UF9,1980,2,2
UF9,1981,3,3
UF9,1982,2,1
UF9,1983,1,1
UF9,1984,1,1
UF9,1985,1,1
UF9,1993,3,3
UF9,1994,2,2
UF9,1997,4,3
UF9,1998,1,1
