word,year,count,sources
W'ald,1861,1,1
W'ald,1899,1,1
W'ald,1910,1,1
W'ald,1914,2,1
W'ald,1945,1,1
W'ald,1946,1,1
W'ald,1954,1,1
W'ald,1959,1,1
W'ald,1961,1,1
W'ald,1966,1,1
W'ald,1967,1,1
W'ald,1969,1,1
W'ald,1970,2,2
W'ald,1976,1,1
W'ald,1977,1,1
W'ald,1982,3,3
W'ald,1983,1,1
W'ald,1986,3,3
W'ald,1990,1,1
W'ald,1992,2,2
W'ald,1996,1,1
W'ald,1997,2,2
W'ald,1998,1,1
W'ald,1999,4,4
W'ald,2000,1,1
W'ald,2001,1,1
W'ald,2002,1,1
W'ald,2003,3,3
W'ald,2004,3,3
W'ald,2005,2,2
W'ald,2007,2,2
W'ald,2008,1,1
W.O.W.,1891,2,1
W.O.W.,1893,2,2
W.O.W.,1907,1,1
W.O.W.,1912,2,2
W.O.W.,1921,5,1
W.O.W.,1922,2,2
W.O.W.,1928,1,1
W.O.W.,1930,1,1
W.O.W.,1931,3,3
W.O.W.,1932,3,2
W.O.W.,1933,1,1
W.O.W.,1935,2,2
W.O.W.,1936,12,3
W.O.W.,1937,7,2
W.O.W.,1939,7,3
W.O.W.,1940,2,2
W.O.W.,1941,5,5
W.O.W.,1942,3,2
W.O.W.,1943,3,2
W.O.W.,1945,4,4
W.O.W.,1946,4,4
W.O.W.,1947,2,1
W.O.W.,1948,4,2
W.O.W.,1949,4,3
W.O.W.,1950,1,1
W.O.W.,1951,3,2
W.O.W.,1952,4,4
W.O.W.,1954,2,2
W.O.W.,1955,5,5
W.O.W.,1956,6,4
W.O.W.,1957,7,4
W.O.W.,1959,2,2
W.O.W.,1960,1,1
W.O.W.,1961,3,3
W.O.W.,1962,14,3
W.O.W.,1963,9,3
W.O.W.,1964,2,2
W.O.W.,1965,10,5
W.O.W.,1966,8,5
W.O.W.,1967,52,9
W.O.W.,1968,22,8
W.O.W.,1969,10,6
W.O.W.,1970,8,5
W.O.W.,1971,10,4
W.O.W.,1972,9,4
W.O.W.,1973,6,6
W.O.W.,1974,3,3
W.O.W.,1975,10,7
W.O.W.,1976,35,16
W.O.W.,1977,24,8
