word,year,count,sources
X25.000,1862,1,1
X25.000,1949,3,2
X25.000,1956,1,1
X25.000,1960,1,1
X25.000,1961,3,2
X25.000,1965,9,8
X25.000,1966,1,1
X25.000,1968,2,2
X25.000,1969,3,3
X25.000,1970,2,2
X25.000,1971,8,5
X25.000,1972,3,3
X25.000,1973,7,6
X25.000,1974,12,9
X25.000,1975,9,7
X25.000,1976,3,3
X25.000,1977,2,2
X25.000,1978,12,7
X25.000,1979,11,8
X25.000,1980,12,5
X25.000,1981,7,7
X25.000,1982,9,8
X25.000,1983,6,5
X25.000,1984,5,4
X25.000,1985,1,1
X25.000,1986,3,3
X25.000,1987,2,2
X25.000,1988,2,2
X25.000,1989,5,2
X25.000,1990,2,2
X25.000,1991,3,3
X25.000,1992,5,3
X25.000,1993,8,5
X25.000,1994,3,3
X25.000,1995,2,2
X25.000,1997,1,1
X25.000,1998,5,4
X25.000,1999,4,3
X25.000,2000,1,1
X25.000,2001,1,1
X25.000,2003,3,3
X25.000,2004,2,1
X25.000,2006,3,1
XCth,1737,2,2
XCth,1768,1,1
XCth,1803,2,2
XCth,1810,2,2
XCth,1819,3,3
XCth,1824,2,2
XCth,1828,2,2
XCth,1830,2,1
XCth,1859,1,1
XCth,1864,1,1
XCth,1866,1,1
XCth,1867,3,3
XCth,1875,5,3
XCth,1886,1,1
XCth,1902,1,1
XCth,1904,1,1
XCth,1906,7,7
XCth,1909,1,1
XCth,1917,2,1
XCth,1966,1,1
XCth,1969,1,1
XCth,1989,1,1
XCth,1998,1,1
XCth,2006,1,1
XCth,2007,1,1
XCth,2008,4,2
XI.67,1914,4,4
XI.67,1916,1,1
XI.67,1948,2,2
XI.67,1950,1,1
XI.67,1962,6,6
XI.67,1967,3,2
XI.67,1969,2,2
XI.67,1970,1,1
XI.67,1974,3,3
XI.67,1976,1,1
XI.67,1978,1,1
XI.67,1980,1,1
XI.67,1982,6,3
XI.67,1992,2,2
XI.67,1996,1,1
XI.67,1998,3,3
XI.67,1999,5,4
XI.67,2000,2,2
XI.67,2002,2,2
XI.67,2003,2,2
XI.67,2005,1,1
XI.67,2006,1,1
XI.67,2007,2,2
XII.57,1915,1,1
XII.57,1961,3,3
XII.57,1962,3,3
XII.57,1968,1,1
XII.57,1973,1,1
XII.57,1976,6,2
XII.57,1978,2,2
XII.57,1980,3,2
XII.57,1982,1,1
XII.57,1987,4,4
XII.57,1992,5,3
XII.57,1993,1,1
XII.57,1995,1,1
XII.57,1996,3,2
XII.57,1998,3,3
XII.57,1999,1,1
XII.57,2001,1,1
XII.57,2002,1,1
XII.57,2004,1,1
XII.57,2005,3,3
XII.57,2007,3,3
XIV5,1822,2,2
XIV5,1823,1,1
XIV5,1877,1,1
XIV5,1903,3,3
XIV5,1906,1,1
XIV5,1907,12,3
XIV5,1909,1,1
XIV5,1922,3,3
XIV5,1930,1,1
XIV5,1935,1,1
XIV5,1940,1,1
XIV5,1942,2,2
XIV5,1948,1,1
XIV5,1953,2,2
XIV5,1955,3,3
XIV5,1963,3,3
XIV5,1964,2,2
XIV5,1966,1,1
XIV5,1967,1,1
XIV5,1975,1,1
XIV5,1978,3,1
XIV5,1986,1,1
XIV5,1988,1,1
XIV5,1989,1,1
XIV5,1991,2,2
XIV5,1993,4,4
XIV5,1994,2,2
XIV5,1996,1,1
XIV5,1997,1,1
XIV5,1998,5,5
XIV5,1999,2,2
XIV5,2000,5,3
XIV5,2002,1,1
XIV5,2005,2,2
XIV5,2006,2,2
XIV5,2007,2,2
XIV5,2008,1,1
XOL,1736,1,1
XOL,1803,1,1
XOL,1804,1,1
XOL,1805,1,1
XOL,1808,2,2
XOL,1811,3,3
XOL,1813,2,2
XOL,1818,2,2
XOL,1820,1,1
XOL,1821,2,2
XOL,1823,1,1
XOL,1825,1,1
XOL,1830,2,2
XOL,1847,1,1
XOL,1848,1,1
XOL,1849,1,1
XOL,1850,1,1
XOL,1857,2,2
XOL,1860,1,1
XOL,1863,1,1
XOL,1865,1,1
XOL,1875,1,1
XOL,1880,1,1
XOL,1887,1,1
XOL,1905,1,1
XOL,1912,1,1
XOL,1914,32,1
XOL,1915,1,1
XOL,1924,1,1
XOL,1929,1,1
XOL,1935,1,1
XOL,1939,1,1
XOL,1940,1,1
XOL,1946,1,1
XOL,1948,1,1
XOL,1951,1,1
XOL,1952,1,1
XOL,1953,4,4
XOL,1958,1,1
XOL,1959,3,3
XOL,1960,4,3
XOL,1963,1,1
XOL,1966,1,1
XOL,1967,2,2
XOL,1968,1,1
XOL,1969,1,1
XOL,1970,2,2
XOL,1972,9,7
XOL,1974,6,5
XOL,1976,23,7
XOL,1978,2,2
XOL,1979,6,1
XOL,1981,4,1
XOL,1982,2,2
XOL,1983,3,2
XOL,1984,4,4
XOL,1986,3,3
XOL,1987,1,1
XOL,1988,19,3
XOL,1989,8,6
XOL,1990,4,4
XOL,1991,4,3
XOL,1992,8,3
XOL,1993,1,1
XOL,1994,6,4
XOL,1995,1,1
XOL,1996,3,3
XOL,1997,6,6
XOL,1998,9,6
XOL,1999,85,3
XOL,2000,89,7
XOL,2001,30,17
XOL,2002,133,12
XOL,2003,39,18
XOL,2004,61,17
XOL,2005,96,25
XOL,2006,11,9
XOL,2007,32,15
XOL,2008,21,14
XPERIMENTS,1764,1,1
XPERIMENTS,1790,1,1
XPERIMENTS,1793,1,1
XPERIMENTS,1863,1,1
XPERIMENTS,1873,2,1
XPERIMENTS,1877,1,1
XPERIMENTS,1888,1,1
XPERIMENTS,1890,1,1
XPERIMENTS,1894,1,1
XPERIMENTS,1895,1,1
XPERIMENTS,1899,1,1
XPERIMENTS,1903,1,1
XPERIMENTS,1906,2,2
XPERIMENTS,1908,1,1
XPERIMENTS,1909,1,1
XPERIMENTS,1910,2,2
XPERIMENTS,1911,4,4
XPERIMENTS,1914,2,2
XPERIMENTS,1920,2,2
XPERIMENTS,1921,2,2
XPERIMENTS,1922,1,1
XPERIMENTS,1925,3,3
XPERIMENTS,1929,1,1
XPERIMENTS,1930,1,1
XPERIMENTS,1931,1,1
XPERIMENTS,1932,1,1
XPERIMENTS,1939,1,1
XPERIMENTS,1940,1,1
XPERIMENTS,1949,1,1
XPERIMENTS,1955,2,2
XPERIMENTS,1957,2,2
XPERIMENTS,1958,2,2
XPERIMENTS,1961,2,2
XPERIMENTS,1964,3,3
XPERIMENTS,1965,2,1
XPERIMENTS,1967,1,1
XPERIMENTS,1968,1,1
XPERIMENTS,1969,2,2
XPERIMENTS,1970,2,2
XPERIMENTS,1976,1,1
XPERIMENTS,1978,2,2
XPERIMENTS,1980,2,2
XPERIMENTS,1981,1,1
XPERIMENTS,1984,1,1
XPERIMENTS,1985,1,1
XPERIMENTS,1986,2,2
XPERIMENTS,1990,1,1
XPERIMENTS,1992,1,1
XPERIMENTS,1993,3,2
XPERIMENTS,1994,1,1
XPERIMENTS,1997,1,1
XPERIMENTS,1999,1,1
XPERIMENTS,2001,1,1
XPERIMENTS,2002,2,2
XPERIMENTS,2003,3,3
XPERIMENTS,2006,2,1
XPERIMENTS,2008,3,1
XVIIXX,1921,1,1
XVIIXX,1922,1,1
XVIIXX,1925,1,1
XVIIXX,1929,1,1
XVIIXX,1935,2,2
XVIIXX,1936,2,2
XVIIXX,1937,1,1
XVIIXX,1939,4,4
XVIIXX,1947,1,1
XVIIXX,1950,1,1
XVIIXX,1951,1,1
XVIIXX,1954,1,1
XVIIXX,1957,2,2
XVIIXX,1972,1,1
XVIIXX,1974,1,1
XVIIXX,1976,2,2
XVIIXX,1977,1,1
XVIIXX,1979,1,1
XVIIXX,1986,1,1
XVIIXX,1988,1,1
XVIIXX,1989,1,1
XVIIXX,1992,2,2
XVIIXX,1993,1,1
XVIIXX,1996,1,1
XVIIXX,1997,1,1
XVIIXX,1998,2,2
XVIIXX,1999,1,1
XVIIXX,2002,2,2
XVIIXX,2005,2,2
XVIIXX,2007,1,1
XVIIXX,2008,1,1
XVIieme,1901,3,3
XVIieme,1902,1,1
XVIieme,1903,3,3
XVIieme,1912,5,2
XVIieme,1914,1,1
XVIieme,1934,1,1
XVIieme,1961,1,1
XVIieme,1966,1,1
XVIieme,1968,1,1
XVIieme,1969,1,1
XVIieme,1971,1,1
XVIieme,1972,4,2
XVIieme,1974,1,1
XVIieme,1983,1,1
XVIieme,1984,1,1
XVIieme,1985,1,1
XVIieme,1986,1,1
XVIieme,1987,4,4
XVIieme,1990,2,2
XVIieme,1991,1,1
XVIieme,1992,1,1
XVIieme,1996,2,2
XVIieme,1998,1,1
XVIieme,1999,2,2
XVIieme,2000,1,1
XVIieme,2001,1,1
XVIieme,2002,1,1
XVIieme,2003,6,6
XVIieme,2007,1,1
XXII.30,1863,1,1
XXII.30,1945,1,1
XXII.30,1976,2,2
XXII.30,1982,1,1
XXII.30,1984,4,4
XXII.30,1986,2,2
XXII.30,1988,3,2
XXII.30,1990,1,1
XXII.30,1991,2,2
XXII.30,1992,1,1
XXII.30,1993,2,2
XXII.30,1995,5,5
XXII.30,1996,5,5
XXII.30,1997,1,1
XXII.30,1998,5,3
XXII.30,1999,6,3
XXII.30,2000,4,4
XXII.30,2001,4,2
XXII.30,2002,7,2
XXII.30,2003,3,3
XXII.30,2005,1,1
XXII.30,2006,10,4
XXII.30,2007,5,4
XXII.30,2008,5,4
XXX0,1801,1,1
XXX0,1813,3,3
XXX0,1846,1,1
XXX0,1866,1,1
XXX0,1870,1,1
XXX0,1900,4,1
XXX0,1904,5,5
XXX0,1919,1,1
XXX0,1922,1,1
XXX0,1928,1,1
XXX0,1937,1,1
XXX0,1939,2,1
XXX0,1943,1,1
XXX0,1951,1,1
XXX0,1952,1,1
XXX0,1953,2,1
XXX0,1958,3,3
XXX0,1959,1,1
XXX0,1961,2,2
XXX0,1965,2,2
XXX0,1967,2,2
XXX0,1971,1,1
XXX0,1972,4,2
XXX0,1974,3,3
XXX0,1977,12,5
XXX0,1978,2,2
XXX0,1980,1,1
XXX0,1982,6,2
XXX0,1983,1,1
XXX0,1984,1,1
XXX0,1985,1,1
XXX0,1986,1,1
XXX0,1988,3,1
XXX0,1991,1,1
XXX0,1992,9,3
XXX0,1993,2,2
XXX0,1994,1,1
XXX0,1995,4,1
XXX0,1997,1,1
XXX0,1999,6,4
XXX0,2000,1,1
XXX0,2002,2,2
XXX0,2005,1,1
XXX0,2006,35,1
XXX0,2007,16,2
XXX0,2008,2,1
Xani,1824,1,1
Xani,1829,1,1
Xani,1834,1,1
Xani,1851,1,1
Xani,1866,1,1
Xani,1867,1,1
Xani,1869,1,1
Xani,1883,1,1
Xani,1887,1,1
Xani,1895,1,1
Xani,1896,7,4
Xani,1897,1,1
Xani,1898,1,1
Xani,1899,1,1
Xani,1902,1,1
Xani,1905,1,1
Xani,1906,4,4
Xani,1907,3,1
Xani,1911,1,1
Xani,1930,1,1
Xani,1935,1,1
Xani,1950,1,1
Xani,1957,1,1
Xani,1958,2,2
Xani,1959,2,2
Xani,1961,2,2
Xani,1965,2,1
Xani,1966,1,1
Xani,1967,1,1
Xani,1972,2,2
Xani,1974,2,2
Xani,1975,3,3
Xani,1977,1,1
Xani,1978,13,2
Xani,1979,6,4
Xani,1981,5,2
Xani,1984,2,2
Xani,1985,1,1
Xani,1987,2,1
Xani,1988,3,3
Xani,1989,3,2
