word,year,count,sources
Y.-T.,1954,1,1
Y.-T.,1957,3,3
Y.-T.,1960,1,1
Y.-T.,1962,6,5
Y.-T.,1963,2,2
Y.-T.,1964,3,2
Y.-T.,1965,1,1
Y.-T.,1966,2,2
Y.-T.,1968,7,6
Y.-T.,1969,3,3
Y.-T.,1970,10,9
Y.-T.,1971,5,5
Y.-T.,1972,9,5
Y.-T.,1973,11,7
Y.-T.,1974,26,8
Y.-T.,1975,12,9
Y.-T.,1976,13,11
Y.-T.,1977,12,11
Y.-T.,1978,15,14
Y.-T.,1979,16,14
Y.-T.,1980,45,35
Y.-T.,1981,33,24
Y.-T.,1982,71,36
Y.-T.,1983,48,37
Y.-T.,1984,45,30
Y.-T.,1985,35,28
Y.-T.,1986,48,35
Y.-T.,1987,54,37
Y.-T.,1988,39,31
Y.-T.,1989,63,40
Y.-T.,1990,63,45
Y.-T.,1991,78,51
Y.-T.,1992,84,52
Y.-T.,1993,93,67
Y.-T.,1994,100,66
Y.-T.,1995,133,99
Y.-T.,1996,106,81
Y.-T.,1997,160,100
Y.-T.,1998,74,59
Y.-T.,1999,146,89
Y.-T.,2000,119,83
Y.-T.,2001,154,99
Y.-T.,2002,133,101
Y.-T.,2003,154,93
Y.-T.,2004,333,159
Y.-T.,2005,234,159
Y.-T.,2006,311,145
Y.-T.,2007,249,178
Y.-T.,2008,237,148
Y.Liu,1967,1,1
Y.Liu,1976,1,1
Y.Liu,1983,1,1
Y.Liu,1989,3,1
Y.Liu,1990,5,2
Y.Liu,1991,3,3
Y.Liu,1992,6,6
Y.Liu,1993,1,1
Y.Liu,1994,5,5
Y.Liu,1995,2,2
Y.Liu,1996,1,1
Y.Liu,1997,4,4
Y.Liu,1998,10,9
Y.Liu,1999,6,5
Y.Liu,2000,10,7
Y.Liu,2001,10,7
Y.Liu,2002,21,12
Y.Liu,2003,17,14
Y.Liu,2004,12,10
Y.Liu,2005,16,14
Y.Liu,2006,22,18
Y.Liu,2007,22,19
Y.Liu,2008,8,8
Y.S.E.,1930,1,1
Y.S.E.,1938,24,2
Y.S.E.,1951,25,2
Y.S.E.,1966,28,2
Y.S.E.,1967,2,2
Y.S.E.,1973,4,2
Y.S.E.,1974,1,1
Y.S.E.,1975,3,1
Y.S.E.,1976,3,3
Y.S.E.,1977,12,1
Y.S.E.,1978,3,2
Y.S.E.,1979,1,1
Y.S.E.,1980,4,4
Y.S.E.,1982,4,4
Y.S.E.,1983,3,3
Y.S.E.,1984,3,2
Y.S.E.,1985,1,1
Y.S.E.,1986,3,2
Y.S.E.,1987,1,1
Y.S.E.,1988,1,1
Y.S.E.,1989,4,2
Y.S.E.,1990,7,4
Y.S.E.,1991,1,1
Y.S.E.,1993,1,1
Y.S.E.,1994,4,4
Y.S.E.,1995,1,1
Y.S.E.,1996,1,1
Y.S.E.,1999,5,4
Y.S.E.,2000,3,3
Y.S.E.,2001,2,1
Y.S.E.,2002,4,2
Y.S.E.,2005,1,1
Y.S.E.,2006,16,4
Y.S.E.,2008,2,2
Y84,1882,1,1
Y84,1917,1,1
Y84,1948,4,4
Y84,1949,2,2
Y84,1953,1,1
Y84,1963,12,4
Y84,1965,6,1
Y84,1967,6,4
Y84,1969,1,1
Y84,1971,1,1
Y84,1973,1,1
Y84,1974,2,2
Y84,1980,1,1
Y84,1983,2,2
Y84,1984,7,4
Y84,1985,2,2
Y84,1986,2,2
Y84,1987,1,1
Y84,1988,3,2
Y84,1989,1,1
Y84,1990,6,4
Y84,1991,2,2
Y84,1992,20,11
Y84,1993,3,2
Y84,1994,4,3
Y84,1995,1,1
Y84,1996,7,6
Y84,1997,4,3
Y84,1998,8,5
Y84,2000,1,1
Y84,2001,5,3
Y84,2002,2,2
Y84,2003,8,2
Y84,2004,2,2
Y84,2005,4,3
Y84,2006,8,3
Y84,2007,14,4
Y84,2008,10,5
YARROWS,1852,10,6
YARROWS,1855,5,3
YARROWS,1881,4,2
YARROWS,1882,2,2
YARROWS,1891,1,1
YARROWS,1928,2,1
YARROWS,1929,2,1
YARROWS,1934,1,1
YARROWS,1951,1,1
YARROWS,1957,4,2
YARROWS,1963,7,1
YARROWS,1972,5,1
YARROWS,1974,1,1
YARROWS,1982,1,1
YARROWS,1983,1,1
YARROWS,1984,1,1
YARROWS,1989,1,1
YARROWS,1991,4,2
YARROWS,1992,2,1
YARROWS,1993,1,1
YARROWS,1997,1,1
YARROWS,1999,1,1
YARROWS,2000,1,1
YARROWS,2001,1,1
YARROWS,2002,2,2
YARROWS,2003,4,1
YARROWS,2004,1,1
YARROWS,2007,3,1
YATO,1825,1,1
YATO,1929,2,2
YATO,1931,2,2
YATO,1947,1,1
YATO,1949,1,1
YATO,1950,4,4
YATO,1962,1,1
YATO,1963,1,1
YATO,1965,4,3
YATO,1969,1,1
YATO,1971,14,1
YATO,1972,1,1
YATO,1979,1,1
YATO,1980,4,2
YATO,1982,2,2
YATO,1984,3,1
YATO,1985,4,4
YATO,1986,1,1
YATO,1989,5,3
YATO,1990,1,1
YATO,1991,2,2
YATO,1993,2,2
YATO,1994,1,1
YATO,1995,3,3
YATO,1996,2,2
YATO,2002,3,3
YATO,2004,1,1
YATO,2005,1,1
YATO,2006,2,1
YATO,2007,1,1
YEVGENI,1870,1,1
YEVGENI,1906,1,1
YEVGENI,1948,1,1
YEVGENI,1955,2,2
YEVGENI,1956,1,1
YEVGENI,1957,2,1
YEVGENI,1958,10,6
YEVGENI,1964,4,2
YEVGENI,1965,5,3
YEVGENI,1966,1,1
YEVGENI,1969,1,1
YEVGENI,1970,1,1
YEVGENI,1971,7,2
YEVGENI,1972,15,4
YEVGENI,1974,1,1
YEVGENI,1975,5,5
YEVGENI,1976,4,4
YEVGENI,1977,1,1
YEVGENI,1978,2,1
YEVGENI,1980,1,1
YEVGENI,1981,2,1
YEVGENI,1982,1,1
YEVGENI,1983,7,4
YEVGENI,1984,3,2
YEVGENI,1985,2,2
YEVGENI,1986,5,5
YEVGENI,1987,6,6
YEVGENI,1988,2,2
YEVGENI,1989,2,2
YEVGENI,1990,2,2
YEVGENI,1991,7,4
YEVGENI,1992,7,3
YEVGENI,1993,4,4
YEVGENI,1995,1,1
YEVGENI,1996,1,1
YEVGENI,1997,5,3
YEVGENI,1998,2,1
YEVGENI,1999,7,7
YEVGENI,2001,1,1
YEVGENI,2004,1,1
YEVGENI,2007,2,2
YODELING,1953,2,2
YODELING,1958,1,1
YODELING,1962,3,3
YODELING,1971,1,1
YODELING,1972,2,1
YODELING,1974,1,1
YODELING,1976,5,5
YODELING,1977,1,1
YODELING,1981,1,1
YODELING,1984,1,1
YODELING,1985,2,2
YODELING,1986,1,1
YODELING,1987,2,1
YODELING,1991,4,4
YODELING,1993,2,2
YODELING,1994,1,1
YODELING,1996,2,2
YODELING,1998,2,2
YODELING,2000,1,1
YODELING,2001,6,6
YODELING,2002,1,1
YODELING,2003,4,4
YODELING,2004,12,5
YODELING,2005,1,1
YODELING,2007,2,1
YODELING,2008,1,1
YS1,1836,1,1
YS1,1885,1,1
YS1,1912,1,1
YS1,1932,1,1
YS1,1945,2,2
YS1,1962,3,3
YS1,1963,1,1
YS1,1966,4,3
YS1,1968,1,1
YS1,1970,1,1
YS1,1971,1,1
YS1,1972,1,1
YS1,1973,4,4
YS1,1974,1,1
YS1,1975,1,1
YS1,1976,4,3
YS1,1977,6,4
YS1,1978,3,3
YS1,1979,1,1
YS1,1980,25,6
YS1,1981,6,4
YS1,1982,5,5
YS1,1983,8,7
YS1,1984,5,2
YS1,1985,9,9
YS1,1986,6,5
YS1,1987,7,5
YS1,1988,4,4
YS1,1989,2,2
YS1,1990,5,4
YS1,1991,1,1
YS1,1992,1,1
YS1,1993,1,1
YS1,1994,7,5
YS1,1996,10,3
YS1,1997,5,5
YS1,1999,10,2
YS1,2000,8,8
YS1,2001,6,6
YS1,2002,12,9
YS1,2003,13,8
YS1,2004,4,4
YS1,2005,7,5
YS1,2006,36,9
YS1,2007,15,7
YS1,2008,11,8
YUB,1871,1,1
YUB,1881,1,1
YUB,1893,1,1
YUB,1899,1,1
YUB,1912,1,1
YUB,1925,1,1
YUB,1929,1,1
YUB,1939,1,1
YUB,1941,1,1
YUB,1956,1,1
YUB,1957,1,1
YUB,1961,95,3
YUB,1962,1,1
YUB,1963,3,2
YUB,1966,1,1
YUB,1967,2,2
YUB,1969,2,1
YUB,1970,1,1
YUB,1971,1,1
YUB,1977,2,2
YUB,1978,3,3
YUB,1979,1,1
YUB,1980,1,1
YUB,1981,2,2
YUB,1982,2,2
YUB,1984,27,3
YUB,1987,2,2
YUB,1988,3,3
YUB,1989,1,1
YUB,1990,2,2
YUB,1993,1,1
YUB,1994,3,2
YUB,1995,1,1
YUB,1996,4,4
YUB,1998,8,5
YUB,1999,3,3
YUB,2001,2,2
YUB,2004,25,2
YUB,2005,2,2
YUB,2006,1,1
YUB,2007,5,3
YUB,2008,9,2
YUSOF,1956,1,1
YUSOF,1961,2,2
YUSOF,1963,1,1
YUSOF,1965,1,1
YUSOF,1966,2,2
YUSOF,1967,1,1
YUSOF,1968,1,1
YUSOF,1969,3,3
YUSOF,1971,3,3
YUSOF,1972,2,1
YUSOF,1973,2,1
YUSOF,1975,2,2
YUSOF,1976,2,2
YUSOF,1977,9,3
YUSOF,1978,14,7
YUSOF,1979,1,1
YUSOF,1980,6,3
YUSOF,1981,9,3
YUSOF,1982,10,4
YUSOF,1983,3,1
YUSOF,1984,4,3
YUSOF,1985,20,10
YUSOF,1986,10,8
YUSOF,1987,11,8
YUSOF,1988,18,8
YUSOF,1989,16,6
YUSOF,1990,12,7
YUSOF,1991,8,5
