word,year,count,sources
Z'o,1821,1,1
Z'o,1885,1,1
Z'o,1909,1,1
Z'o,1920,2,1
Z'o,1923,10,3
Z'o,1931,1,1
Z'o,1935,1,1
Z'o,1938,1,1
Z'o,1942,1,1
Z'o,1943,1,1
Z'o,1947,1,1
Z'o,1951,1,1
Z'o,1961,2,2
Z'o,1962,1,1
Z'o,1963,1,1
Z'o,1965,2,2
Z'o,1971,1,1
Z'o,1973,1,1
Z'o,1974,2,2
Z'o,1975,1,1
Z'o,1976,3,1
Z'o,1979,1,1
Z'o,1980,1,1
Z'o,1981,2,2
Z'o,1982,1,1
Z'o,1984,1,1
Z'o,1989,2,2
Z'o,1990,1,1
Z'o,1992,6,1
Z'o,1993,1,1
Z'o,1994,1,1
Z'o,1996,5,2
Z'o,1997,1,1
Z'o,1999,3,1
Z'o,2001,1,1
Z'o,2003,1,1
Z'o,2004,1,1
Z'o,2005,1,1
Z'o,2006,1,1
Z.fur,1877,1,1
Z.fur,1895,1,1
Z.fur,1898,1,1
Z.fur,1900,1,1
Z.fur,1904,2,2
Z.fur,1911,8,7
Z.fur,1914,1,1
Z.fur,1916,2,2
Z.fur,1923,5,1
Z.fur,1924,1,1
Z.fur,1926,1,1
Z.fur,1929,7,2
Z.fur,1940,1,1
Z.fur,1941,1,1
Z.fur,1944,2,2
Z.fur,1947,2,2
Z.fur,1950,3,3
Z.fur,1953,2,2
Z.fur,1954,1,1
Z.fur,1957,2,2
Z.fur,1958,4,3
Z.fur,1959,6,5
Z.fur,1960,2,1
Z.fur,1961,1,1
Z.fur,1962,4,4
Z.fur,1963,18,11
Z.fur,1964,3,3
Z.fur,1965,4,4
Z.fur,1966,3,2
Z.fur,1967,2,2
Z.fur,1968,4,4
Z.fur,1969,2,2
Z.fur,1970,4,3
Z.fur,1971,6,4
Z.fur,1972,4,3
Z.fur,1973,6,5
Z.fur,1974,5,4
Z.fur,1975,2,2
Z.fur,1976,5,3
Z.fur,1977,7,3
Z.fur,1978,3,2
Z.fur,1979,4,2
Z.fur,1980,2,2
Z.fur,1981,4,4
Z.fur,1982,1,1
Z.fur,1983,2,2
Z.fur,1984,1,1
Z.fur,1985,2,2
Z.fur,1986,3,3
Z.fur,1987,4,4
Z.fur,1988,1,1
Z.fur,1989,3,3
Z.fur,1990,7,7
Z.fur,1991,1,1
Z.fur,1992,6,5
Z.fur,1993,1,1
Z.fur,1994,2,2
Z.fur,1995,2,2
Z.fur,1997,3,2
Z.fur,1998,3,3
Z.fur,1999,2,2
Z.fur,2000,2,2
Z.fur,2001,4,3
Z.fur,2002,1,1
Z.fur,2005,2,2
Z.fur,2006,1,1
Z.fur,2007,3,3
Z.fur,2008,1,1
ZBINDEN,1908,1,1
ZBINDEN,1913,1,1
ZBINDEN,1920,1,1
ZBINDEN,1929,1,1
ZBINDEN,1933,1,1
ZBINDEN,1936,2,1
ZBINDEN,1938,4,2
ZBINDEN,1939,1,1
ZBINDEN,1940,2,1
ZBINDEN,1945,3,2
ZBINDEN,1946,1,1
ZBINDEN,1948,3,2
ZBINDEN,1950,2,1
ZBINDEN,1955,1,1
ZBINDEN,1956,2,1
ZBINDEN,1958,3,3
ZBINDEN,1959,1,1
ZBINDEN,1960,1,1
ZBINDEN,1961,3,2
ZBINDEN,1962,4,3
ZBINDEN,1963,2,1
ZBINDEN,1964,1,1
ZBINDEN,1965,2,1
ZBINDEN,1966,1,1
ZBINDEN,1969,5,5
ZBINDEN,1970,2,2
ZBINDEN,1972,10,5
ZBINDEN,1973,20,8
ZBINDEN,1974,4,4
ZBINDEN,1975,2,2
ZBINDEN,1976,26,10
ZBINDEN,1977,13,3
ZBINDEN,1978,13,7
ZBINDEN,1979,5,2
ZBINDEN,1980,37,10
ZBINDEN,1981,6,4
ZBINDEN,1982,42,5
ZBINDEN,1983,7,2
ZBINDEN,1984,11,4
ZBINDEN,1985,3,3
ZBINDEN,1986,5,3
ZBINDEN,1987,11,5
ZBINDEN,1988,2,2
ZBINDEN,1990,8,2
ZBINDEN,1991,5,5
ZBINDEN,1992,4,4
ZBINDEN,1993,5,5
ZBINDEN,1994,4,4
ZBINDEN,1995,2,2
ZBINDEN,1996,7,2
ZBINDEN,1997,6,4
ZBINDEN,1998,3,2
ZBINDEN,1999,9,3
ZBINDEN,2001,3,3
ZBINDEN,2002,13,3
ZBINDEN,2003,2,2
ZBINDEN,2004,11,6
ZBINDEN,2006,8,7
ZBINDEN,2007,5,2
ZBINDEN,2008,1,1
ZEG,1830,8,2
ZEG,1910,1,1
ZEG,1935,3,3
ZEG,1942,1,1
ZEG,1943,12,2
ZEG,1945,6,1
ZEG,1952,2,2
ZEG,1953,1,1
ZEG,1955,8,2
ZEG,1961,2,2
ZEG,1962,16,4
ZEG,1963,3,2
ZEG,1964,1,1
ZEG,1966,9,9
ZEG,1967,6,2
ZEG,1970,4,3
ZEG,1971,7,2
ZEG,1972,10,9
ZEG,1973,31,8
ZEG,1974,102,12
ZEG,1975,68,15
ZEG,1976,96,24
ZEG,1977,74,15
ZEG,1978,34,19
ZEG,1979,75,27
ZEG,1980,61,19
ZEG,1981,28,12
ZEG,1982,73,16
ZEG,1983,36,18
ZEG,1984,41,13
ZEG,1985,58,17
ZEG,1986,17,7
